received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:16:03,780205,,42.449259999999995,-89.21205,16100.0,,,,,,1574874963
2019-11-27 17:16:19,780205,,,,,,440.0,99.55,-768.0,GS,1574874979
2019-11-27 17:16:20,780205,,42.443540000000006,-89.16549,15825.0,,,,,,1574874980
2019-11-27 17:16:49,780205,,,,,,439.0,99.7,-960.0,GS,1574875009
2019-11-27 17:17:15,780205,,,,,,439.0,99.83,-1536.0,GS,1574875035
2019-11-27 17:19:22,780205,,,,,,415.0,99.98,-576.0,GS,1574875162
2019-11-27 17:19:24,780205,,,,,,414.0,99.87,-448.0,GS,1574875164
2019-11-27 17:19:28,780205,,,,,,413.0,99.9,-256.0,GS,1574875168
2019-11-27 17:19:30,780205,,42.37935,-88.66285,11400.0,,,,,,1574875170
2019-11-27 17:19:41,780205,,,,,,411.0,99.81,64.0,GS,1574875181
2019-11-27 17:20:33,780205,,,,,,413.0,100.03,0.0,GS,1574875233
2019-11-27 17:21:00,780205,,42.349270000000004,-88.43502,11400.0,,,,,,1574875260
2019-11-27 17:21:01,780205,,,,,,415.0,102.8,0.0,GS,1574875261
2019-11-27 17:22:00,780205,,,,,,409.0,129.25,64.0,GS,1574875320
2019-11-27 17:22:03,780205,,,,,,408.0,130.04,0.0,GS,1574875323
2019-11-27 17:22:13,780205,,,,,,407.0,132.61,64.0,GS,1574875333
2019-11-27 17:22:14,780205,,42.27612,-88.27415,11400.0,,,,,,1574875334
2019-11-27 17:22:23,780205,,,,,,,,,,1574875343
2019-11-27 17:22:25,780205,CPA806,42.261379999999996,-88.25455,11400.0,,,,,,1574875345
2019-11-27 17:22:30,780205,CPA806,42.254670000000004,-88.24620999999999,11400.0,,,,,,1574875350
2019-11-27 17:22:32,780205,CPA806,42.25267,-88.24385,11400.0,,,,,,1574875352
2019-11-27 17:22:33,780205,CPA806,,,,,406.0,137.99,0.0,GS,1574875353
2019-11-27 17:22:33,780205,CPA806,42.25053,-88.24125,11400.0,,,,,,1574875353
2019-11-27 17:22:35,780205,CPA806,42.24765,-88.23778,11400.0,,,,,,1574875355
2019-11-27 17:22:36,780205,CPA806,,,,,407.0,138.09,0.0,GS,1574875356
2019-11-27 17:22:37,780205,CPA806,42.24457,-88.23401,11400.0,,,,,,1574875357
2019-11-27 17:22:46,780205,CPA806,,,,,407.0,138.09,-128.0,GS,1574875366
2019-11-27 17:22:52,780205,CPA806,42.22375,-88.20885,11375.0,,,,,,1574875372
2019-11-27 17:22:56,780205,CPA806,,,,,407.0,138.18,-320.0,GS,1574875376
2019-11-27 17:22:58,780205,CPA806,,,,,407.0,138.18,-320.0,GS,1574875378
2019-11-27 17:23:03,780205,CPA806,42.20824,-88.19025,11300.0,,,,,,1574875383
2019-11-27 17:23:04,780205,CPA806,42.20769,-88.18963000000001,11300.0,,,,,,1574875384
2019-11-27 17:23:06,780205,CPA806,42.204570000000004,-88.18588000000001,11300.0,,,,,,1574875386
