received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:29:35,7807BB,,42.45257,-89.23907,16400.0,,,,,,1574872175
2019-11-27 16:29:40,7807BB,,42.45071,-89.22403,16250.0,,,,,,1574872180
2019-11-27 16:33:35,7807BB,,,,,,404.0,100.11,-320.0,GS,1574872415
2019-11-27 16:33:40,7807BB,,42.370329999999996,-88.59275,11350.0,,,,,,1574872420
2019-11-27 16:33:43,7807BB,,42.3691,-88.58346999999999,11275.0,,,,,,1574872423
2019-11-27 16:34:14,7807BB,,,,,,383.0,100.05,-448.0,GS,1574872454
2019-11-27 16:34:16,7807BB,,42.35877,-88.50452,10800.0,,,,,,1574872456
2019-11-27 16:36:45,7807BB,,,,,,331.0,130.96,0.0,GS,1574872605
2019-11-27 16:36:52,7807BB,,,,,,330.0,132.18,64.0,GS,1574872612
2019-11-27 16:36:52,7807BB,,,,,,,,,,1574872612
2019-11-27 16:36:54,7807BB,CSN433,42.23829,-88.21549,9450.0,,,,,,1574872614
2019-11-27 16:36:55,7807BB,CSN433,42.23735,-88.21415999999999,9450.0,,,,,,1574872615
2019-11-27 16:36:56,7807BB,CSN433,42.23633,-88.21261,9450.0,,,,,,1574872616
2019-11-27 16:36:57,7807BB,CSN433,,,,,329.0,132.91,0.0,GS,1574872617
2019-11-27 16:36:57,7807BB,CSN433,42.2355,-88.21146,9450.0,,,,,,1574872617
2019-11-27 16:36:58,7807BB,CSN433,42.23442,-88.21,9450.0,,,,,,1574872618
2019-11-27 16:36:59,7807BB,CSN433,42.23363,-88.20878,9450.0,,,,,,1574872619
2019-11-27 16:37:00,7807BB,CSN433,42.233000000000004,-88.20792,9450.0,,,,,,1574872620
2019-11-27 16:37:00,7807BB,CSN433,,,,,328.0,133.4,0.0,GS,1574872620
2019-11-27 16:37:00,7807BB,CSN433,42.23247,-88.20711999999999,9450.0,,,,,,1574872620
2019-11-27 16:37:02,7807BB,CSN433,42.23023,-88.20405,9450.0,,,,,,1574872622
2019-11-27 16:37:02,7807BB,CSN433,,,,,328.0,133.77,0.0,GS,1574872622
2019-11-27 16:37:04,7807BB,CSN433,42.22824,-88.20124,9450.0,,,,,,1574872624
2019-11-27 16:37:11,7807BB,CSN433,,,,,328.0,135.0,0.0,GS,1574872631
2019-11-27 16:37:15,7807BB,CSN433,42.21632,-88.18521,9450.0,,,,,,1574872635
2019-11-27 16:37:16,7807BB,CSN433,,,,,328.0,135.86,0.0,GS,1574872636
2019-11-27 16:37:21,7807BB,CSN433,42.21017,-88.17729,9450.0,,,,,,1574872641
2019-11-27 16:37:23,7807BB,CSN433,42.20803,-88.17466999999999,9450.0,,,,,,1574872643
2019-11-27 16:37:23,7807BB,CSN433,,,,,326.0,136.74,-64.0,GS,1574872643
