received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:10:41,A04DC2,,41.54535,-88.73021,6425.0,,,,,,1574874641
2019-11-27 17:10:44,A04DC2,,41.54736,-88.72683,6400.0,,,,,,1574874644
2019-11-27 17:12:08,A04DC2,,41.61401,-88.61672,6400.0,,,,,,1574874728
2019-11-27 17:15:08,A04DC2,,,,,,241.0,27.31,-1024.0,GS,1574874908
2019-11-27 17:15:23,A04DC2,,41.80782,-88.47431,4575.0,,,,,,1574874923
2019-11-27 17:15:31,A04DC2,,41.81648,-88.46816,4450.0,,,,,,1574874931
2019-11-27 17:15:31,A04DC2,,,,,,242.0,27.73,-320.0,GS,1574874931
2019-11-27 17:15:51,A04DC2,,41.83533,-88.45476,4400.0,,,,,,1574874951
2019-11-27 17:16:36,A04DC2,,,,,,245.0,27.4,64.0,GS,1574874996
2019-11-27 17:16:38,A04DC2,,,,,,245.0,27.4,-128.0,GS,1574874998
2019-11-27 17:16:49,A04DC2,,41.893570000000004,-88.41379,4400.0,,,,,,1574875009
2019-11-27 17:17:02,A04DC2,,41.90616,-88.40505,4400.0,,,,,,1574875022
2019-11-27 17:17:49,A04DC2,,,,,,247.0,27.39,-64.0,GS,1574875069
2019-11-27 17:17:56,A04DC2,,,,,,247.0,27.39,0.0,GS,1574875076
2019-11-27 17:17:58,A04DC2,,41.96386,-88.36476,4400.0,,,,,,1574875078
2019-11-27 17:18:01,A04DC2,,,,,,247.0,27.39,64.0,GS,1574875081
2019-11-27 17:18:12,A04DC2,,41.97811,-88.35473,4400.0,,,,,,1574875092
2019-11-27 17:18:13,A04DC2,,,,,,246.0,27.5,-128.0,GS,1574875093
2019-11-27 17:18:26,A04DC2,,41.99185,-88.34531,4400.0,,,,,,1574875106
2019-11-27 17:18:35,A04DC2,,42.00137,-88.33869,4400.0,,,,,,1574875115
2019-11-27 17:18:40,A04DC2,,42.006040000000006,-88.33545,4400.0,,,,,,1574875120
2019-11-27 17:18:44,A04DC2,,,,,,246.0,27.29,0.0,GS,1574875124
2019-11-27 17:18:46,A04DC2,,42.01254,-88.33095,4400.0,,,,,,1574875126
2019-11-27 17:18:47,A04DC2,,42.01307,-88.33059,4400.0,,,,,,1574875127
2019-11-27 17:18:47,A04DC2,,,,,,246.0,27.29,0.0,GS,1574875127
2019-11-27 17:18:52,A04DC2,,,,,,247.0,27.19,-64.0,GS,1574875132
2019-11-27 17:19:06,A04DC2,,42.03246,-88.31721999999999,4400.0,,,,,,1574875146
2019-11-27 17:19:07,A04DC2,,42.03337,-88.3166,4400.0,,,,,,1574875147
2019-11-27 17:19:07,A04DC2,,,,,,246.0,26.98,0.0,GS,1574875147
2019-11-27 17:19:09,A04DC2,,42.03593,-88.31485,4400.0,,,,,,1574875149
2019-11-27 17:19:12,A04DC2,,42.038540000000005,-88.31304,4400.0,,,,,,1574875152
2019-11-27 17:19:14,A04DC2,,42.04067,-88.31155,4400.0,,,,,,1574875154
2019-11-27 17:19:15,A04DC2,,,,,,,,,,1574875155
2019-11-27 17:19:15,A04DC2,N119BG,,,,,247.0,27.19,64.0,GS,1574875155
2019-11-27 17:19:16,A04DC2,N119BG,42.04285,-88.3101,4400.0,,,,,,1574875156
2019-11-27 17:19:18,A04DC2,N119BG,,,,,247.0,27.39,0.0,GS,1574875158
2019-11-27 17:19:27,A04DC2,N119BG,,,,,247.0,27.39,-64.0,GS,1574875167
