received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:15:17,A0C7CC,,,,,,140.0,270.0,-1152.0,GS,1574874917
2019-11-27 17:15:23,A0C7CC,,42.002559999999995,-87.72265,3775.0,,,,,,1574874923
2019-11-27 17:15:24,A0C7CC,,,,,,142.0,270.0,-896.0,GS,1574874924
2019-11-27 17:15:25,A0C7CC,,,,,,142.0,270.0,-768.0,GS,1574874925
2019-11-27 17:15:34,A0C7CC,,,,,,143.0,270.4,-896.0,GS,1574874934
2019-11-27 17:15:55,A0C7CC,,,,,,143.0,269.6,-640.0,GS,1574874955
2019-11-27 17:16:07,A0C7CC,,42.0027,-87.76141,3175.0,,,,,,1574874967
2019-11-27 17:16:17,A0C7CC,,42.00264,-87.76926,3050.0,,,,,,1574874977
2019-11-27 17:16:19,A0C7CC,,,,,,129.0,269.11,-64.0,GS,1574874979
2019-11-27 17:16:40,A0C7CC,,42.00269,-87.78811,2775.0,,,,,,1574875000
2019-11-27 17:16:46,A0C7CC,,,,,,133.0,270.43,-1536.0,GS,1574875006
2019-11-27 17:16:52,A0C7CC,,42.00273,-87.79800999999999,2600.0,,,,,,1574875012
2019-11-27 17:16:52,A0C7CC,,42.00275,-87.79849,2600.0,,,,,,1574875012
2019-11-27 17:16:53,A0C7CC,,,,,,129.0,270.0,-448.0,GS,1574875013
2019-11-27 17:17:08,A0C7CC,,,,,,127.0,269.1,-448.0,GS,1574875028
2019-11-27 17:17:09,A0C7CC,,42.0027,-87.81141,2425.0,,,,,,1574875029
2019-11-27 17:17:10,A0C7CC,,,,,,127.0,269.55,-832.0,GS,1574875030
2019-11-27 17:17:11,A0C7CC,,,,,,126.0,270.0,-704.0,GS,1574875031
2019-11-27 17:17:11,A0C7CC,,,,,,125.0,269.54,-512.0,GS,1574875031
2019-11-27 17:17:12,A0C7CC,,42.0027,-87.8136,2400.0,,,,,,1574875032
2019-11-27 17:17:15,A0C7CC,,,,,,,,,,1574875035
2019-11-27 17:17:15,A0C7CC,ASQ3989,42.00269,-87.81583,2350.0,,,,,,1574875035
2019-11-27 17:17:15,A0C7CC,ASQ3989,,,,,118.0,270.49,-832.0,GS,1574875035
2019-11-27 17:17:16,A0C7CC,ASQ3989,42.0027,-87.81659,2325.0,,,,,,1574875036
2019-11-27 17:17:16,A0C7CC,ASQ3989,,,,,116.0,270.49,-960.0,GS,1574875036
2019-11-27 17:17:18,A0C7CC,ASQ3989,42.0027,-87.81803000000001,2300.0,,,,,,1574875038
2019-11-27 17:17:18,A0C7CC,ASQ3989,,,,,114.0,270.5,-1088.0,GS,1574875038
2019-11-27 17:17:22,A0C7CC,ASQ3989,42.0027,-87.82059,2250.0,,,,,,1574875042
2019-11-27 17:17:24,A0C7CC,ASQ3989,,,,,116.0,270.0,-704.0,GS,1574875044
2019-11-27 17:17:27,A0C7CC,ASQ3989,,,,,114.0,270.0,-640.0,GS,1574875047
2019-11-27 17:17:28,A0C7CC,ASQ3989,42.0027,-87.82521,2200.0,,,,,,1574875048
2019-11-27 17:17:30,A0C7CC,ASQ3989,,,,,113.0,270.0,-768.0,GS,1574875050
2019-11-27 17:17:33,A0C7CC,ASQ3989,,,,,112.0,269.49,-832.0,GS,1574875053
2019-11-27 17:17:33,A0C7CC,ASQ3989,,,,,112.0,270.0,-1024.0,GS,1574875053
2019-11-27 17:17:34,A0C7CC,ASQ3989,,,,,112.0,270.51,-704.0,GS,1574875054
2019-11-27 17:17:34,A0C7CC,ASQ3989,,,,,112.0,270.51,-704.0,GS,1574875054
2019-11-27 17:17:36,A0C7CC,ASQ3989,,,,,111.0,271.03,-512.0,GS,1574875056
2019-11-27 17:17:37,A0C7CC,ASQ3989,,,,,111.0,271.03,-640.0,GS,1574875057
2019-11-27 17:17:37,A0C7CC,ASQ3989,42.00273,-87.83122,2100.0,,,,,,1574875057
2019-11-27 17:17:37,A0C7CC,ASQ3989,42.00273,-87.83148,2100.0,,,,,,1574875057
2019-11-27 17:17:37,A0C7CC,ASQ3989,42.00273,-87.83173000000001,2075.0,,,,,,1574875057
2019-11-27 17:17:38,A0C7CC,ASQ3989,42.00275,-87.83214,2075.0,,,,,,1574875058
2019-11-27 17:17:39,A0C7CC,ASQ3989,,,,,,,,,1574875059
2019-11-27 17:17:42,A0C7CC,ASQ3989,,,,,112.0,270.0,-384.0,GS,1574875062
2019-11-27 17:17:42,A0C7CC,ASQ3989,42.00275,-87.83525999999999,2025.0,,,,,,1574875062
2019-11-27 17:17:44,A0C7CC,ASQ3989,,,,,114.0,270.0,-1408.0,GS,1574875064
2019-11-27 17:17:51,A0C7CC,ASQ3989,,,,,113.0,270.0,-192.0,GS,1574875071
2019-11-27 17:17:58,A0C7CC,ASQ3989,42.00275,-87.84649,1850.0,,,,,,1574875078
2019-11-27 17:18:05,A0C7CC,ASQ3989,,,,,111.0,268.97,-640.0,GS,1574875085
2019-11-27 17:18:07,A0C7CC,ASQ3989,,,,,110.0,269.48,-256.0,GS,1574875087
2019-11-27 17:18:10,A0C7CC,ASQ3989,42.00273,-87.85415,1750.0,,,,,,1574875090
2019-11-27 17:18:10,A0C7CC,ASQ3989,,,,,108.0,270.53,-832.0,GS,1574875090
2019-11-27 17:18:11,A0C7CC,ASQ3989,42.00273,-87.8553,1725.0,,,,,,1574875091
2019-11-27 17:18:12,A0C7CC,ASQ3989,,,,,107.0,270.54,-768.0,GS,1574875092
2019-11-27 17:18:12,A0C7CC,ASQ3989,42.00275,-87.85566999999999,1725.0,,,,,,1574875092
2019-11-27 17:18:20,A0C7CC,ASQ3989,,,,,,,,,1574875100
2019-11-27 17:18:20,A0C7CC,ASQ3989,42.00278,-87.86124000000001,1675.0,,,,,,1574875100
2019-11-27 17:18:21,A0C7CC,ASQ3989,42.00275,-87.8616,1675.0,,,,,,1574875101
2019-11-27 17:18:23,A0C7CC,ASQ3989,,,,,112.0,270.51,-768.0,GS,1574875103
2019-11-27 17:18:23,A0C7CC,ASQ3989,42.002790000000005,-87.86335,1625.0,,,,,,1574875103
2019-11-27 17:18:24,A0C7CC,ASQ3989,,,,,112.0,270.51,-832.0,GS,1574875104
2019-11-27 17:18:24,A0C7CC,ASQ3989,42.002790000000005,-87.86391,1625.0,,,,,,1574875104
2019-11-27 17:18:24,A0C7CC,ASQ3989,,,,,111.0,270.52,-576.0,GS,1574875104
2019-11-27 17:18:27,A0C7CC,ASQ3989,,,,,111.0,270.52,-512.0,GS,1574875107
2019-11-27 17:18:28,A0C7CC,ASQ3989,,,,,111.0,270.52,-576.0,GS,1574875108
2019-11-27 17:18:28,A0C7CC,ASQ3989,42.002829999999996,-87.86648000000001,1575.0,,,,,,1574875108
2019-11-27 17:18:29,A0C7CC,ASQ3989,42.002829999999996,-87.86763,1550.0,,,,,,1574875109
2019-11-27 17:18:30,A0C7CC,ASQ3989,,,,,110.0,270.0,-704.0,GS,1574875110
2019-11-27 17:18:30,A0C7CC,ASQ3989,,,,,,,,,1574875110
2019-11-27 17:18:30,A0C7CC,ASQ3989,42.002829999999996,-87.86789,1550.0,,,,,,1574875110
2019-11-27 17:18:31,A0C7CC,ASQ3989,,,,,109.0,268.95,-320.0,GS,1574875111
2019-11-27 17:18:32,A0C7CC,ASQ3989,,,,,108.0,269.47,-1280.0,GS,1574875112
2019-11-27 17:18:38,A0C7CC,ASQ3989,,,,,108.0,270.53,-960.0,GS,1574875118
2019-11-27 17:18:43,A0C7CC,ASQ3989,42.00284,-87.87664000000001,1425.0,,,,,,1574875123
2019-11-27 17:18:43,A0C7CC,ASQ3989,,,,,109.0,270.53,-448.0,GS,1574875123
2019-11-27 17:18:44,A0C7CC,ASQ3989,42.00284,-87.87777,1425.0,,,,,,1574875124
2019-11-27 17:18:46,A0C7CC,ASQ3989,,,,,114.0,270.0,-640.0,GS,1574875126
2019-11-27 17:18:49,A0C7CC,ASQ3989,42.00284,-87.88126,1375.0,,,,,,1574875129
2019-11-27 17:18:55,A0C7CC,ASQ3989,,,,,,,,,1574875135
2019-11-27 17:18:58,A0C7CC,ASQ3989,42.00284,-87.88725,1275.0,,,,,,1574875138
2019-11-27 17:18:58,A0C7CC,ASQ3989,,,,,113.0,270.0,-1344.0,GS,1574875138
2019-11-27 17:19:01,A0C7CC,ASQ3989,42.002829999999996,-87.88935,1225.0,,,,,,1574875141
2019-11-27 17:19:09,A0C7CC,ASQ3989,,,,,117.0,270.0,-704.0,GS,1574875149
2019-11-27 17:19:18,A0C7CC,ASQ3989,,,,,113.0,270.0,-640.0,GS,1574875158
2019-11-27 17:19:22,A0C7CC,ASQ3989,42.00284,-87.90436,1025.0,,,,,,1574875162
2019-11-27 17:21:47,A0C7CC,ASQ3989,41.99388,-87.93141,,,,,,,1574875307
2019-11-27 17:21:54,A0C7CC,ASQ3989,41.993320000000004,-87.9314,,,,,,,1574875314
2019-11-27 17:21:56,A0C7CC,ASQ3989,41.99309,-87.9314,,,,,,,1574875316
2019-11-27 17:22:08,A0C7CC,ASQ3989,41.99185,-87.9314,,,,,,,1574875328
2019-11-27 17:22:10,A0C7CC,ASQ3989,41.991620000000005,-87.9314,,,,,,,1574875330
2019-11-27 17:22:11,A0C7CC,ASQ3989,41.9915,-87.93139000000001,,,,,,,1574875331
2019-11-27 17:22:12,A0C7CC,ASQ3989,41.99132,-87.93141,,,,,,,1574875332
2019-11-27 17:22:14,A0C7CC,ASQ3989,41.99115,-87.9314,,,,,,,1574875334
2019-11-27 17:22:14,A0C7CC,ASQ3989,41.99111,-87.9314,,,,,,,1574875334
2019-11-27 17:22:15,A0C7CC,ASQ3989,41.990990000000004,-87.93141,,,,,,,1574875335
2019-11-27 17:22:16,A0C7CC,ASQ3989,,,,,,,,,1574875336
2019-11-27 17:22:16,A0C7CC,ASQ3989,41.99087,-87.9314,,,,,,,1574875336
2019-11-27 17:22:17,A0C7CC,ASQ3989,41.99082,-87.9314,,,,,,,1574875337
2019-11-27 17:22:17,A0C7CC,ASQ3989,41.990759999999995,-87.93141,,,,,,,1574875337
2019-11-27 17:22:18,A0C7CC,ASQ3989,41.99064,-87.9314,,,,,,,1574875338
2019-11-27 17:22:19,A0C7CC,ASQ3989,41.990559999999995,-87.93141,,,,,,,1574875339
2019-11-27 17:22:20,A0C7CC,ASQ3989,41.99044,-87.9314,,,,,,,1574875340
2019-11-27 17:22:21,A0C7CC,ASQ3989,41.99031,-87.93141999999999,,,,,,,1574875341
2019-11-27 17:22:22,A0C7CC,ASQ3989,41.99026,-87.93141999999999,,,,,,,1574875342
2019-11-27 17:22:24,A0C7CC,ASQ3989,41.989959999999996,-87.93141999999999,,,,,,,1574875344
2019-11-27 17:22:26,A0C7CC,ASQ3989,,,,,,,,,1574875346
2019-11-27 17:22:26,A0C7CC,ASQ3989,41.98975,-87.93141999999999,,,,,,,1574875346
2019-11-27 17:22:29,A0C7CC,ASQ3989,41.98941,-87.93141999999999,,,,,,,1574875349
2019-11-27 17:22:31,A0C7CC,ASQ3989,,,,,,,,,1574875351
2019-11-27 17:22:35,A0C7CC,ASQ3989,41.98875,-87.93143,,,,,,,1574875355
2019-11-27 17:22:35,A0C7CC,ASQ3989,,,,,,,,,1574875355
2019-11-27 17:22:36,A0C7CC,ASQ3989,41.988609999999994,-87.93143,,,,,,,1574875356
2019-11-27 17:22:36,A0C7CC,ASQ3989,41.98857,-87.93143,,,,,,,1574875356
2019-11-27 17:22:37,A0C7CC,ASQ3989,41.98853,-87.93143,,,,,,,1574875357
2019-11-27 17:22:39,A0C7CC,ASQ3989,41.98832,-87.93143,,,,,,,1574875359
2019-11-27 17:22:39,A0C7CC,ASQ3989,41.98827,-87.93143,,,,,,,1574875359
2019-11-27 17:22:40,A0C7CC,ASQ3989,41.98814,-87.93143,,,,,,,1574875360
2019-11-27 17:22:41,A0C7CC,ASQ3989,41.98811,-87.93143,,,,,,,1574875361
2019-11-27 17:22:42,A0C7CC,ASQ3989,41.98795,-87.93143,,,,,,,1574875362
2019-11-27 17:22:43,A0C7CC,ASQ3989,41.98785,-87.93141999999999,,,,,,,1574875363
2019-11-27 17:22:44,A0C7CC,ASQ3989,41.987809999999996,-87.93141999999999,,,,,,,1574875364
2019-11-27 17:22:44,A0C7CC,ASQ3989,41.987770000000005,-87.93143,,,,,,,1574875364
2019-11-27 17:22:45,A0C7CC,ASQ3989,41.98771,-87.93141999999999,,,,,,,1574875365
2019-11-27 17:22:46,A0C7CC,ASQ3989,,,,,,,,,1574875366
2019-11-27 17:22:47,A0C7CC,ASQ3989,41.98753,-87.93141999999999,,,,,,,1574875367
2019-11-27 17:22:48,A0C7CC,ASQ3989,41.98746,-87.93143,,,,,,,1574875368
2019-11-27 17:22:49,A0C7CC,ASQ3989,41.98738,-87.93141999999999,,,,,,,1574875369
2019-11-27 17:22:50,A0C7CC,ASQ3989,41.98727,-87.93141999999999,,,,,,,1574875370
2019-11-27 17:22:51,A0C7CC,ASQ3989,41.98723,-87.93141999999999,,,,,,,1574875371
2019-11-27 17:22:53,A0C7CC,ASQ3989,41.98707,-87.93136,,,,,,,1574875373
2019-11-27 17:22:54,A0C7CC,ASQ3989,41.98703,-87.93134,,,,,,,1574875374
2019-11-27 17:22:54,A0C7CC,ASQ3989,41.986999999999995,-87.93131,,,,,,,1574875374
2019-11-27 17:22:55,A0C7CC,ASQ3989,41.986979999999996,-87.93129,,,,,,,1574875375
2019-11-27 17:22:55,A0C7CC,ASQ3989,41.986940000000004,-87.93125,,,,,,,1574875375
2019-11-27 17:22:56,A0C7CC,ASQ3989,41.986909999999995,-87.93122,,,,,,,1574875376
2019-11-27 17:22:56,A0C7CC,ASQ3989,,,,,,,,,1574875376
2019-11-27 17:22:56,A0C7CC,ASQ3989,41.9869,-87.93118,,,,,,,1574875376
2019-11-27 17:22:57,A0C7CC,ASQ3989,41.98687,-87.93114,,,,,,,1574875377
2019-11-27 17:22:57,A0C7CC,ASQ3989,41.98685,-87.93111,,,,,,,1574875377
2019-11-27 17:22:58,A0C7CC,ASQ3989,41.98683,-87.931,,,,,,,1574875378
2019-11-27 17:22:59,A0C7CC,ASQ3989,41.98681,-87.93095,,,,,,,1574875379
2019-11-27 17:22:59,A0C7CC,ASQ3989,41.9868,-87.93087,,,,,,,1574875379
2019-11-27 17:23:00,A0C7CC,ASQ3989,41.98679,-87.93077,,,,,,,1574875380
2019-11-27 17:23:01,A0C7CC,ASQ3989,41.98679,-87.93072,,,,,,,1574875381
2019-11-27 17:23:01,A0C7CC,ASQ3989,,,,,,,,,1574875381
2019-11-27 17:23:02,A0C7CC,ASQ3989,41.98679,-87.93064,,,,,,,1574875382
2019-11-27 17:23:03,A0C7CC,ASQ3989,41.98679,-87.9305,,,,,,,1574875383
2019-11-27 17:23:04,A0C7CC,ASQ3989,41.9868,-87.93043,,,,,,,1574875384
2019-11-27 17:23:05,A0C7CC,ASQ3989,41.9868,-87.93028000000001,,,,,,,1574875385
2019-11-27 17:23:06,A0C7CC,ASQ3989,41.9868,-87.93019,,,,,,,1574875386
2019-11-27 17:23:07,A0C7CC,ASQ3989,41.9868,-87.93007,,,,,,,1574875387
2019-11-27 17:23:07,A0C7CC,ASQ3989,41.9868,-87.93,,,,,,,1574875387
2019-11-27 17:23:08,A0C7CC,ASQ3989,41.9868,-87.92995,,,,,,,1574875388
2019-11-27 17:23:09,A0C7CC,ASQ3989,41.9868,-87.9298,,,,,,,1574875389
2019-11-27 17:23:11,A0C7CC,ASQ3989,41.9868,-87.9296,,,,,,,1574875391
2019-11-27 17:23:11,A0C7CC,ASQ3989,,,,,,,,,1574875391
2019-11-27 17:23:11,A0C7CC,ASQ3989,41.9868,-87.92954,,,,,,,1574875391
2019-11-27 17:23:12,A0C7CC,ASQ3989,41.98679,-87.92942,,,,,,,1574875392
2019-11-27 17:23:13,A0C7CC,ASQ3989,41.986779999999996,-87.9293,,,,,,,1574875393
2019-11-27 17:23:14,A0C7CC,ASQ3989,41.98676,-87.92923,,,,,,,1574875394
2019-11-27 17:23:15,A0C7CC,ASQ3989,41.98672,-87.92905999999999,,,,,,,1574875395
2019-11-27 17:23:16,A0C7CC,ASQ3989,41.9867,-87.92898000000001,,,,,,,1574875396
2019-11-27 17:23:16,A0C7CC,ASQ3989,41.98669,-87.92894,,,,,,,1574875396
2019-11-27 17:23:16,A0C7CC,ASQ3989,,,,,,,,,1574875396
2019-11-27 17:23:17,A0C7CC,ASQ3989,41.986670000000004,-87.92889,,,,,,,1574875397
2019-11-27 17:23:18,A0C7CC,ASQ3989,41.98663,-87.92877,,,,,,,1574875398
2019-11-27 17:23:18,A0C7CC,ASQ3989,41.98659,-87.9287,,,,,,,1574875398
