received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:26:13,A0E6C6,,,,,,309.0,42.51,-1408.0,GS,1574875573
2019-11-27 17:26:53,A0E6C6,,,,,,298.0,41.87,-1216.0,GS,1574875613
2019-11-27 17:27:09,A0E6C6,,41.67324,-88.25107,7975.0,,,,,,1574875629
2019-11-27 17:27:14,A0E6C6,,41.67865,-88.24475,7850.0,,,,,,1574875634
2019-11-27 17:27:19,A0E6C6,,,,,,293.0,41.41,-1472.0,GS,1574875639
2019-11-27 17:27:21,A0E6C6,,,,,,293.0,41.41,-1472.0,GS,1574875641
2019-11-27 17:27:23,A0E6C6,,41.6879,-88.23382,7625.0,,,,,,1574875643
2019-11-27 17:27:25,A0E6C6,,41.689859999999996,-88.23158000000001,7575.0,,,,,,1574875645
2019-11-27 17:27:32,A0E6C6,,,,,,291.0,41.52,-832.0,GS,1574875652
2019-11-27 17:27:34,A0E6C6,,41.69893,-88.22084,7425.0,,,,,,1574875654
2019-11-27 17:27:36,A0E6C6,,41.70035,-88.21915,7400.0,,,,,,1574875656
2019-11-27 17:27:37,A0E6C6,,,,,,288.0,41.91,-256.0,GS,1574875657
2019-11-27 17:27:54,A0E6C6,,41.71802,-88.19787,7400.0,,,,,,1574875674
2019-11-27 17:28:51,A0E6C6,,41.77421,-88.13046999999999,7375.0,,,,,,1574875731
2019-11-27 17:28:58,A0E6C6,,41.780590000000004,-88.12293000000001,7375.0,,,,,,1574875738
2019-11-27 17:29:27,A0E6C6,,41.808240000000005,-88.08978,7400.0,,,,,,1574875767
2019-11-27 17:29:28,A0E6C6,,,,,,280.0,44.28,0.0,GS,1574875768
2019-11-27 17:29:32,A0E6C6,,,,,,281.0,44.71,0.0,GS,1574875772
2019-11-27 17:29:33,A0E6C6,,41.81369,-88.08256999999999,7375.0,,,,,,1574875773
2019-11-27 17:29:56,A0E6C6,,41.83498,-88.05423,7400.0,,,,,,1574875796
2019-11-27 17:29:56,A0E6C6,,,,,,281.0,45.0,0.0,GS,1574875796
2019-11-27 17:29:57,A0E6C6,,,,,,281.0,45.0,0.0,GS,1574875797
2019-11-27 17:29:57,A0E6C6,,,,,,280.0,44.86,0.0,GS,1574875797
2019-11-27 17:29:58,A0E6C6,,,,,,280.0,44.86,0.0,GS,1574875798
2019-11-27 17:29:59,A0E6C6,,,,,,,,,,1574875799
2019-11-27 17:30:02,A0E6C6,UAL1594,,,,,280.0,44.86,-64.0,GS,1574875802
2019-11-27 17:30:03,A0E6C6,UAL1594,,,,,280.0,44.86,0.0,GS,1574875803
2019-11-27 17:30:08,A0E6C6,UAL1594,,,,,280.0,44.71,0.0,GS,1574875808
2019-11-27 17:30:11,A0E6C6,UAL1594,41.84912,-88.03551,7400.0,,,,,,1574875811
2019-11-27 17:30:18,A0E6C6,UAL1594,,,,,280.0,44.71,-64.0,GS,1574875818
2019-11-27 17:30:19,A0E6C6,UAL1594,41.85603,-88.02639,7375.0,,,,,,1574875819
