received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:19:18,A0F7FB,,,,,,149.0,270.0,-64.0,GS,1574875158
2019-11-27 17:19:57,A0F7FB,,,,,,146.0,269.22,-64.0,GS,1574875197
2019-11-27 17:19:59,A0F7FB,,,,,,146.0,269.22,0.0,GS,1574875199
2019-11-27 17:20:14,A0F7FB,,,,,,147.0,270.0,64.0,GS,1574875214
2019-11-27 17:20:25,A0F7FB,,,,,,148.0,270.39,-64.0,GS,1574875225
2019-11-27 17:20:32,A0F7FB,,,,,,148.0,270.0,-320.0,GS,1574875232
2019-11-27 17:20:32,A0F7FB,,41.983109999999996,-87.47314,7375.0,,,,,,1574875232
2019-11-27 17:20:45,A0F7FB,,41.98323,-87.48432,7275.0,,,,,,1574875245
2019-11-27 17:20:48,A0F7FB,,,,,,148.0,271.16,-448.0,GS,1574875248
2019-11-27 17:20:49,A0F7FB,,,,,,148.0,271.16,-448.0,GS,1574875249
2019-11-27 17:20:53,A0F7FB,,,,,,148.0,271.16,-448.0,GS,1574875253
2019-11-27 17:21:01,A0F7FB,,,,,,148.0,270.77,-512.0,GS,1574875261
2019-11-27 17:21:31,A0F7FB,,41.98337,-87.52757,6825.0,,,,,,1574875291
2019-11-27 17:21:35,A0F7FB,,,,,,151.0,269.24,-1024.0,GS,1574875295
2019-11-27 17:21:53,A0F7FB,,41.98323,-87.54813,6425.0,,,,,,1574875313
2019-11-27 17:21:54,A0F7FB,,,,,,146.0,270.39,-1088.0,GS,1574875314
2019-11-27 17:21:59,A0F7FB,,,,,,143.0,271.2,-960.0,GS,1574875319
2019-11-27 17:22:03,A0F7FB,,41.98328,-87.55637,6275.0,,,,,,1574875323
2019-11-27 17:22:08,A0F7FB,,41.98332,-87.56129,6175.0,,,,,,1574875328
2019-11-27 17:22:12,A0F7FB,,41.98337,-87.56468000000001,6125.0,,,,,,1574875332
2019-11-27 17:22:14,A0F7FB,,,,,,,,,,1574875334
2019-11-27 17:22:21,A0F7FB,L0F4780,,,,,131.0,270.87,-832.0,GS,1574875341
2019-11-27 17:22:26,A0F7FB,L0F4780,,,,,128.0,270.9,-768.0,GS,1574875346
