received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:17:59,A11FC6,,,,,,141.0,268.78,-704.0,GS,1574875079
2019-11-27 17:18:01,A11FC6,,,,,,140.0,268.77,-576.0,GS,1574875081
2019-11-27 17:19:40,A11FC6,,42.00315,-87.79788,2600.0,,,,,,1574875180
2019-11-27 17:19:45,A11FC6,,,,,,107.0,268.93,-576.0,GS,1574875185
2019-11-27 17:19:46,A11FC6,,42.00311,-87.8019,2525.0,,,,,,1574875186
2019-11-27 17:19:52,A11FC6,,,,,,113.0,269.49,-512.0,GS,1574875192
2019-11-27 17:19:53,A11FC6,,,,,,115.0,269.5,0.0,GS,1574875193
2019-11-27 17:19:56,A11FC6,,,,,,116.0,269.01,-128.0,GS,1574875196
2019-11-27 17:20:03,A11FC6,,42.003009999999996,-87.81378000000001,2375.0,,,,,,1574875203
2019-11-27 17:20:04,A11FC6,,42.00302,-87.81447,2350.0,,,,,,1574875204
2019-11-27 17:20:07,A11FC6,,42.003009999999996,-87.81647,2325.0,,,,,,1574875207
2019-11-27 17:20:09,A11FC6,,,,,,105.0,268.91,-768.0,GS,1574875209
2019-11-27 17:20:12,A11FC6,,,,,,105.0,270.55,-960.0,GS,1574875212
2019-11-27 17:20:14,A11FC6,,,,,,107.0,271.07,-640.0,GS,1574875214
2019-11-27 17:20:21,A11FC6,,,,,,104.0,272.2,-256.0,GS,1574875221
2019-11-27 17:20:24,A11FC6,,42.00315,-87.82701,2175.0,,,,,,1574875224
2019-11-27 17:20:24,A11FC6,,42.00311,-87.82739000000001,2175.0,,,,,,1574875224
2019-11-27 17:20:26,A11FC6,,,,,,105.0,269.45,-576.0,GS,1574875226
2019-11-27 17:20:26,A11FC6,,42.00311,-87.82845,2150.0,,,,,,1574875226
2019-11-27 17:20:27,A11FC6,,42.00311,-87.82951,2125.0,,,,,,1574875227
2019-11-27 17:20:29,A11FC6,,,,,,104.0,268.9,-384.0,GS,1574875229
2019-11-27 17:20:29,A11FC6,,42.00311,-87.83046,2125.0,,,,,,1574875229
2019-11-27 17:20:29,A11FC6,,,,,,,,,,1574875229
2019-11-27 17:20:30,A11FC6,LOF4737,42.00311,-87.83114,2125.0,,,,,,1574875230
2019-11-27 17:20:36,A11FC6,LOF4737,42.00306,-87.83493,2075.0,,,,,,1574875236
2019-11-27 17:20:37,A11FC6,LOF4737,,,,,107.0,267.86,-960.0,GS,1574875237
2019-11-27 17:20:38,A11FC6,LOF4737,,,,,107.0,267.32,-832.0,GS,1574875238
2019-11-27 17:20:38,A11FC6,LOF4737,,,,,106.0,267.3,-768.0,GS,1574875238
2019-11-27 17:20:40,A11FC6,LOF4737,42.00297,-87.83761,2025.0,,,,,,1574875240
2019-11-27 17:20:44,A11FC6,LOF4737,,,,,105.0,268.36,-896.0,GS,1574875244
2019-11-27 17:20:44,A11FC6,LOF4737,42.00288,-87.84038000000001,1950.0,,,,,,1574875244
2019-11-27 17:20:44,A11FC6,LOF4737,,,,,105.0,268.36,-832.0,GS,1574875244
2019-11-27 17:20:44,A11FC6,LOF4737,,,,,,,,,1574875244
2019-11-27 17:20:45,A11FC6,LOF4737,,,,,104.0,268.9,-448.0,GS,1574875245
2019-11-27 17:20:47,A11FC6,LOF4737,,,,,107.0,269.46,-448.0,GS,1574875247
2019-11-27 17:20:47,A11FC6,LOF4737,42.00287,-87.84266,1925.0,,,,,,1574875247
2019-11-27 17:20:48,A11FC6,LOF4737,,,,,108.0,269.47,-64.0,GS,1574875248
2019-11-27 17:20:48,A11FC6,LOF4737,42.00288,-87.84306,1925.0,,,,,,1574875248
2019-11-27 17:20:48,A11FC6,LOF4737,,,,,109.0,268.95,-128.0,GS,1574875248
2019-11-27 17:20:49,A11FC6,LOF4737,42.00288,-87.84387,1925.0,,,,,,1574875249
2019-11-27 17:20:49,A11FC6,LOF4737,,,,,110.0,268.96,-448.0,GS,1574875249
2019-11-27 17:20:50,A11FC6,LOF4737,42.00284,-87.84411999999999,1925.0,,,,,,1574875250
2019-11-27 17:20:53,A11FC6,LOF4737,,,,,112.0,270.0,-896.0,GS,1574875253
2019-11-27 17:20:53,A11FC6,LOF4737,,,,,112.0,270.0,-960.0,GS,1574875253
2019-11-27 17:20:54,A11FC6,LOF4737,,,,,113.0,270.0,-896.0,GS,1574875254
2019-11-27 17:20:54,A11FC6,LOF4737,,,,,113.0,269.49,-768.0,GS,1574875254
2019-11-27 17:20:55,A11FC6,LOF4737,,,,,,,,,1574875255
2019-11-27 17:20:55,A11FC6,LOF4737,,,,,113.0,269.49,-704.0,GS,1574875255
2019-11-27 17:20:56,A11FC6,LOF4737,42.00284,-87.8483,1850.0,,,,,,1574875256
2019-11-27 17:20:56,A11FC6,LOF4737,,,,,113.0,269.49,-832.0,GS,1574875256
2019-11-27 17:20:58,A11FC6,LOF4737,42.00284,-87.8498,1825.0,,,,,,1574875258
2019-11-27 17:20:58,A11FC6,LOF4737,,,,,114.0,268.49,-1024.0,GS,1574875258
2019-11-27 17:20:58,A11FC6,LOF4737,42.002829999999996,-87.85019,1825.0,,,,,,1574875258
2019-11-27 17:20:59,A11FC6,LOF4737,,,,,114.0,267.99,-704.0,GS,1574875259
2019-11-27 17:20:59,A11FC6,LOF4737,,,,,114.0,267.99,-384.0,GS,1574875259
2019-11-27 17:21:00,A11FC6,LOF4737,42.002790000000005,-87.85124,1800.0,,,,,,1574875260
2019-11-27 17:21:01,A11FC6,LOF4737,42.00278,-87.85185,1775.0,,,,,,1574875261
2019-11-27 17:21:01,A11FC6,LOF4737,,,,,114.0,268.49,-704.0,GS,1574875261
2019-11-27 17:21:03,A11FC6,LOF4737,42.00275,-87.85323000000001,1775.0,,,,,,1574875263
2019-11-27 17:21:04,A11FC6,LOF4737,42.00273,-87.8539,1750.0,,,,,,1574875264
2019-11-27 17:21:04,A11FC6,LOF4737,,,,,114.0,268.99,-512.0,GS,1574875264
2019-11-27 17:21:04,A11FC6,LOF4737,42.00275,-87.8543,1775.0,,,,,,1574875264
2019-11-27 17:21:04,A11FC6,LOF4737,,,,,113.0,268.99,64.0,GS,1574875264
2019-11-27 17:21:06,A11FC6,LOF4737,,,,,112.0,268.98,-704.0,GS,1574875266
2019-11-27 17:21:07,A11FC6,LOF4737,42.00273,-87.85639,1725.0,,,,,,1574875267
2019-11-27 17:21:08,A11FC6,LOF4737,42.0027,-87.8571,1725.0,,,,,,1574875268
2019-11-27 17:21:10,A11FC6,LOF4737,42.00269,-87.85811,1725.0,,,,,,1574875270
2019-11-27 17:21:13,A11FC6,LOF4737,,,,,121.0,270.0,-832.0,GS,1574875273
2019-11-27 17:21:13,A11FC6,LOF4737,,,,,121.0,269.53,-704.0,GS,1574875273
2019-11-27 17:21:14,A11FC6,LOF4737,42.00266,-87.86129,1675.0,,,,,,1574875274
2019-11-27 17:21:16,A11FC6,LOF4737,,,,,120.0,271.43,-256.0,GS,1574875276
2019-11-27 17:21:17,A11FC6,LOF4737,42.0027,-87.86397,1650.0,,,,,,1574875277
2019-11-27 17:21:19,A11FC6,LOF4737,,,,,116.0,271.48,-832.0,GS,1574875279
2019-11-27 17:21:22,A11FC6,LOF4737,,,,,113.0,270.0,-1216.0,GS,1574875282
2019-11-27 17:21:23,A11FC6,LOF4737,,,,,112.0,270.0,-704.0,GS,1574875283
2019-11-27 17:21:24,A11FC6,LOF4737,42.00278,-87.8684,1550.0,,,,,,1574875284
2019-11-27 17:21:24,A11FC6,LOF4737,,,,,112.0,270.0,-704.0,GS,1574875284
2019-11-27 17:21:29,A11FC6,LOF4737,42.00284,-87.87234000000001,1500.0,,,,,,1574875289
2019-11-27 17:21:30,A11FC6,LOF4737,,,,,116.0,271.97,-1280.0,GS,1574875290
2019-11-27 17:21:32,A11FC6,LOF4737,,,,,117.0,270.98,-704.0,GS,1574875292
