received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:51,A209B9,,,,,,349.0,48.01,-448.0,GS,1574871591
2019-11-27 16:19:54,A209B9,,41.62743,-88.48208000000001,12400.0,,,,,,1574871594
2019-11-27 16:19:57,A209B9,,41.63064,-88.47737,12375.0,,,,,,1574871597
2019-11-27 16:19:57,A209B9,,,,,,344.0,47.94,-896.0,GS,1574871597
2019-11-27 16:20:01,A209B9,,41.63492,-88.47105,12300.0,,,,,,1574871601
2019-11-27 16:20:07,A209B9,,,,,,337.0,47.89,-896.0,GS,1574871607
2019-11-27 16:21:00,A209B9,,41.694559999999996,-88.38386,11425.0,,,,,,1574871660
2019-11-27 16:21:04,A209B9,,41.69838,-88.37833,11425.0,,,,,,1574871664
2019-11-27 16:21:06,A209B9,,,,,,316.0,46.79,0.0,GS,1574871666
2019-11-27 16:21:09,A209B9,,41.70369,-88.37084,11450.0,,,,,,1574871669
2019-11-27 16:21:12,A209B9,,41.70657,-88.36691,11450.0,,,,,,1574871672
2019-11-27 16:22:37,A209B9,,,,,,280.0,42.11,64.0,GS,1574871757
2019-11-27 16:22:44,A209B9,,41.80256,-88.24953000000001,11425.0,,,,,,1574871764
2019-11-27 16:22:46,A209B9,,,,,,270.0,42.0,-64.0,GS,1574871766
2019-11-27 16:23:05,A209B9,,,,,,,,,,1574871785
2019-11-27 16:23:07,A209B9,ENY4086,41.82326,-88.22433000000001,11125.0,,,,,,1574871787
2019-11-27 16:23:20,A209B9,ENY4086,41.83543,-88.21,10750.0,,,,,,1574871800
2019-11-27 16:23:23,A209B9,ENY4086,41.83757,-88.2075,10675.0,,,,,,1574871803
2019-11-27 16:23:24,A209B9,ENY4086,,,,,264.0,40.55,-1536.0,GS,1574871804
2019-11-27 16:23:34,A209B9,ENY4086,,,,,263.0,39.92,-1280.0,GS,1574871814
2019-11-27 16:23:37,A209B9,ENY4086,,,,,262.0,39.75,-1216.0,GS,1574871817
2019-11-27 16:23:49,A209B9,ENY4086,,,,,260.0,38.93,-1408.0,GS,1574871829
2019-11-27 16:23:51,A209B9,ENY4086,41.864,-88.1782,10050.0,,,,,,1574871831
2019-11-27 16:23:51,A209B9,ENY4086,,,,,260.0,37.97,-1408.0,GS,1574871831
2019-11-27 16:24:01,A209B9,ENY4086,,,,,248.0,24.2,-1472.0,GS,1574871841
2019-11-27 16:24:03,A209B9,ENY4086,41.876999999999995,-88.16816,9750.0,,,,,,1574871843
2019-11-27 16:24:05,A209B9,ENY4086,41.8781,-88.16753,9725.0,,,,,,1574871845
2019-11-27 16:24:08,A209B9,ENY4086,41.88235,-88.16541,9625.0,,,,,,1574871848
2019-11-27 16:24:10,A209B9,ENY4086,,,,,245.0,19.76,-1536.0,GS,1574871850
2019-11-27 16:24:12,A209B9,ENY4086,,,,,246.0,19.47,-1472.0,GS,1574871852
2019-11-27 16:24:22,A209B9,ENY4086,41.896409999999996,-88.1589,9350.0,,,,,,1574871862
2019-11-27 16:24:25,A209B9,ENY4086,41.89948,-88.15749,9325.0,,,,,,1574871865
2019-11-27 16:24:33,A209B9,ENY4086,,,,,230.0,18.75,-192.0,GS,1574871873
2019-11-27 16:24:46,A209B9,ENY4086,,,,,,,,,1574871886
2019-11-27 16:24:49,A209B9,ENY4086,41.924009999999996,-88.14599,9200.0,,,,,,1574871889
2019-11-27 16:24:49,A209B9,ENY4086,,,,,221.0,22.86,-768.0,GS,1574871889
2019-11-27 16:24:50,A209B9,ENY4086,41.92502,-88.14543,9200.0,,,,,,1574871890
2019-11-27 16:24:51,A209B9,ENY4086,,,,,221.0,24.49,-832.0,GS,1574871891
2019-11-27 16:24:55,A209B9,ENY4086,,,,,228.0,35.22,-960.0,GS,1574871895
2019-11-27 16:25:02,A209B9,ENY4086,41.934909999999995,-88.13584,9000.0,,,,,,1574871902
2019-11-27 16:25:03,A209B9,ENY4086,41.93561,-88.13494,9000.0,,,,,,1574871903
2019-11-27 16:25:04,A209B9,ENY4086,,,,,234.0,44.48,-1088.0,GS,1574871904
2019-11-27 16:25:05,A209B9,ENY4086,41.9371,-88.1329,8950.0,,,,,,1574871905
2019-11-27 16:25:16,A209B9,ENY4086,,,,,237.0,50.29,-1216.0,GS,1574871916
2019-11-27 16:25:17,A209B9,ENY4086,,,,,238.0,51.64,-1216.0,GS,1574871917
2019-11-27 16:25:24,A209B9,ENY4086,41.95022,-88.11016,8575.0,,,,,,1574871924
2019-11-27 16:25:25,A209B9,ENY4086,41.95065,-88.10879,8550.0,,,,,,1574871925
2019-11-27 16:25:29,A209B9,ENY4086,,,,,252.0,77.89,-1280.0,GS,1574871929
2019-11-27 16:25:31,A209B9,ENY4086,,,,,252.0,81.58,-1216.0,GS,1574871931
2019-11-27 16:25:35,A209B9,ENY4086,,,,,252.0,85.24,-1088.0,GS,1574871935
2019-11-27 16:25:36,A209B9,ENY4086,,,,,252.0,85.69,-1024.0,GS,1574871936
2019-11-27 16:25:37,A209B9,ENY4086,,,,,252.0,86.14,-1024.0,GS,1574871937
2019-11-27 16:25:42,A209B9,ENY4086,,,,,252.0,87.5,-1024.0,GS,1574871942
2019-11-27 16:25:50,A209B9,ENY4086,41.95353,-88.07075,8100.0,,,,,,1574871950
2019-11-27 16:25:55,A209B9,ENY4086,41.95371,-88.06328,8025.0,,,,,,1574871955
2019-11-27 16:25:57,A209B9,ENY4086,,,,,249.0,88.39,-1024.0,GS,1574871957
2019-11-27 16:26:00,A209B9,ENY4086,41.95386,-88.05548,7925.0,,,,,,1574871960
2019-11-27 16:26:03,A209B9,ENY4086,41.95395,-88.05111,7875.0,,,,,,1574871963
2019-11-27 16:26:03,A209B9,ENY4086,,,,,247.0,88.38,-1024.0,GS,1574871963
2019-11-27 16:26:12,A209B9,ENY4086,41.954229999999995,-88.03702,7750.0,,,,,,1574871972
2019-11-27 16:26:12,A209B9,ENY4086,,,,,244.0,88.59,-768.0,GS,1574871972
2019-11-27 16:26:15,A209B9,ENY4086,41.95432,-88.03251,7725.0,,,,,,1574871975
2019-11-27 16:26:16,A209B9,ENY4086,,,,,244.0,88.83,-832.0,GS,1574871976
2019-11-27 16:26:18,A209B9,ENY4086,,,,,243.0,88.82,-640.0,GS,1574871978
2019-11-27 16:26:19,A209B9,ENY4086,,,,,243.0,88.59,-576.0,GS,1574871979
2019-11-27 16:26:20,A209B9,ENY4086,41.95446,-88.02489,7650.0,,,,,,1574871980
2019-11-27 16:26:22,A209B9,ENY4086,41.95451,-88.02189,7650.0,,,,,,1574871982
2019-11-27 16:26:23,A209B9,ENY4086,41.9545,-88.02020999999999,7625.0,,,,,,1574871983
2019-11-27 16:26:24,A209B9,ENY4086,,,,,242.0,88.58,-448.0,GS,1574871984
2019-11-27 16:26:28,A209B9,ENY4086,41.954679999999996,-88.01290999999999,7600.0,,,,,,1574871988
2019-11-27 16:26:28,A209B9,ENY4086,41.95469,-88.01210999999999,7600.0,,,,,,1574871988
2019-11-27 16:26:29,A209B9,ENY4086,41.95469,-88.01154,7600.0,,,,,,1574871989
2019-11-27 16:26:29,A209B9,ENY4086,,,,,241.0,88.34,-448.0,GS,1574871989
2019-11-27 16:26:31,A209B9,ENY4086,,,,,240.0,88.33,-448.0,GS,1574871991
2019-11-27 16:26:32,A209B9,ENY4086,,,,,240.0,88.33,-448.0,GS,1574871992
2019-11-27 16:26:33,A209B9,ENY4086,41.95483,-88.00546999999999,7575.0,,,,,,1574871993
2019-11-27 16:26:34,A209B9,ENY4086,41.95486,-88.00398,7550.0,,,,,,1574871994
2019-11-27 16:26:35,A209B9,ENY4086,41.954879999999996,-88.00247,7550.0,,,,,,1574871995
2019-11-27 16:26:35,A209B9,ENY4086,,,,,239.0,88.08,-384.0,GS,1574871995
2019-11-27 16:26:37,A209B9,ENY4086,,,,,239.0,88.08,-384.0,GS,1574871997
2019-11-27 16:26:38,A209B9,ENY4086,,,,,239.0,88.32,-448.0,GS,1574871998
2019-11-27 16:26:39,A209B9,ENY4086,41.95505,-87.99611999999999,7525.0,,,,,,1574871999
2019-11-27 16:26:40,A209B9,ENY4086,,,,,239.0,89.28,-448.0,GS,1574872000
2019-11-27 16:26:42,A209B9,ENY4086,,,,,238.0,92.41,-512.0,GS,1574872002
2019-11-27 16:26:42,A209B9,ENY4086,41.955,-87.99119,7500.0,,,,,,1574872002
2019-11-27 16:26:43,A209B9,ENY4086,,,,,238.0,94.09,-512.0,GS,1574872003
2019-11-27 16:26:44,A209B9,ENY4086,41.954879999999996,-87.98925,7500.0,,,,,,1574872004
2019-11-27 16:26:46,A209B9,ENY4086,,,,,,,,,1574872006
2019-11-27 16:26:49,A209B9,ENY4086,41.95395,-87.98189,7475.0,,,,,,1574872009
2019-11-27 16:26:52,A209B9,ENY4086,,,,,236.0,106.21,-128.0,GS,1574872012
