received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:41:25,A21C4C,,,,,,333.0,338.2,0.0,GS,1574872885
2019-11-27 16:48:46,A21C4C,,,,,,311.0,298.95,-128.0,GS,1574873326
2019-11-27 16:48:48,A21C4C,,,,,,310.0,298.88,-192.0,GS,1574873328
2019-11-27 16:48:55,A21C4C,,41.8986,-86.88985,12325.0,,,,,,1574873335
2019-11-27 16:48:56,A21C4C,,,,,,304.0,298.67,-1152.0,GS,1574873336
2019-11-27 16:48:57,A21C4C,,41.89995,-86.8931,12275.0,,,,,,1574873337
2019-11-27 16:49:01,A21C4C,,,,,,298.0,298.79,-1088.0,GS,1574873341
2019-11-27 16:49:02,A21C4C,,,,,,297.0,298.72,-1088.0,GS,1574873342
2019-11-27 16:49:06,A21C4C,,,,,,294.0,298.66,-1088.0,GS,1574873346
2019-11-27 16:49:09,A21C4C,,41.90786,-86.91246,12050.0,,,,,,1574873349
2019-11-27 16:49:11,A21C4C,,41.909209999999995,-86.91565,12025.0,,,,,,1574873351
2019-11-27 16:49:12,A21C4C,,,,,,289.0,298.96,-1088.0,GS,1574873352
2019-11-27 16:49:12,A21C4C,,,,,,288.0,299.05,-1088.0,GS,1574873352
2019-11-27 16:49:12,A21C4C,,41.90982,-86.91721,12000.0,,,,,,1574873352
2019-11-27 16:49:12,A21C4C,,41.9101,-86.91784,12000.0,,,,,,1574873352
2019-11-27 16:49:15,A21C4C,,41.91154,-86.92121,11975.0,,,,,,1574873355
2019-11-27 16:49:15,A21C4C,,,,,,286.0,299.07,-1024.0,GS,1574873355
2019-11-27 16:49:17,A21C4C,,41.91321,-86.92526,11925.0,,,,,,1574873357
2019-11-27 16:49:18,A21C4C,,,,,,282.0,299.19,-1024.0,GS,1574873358
2019-11-27 16:49:18,A21C4C,,41.91387,-86.92683000000001,11900.0,,,,,,1574873358
2019-11-27 16:49:20,A21C4C,,41.915079999999996,-86.92976999999999,11875.0,,,,,,1574873360
2019-11-27 16:49:21,A21C4C,,,,,,281.0,299.39,-1024.0,GS,1574873361
2019-11-27 16:49:21,A21C4C,,41.91536,-86.93041,11875.0,,,,,,1574873361
2019-11-27 16:49:21,A21C4C,,41.91559,-86.93098,11850.0,,,,,,1574873361
2019-11-27 16:49:25,A21C4C,,41.91815,-86.93699000000001,11800.0,,,,,,1574873365
2019-11-27 16:49:26,A21C4C,,,,,,276.0,299.72,-1088.0,GS,1574873366
2019-11-27 16:49:26,A21C4C,,41.91884,-86.93862,11775.0,,,,,,1574873366
2019-11-27 16:49:27,A21C4C,,,,,,276.0,299.72,-1088.0,GS,1574873367
2019-11-27 16:49:30,A21C4C,,41.92131,-86.94436999999999,11700.0,,,,,,1574873370
2019-11-27 16:49:48,A21C4C,,,,,,259.0,300.02,-1216.0,GS,1574873388
2019-11-27 16:55:34,A21C4C,,41.9826,-87.38838,7400.0,,,,,,1574873734
2019-11-27 16:55:42,A21C4C,,,,,,138.0,270.83,-64.0,GS,1574873742
2019-11-27 16:56:44,A21C4C,,,,,,142.0,270.0,0.0,GS,1574873804
2019-11-27 16:56:49,A21C4C,,,,,,142.0,270.0,0.0,GS,1574873809
2019-11-27 16:56:58,A21C4C,,,,,,143.0,270.0,0.0,GS,1574873818
2019-11-27 16:57:01,A21C4C,,,,,,143.0,270.0,64.0,GS,1574873821
2019-11-27 16:57:27,A21C4C,,,,,,143.0,270.8,-448.0,GS,1574873847
2019-11-27 16:57:50,A21C4C,,41.9832,-87.50741,7075.0,,,,,,1574873870
2019-11-27 16:57:50,A21C4C,,41.98318,-87.50796,7075.0,,,,,,1574873870
2019-11-27 16:58:05,A21C4C,,,,,,145.0,270.0,-960.0,GS,1574873885
2019-11-27 16:58:12,A21C4C,,,,,,145.0,270.0,-896.0,GS,1574873892
2019-11-27 16:59:13,A21C4C,,41.983340000000005,-87.58057,5875.0,,,,,,1574873953
2019-11-27 16:59:17,A21C4C,,41.983340000000005,-87.58394,5825.0,,,,,,1574873957
2019-11-27 16:59:30,A21C4C,,41.98343,-87.59506,5650.0,,,,,,1574873970
2019-11-27 16:59:34,A21C4C,,41.98341,-87.59776,5600.0,,,,,,1574873974
2019-11-27 16:59:43,A21C4C,,,,,,127.0,270.45,-704.0,GS,1574873983
2019-11-27 16:59:47,A21C4C,,41.98352,-87.60785,5450.0,,,,,,1574873987
2019-11-27 16:59:47,A21C4C,,41.98352,-87.60848,5425.0,,,,,,1574873987
2019-11-27 16:59:53,A21C4C,,41.98357,-87.6131,5350.0,,,,,,1574873993
2019-11-27 17:00:38,A21C4C,,,,,,121.0,270.95,-768.0,GS,1574874038
2019-11-27 17:00:47,A21C4C,,,,,,123.0,270.0,-512.0,GS,1574874047
2019-11-27 17:00:54,A21C4C,,41.98379,-87.65926999999999,4675.0,,,,,,1574874054
2019-11-27 17:00:55,A21C4C,,,,,,125.0,270.0,-768.0,GS,1574874055
2019-11-27 17:01:00,A21C4C,,,,,,124.0,270.0,-896.0,GS,1574874060
2019-11-27 17:01:00,A21C4C,,41.9838,-87.66378,4575.0,,,,,,1574874060
2019-11-27 17:01:01,A21C4C,,,,,,123.0,269.53,-896.0,GS,1574874061
2019-11-27 17:01:05,A21C4C,,,,,,124.0,268.61,-704.0,GS,1574874065
2019-11-27 17:01:07,A21C4C,,,,,,123.0,268.6,-704.0,GS,1574874067
2019-11-27 17:01:09,A21C4C,,41.98369,-87.6702,4475.0,,,,,,1574874069
2019-11-27 17:01:11,A21C4C,,,,,,121.0,269.53,-768.0,GS,1574874071
2019-11-27 17:01:16,A21C4C,,41.98369,-87.67563,4400.0,,,,,,1574874076
2019-11-27 17:01:17,A21C4C,,41.98369,-87.67633000000001,4375.0,,,,,,1574874077
2019-11-27 17:01:17,A21C4C,,41.98366,-87.6767,4375.0,,,,,,1574874077
2019-11-27 17:01:18,A21C4C,,,,,,122.0,269.06,-768.0,GS,1574874078
2019-11-27 17:01:19,A21C4C,,,,,,122.0,269.06,-768.0,GS,1574874079
2019-11-27 17:01:20,A21C4C,,,,,,122.0,268.59,-640.0,GS,1574874080
2019-11-27 17:01:26,A21C4C,,,,,,122.0,270.94,-704.0,GS,1574874086
2019-11-27 17:01:28,A21C4C,,,,,,122.0,269.53,-832.0,GS,1574874088
2019-11-27 17:01:30,A21C4C,,41.98366,-87.68588000000001,4225.0,,,,,,1574874090
2019-11-27 17:01:50,A21C4C,,41.98365,-87.70137,4000.0,,,,,,1574874110
2019-11-27 17:01:59,A21C4C,,41.983740000000004,-87.70826,3875.0,,,,,,1574874119
2019-11-27 17:01:59,A21C4C,,,,,,123.0,270.0,-832.0,GS,1574874119
2019-11-27 17:02:12,A21C4C,,41.983740000000004,-87.719,3700.0,,,,,,1574874132
2019-11-27 17:02:46,A21C4C,,,,,,132.0,271.74,-576.0,GS,1574874166
2019-11-27 17:02:49,A21C4C,,41.98384,-87.7478,3250.0,,,,,,1574874169
2019-11-27 17:02:51,A21C4C,,,,,,131.0,269.13,-1088.0,GS,1574874171
2019-11-27 17:02:52,A21C4C,,,,,,131.0,269.13,-960.0,GS,1574874172
2019-11-27 17:02:53,A21C4C,,,,,,130.0,269.12,-960.0,GS,1574874173
2019-11-27 17:02:53,A21C4C,,,,,,,,,,1574874173
2019-11-27 17:02:54,A21C4C,ENY3522,,,,,130.0,269.12,-960.0,GS,1574874174
2019-11-27 17:02:54,A21C4C,ENY3522,41.98379,-87.75220999999999,3175.0,,,,,,1574874174
2019-11-27 17:02:55,A21C4C,ENY3522,,,,,129.0,270.0,-896.0,GS,1574874175
2019-11-27 17:02:56,A21C4C,ENY3522,,,,,128.0,270.9,-832.0,GS,1574874176
2019-11-27 17:02:58,A21C4C,ENY3522,,,,,127.0,271.35,-448.0,GS,1574874178
2019-11-27 17:02:59,A21C4C,ENY3522,,,,,127.0,271.35,-448.0,GS,1574874179
2019-11-27 17:03:04,A21C4C,ENY3522,,,,,,,,,1574874184
2019-11-27 17:03:04,A21C4C,ENY3522,,,,,127.0,269.55,-640.0,GS,1574874184
2019-11-27 17:03:05,A21C4C,ENY3522,,,,,127.0,269.1,-640.0,GS,1574874185
2019-11-27 17:03:07,A21C4C,ENY3522,,,,,129.0,268.67,-832.0,GS,1574874187
2019-11-27 17:03:07,A21C4C,ENY3522,,,,,129.0,268.67,-896.0,GS,1574874187
2019-11-27 17:03:09,A21C4C,ENY3522,41.9838,-87.76403,3000.0,,,,,,1574874189
2019-11-27 17:03:12,A21C4C,ENY3522,41.9838,-87.7664,2975.0,,,,,,1574874192
2019-11-27 17:03:13,A21C4C,ENY3522,41.98379,-87.76728,2950.0,,,,,,1574874193
2019-11-27 17:03:14,A21C4C,ENY3522,41.9838,-87.76803000000001,2925.0,,,,,,1574874194
2019-11-27 17:03:14,A21C4C,ENY3522,,,,,131.0,270.44,-768.0,GS,1574874194
2019-11-27 17:03:18,A21C4C,ENY3522,,,,,131.0,270.0,-512.0,GS,1574874198
2019-11-27 17:03:19,A21C4C,ENY3522,,,,,,,,,1574874199
2019-11-27 17:03:22,A21C4C,ENY3522,,,,,130.0,270.0,-896.0,GS,1574874202
2019-11-27 17:03:23,A21C4C,ENY3522,41.98384,-87.77526999999999,2825.0,,,,,,1574874203
2019-11-27 17:03:24,A21C4C,ENY3522,,,,,130.0,270.0,-896.0,GS,1574874204
2019-11-27 17:03:24,A21C4C,ENY3522,41.98383,-87.77578000000001,2825.0,,,,,,1574874204
2019-11-27 17:03:40,A21C4C,ENY3522,41.98389,-87.78894,2600.0,,,,,,1574874220
2019-11-27 17:03:47,A21C4C,ENY3522,,,,,122.0,269.06,-768.0,GS,1574874227
2019-11-27 17:04:01,A21C4C,ENY3522,41.98388,-87.80459,2350.0,,,,,,1574874241
2019-11-27 17:06:25,A21C4C,ENY3522,,,,,63.0,270.0,-128.0,GS,1574874385
2019-11-27 17:06:30,A21C4C,ENY3522,41.98389,-87.90467,1025.0,,,,,,1574874390
2019-11-27 17:06:31,A21C4C,ENY3522,,,,,50.0,270.0,-64.0,GS,1574874391
2019-11-27 17:06:31,A21C4C,ENY3522,41.98388,-87.90493000000001,1025.0,,,,,,1574874391
2019-11-27 17:06:34,A21C4C,ENY3522,41.98388,-87.90564,1025.0,,,,,,1574874394
2019-11-27 17:06:34,A21C4C,ENY3522,,,,,45.0,268.73,-64.0,GS,1574874394
2019-11-27 17:06:34,A21C4C,ENY3522,,,,,45.0,268.73,0.0,GS,1574874394
2019-11-27 17:06:34,A21C4C,ENY3522,,,,,,,,,1574874394
2019-11-27 17:06:36,A21C4C,ENY3522,41.98388,-87.90615,1025.0,,,,,,1574874396
2019-11-27 17:06:36,A21C4C,ENY3522,,,,,43.0,267.34,-64.0,GS,1574874396
2019-11-27 17:06:39,A21C4C,ENY3522,,,,,,,,,1574874399
2019-11-27 17:06:41,A21C4C,ENY3522,,,,,32.0,259.38,-64.0,GS,1574874401
2019-11-27 17:06:42,A21C4C,ENY3522,,,,,32.0,255.53,0.0,GS,1574874402
2019-11-27 17:06:43,A21C4C,ENY3522,,,,,29.0,252.18,0.0,GS,1574874403
2019-11-27 17:06:44,A21C4C,ENY3522,,,,,29.0,252.18,0.0,GS,1574874404
2019-11-27 17:06:44,A21C4C,ENY3522,41.98369,-87.90786999999999,1025.0,,,,,,1574874404
2019-11-27 17:06:44,A21C4C,ENY3522,,,,,29.0,250.35,0.0,GS,1574874404
2019-11-27 17:06:44,A21C4C,ENY3522,,,,,,,,,1574874404
2019-11-27 17:06:46,A21C4C,ENY3522,41.9836,-87.90819,1025.0,,,,,,1574874406
2019-11-27 17:06:46,A21C4C,ENY3522,41.98355,-87.90825,1025.0,,,,,,1574874406
