received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:04,A29DEE,,,,,,369.0,41.93,64.0,GS,1574871604
2019-11-27 16:20:13,A29DEE,,,,,,371.0,41.94,-256.0,GS,1574871613
2019-11-27 16:20:23,A29DEE,,,,,,372.0,41.74,-1344.0,GS,1574871623
2019-11-27 16:20:27,A29DEE,,,,,,371.0,41.62,-1280.0,GS,1574871627
2019-11-27 16:20:28,A29DEE,,,,,,371.0,41.62,-1280.0,GS,1574871628
2019-11-27 16:20:33,A29DEE,,41.64284,-88.28728000000001,12075.0,,,,,,1574871633
2019-11-27 16:20:34,A29DEE,,41.64413,-88.28576,12050.0,,,,,,1574871634
2019-11-27 16:20:35,A29DEE,,,,,,371.0,41.72,-1280.0,GS,1574871635
2019-11-27 16:20:36,A29DEE,,,,,,371.0,41.72,-1280.0,GS,1574871636
2019-11-27 16:20:37,A29DEE,,,,,,371.0,41.72,-1280.0,GS,1574871637
2019-11-27 16:20:42,A29DEE,,41.6542,-88.27374,11875.0,,,,,,1574871642
2019-11-27 16:20:42,A29DEE,,,,,,,,,,1574871642
2019-11-27 16:20:42,A29DEE,ENY3762,41.6548,-88.27304000000001,11875.0,,,,,,1574871642
2019-11-27 16:20:43,A29DEE,ENY3762,41.65549,-88.27221,11850.0,,,,,,1574871643
2019-11-27 16:20:43,A29DEE,ENY3762,41.6568,-88.27074,11850.0,,,,,,1574871643
2019-11-27 16:20:44,A29DEE,ENY3762,,,,,370.0,41.61,-1344.0,GS,1574871644
2019-11-27 16:20:44,A29DEE,ENY3762,41.65783,-88.26953,11825.0,,,,,,1574871644
2019-11-27 16:20:45,A29DEE,ENY3762,,,,,370.0,41.61,-1344.0,GS,1574871645
2019-11-27 16:20:46,A29DEE,ENY3762,,,,,370.0,41.61,-1344.0,GS,1574871646
2019-11-27 16:20:49,A29DEE,ENY3762,,,,,369.0,41.71,-1280.0,GS,1574871649
2019-11-27 16:20:50,A29DEE,ENY3762,41.66473,-88.26129,11700.0,,,,,,1574871650
2019-11-27 16:20:51,A29DEE,ENY3762,,,,,369.0,41.71,-1280.0,GS,1574871651
2019-11-27 16:20:51,A29DEE,ENY3762,41.66602,-88.25975,11675.0,,,,,,1574871651
2019-11-27 16:20:52,A29DEE,ENY3762,41.6676,-88.2579,11650.0,,,,,,1574871652
2019-11-27 16:20:53,A29DEE,ENY3762,,,,,369.0,41.71,-1280.0,GS,1574871653
2019-11-27 16:20:54,A29DEE,ENY3762,41.67055,-88.25442,11600.0,,,,,,1574871654
2019-11-27 16:20:57,A29DEE,ENY3762,,,,,369.0,41.71,-1280.0,GS,1574871657
2019-11-27 16:20:58,A29DEE,ENY3762,41.67563,-88.2483,11525.0,,,,,,1574871658
2019-11-27 16:21:49,A29DEE,ENY3762,,,,,372.0,41.74,64.0,GS,1574871709
2019-11-27 16:22:33,A29DEE,ENY3762,,,,,329.0,40.21,0.0,GS,1574871753
2019-11-27 16:22:34,A29DEE,ENY3762,41.79586,-88.10499,11425.0,,,,,,1574871754
2019-11-27 16:22:38,A29DEE,ENY3762,41.80042,-88.10018000000001,11450.0,,,,,,1574871758
2019-11-27 16:22:46,A29DEE,ENY3762,,,,,306.0,34.62,-128.0,GS,1574871766
2019-11-27 16:22:49,A29DEE,ENY3762,,,,,304.0,34.42,-64.0,GS,1574871769
2019-11-27 16:22:49,A29DEE,ENY3762,41.81355,-88.0878,11425.0,,,,,,1574871769
2019-11-27 16:22:50,A29DEE,ENY3762,,,,,302.0,34.22,-64.0,GS,1574871770
2019-11-27 16:23:04,A29DEE,ENY3762,41.8303,-88.07267,11425.0,,,,,,1574871784
2019-11-27 16:23:09,A29DEE,ENY3762,,,,,280.0,34.09,0.0,GS,1574871789
2019-11-27 16:23:12,A29DEE,ENY3762,,,,,277.0,34.26,64.0,GS,1574871792
2019-11-27 16:23:15,A29DEE,ENY3762,41.84189,-88.06215999999999,11425.0,,,,,,1574871795
2019-11-27 16:23:19,A29DEE,ENY3762,41.84637,-88.05798,11425.0,,,,,,1574871799
2019-11-27 16:23:32,A29DEE,ENY3762,,,,,255.0,27.47,-384.0,GS,1574871812
2019-11-27 16:23:33,A29DEE,ENY3762,41.8607,-88.04674,11425.0,,,,,,1574871813
2019-11-27 16:23:39,A29DEE,ENY3762,41.8675,-88.0422,11300.0,,,,,,1574871819
2019-11-27 16:23:41,A29DEE,ENY3762,,,,,254.0,26.06,-1024.0,GS,1574871821
2019-11-27 16:23:41,A29DEE,ENY3762,41.868990000000004,-88.04125,11275.0,,,,,,1574871821
2019-11-27 16:23:44,A29DEE,ENY3762,41.87247,-88.039,11225.0,,,,,,1574871824
2019-11-27 16:23:45,A29DEE,ENY3762,,,,,254.0,25.56,-1024.0,GS,1574871825
2019-11-27 16:23:47,A29DEE,ENY3762,,,,,254.0,25.36,-1024.0,GS,1574871827
2019-11-27 16:23:48,A29DEE,ENY3762,,,,,254.0,25.36,-1024.0,GS,1574871828
2019-11-27 16:23:49,A29DEE,ENY3762,41.87737,-88.03594,11150.0,,,,,,1574871829
2019-11-27 16:23:51,A29DEE,ENY3762,41.879979999999996,-88.03428000000001,11100.0,,,,,,1574871831
2019-11-27 16:23:52,A29DEE,ENY3762,,,,,253.0,24.95,-1024.0,GS,1574871832
2019-11-27 16:23:55,A29DEE,ENY3762,41.88405,-88.03175999999999,11050.0,,,,,,1574871835
2019-11-27 16:23:56,A29DEE,ENY3762,41.88501,-88.03114000000001,11025.0,,,,,,1574871836
2019-11-27 16:23:57,A29DEE,ENY3762,,,,,252.0,24.84,-1024.0,GS,1574871837
2019-11-27 16:24:00,A29DEE,ENY3762,,,,,251.0,24.63,-1024.0,GS,1574871840
2019-11-27 16:24:03,A29DEE,ENY3762,,,,,251.0,24.43,-1024.0,GS,1574871843
2019-11-27 16:24:03,A29DEE,ENY3762,41.89229,-88.02671,10900.0,,,,,,1574871843
