received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:56,A2A7B5,,41.632090000000005,-86.74639,12450.0,,,,,,1574871656
2019-11-27 16:20:58,A2A7B5,,,,,,,,,,1574871658
2019-11-27 16:21:05,A2A7B5,ENY4177,,,,,262.0,304.9,-64.0,GS,1574871665
2019-11-27 16:21:19,A2A7B5,ENY4177,41.64819,-86.77545,12450.0,,,,,,1574871679
2019-11-27 16:30:33,A2A7B5,ENY4177,41.965070000000004,-87.22464000000001,7425.0,,,,,,1574872233
2019-11-27 16:35:34,A2A7B5,ENY4177,,,,,149.0,270.0,128.0,GS,1574872534
2019-11-27 16:35:53,A2A7B5,ENY4177,,,,,145.0,270.4,128.0,GS,1574872553
2019-11-27 16:36:03,A2A7B5,ENY4177,,,,,145.0,270.79,64.0,GS,1574872563
2019-11-27 16:36:12,A2A7B5,ENY4177,41.96581,-87.56926999999999,5450.0,,,,,,1574872572
2019-11-27 16:36:15,A2A7B5,ENY4177,,,,,142.0,270.81,-192.0,GS,1574872575
2019-11-27 16:36:24,A2A7B5,ENY4177,,,,,143.0,270.0,-64.0,GS,1574872584
2019-11-27 16:36:25,A2A7B5,ENY4177,41.96586,-87.58128,5450.0,,,,,,1574872585
2019-11-27 16:36:26,A2A7B5,ENY4177,,,,,144.0,270.0,-192.0,GS,1574872586
2019-11-27 16:36:26,A2A7B5,ENY4177,41.96586,-87.58237,5425.0,,,,,,1574872586
2019-11-27 16:36:28,A2A7B5,ENY4177,41.96585,-87.58400999999999,5425.0,,,,,,1574872588
2019-11-27 16:36:29,A2A7B5,ENY4177,41.96586,-87.58492,5425.0,,,,,,1574872589
2019-11-27 16:36:32,A2A7B5,ENY4177,,,,,146.0,269.61,64.0,GS,1574872592
2019-11-27 16:36:32,A2A7B5,ENY4177,41.96585,-87.58769000000001,5425.0,,,,,,1574872592
2019-11-27 16:36:33,A2A7B5,ENY4177,,,,,146.0,269.61,64.0,GS,1574872593
2019-11-27 16:36:36,A2A7B5,ENY4177,,,,,146.0,269.61,-64.0,GS,1574872596
2019-11-27 16:36:36,A2A7B5,ENY4177,41.96585,-87.59137,5425.0,,,,,,1574872596
2019-11-27 16:36:37,A2A7B5,ENY4177,41.96585,-87.59218,5425.0,,,,,,1574872597
2019-11-27 16:36:45,A2A7B5,ENY4177,,,,,142.0,270.0,-448.0,GS,1574872605
2019-11-27 16:36:46,A2A7B5,ENY4177,41.96582,-87.60025,5375.0,,,,,,1574872606
2019-11-27 16:36:54,A2A7B5,ENY4177,41.96582,-87.60728,5300.0,,,,,,1574872614
2019-11-27 16:36:58,A2A7B5,ENY4177,,,,,139.0,270.0,-704.0,GS,1574872618
2019-11-27 16:36:58,A2A7B5,ENY4177,,,,,,,,,1574872618
2019-11-27 16:36:59,A2A7B5,ENY4177,,,,,139.0,270.0,-704.0,GS,1574872619
2019-11-27 16:37:01,A2A7B5,ENY4177,41.96577,-87.61328,5225.0,,,,,,1574872621
2019-11-27 16:37:04,A2A7B5,ENY4177,41.96577,-87.61584,5200.0,,,,,,1574872624
2019-11-27 16:37:05,A2A7B5,ENY4177,41.96581,-87.61628,5200.0,,,,,,1574872625
2019-11-27 16:37:20,A2A7B5,ENY4177,,,,,136.0,269.58,-640.0,GS,1574872640
2019-11-27 16:37:21,A2A7B5,ENY4177,41.96582,-87.62964000000001,5025.0,,,,,,1574872641
2019-11-27 16:37:22,A2A7B5,ENY4177,41.96582,-87.63072,5000.0,,,,,,1574872642
2019-11-27 16:37:23,A2A7B5,ENY4177,,,,,135.0,270.42,-704.0,GS,1574872643
2019-11-27 16:37:23,A2A7B5,ENY4177,,,,,135.0,270.42,-704.0,GS,1574872643
2019-11-27 16:37:28,A2A7B5,ENY4177,,,,,135.0,270.0,-704.0,GS,1574872648
2019-11-27 16:37:31,A2A7B5,ENY4177,,,,,134.0,270.43,-832.0,GS,1574872651
2019-11-27 16:37:33,A2A7B5,ENY4177,41.96582,-87.64018,4875.0,,,,,,1574872653
2019-11-27 16:37:36,A2A7B5,ENY4177,41.96585,-87.64268,4850.0,,,,,,1574872656
2019-11-27 16:37:38,A2A7B5,ENY4177,,,,,133.0,270.0,-768.0,GS,1574872658
2019-11-27 16:37:45,A2A7B5,ENY4177,41.9659,-87.64974000000001,4725.0,,,,,,1574872665
2019-11-27 16:37:46,A2A7B5,ENY4177,,,,,131.0,270.44,-768.0,GS,1574872666
2019-11-27 16:37:46,A2A7B5,ENY4177,,,,,132.0,270.0,-704.0,GS,1574872666
2019-11-27 16:37:46,A2A7B5,ENY4177,41.9659,-87.65099000000001,4700.0,,,,,,1574872666
2019-11-27 16:37:47,A2A7B5,ENY4177,,,,,131.0,270.0,-704.0,GS,1574872667
2019-11-27 16:37:48,A2A7B5,ENY4177,,,,,,,,,1574872668
2019-11-27 16:37:50,A2A7B5,ENY4177,,,,,132.0,270.43,-768.0,GS,1574872670
2019-11-27 16:37:50,A2A7B5,ENY4177,41.96591,-87.65416,4675.0,,,,,,1574872670
2019-11-27 16:37:51,A2A7B5,ENY4177,,,,,132.0,270.43,-832.0,GS,1574872671
2019-11-27 16:37:52,A2A7B5,ENY4177,41.96591,-87.65544,4650.0,,,,,,1574872672
2019-11-27 16:37:53,A2A7B5,ENY4177,,,,,132.0,269.57,-768.0,GS,1574872673
2019-11-27 16:37:53,A2A7B5,ENY4177,,,,,,,,,1574872673
2019-11-27 16:37:55,A2A7B5,ENY4177,,,,,132.0,269.57,-704.0,GS,1574872675
2019-11-27 16:37:56,A2A7B5,ENY4177,41.96586,-87.65915,4600.0,,,,,,1574872676
