received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:16:41,A36851,,42.38218,-88.68413000000001,11375.0,,,,,,1574875001
2019-11-27 17:16:42,A36851,,42.382,-88.68276,11375.0,,,,,,1574875002
2019-11-27 17:16:49,A36851,,42.37957,-88.66401,11375.0,,,,,,1574875009
2019-11-27 17:16:50,A36851,,42.37939,-88.66273000000001,11375.0,,,,,,1574875010
2019-11-27 17:16:56,A36851,,,,,,409.0,99.85,0.0,GS,1574875016
2019-11-27 17:19:46,A36851,,,,,,399.0,137.64,0.0,GS,1574875186
2019-11-27 17:19:51,A36851,,42.251909999999995,-88.25723,11400.0,,,,,,1574875191
2019-11-27 17:19:52,A36851,,42.25058,-88.25555,11400.0,,,,,,1574875192
2019-11-27 17:19:56,A36851,,,,,,398.0,137.34,0.0,GS,1574875196
2019-11-27 17:20:00,A36851,,,,,,399.0,137.23,64.0,GS,1574875200
2019-11-27 17:20:22,A36851,,42.20984,-88.20492,11400.0,,,,,,1574875222
2019-11-27 17:20:23,A36851,,,,,,400.0,137.23,-64.0,GS,1574875223
2019-11-27 17:21:12,A36851,,,,,,372.0,136.74,0.0,GS,1574875272
2019-11-27 17:21:20,A36851,,42.13345,-88.10895,11375.0,,,,,,1574875280
2019-11-27 17:21:24,A36851,,,,,,357.0,136.81,-256.0,GS,1574875284
2019-11-27 17:21:25,A36851,,42.12703,-88.10086,11350.0,,,,,,1574875285
2019-11-27 17:21:25,A36851,,,,,,356.0,136.82,-448.0,GS,1574875285
2019-11-27 17:21:28,A36851,,42.12332,-88.09618,11325.0,,,,,,1574875288
2019-11-27 17:21:29,A36851,,42.12209,-88.09464,11300.0,,,,,,1574875289
2019-11-27 17:21:30,A36851,,42.12084,-88.09304,11275.0,,,,,,1574875290
2019-11-27 17:21:33,A36851,,,,,,351.0,136.96,-1664.0,GS,1574875293
2019-11-27 17:21:53,A36851,,,,,,344.0,137.47,-1280.0,GS,1574875313
2019-11-27 17:22:06,A36851,,42.078829999999996,-88.04113000000001,10550.0,,,,,,1574875326
2019-11-27 17:22:13,A36851,,42.07065,-88.03102,10375.0,,,,,,1574875333
2019-11-27 17:22:13,A36851,,,,,,338.0,137.4,-1344.0,GS,1574875333
2019-11-27 17:22:14,A36851,,42.069309999999994,-88.02933,10350.0,,,,,,1574875334
2019-11-27 17:22:21,A36851,,,,,,336.0,137.41,-1152.0,GS,1574875341
2019-11-27 17:22:22,A36851,,42.06006,-88.0179,10200.0,,,,,,1574875342
2019-11-27 17:22:24,A36851,,42.057809999999996,-88.01512,10150.0,,,,,,1574875344
2019-11-27 17:22:25,A36851,,42.05729,-88.01454,10150.0,,,,,,1574875345
2019-11-27 17:22:28,A36851,,,,,,334.0,137.43,-1152.0,GS,1574875348
2019-11-27 17:22:48,A36851,,,,,,329.0,137.34,-1216.0,GS,1574875368
2019-11-27 17:22:52,A36851,,42.02657,-87.9766,9575.0,,,,,,1574875372
2019-11-27 17:22:56,A36851,,42.022290000000005,-87.9714,9500.0,,,,,,1574875376
2019-11-27 17:23:05,A36851,,42.01222,-87.95898000000001,9300.0,,,,,,1574875385
2019-11-27 17:23:06,A36851,,,,,,323.0,137.63,-1280.0,GS,1574875386
2019-11-27 17:23:11,A36851,,,,,,322.0,137.64,-1408.0,GS,1574875391
2019-11-27 17:23:12,A36851,,42.00455,-87.94964,9150.0,,,,,,1574875392
2019-11-27 17:23:13,A36851,,42.0033,-87.94805,9125.0,,,,,,1574875393
2019-11-27 17:23:15,A36851,,,,,,321.0,137.77,-1600.0,GS,1574875395
2019-11-27 17:23:16,A36851,,42.00023,-87.94431,9050.0,,,,,,1574875396
2019-11-27 17:23:18,A36851,,41.997890000000005,-87.94153,8975.0,,,,,,1574875398
2019-11-27 17:23:18,A36851,,,,,,321.0,137.77,-1664.0,GS,1574875398
2019-11-27 17:23:20,A36851,,41.9957,-87.93885,8925.0,,,,,,1574875400
2019-11-27 17:23:21,A36851,,41.99478,-87.93769,8900.0,,,,,,1574875401
2019-11-27 17:23:21,A36851,,,,,,321.0,137.77,-1728.0,GS,1574875401
2019-11-27 17:23:22,A36851,,41.99345,-87.93613,8875.0,,,,,,1574875402
2019-11-27 17:23:26,A36851,,,,,,321.0,137.77,-1600.0,GS,1574875406
2019-11-27 17:23:26,A36851,,41.98874,-87.93033,8750.0,,,,,,1574875406
2019-11-27 17:23:27,A36851,,,,,,321.0,137.77,-1600.0,GS,1574875407
2019-11-27 17:23:27,A36851,,41.9877,-87.92914,8725.0,,,,,,1574875407
2019-11-27 17:23:28,A36851,,41.9865,-87.92764,8700.0,,,,,,1574875408
2019-11-27 17:23:30,A36851,,,,,,321.0,137.77,-1472.0,GS,1574875410
2019-11-27 17:23:31,A36851,,,,,,321.0,137.77,-1536.0,GS,1574875411
2019-11-27 17:23:31,A36851,,41.983059999999995,-87.92345999999999,8625.0,,,,,,1574875411
2019-11-27 17:23:32,A36851,,,,,,321.0,137.77,-1536.0,GS,1574875412
2019-11-27 17:23:33,A36851,,,,,,321.0,137.77,-1536.0,GS,1574875413
2019-11-27 17:23:35,A36851,,,,,,321.0,137.77,-1536.0,GS,1574875415
2019-11-27 17:23:36,A36851,,,,,,321.0,137.77,-1536.0,GS,1574875416
2019-11-27 17:23:38,A36851,,,,,,320.0,137.91,-1472.0,GS,1574875418
2019-11-27 17:23:39,A36851,,,,,,320.0,137.91,-1408.0,GS,1574875419
2019-11-27 17:23:41,A36851,,41.972809999999996,-87.91096999999999,8375.0,,,,,,1574875421
2019-11-27 17:23:41,A36851,,,,,,320.0,137.91,-1280.0,GS,1574875421
2019-11-27 17:23:44,A36851,,,,,,319.0,137.79,-1088.0,GS,1574875424
2019-11-27 17:23:45,A36851,,41.96823,-87.90541999999999,8300.0,,,,,,1574875425
2019-11-27 17:23:45,A36851,,,,,,319.0,137.79,-1088.0,GS,1574875425
2019-11-27 17:23:46,A36851,,41.96713,-87.90411,8275.0,,,,,,1574875426
2019-11-27 17:23:46,A36851,,41.96624,-87.90302,8275.0,,,,,,1574875426
2019-11-27 17:23:48,A36851,,41.96512,-87.90160999999999,8250.0,,,,,,1574875428
2019-11-27 17:23:48,A36851,,,,,,318.0,137.54,-1088.0,GS,1574875428
2019-11-27 17:23:49,A36851,,,,,,318.0,137.54,-1152.0,GS,1574875429
2019-11-27 17:23:49,A36851,,41.96315,-87.89918,8225.0,,,,,,1574875429
2019-11-27 17:23:50,A36851,,41.962140000000005,-87.89793,8200.0,,,,,,1574875430
2019-11-27 17:23:51,A36851,,,,,,317.0,137.42,-1280.0,GS,1574875431
2019-11-27 17:23:52,A36851,,,,,,317.0,137.42,-1344.0,GS,1574875432
2019-11-27 17:23:52,A36851,,41.959990000000005,-87.89524,8150.0,,,,,,1574875432
2019-11-27 17:23:53,A36851,,,,,,317.0,137.3,-1344.0,GS,1574875433
2019-11-27 17:23:53,A36851,,41.958940000000005,-87.89399999999999,8125.0,,,,,,1574875433
2019-11-27 17:23:54,A36851,,,,,,317.0,137.3,-1408.0,GS,1574875434
