received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:22:36,A3F1CD,,41.61384,-86.70908,13425.0,,,,,,1574871756
2019-11-27 16:22:57,A3F1CD,,41.63111,-86.74280999999999,12975.0,,,,,,1574871777
2019-11-27 16:25:12,A3F1CD,,41.801629999999996,-86.81524,12200.0,,,,,,1574871912
2019-11-27 16:26:03,A3F1CD,,,,,,274.0,331.94,-128.0,GS,1574871963
2019-11-27 16:26:27,A3F1CD,,,,,,265.0,319.89,-1024.0,GS,1574871987
2019-11-27 16:26:28,A3F1CD,,,,,,265.0,319.89,-1024.0,GS,1574871988
2019-11-27 16:26:34,A3F1CD,,,,,,264.0,319.92,-1024.0,GS,1574871994
2019-11-27 16:29:22,A3F1CD,,41.9696,-87.10429,10225.0,,,,,,1574872162
2019-11-27 16:32:14,A3F1CD,,41.9827,-87.35117,8175.0,,,,,,1574872334
2019-11-27 16:32:44,A3F1CD,,41.9827,-87.38413,7900.0,,,,,,1574872364
2019-11-27 16:33:18,A3F1CD,,41.98281,-87.41686999999999,7600.0,,,,,,1574872398
2019-11-27 16:33:33,A3F1CD,,44.92463,-87.66447,,1427.1654,,,,,1574872413
2019-11-27 16:33:43,A3F1CD,,,,,,130.0,270.44,-192.0,GS,1574872423
2019-11-27 16:33:43,A3F1CD,,,,,,,,,,1574872423
2019-11-27 16:34:07,A3F1CD,N353V,41.98295,-87.45769,7400.0,,,,,,1574872447
2019-11-27 16:34:09,A3F1CD,N353V,41.98295,-87.45896,7400.0,,,,,,1574872449
2019-11-27 16:34:09,A3F1CD,N353V,41.98297,-87.45940999999999,7400.0,,,,,,1574872449
2019-11-27 16:34:16,A3F1CD,N353V,41.982929999999996,-87.46466,7400.0,,,,,,1574872456
2019-11-27 16:34:48,A3F1CD,N353V,,,,,140.0,270.82,-128.0,GS,1574872488
2019-11-27 16:34:55,A3F1CD,N353V,,,,,142.0,270.81,-320.0,GS,1574872495
2019-11-27 16:34:59,A3F1CD,N353V,41.98325,-87.50223000000001,7225.0,,,,,,1574872499
2019-11-27 16:35:01,A3F1CD,N353V,,,,,141.0,270.41,-448.0,GS,1574872501
2019-11-27 16:35:05,A3F1CD,N353V,41.983290000000004,-87.5071,7200.0,,,,,,1574872505
2019-11-27 16:35:07,A3F1CD,N353V,,,,,140.0,270.41,-576.0,GS,1574872507
2019-11-27 16:35:08,A3F1CD,N353V,,,,,140.0,270.0,-640.0,GS,1574872508
2019-11-27 16:35:16,A3F1CD,N353V,,,,,140.0,269.59,-768.0,GS,1574872516
2019-11-27 16:35:16,A3F1CD,N353V,41.983290000000004,-87.51703,7075.0,,,,,,1574872516
2019-11-27 16:35:17,A3F1CD,N353V,,,,,140.0,269.59,-768.0,GS,1574872517
2019-11-27 16:35:21,A3F1CD,N353V,41.98328,-87.52136999999999,7000.0,,,,,,1574872521
2019-11-27 16:35:29,A3F1CD,N353V,41.98325,-87.52826,6875.0,,,,,,1574872529
2019-11-27 16:35:32,A3F1CD,N353V,,,,,142.0,269.6,-1088.0,GS,1574872532
2019-11-27 16:35:32,A3F1CD,N353V,41.98325,-87.53113,6825.0,,,,,,1574872532
2019-11-27 16:35:49,A3F1CD,N353V,,,,,139.0,270.41,-1088.0,GS,1574872549
2019-11-27 16:35:49,A3F1CD,N353V,41.98323,-87.54571,6500.0,,,,,,1574872549
2019-11-27 16:35:53,A3F1CD,N353V,,,,,140.0,270.41,-1088.0,GS,1574872553
2019-11-27 16:35:54,A3F1CD,N353V,41.98325,-87.55011,6425.0,,,,,,1574872554
2019-11-27 16:36:04,A3F1CD,N353V,,,,,138.0,270.42,-960.0,GS,1574872564
2019-11-27 16:36:04,A3F1CD,N353V,41.983290000000004,-87.55879,6225.0,,,,,,1574872564
2019-11-27 16:36:08,A3F1CD,N353V,41.983290000000004,-87.56191,6175.0,,,,,,1574872568
2019-11-27 16:36:27,A3F1CD,N353V,,,,,136.0,270.42,-768.0,GS,1574872587
2019-11-27 16:36:27,A3F1CD,N353V,41.98337,-87.57822,5925.0,,,,,,1574872587
2019-11-27 16:36:28,A3F1CD,N353V,,,,,,,,,1574872588
2019-11-27 16:36:42,A3F1CD,N353V,41.98343,-87.58994,5750.0,,,,,,1574872602
2019-11-27 16:36:46,A3F1CD,N353V,,,,,135.0,270.0,-640.0,GS,1574872606
2019-11-27 16:36:47,A3F1CD,N353V,41.98341,-87.59489,5700.0,,,,,,1574872607
2019-11-27 16:36:48,A3F1CD,N353V,41.98341,-87.59559,5675.0,,,,,,1574872608
2019-11-27 16:36:54,A3F1CD,N353V,,,,,136.0,270.0,-704.0,GS,1574872614
2019-11-27 16:37:04,A3F1CD,N353V,41.98343,-87.60916,5500.0,,,,,,1574872624
2019-11-27 16:37:15,A3F1CD,N353V,,,,,130.0,270.0,-832.0,GS,1574872635
2019-11-27 16:37:18,A3F1CD,N353V,,,,,128.0,270.45,-832.0,GS,1574872638
2019-11-27 16:37:20,A3F1CD,N353V,,,,,128.0,270.45,-704.0,GS,1574872640
2019-11-27 16:38:37,A3F1CD,N353V,,,,,122.0,269.06,-768.0,GS,1574872717
2019-11-27 16:38:40,A3F1CD,N353V,,,,,122.0,269.06,-640.0,GS,1574872720
2019-11-27 16:38:50,A3F1CD,N353V,,,,,123.0,270.0,-640.0,GS,1574872730
2019-11-27 16:40:09,A3F1CD,N353V,41.9838,-87.75448,3200.0,,,,,,1574872809
2019-11-27 16:40:16,A3F1CD,N353V,,,,,127.0,270.0,-704.0,GS,1574872816
2019-11-27 16:40:23,A3F1CD,N353V,,,,,129.0,270.0,-576.0,GS,1574872823
2019-11-27 16:40:29,A3F1CD,N353V,41.98384,-87.76971,2975.0,,,,,,1574872829
2019-11-27 16:40:53,A3F1CD,N353V,41.98384,-87.78894,2675.0,,,,,,1574872853
2019-11-27 16:40:54,A3F1CD,N353V,41.98384,-87.79061999999999,2650.0,,,,,,1574872854
2019-11-27 16:40:56,A3F1CD,N353V,,,,,132.0,269.57,-576.0,GS,1574872856
2019-11-27 16:41:12,A3F1CD,N353V,,,,,134.0,270.0,-640.0,GS,1574872872
2019-11-27 16:41:17,A3F1CD,N353V,41.98383,-87.80887,2350.0,,,,,,1574872877
2019-11-27 16:41:48,A3F1CD,N353V,41.98388,-87.83282,2000.0,,,,,,1574872908
2019-11-27 16:41:52,A3F1CD,N353V,41.98388,-87.83563000000001,1975.0,,,,,,1574872912
2019-11-27 16:43:45,A3F1CD,N353V,,,,,49.0,270.0,0.0,GS,1574873025
2019-11-27 16:43:46,A3F1CD,N353V,,,,,,,,,1574873026
2019-11-27 16:43:49,A3F1CD,N353V,41.983909999999995,-87.9059,,,,,,,1574873029
2019-11-27 16:43:49,A3F1CD,N353V,41.983909999999995,-87.90604,,,,,,,1574873029
2019-11-27 16:43:50,A3F1CD,N353V,41.9839,-87.90618,,,,,,,1574873030
2019-11-27 16:43:51,A3F1CD,N353V,,,,,,,,,1574873031
2019-11-27 16:43:51,A3F1CD,N353V,41.9839,-87.90654,,,,,,,1574873031
2019-11-27 16:43:54,A3F1CD,N353V,41.9839,-87.90711999999999,,,,,,,1574873034
2019-11-27 16:43:55,A3F1CD,N353V,41.9839,-87.90731,,,,,,,1574873035
2019-11-27 16:43:56,A3F1CD,N353V,41.9839,-87.90751,,,,,,,1574873036
2019-11-27 16:44:02,A3F1CD,N353V,41.98393,-87.90831999999999,,,,,,,1574873042
2019-11-27 16:44:21,A3F1CD,N353V,41.98502,-87.90859,,,,,,,1574873061
2019-11-27 16:44:25,A3F1CD,N353V,,,,,,,,,1574873065
2019-11-27 16:44:26,A3F1CD,N353V,41.98537,-87.90859,,,,,,,1574873066
2019-11-27 16:44:30,A3F1CD,N353V,41.98561,-87.90857,,,,,,,1574873070
2019-11-27 16:44:38,A3F1CD,N353V,41.98622,-87.90841,,,,,,,1574873078
2019-11-27 16:44:39,A3F1CD,N353V,41.9863,-87.90838000000001,,,,,,,1574873079
2019-11-27 16:44:41,A3F1CD,N353V,41.98646,-87.90831,,,,,,,1574873081
2019-11-27 16:44:42,A3F1CD,N353V,41.986509999999996,-87.90829000000001,,,,,,,1574873082
2019-11-27 16:44:43,A3F1CD,N353V,41.98662,-87.90821,,,,,,,1574873083
2019-11-27 16:44:45,A3F1CD,N353V,41.98676,-87.90813,,,,,,,1574873085
2019-11-27 16:44:45,A3F1CD,N353V,,,,,,,,,1574873085
2019-11-27 16:44:46,A3F1CD,N353V,41.98684,-87.90809,,,,,,,1574873086
2019-11-27 16:44:48,A3F1CD,N353V,41.98702,-87.90793000000001,,,,,,,1574873088
2019-11-27 16:44:49,A3F1CD,N353V,41.9871,-87.90786999999999,,,,,,,1574873089
2019-11-27 16:44:50,A3F1CD,N353V,,,,,,,,,1574873090
2019-11-27 16:44:54,A3F1CD,N353V,41.98745,-87.90751999999999,,,,,,,1574873094
2019-11-27 16:44:57,A3F1CD,N353V,41.98767,-87.90728,,,,,,,1574873097
2019-11-27 16:44:59,A3F1CD,N353V,41.98788,-87.90706,,,,,,,1574873099
2019-11-27 16:45:07,A3F1CD,N353V,41.98854,-87.90634,,,,,,,1574873107
2019-11-27 16:45:11,A3F1CD,N353V,41.98891,-87.90592,,,,,,,1574873111
2019-11-27 16:45:11,A3F1CD,N353V,41.98896,-87.90587,,,,,,,1574873111
