received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:23:12,A43E5C,,41.982929999999996,-87.41453,7400.0,,,,,,1574875392
2019-11-27 17:23:42,A43E5C,,41.98288,-87.44187,7375.0,,,,,,1574875422
2019-11-27 17:23:49,A43E5C,,41.9829,-87.44855,7300.0,,,,,,1574875429
2019-11-27 17:23:53,A43E5C,,,,,,149.0,270.77,-832.0,GS,1574875433
2019-11-27 17:24:03,A43E5C,,41.983000000000004,-87.46114,7125.0,,,,,,1574875443
2019-11-27 17:24:13,A43E5C,,,,,,149.0,271.54,-768.0,GS,1574875453
2019-11-27 17:24:20,A43E5C,,,,,,,,,,1574875460
2019-11-27 17:24:21,A43E5C,UAL2406,,,,,148.0,271.16,-768.0,GS,1574875461
2019-11-27 17:24:22,A43E5C,UAL2406,41.98325,-87.47907,6875.0,,,,,,1574875462
2019-11-27 17:24:23,A43E5C,UAL2406,41.98325,-87.48007,6850.0,,,,,,1574875463
2019-11-27 17:24:24,A43E5C,UAL2406,,,,,148.0,270.77,-832.0,GS,1574875464
2019-11-27 17:24:27,A43E5C,UAL2406,41.98328,-87.48368,6800.0,,,,,,1574875467
2019-11-27 17:24:27,A43E5C,UAL2406,,,,,147.0,270.39,-768.0,GS,1574875467
2019-11-27 17:24:30,A43E5C,UAL2406,41.983290000000004,-87.48644,6775.0,,,,,,1574875470
2019-11-27 17:24:35,A43E5C,UAL2406,41.983340000000005,-87.49106,6700.0,,,,,,1574875475
2019-11-27 17:24:38,A43E5C,UAL2406,,,,,145.0,270.0,-768.0,GS,1574875478
2019-11-27 17:24:48,A43E5C,UAL2406,41.98332,-87.50259,6550.0,,,,,,1574875488
2019-11-27 17:24:49,A43E5C,UAL2406,41.983340000000005,-87.50341999999999,6525.0,,,,,,1574875489
2019-11-27 17:25:03,A43E5C,UAL2406,41.98343,-87.51553,6375.0,,,,,,1574875503
2019-11-27 17:25:09,A43E5C,UAL2406,,,,,139.0,270.0,-768.0,GS,1574875509
2019-11-27 17:25:12,A43E5C,UAL2406,,,,,138.0,270.0,-768.0,GS,1574875512
2019-11-27 17:25:13,A43E5C,UAL2406,,,,,138.0,270.0,-768.0,GS,1574875513
2019-11-27 17:25:14,A43E5C,UAL2406,,,,,138.0,270.0,-704.0,GS,1574875514
2019-11-27 17:25:18,A43E5C,UAL2406,41.98343,-87.52851,6200.0,,,,,,1574875518
2019-11-27 17:25:20,A43E5C,UAL2406,,,,,136.0,269.58,-640.0,GS,1574875520
2019-11-27 17:25:22,A43E5C,UAL2406,,,,,135.0,269.58,-640.0,GS,1574875522
2019-11-27 17:25:29,A43E5C,UAL2406,,,,,133.0,269.57,-768.0,GS,1574875529
2019-11-27 17:25:33,A43E5C,UAL2406,41.98337,-87.54149,6000.0,,,,,,1574875533
2019-11-27 17:25:37,A43E5C,UAL2406,,,,,130.0,270.0,-704.0,GS,1574875537
2019-11-27 17:25:38,A43E5C,UAL2406,41.98338,-87.54512,5950.0,,,,,,1574875538
2019-11-27 17:25:40,A43E5C,UAL2406,,,,,,,,,1574875540
2019-11-27 17:25:43,A43E5C,UAL2406,,,,,126.0,270.0,-576.0,GS,1574875543
2019-11-27 17:25:50,A43E5C,UAL2406,,,,,,,,,1574875550
2019-11-27 17:25:52,A43E5C,UAL2406,,,,,121.0,270.47,-640.0,GS,1574875552
2019-11-27 17:25:57,A43E5C,UAL2406,,,,,119.0,271.44,-640.0,GS,1574875557
2019-11-27 17:26:09,A43E5C,UAL2406,41.98361,-87.56815,5650.0,,,,,,1574875569
2019-11-27 17:26:14,A43E5C,UAL2406,,,,,116.0,270.0,-576.0,GS,1574875574
2019-11-27 17:26:17,A43E5C,UAL2406,41.9836,-87.57432,5550.0,,,,,,1574875577
2019-11-27 17:26:19,A43E5C,UAL2406,41.9836,-87.57566,5525.0,,,,,,1574875579
2019-11-27 17:26:20,A43E5C,UAL2406,,,,,,,,,1574875580
2019-11-27 17:26:22,A43E5C,UAL2406,,,,,116.0,270.0,-640.0,GS,1574875582
2019-11-27 17:26:25,A43E5C,UAL2406,,,,,116.0,270.0,-576.0,GS,1574875585
2019-11-27 17:26:26,A43E5C,UAL2406,41.9836,-87.58084000000001,5450.0,,,,,,1574875586
2019-11-27 17:26:27,A43E5C,UAL2406,,,,,117.0,269.51,-576.0,GS,1574875587
2019-11-27 17:26:30,A43E5C,UAL2406,41.98357,-87.58381999999999,5425.0,,,,,,1574875590
2019-11-27 17:26:32,A43E5C,UAL2406,,,,,117.0,269.51,-640.0,GS,1574875592
2019-11-27 17:26:34,A43E5C,UAL2406,,,,,117.0,269.51,-640.0,GS,1574875594
2019-11-27 17:26:37,A43E5C,UAL2406,41.98355,-87.58830999999999,5350.0,,,,,,1574875597
