received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:26:38,A4BF49,,41.76082,-86.80629,12450.0,,,,,,1574871998
2019-11-27 16:26:43,A4BF49,,,,,,290.0,354.47,0.0,GS,1574872003
2019-11-27 16:26:52,A4BF49,,,,,,287.0,351.81,-64.0,GS,1574872012
2019-11-27 16:27:04,A4BF49,,,,,,286.0,349.95,0.0,GS,1574872024
2019-11-27 16:27:19,A4BF49,,,,,,288.0,350.02,-832.0,GS,1574872039
2019-11-27 16:27:22,A4BF49,,,,,,288.0,350.02,-1152.0,GS,1574872042
2019-11-27 16:36:14,A4BF49,,41.98146,-87.38525,8425.0,,,,,,1574872574
2019-11-27 16:36:25,A4BF49,,41.981790000000004,-87.39546999999999,8425.0,,,,,,1574872585
2019-11-27 16:36:38,A4BF49,,41.98215,-87.40685,8400.0,,,,,,1574872598
2019-11-27 16:36:40,A4BF49,,,,,,142.0,272.42,0.0,GS,1574872600
2019-11-27 16:37:02,A4BF49,,41.9827,-87.42775999999999,8375.0,,,,,,1574872622
2019-11-27 16:37:15,A4BF49,,,,,,138.0,271.25,-896.0,GS,1574872635
2019-11-27 16:37:16,A4BF49,,,,,,138.0,271.25,-896.0,GS,1574872636
2019-11-27 16:37:19,A4BF49,,,,,,137.0,271.25,-896.0,GS,1574872639
2019-11-27 16:37:23,A4BF49,,41.98302,-87.44568000000001,8125.0,,,,,,1574872643
2019-11-27 16:37:25,A4BF49,,41.98304,-87.44771999999999,8075.0,,,,,,1574872645
2019-11-27 16:37:25,A4BF49,,,,,,134.0,271.28,-960.0,GS,1574872645
2019-11-27 16:37:37,A4BF49,,,,,,136.0,270.84,-896.0,GS,1574872657
2019-11-27 16:37:40,A4BF49,,41.98318,-87.4605,7850.0,,,,,,1574872660
2019-11-27 16:37:49,A4BF49,,41.98325,-87.46778,7725.0,,,,,,1574872669
2019-11-27 16:37:57,A4BF49,,41.983290000000004,-87.47483000000001,7600.0,,,,,,1574872677
2019-11-27 16:37:59,A4BF49,,41.983290000000004,-87.47608000000001,7575.0,,,,,,1574872679
2019-11-27 16:38:06,A4BF49,,,,,,140.0,270.41,-832.0,GS,1574872686
2019-11-27 16:38:10,A4BF49,,,,,,140.0,270.0,-768.0,GS,1574872690
2019-11-27 16:38:11,A4BF49,,41.98337,-87.48675,7400.0,,,,,,1574872691
2019-11-27 16:38:15,A4BF49,,41.983340000000005,-87.49031,7350.0,,,,,,1574872695
2019-11-27 16:38:16,A4BF49,,,,,,141.0,269.59,-768.0,GS,1574872696
2019-11-27 16:38:19,A4BF49,,,,,,141.0,269.59,-832.0,GS,1574872699
2019-11-27 16:38:24,A4BF49,,,,,,,,,,1574872704
2019-11-27 16:38:27,A4BF49,AWI3810,41.983290000000004,-87.50105,7200.0,,,,,,1574872707
2019-11-27 16:38:28,A4BF49,AWI3810,41.983290000000004,-87.50135999999999,7175.0,,,,,,1574872708
2019-11-27 16:38:35,A4BF49,AWI3810,,,,,,,,,1574872715
2019-11-27 16:38:36,A4BF49,AWI3810,41.98323,-87.50891,7050.0,,,,,,1574872716
2019-11-27 16:38:37,A4BF49,AWI3810,,,,,143.0,269.2,-896.0,GS,1574872717
2019-11-27 16:38:40,A4BF49,AWI3810,,,,,,,,,1574872720
2019-11-27 16:38:40,A4BF49,AWI3810,,,,,143.0,269.2,-896.0,GS,1574872720
2019-11-27 16:38:41,A4BF49,AWI3810,,,,,143.0,269.2,-832.0,GS,1574872721
2019-11-27 16:38:41,A4BF49,AWI3810,41.98315,-87.51359000000001,6975.0,,,,,,1574872721
2019-11-27 16:38:43,A4BF49,AWI3810,,,,,143.0,269.2,-832.0,GS,1574872723
2019-11-27 16:38:44,A4BF49,AWI3810,,,,,143.0,269.2,-832.0,GS,1574872724
2019-11-27 16:38:45,A4BF49,AWI3810,41.98314,-87.51651,6925.0,,,,,,1574872725
2019-11-27 16:38:46,A4BF49,AWI3810,41.983109999999996,-87.51753000000001,6925.0,,,,,,1574872726
2019-11-27 16:38:47,A4BF49,AWI3810,,,,,143.0,268.8,-960.0,GS,1574872727
2019-11-27 16:38:52,A4BF49,AWI3810,41.983000000000004,-87.52341,6825.0,,,,,,1574872732
2019-11-27 16:38:54,A4BF49,AWI3810,,,,,141.0,268.78,-896.0,GS,1574872734
2019-11-27 16:38:54,A4BF49,AWI3810,,,,,,,,,1574872734
2019-11-27 16:38:55,A4BF49,AWI3810,41.983000000000004,-87.52552,6775.0,,,,,,1574872735
2019-11-27 16:38:56,A4BF49,AWI3810,41.98297,-87.52645,6750.0,,,,,,1574872736
2019-11-27 16:38:56,A4BF49,AWI3810,41.98297,-87.52683,6750.0,,,,,,1574872736
2019-11-27 16:38:58,A4BF49,AWI3810,41.982929999999996,-87.5282,6725.0,,,,,,1574872738
2019-11-27 16:38:58,A4BF49,AWI3810,,,,,140.0,269.18,-832.0,GS,1574872738
2019-11-27 16:38:59,A4BF49,AWI3810,41.982929999999996,-87.52895,6725.0,,,,,,1574872739
2019-11-27 16:39:00,A4BF49,AWI3810,41.982929999999996,-87.52976,6700.0,,,,,,1574872740
2019-11-27 16:39:01,A4BF49,AWI3810,,,,,139.0,269.59,-768.0,GS,1574872741
2019-11-27 16:39:03,A4BF49,AWI3810,41.9829,-87.5328,6650.0,,,,,,1574872743
2019-11-27 16:39:04,A4BF49,AWI3810,,,,,,,,,1574872744
2019-11-27 16:39:06,A4BF49,AWI3810,,,,,139.0,269.59,-832.0,GS,1574872746
2019-11-27 16:39:06,A4BF49,AWI3810,41.9829,-87.53485,6625.0,,,,,,1574872746
2019-11-27 16:39:06,A4BF49,AWI3810,41.9829,-87.53536,6600.0,,,,,,1574872746
2019-11-27 16:39:09,A4BF49,AWI3810,,,,,139.0,269.59,-896.0,GS,1574872749
2019-11-27 16:39:10,A4BF49,AWI3810,41.9829,-87.53849,6550.0,,,,,,1574872750
2019-11-27 16:39:10,A4BF49,AWI3810,,,,,139.0,269.59,-896.0,GS,1574872750
2019-11-27 16:39:11,A4BF49,AWI3810,,,,,139.0,269.59,-896.0,GS,1574872751
2019-11-27 16:39:11,A4BF49,AWI3810,,,,,139.0,269.59,-896.0,GS,1574872751
2019-11-27 16:39:12,A4BF49,AWI3810,,,,,139.0,269.59,-832.0,GS,1574872752
2019-11-27 16:39:13,A4BF49,AWI3810,41.982859999999995,-87.54091,6525.0,,,,,,1574872753
2019-11-27 16:39:13,A4BF49,AWI3810,41.98288,-87.54131,6500.0,,,,,,1574872753
2019-11-27 16:39:14,A4BF49,AWI3810,41.98288,-87.54218,6500.0,,,,,,1574872754
2019-11-27 16:39:16,A4BF49,AWI3810,,,,,139.0,269.59,-832.0,GS,1574872756
2019-11-27 16:39:16,A4BF49,AWI3810,41.98288,-87.54374,6475.0,,,,,,1574872756
2019-11-27 16:39:17,A4BF49,AWI3810,,,,,139.0,269.59,-832.0,GS,1574872757
2019-11-27 16:39:23,A4BF49,AWI3810,41.98281,-87.55005,6375.0,,,,,,1574872763
2019-11-27 16:39:24,A4BF49,AWI3810,41.98281,-87.55043,6350.0,,,,,,1574872764
2019-11-27 16:39:24,A4BF49,AWI3810,,,,,140.0,269.59,-832.0,GS,1574872764
2019-11-27 16:39:29,A4BF49,AWI3810,41.98281,-87.5549,6300.0,,,,,,1574872769
2019-11-27 16:39:30,A4BF49,AWI3810,41.98279,-87.55566999999999,6275.0,,,,,,1574872770
2019-11-27 16:39:32,A4BF49,AWI3810,,,,,140.0,270.0,-768.0,GS,1574872772
2019-11-27 16:39:37,A4BF49,AWI3810,41.98281,-87.56218,6175.0,,,,,,1574872777
2019-11-27 16:39:39,A4BF49,AWI3810,,,,,,,,,1574872779
2019-11-27 16:39:40,A4BF49,AWI3810,,,,,140.0,270.0,-768.0,GS,1574872780
2019-11-27 16:39:42,A4BF49,AWI3810,41.98279,-87.56609,6125.0,,,,,,1574872782
2019-11-27 16:39:42,A4BF49,AWI3810,41.98279,-87.56647,6100.0,,,,,,1574872782
2019-11-27 16:39:44,A4BF49,AWI3810,,,,,139.0,270.0,-768.0,GS,1574872784
2019-11-27 16:39:48,A4BF49,AWI3810,41.98279,-87.57183,6025.0,,,,,,1574872788
2019-11-27 16:39:49,A4BF49,AWI3810,41.98279,-87.57265,6000.0,,,,,,1574872789
2019-11-27 16:39:49,A4BF49,AWI3810,,,,,139.0,270.0,-832.0,GS,1574872789
2019-11-27 16:39:57,A4BF49,AWI3810,,,,,140.0,270.41,-768.0,GS,1574872797
2019-11-27 16:40:10,A4BF49,AWI3810,41.982929999999996,-87.59069000000001,5725.0,,,,,,1574872810
2019-11-27 16:40:13,A4BF49,AWI3810,41.98295,-87.59336,5675.0,,,,,,1574872813
2019-11-27 16:40:14,A4BF49,AWI3810,41.98297,-87.59431,5675.0,,,,,,1574872814
2019-11-27 16:40:15,A4BF49,AWI3810,,,,,139.0,270.82,-768.0,GS,1574872815
2019-11-27 16:40:18,A4BF49,AWI3810,,,,,139.0,270.82,-640.0,GS,1574872818
2019-11-27 16:40:21,A4BF49,AWI3810,,,,,138.0,270.83,-768.0,GS,1574872821
2019-11-27 16:40:22,A4BF49,AWI3810,,,,,138.0,270.83,-768.0,GS,1574872822
2019-11-27 16:40:27,A4BF49,AWI3810,,,,,138.0,270.42,-768.0,GS,1574872827
2019-11-27 16:40:29,A4BF49,AWI3810,,,,,139.0,270.41,-832.0,GS,1574872829
2019-11-27 16:40:29,A4BF49,AWI3810,41.983090000000004,-87.6069,5475.0,,,,,,1574872829
2019-11-27 16:40:33,A4BF49,AWI3810,41.983109999999996,-87.6101,5425.0,,,,,,1574872833
2019-11-27 16:40:35,A4BF49,AWI3810,,,,,139.0,270.0,-832.0,GS,1574872835
2019-11-27 16:40:36,A4BF49,AWI3810,,,,,139.0,270.0,-896.0,GS,1574872836
2019-11-27 16:40:37,A4BF49,AWI3810,41.983109999999996,-87.61335,5375.0,,,,,,1574872837
2019-11-27 16:40:40,A4BF49,AWI3810,,,,,137.0,269.58,-576.0,GS,1574872840
2019-11-27 16:40:44,A4BF49,AWI3810,,,,,136.0,269.58,-832.0,GS,1574872844
2019-11-27 16:40:47,A4BF49,AWI3810,,,,,135.0,269.15,-896.0,GS,1574872847
2019-11-27 16:40:48,A4BF49,AWI3810,41.98304,-87.62274000000001,5225.0,,,,,,1574872848
2019-11-27 16:41:10,A4BF49,AWI3810,41.98304,-87.64056,4925.0,,,,,,1574872870
