received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:18:05,A4F5A4,,,,,,328.0,354.06,0.0,GS,1574875085
2019-11-27 17:20:23,A4F5A4,,41.888490000000004,-86.88987,11800.0,,,,,,1574875223
2019-11-27 17:27:59,A4F5A4,,,,,,149.0,270.38,64.0,GS,1574875679
2019-11-27 17:29:15,A4F5A4,,41.983000000000004,-87.45340999999999,7400.0,,,,,,1574875755
2019-11-27 17:29:20,A4F5A4,,,,,,148.0,269.61,-64.0,GS,1574875760
2019-11-27 17:29:55,A4F5A4,,41.982929999999996,-87.48987,7375.0,,,,,,1574875795
2019-11-27 17:30:09,A4F5A4,,41.982929999999996,-87.5028,7175.0,,,,,,1574875809
2019-11-27 17:30:09,A4F5A4,,,,,,147.0,269.61,-1088.0,GS,1574875809
2019-11-27 17:30:17,A4F5A4,,,,,,145.0,269.6,-1024.0,GS,1574875817
2019-11-27 17:30:17,A4F5A4,,41.982859999999995,-87.51045,7025.0,,,,,,1574875817
2019-11-27 17:30:20,A4F5A4,,,,,,144.0,270.0,-960.0,GS,1574875820
2019-11-27 17:30:38,A4F5A4,,41.982929999999996,-87.52839,6700.0,,,,,,1574875838
2019-11-27 17:30:44,A4F5A4,,,,,,137.0,270.42,-704.0,GS,1574875844
2019-11-27 17:30:44,A4F5A4,,41.98295,-87.53408,6600.0,,,,,,1574875844
2019-11-27 17:30:47,A4F5A4,,41.98295,-87.53625,6575.0,,,,,,1574875847
2019-11-27 17:30:49,A4F5A4,,41.98295,-87.53759000000001,6550.0,,,,,,1574875849
2019-11-27 17:30:50,A4F5A4,,41.98295,-87.53893000000001,6525.0,,,,,,1574875850
2019-11-27 17:30:53,A4F5A4,,41.98297,-87.54118000000001,6500.0,,,,,,1574875853
2019-11-27 17:30:53,A4F5A4,,,,,,134.0,270.43,-896.0,GS,1574875853
2019-11-27 17:30:56,A4F5A4,,,,,,133.0,270.86,-832.0,GS,1574875856
2019-11-27 17:30:57,A4F5A4,,41.98302,-87.54499,6425.0,,,,,,1574875857
2019-11-27 17:30:58,A4F5A4,,41.983000000000004,-87.54576999999999,6425.0,,,,,,1574875858
2019-11-27 17:30:59,A4F5A4,,,,,,,,,,1574875859
2019-11-27 17:30:59,A4F5A4,AWI3775,,,,,132.0,270.87,-640.0,GS,1574875859
2019-11-27 17:31:01,A4F5A4,AWI3775,41.98304,-87.54756,6400.0,,,,,,1574875861
2019-11-27 17:31:04,A4F5A4,AWI3775,,,,,129.0,270.89,-768.0,GS,1574875864
2019-11-27 17:31:05,A4F5A4,AWI3775,,,,,129.0,270.89,-768.0,GS,1574875865
2019-11-27 17:31:09,A4F5A4,AWI3775,41.983090000000004,-87.55426,6275.0,,,,,,1574875869
2019-11-27 17:31:17,A4F5A4,AWI3775,,,,,126.0,270.91,-704.0,GS,1574875877
2019-11-27 17:31:19,A4F5A4,AWI3775,41.98315,-87.56197,6150.0,,,,,,1574875879
2019-11-27 17:31:22,A4F5A4,AWI3775,41.98318,-87.56436,6125.0,,,,,,1574875882
2019-11-27 17:31:25,A4F5A4,AWI3775,,,,,124.0,270.92,-768.0,GS,1574875885
2019-11-27 17:31:26,A4F5A4,AWI3775,,,,,124.0,270.92,-704.0,GS,1574875886
2019-11-27 17:31:27,A4F5A4,AWI3775,,,,,124.0,270.92,-704.0,GS,1574875887
2019-11-27 17:31:28,A4F5A4,AWI3775,,,,,123.0,270.93,-704.0,GS,1574875888
2019-11-27 17:31:28,A4F5A4,AWI3775,41.98325,-87.56909,6050.0,,,,,,1574875888
2019-11-27 17:31:33,A4F5A4,AWI3775,,,,,123.0,270.93,-704.0,GS,1574875893
2019-11-27 17:31:34,A4F5A4,AWI3775,41.98328,-87.57324,5975.0,,,,,,1574875894
2019-11-27 17:31:41,A4F5A4,AWI3775,,,,,124.0,270.92,-576.0,GS,1574875901
2019-11-27 17:31:45,A4F5A4,AWI3775,41.98337,-87.58199,5850.0,,,,,,1574875905
2019-11-27 17:31:46,A4F5A4,AWI3775,41.98341,-87.58275,5850.0,,,,,,1574875906
2019-11-27 17:31:48,A4F5A4,AWI3775,,,,,122.0,270.94,-768.0,GS,1574875908
2019-11-27 17:31:52,A4F5A4,AWI3775,41.98346,-87.58742,5750.0,,,,,,1574875912
2019-11-27 17:31:55,A4F5A4,AWI3775,41.98352,-87.58913000000001,5725.0,,,,,,1574875915
2019-11-27 17:31:58,A4F5A4,AWI3775,41.98357,-87.59143,5675.0,,,,,,1574875918
2019-11-27 17:32:10,A4F5A4,AWI3775,41.98375,-87.60042,5550.0,,,,,,1574875930
2019-11-27 17:32:25,A4F5A4,AWI3775,,,,,,,,,1574875945
2019-11-27 17:32:29,A4F5A4,AWI3775,,,,,118.0,270.49,-768.0,GS,1574875949
2019-11-27 17:32:33,A4F5A4,AWI3775,,,,,118.0,270.49,-704.0,GS,1574875953
2019-11-27 17:32:33,A4F5A4,AWI3775,41.98397,-87.61731,5275.0,,,,,,1574875953
2019-11-27 17:32:34,A4F5A4,AWI3775,,,,,118.0,270.49,-704.0,GS,1574875954
2019-11-27 17:32:34,A4F5A4,AWI3775,41.983979999999995,-87.6184,5275.0,,,,,,1574875954
2019-11-27 17:32:35,A4F5A4,AWI3775,41.983979999999995,-87.61909,5250.0,,,,,,1574875955
2019-11-27 17:32:54,A4F5A4,AWI3775,,,,,122.0,269.53,-576.0,GS,1574875974
2019-11-27 17:32:55,A4F5A4,AWI3775,,,,,123.0,269.53,-640.0,GS,1574875975
2019-11-27 17:32:59,A4F5A4,AWI3775,41.98402,-87.63641,5000.0,,,,,,1574875979
2019-11-27 17:33:13,A4F5A4,AWI3775,41.98402,-87.64699,4825.0,,,,,,1574875993
2019-11-27 17:33:17,A4F5A4,AWI3775,41.98402,-87.65005,4775.0,,,,,,1574875997
2019-11-27 17:33:22,A4F5A4,AWI3775,,,,,123.0,270.0,-704.0,GS,1574876002
2019-11-27 17:34:00,A4F5A4,AWI3775,,,,,122.0,270.47,-640.0,GS,1574876040
2019-11-27 17:34:01,A4F5A4,AWI3775,41.98393,-87.68386,4225.0,,,,,,1574876041
2019-11-27 17:34:21,A4F5A4,AWI3775,41.98388,-87.69875,3975.0,,,,,,1574876061
2019-11-27 17:34:32,A4F5A4,AWI3775,41.9838,-87.70748,3850.0,,,,,,1574876072
2019-11-27 17:35:07,A4F5A4,AWI3775,,,,,129.0,270.0,-768.0,GS,1574876107
2019-11-27 17:35:12,A4F5A4,AWI3775,41.983979999999995,-87.73855999999999,3375.0,,,,,,1574876112
2019-11-27 17:35:38,A4F5A4,AWI3775,,,,,134.0,270.0,-384.0,GS,1574876138
2019-11-27 17:35:49,A4F5A4,AWI3775,41.98393,-87.76971,2875.0,,,,,,1574876149
2019-11-27 17:35:51,A4F5A4,AWI3775,41.98393,-87.77134000000001,2850.0,,,,,,1574876151
2019-11-27 17:35:54,A4F5A4,AWI3775,41.98393,-87.77315,2825.0,,,,,,1574876154
2019-11-27 17:35:54,A4F5A4,AWI3775,,,,,135.0,270.0,-576.0,GS,1574876154
2019-11-27 17:36:02,A4F5A4,AWI3775,,,,,,,,,1574876162
2019-11-27 17:36:04,A4F5A4,AWI3775,41.98388,-87.78153,2700.0,,,,,,1574876164
2019-11-27 17:36:08,A4F5A4,AWI3775,,,,,119.0,269.52,-256.0,GS,1574876168
2019-11-27 17:36:10,A4F5A4,AWI3775,41.98384,-87.78619,2625.0,,,,,,1574876170
2019-11-27 17:36:11,A4F5A4,AWI3775,,,,,117.0,269.02,-384.0,GS,1574876171
2019-11-27 17:36:11,A4F5A4,AWI3775,,,,,117.0,269.02,-512.0,GS,1574876171
2019-11-27 17:36:13,A4F5A4,AWI3775,,,,,118.0,269.51,-704.0,GS,1574876173
2019-11-27 17:36:14,A4F5A4,AWI3775,41.98384,-87.78869,2600.0,,,,,,1574876174
2019-11-27 17:36:21,A4F5A4,AWI3775,,,,,,,,,1574876181
2019-11-27 17:36:23,A4F5A4,AWI3775,,,,,111.0,268.97,-768.0,GS,1574876183
