received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:20:54,A5A88C,,41.78678,-86.81269,12400.0,,,,,,1574875254
2019-11-27 17:21:02,A5A88C,,,,,,331.0,350.79,0.0,GS,1574875262
2019-11-27 17:21:18,A5A88C,,41.82323,-86.82054000000001,12400.0,,,,,,1574875278
2019-11-27 17:31:03,A5A88C,,,,,,151.0,270.38,0.0,GS,1574875863
2019-11-27 17:31:41,A5A88C,,,,,,147.0,270.0,-384.0,GS,1574875901
2019-11-27 17:32:03,A5A88C,,,,,,144.0,270.4,-896.0,GS,1574875923
2019-11-27 17:32:10,A5A88C,,,,,,141.0,270.0,-896.0,GS,1574875930
2019-11-27 17:32:23,A5A88C,,41.98276,-87.52757,6725.0,,,,,,1574875943
2019-11-27 17:32:28,A5A88C,,,,,,,,,,1574875948
2019-11-27 17:32:31,A5A88C,AWI3906,,,,,137.0,269.58,-768.0,GS,1574875951
2019-11-27 17:33:00,A5A88C,AWI3906,41.9827,-87.55879,6200.0,,,,,,1574875980
2019-11-27 17:33:07,A5A88C,AWI3906,41.98276,-87.56455,6125.0,,,,,,1574875987
2019-11-27 17:33:11,A5A88C,AWI3906,,,,,124.0,270.92,-704.0,GS,1574875991
2019-11-27 17:33:14,A5A88C,AWI3906,,,,,123.0,271.4,-704.0,GS,1574875994
2019-11-27 17:33:29,A5A88C,AWI3906,41.98318,-87.58122,5875.0,,,,,,1574876009
2019-11-27 17:33:32,A5A88C,AWI3906,41.9832,-87.58306999999999,5850.0,,,,,,1574876012
2019-11-27 17:33:37,A5A88C,AWI3906,41.983340000000005,-87.58707,5775.0,,,,,,1574876017
2019-11-27 17:33:40,A5A88C,AWI3906,41.98341,-87.5894,5725.0,,,,,,1574876020
2019-11-27 17:33:42,A5A88C,AWI3906,41.98343,-87.59075,5700.0,,,,,,1574876022
2019-11-27 17:33:48,A5A88C,AWI3906,41.98352,-87.59474,5650.0,,,,,,1574876028
2019-11-27 17:33:49,A5A88C,AWI3906,,,,,118.0,271.94,-576.0,GS,1574876029
2019-11-27 17:33:51,A5A88C,AWI3906,41.98361,-87.59711999999999,5600.0,,,,,,1574876031
2019-11-27 17:33:57,A5A88C,AWI3906,41.983740000000004,-87.6016,5525.0,,,,,,1574876037
2019-11-27 17:33:58,A5A88C,AWI3906,,,,,,,,,1574876038
2019-11-27 17:34:15,A5A88C,AWI3906,,,,,118.0,270.97,-1088.0,GS,1574876055
2019-11-27 17:34:17,A5A88C,AWI3906,,,,,118.0,270.97,-768.0,GS,1574876057
2019-11-27 17:34:23,A5A88C,AWI3906,,,,,,,,,1574876063
2019-11-27 17:34:24,A5A88C,AWI3906,41.984159999999996,-87.6209,5250.0,,,,,,1574876064
2019-11-27 17:35:08,A5A88C,AWI3906,,,,,,,,,1574876108
2019-11-27 17:35:13,A5A88C,AWI3906,,,,,126.0,269.09,-576.0,GS,1574876113
2019-11-27 17:35:46,A5A88C,AWI3906,,,,,125.0,269.54,-576.0,GS,1574876146
2019-11-27 17:35:46,A5A88C,AWI3906,41.98379,-87.68438,4225.0,,,,,,1574876146
2019-11-27 17:36:35,A5A88C,AWI3906,41.98389,-87.72258000000001,3625.0,,,,,,1574876195
2019-11-27 17:36:43,A5A88C,AWI3906,,,,,132.0,269.57,-576.0,GS,1574876203
2019-11-27 17:36:58,A5A88C,AWI3906,41.98393,-87.74119,3325.0,,,,,,1574876218
2019-11-27 17:37:02,A5A88C,AWI3906,41.983979999999995,-87.74474000000001,3275.0,,,,,,1574876222
2019-11-27 17:37:09,A5A88C,AWI3906,41.98402,-87.74968,3200.0,,,,,,1574876229
2019-11-27 17:37:13,A5A88C,AWI3906,,,,,131.0,270.44,-704.0,GS,1574876233
2019-11-27 17:37:13,A5A88C,AWI3906,,,,,131.0,270.44,-704.0,GS,1574876233
2019-11-27 17:37:14,A5A88C,AWI3906,,,,,,,,,1574876234
