received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:11:22,A5ADFE,,41.542429999999996,-87.27443000000001,32000.0,,,,,,1574874682
2019-11-27 17:11:23,A5ADFE,,,,,,374.0,270.61,0.0,GS,1574874683
2019-11-27 17:11:24,A5ADFE,,,,,,374.0,270.61,0.0,GS,1574874684
2019-11-27 17:11:30,A5ADFE,,41.54257,-87.2911,32000.0,,,,,,1574874690
2019-11-27 17:11:31,A5ADFE,,41.542559999999995,-87.29330999999999,32000.0,,,,,,1574874691
2019-11-27 17:11:31,A5ADFE,,,,,,373.0,270.61,0.0,GS,1574874691
2019-11-27 17:11:35,A5ADFE,,41.54266,-87.30292,32000.0,,,,,,1574874695
2019-11-27 17:12:00,A5ADFE,,41.54312,-87.3613,32025.0,,,,,,1574874720
2019-11-27 17:12:03,A5ADFE,,41.54317,-87.36622,32000.0,,,,,,1574874723
2019-11-27 17:12:05,A5ADFE,,41.54322,-87.37267,32000.0,,,,,,1574874725
2019-11-27 17:12:07,A5ADFE,,,,,,369.0,270.62,0.0,GS,1574874727
2019-11-27 17:12:15,A5ADFE,,41.54336,-87.39509,32025.0,,,,,,1574874735
2019-11-27 17:12:53,A5ADFE,,41.543929999999996,-87.48045,32000.0,,,,,,1574874773
2019-11-27 17:12:54,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874774
2019-11-27 17:12:57,A5ADFE,,41.54398,-87.48944,32000.0,,,,,,1574874777
2019-11-27 17:12:58,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874778
2019-11-27 17:12:58,A5ADFE,,41.54402,-87.49175,32000.0,,,,,,1574874778
2019-11-27 17:13:01,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874781
2019-11-27 17:13:02,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874782
2019-11-27 17:13:19,A5ADFE,,,,,,363.0,270.47,0.0,GS,1574874799
2019-11-27 17:13:33,A5ADFE,,41.54453,-87.56945999999999,32025.0,,,,,,1574874813
2019-11-27 17:13:35,A5ADFE,,41.54452,-87.57406999999999,32000.0,,,,,,1574874815
2019-11-27 17:13:35,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874815
2019-11-27 17:13:36,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874816
2019-11-27 17:13:40,A5ADFE,,41.54462,-87.58419,32000.0,,,,,,1574874820
2019-11-27 17:13:40,A5ADFE,,41.54462,-87.58544,32025.0,,,,,,1574874820
2019-11-27 17:13:40,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874820
2019-11-27 17:13:41,A5ADFE,,,,,,364.0,270.47,0.0,GS,1574874821
2019-11-27 17:13:42,A5ADFE,,41.54461,-87.58997,32000.0,,,,,,1574874822
2019-11-27 17:13:44,A5ADFE,,41.54466,-87.59482,32000.0,,,,,,1574874824
2019-11-27 17:13:45,A5ADFE,,41.54466,-87.59585,32000.0,,,,,,1574874825
2019-11-27 17:13:45,A5ADFE,,41.54466,-87.5968,32000.0,,,,,,1574874825
2019-11-27 17:13:50,A5ADFE,,41.54475,-87.6076,32000.0,,,,,,1574874830
2019-11-27 17:14:18,A5ADFE,,41.54507,-87.66959,32000.0,,,,,,1574874858
2019-11-27 17:14:23,A5ADFE,,41.545120000000004,-87.68089,31950.0,,,,,,1574874863
2019-11-27 17:14:48,A5ADFE,,,,,,,,,,1574874888
2019-11-27 17:14:48,A5ADFE,UPS2069,41.545390000000005,-87.73763000000001,31225.0,,,,,,1574874888
2019-11-27 17:14:50,A5ADFE,UPS2069,,,,,364.0,270.31,-2112.0,GS,1574874890
2019-11-27 17:14:57,A5ADFE,UPS2069,,,,,363.0,270.32,-1536.0,GS,1574874897
2019-11-27 17:15:07,A5ADFE,UPS2069,,,,,359.0,270.32,-1984.0,GS,1574874907
2019-11-27 17:15:08,A5ADFE,UPS2069,,,,,,,,,1574874908
2019-11-27 17:15:11,A5ADFE,UPS2069,41.545590000000004,-87.78779,30575.0,,,,,,1574874911
2019-11-27 17:15:12,A5ADFE,UPS2069,41.545590000000004,-87.79181,30500.0,,,,,,1574874912
2019-11-27 17:15:38,A5ADFE,UPS2069,41.545809999999996,-87.84943,29125.0,,,,,,1574874938
2019-11-27 17:15:44,A5ADFE,UPS2069,,,,,370.0,270.31,-4480.0,GS,1574874944
2019-11-27 17:15:44,A5ADFE,UPS2069,41.54587,-87.86316,28675.0,,,,,,1574874944
2019-11-27 17:15:56,A5ADFE,UPS2069,,,,,375.0,270.46,-1984.0,GS,1574874956
2019-11-27 17:16:07,A5ADFE,UPS2069,,,,,371.0,270.31,-1472.0,GS,1574874967
2019-11-27 17:16:23,A5ADFE,UPS2069,,,,,363.0,270.16,-1408.0,GS,1574874983
2019-11-27 17:16:31,A5ADFE,UPS2069,41.54615,-87.96945,27125.0,,,,,,1574874991
2019-11-27 17:16:49,A5ADFE,UPS2069,,,,,357.0,270.16,-2240.0,GS,1574875009
2019-11-27 17:16:54,A5ADFE,UPS2069,,,,,356.0,270.16,-2176.0,GS,1574875014
2019-11-27 17:17:06,A5ADFE,UPS2069,41.54631,-88.04581,25800.0,,,,,,1574875026
2019-11-27 17:17:53,A5ADFE,UPS2069,41.54643,-88.15123,24150.0,,,,,,1574875073
2019-11-27 17:17:54,A5ADFE,UPS2069,41.54645,-88.15392,24150.0,,,,,,1574875074
2019-11-27 17:18:12,A5ADFE,UPS2069,41.54652,-88.19440999999999,24050.0,,,,,,1574875092
2019-11-27 17:18:13,A5ADFE,UPS2069,,,,,364.0,270.0,-192.0,GS,1574875093
2019-11-27 17:18:16,A5ADFE,UPS2069,41.546490000000006,-88.20455,24025.0,,,,,,1574875096
2019-11-27 17:18:45,A5ADFE,UPS2069,,,,,366.0,270.0,0.0,GS,1574875125
2019-11-27 17:18:46,A5ADFE,UPS2069,41.54654,-88.27034,24000.0,,,,,,1574875126
2019-11-27 17:18:52,A5ADFE,UPS2069,,,,,367.0,271.09,0.0,GS,1574875132
2019-11-27 17:18:53,A5ADFE,UPS2069,41.54668,-88.28713,24000.0,,,,,,1574875133
2019-11-27 17:19:02,A5ADFE,UPS2069,41.5475,-88.30742,24000.0,,,,,,1574875142
2019-11-27 17:19:38,A5ADFE,UPS2069,,,,,365.0,281.83,-2496.0,GS,1574875178
2019-11-27 17:19:39,A5ADFE,UPS2069,,,,,365.0,281.83,-2112.0,GS,1574875179
2019-11-27 17:19:40,A5ADFE,UPS2069,41.55785,-88.39119000000001,23300.0,,,,,,1574875180
2019-11-27 17:20:19,A5ADFE,UPS2069,,,,,373.0,282.51,-1920.0,GS,1574875219
2019-11-27 17:20:42,A5ADFE,UPS2069,,,,,369.0,282.34,-1664.0,GS,1574875242
