received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:44:57,A6C247,,,,,,279.0,350.34,0.0,GS,1574873097
2019-11-27 16:50:20,A6C247,,41.98169,-87.2154,8575.0,,,,,,1574873420
2019-11-27 16:50:27,A6C247,,,,,,146.0,268.43,-832.0,GS,1574873427
2019-11-27 16:51:34,A6C247,,41.9821,-87.27976,7425.0,,,,,,1574873494
2019-11-27 16:52:28,A6C247,,41.98251,-87.3272,7425.0,,,,,,1574873548
2019-11-27 16:52:29,A6C247,,,,,,141.0,269.19,64.0,GS,1574873549
2019-11-27 16:52:36,A6C247,,41.98238,-87.33425,7450.0,,,,,,1574873556
2019-11-27 16:52:39,A6C247,,,,,,142.0,268.79,0.0,GS,1574873559
2019-11-27 16:55:07,A6C247,,,,,,144.0,270.0,192.0,GS,1574873707
2019-11-27 16:55:22,A6C247,,,,,,145.0,271.19,-64.0,GS,1574873722
2019-11-27 16:55:48,A6C247,,,,,,153.0,270.75,-1472.0,GS,1574873748
2019-11-27 16:55:50,A6C247,,41.98328,-87.50604,7025.0,,,,,,1574873750
2019-11-27 16:55:55,A6C247,,,,,,155.0,270.37,-1216.0,GS,1574873755
2019-11-27 16:56:27,A6C247,,,,,,144.0,269.6,-576.0,GS,1574873787
2019-11-27 16:56:29,A6C247,,,,,,,,,,1574873789
2019-11-27 16:56:33,A6C247,UAL2306,,,,,144.0,268.81,-768.0,GS,1574873793
2019-11-27 16:56:33,A6C247,UAL2306,41.98328,-87.54609,6475.0,,,,,,1574873793
2019-11-27 16:56:45,A6C247,UAL2306,,,,,145.0,270.4,-1152.0,GS,1574873805
2019-11-27 16:56:48,A6C247,UAL2306,41.98328,-87.5595,6225.0,,,,,,1574873808
2019-11-27 16:56:51,A6C247,UAL2306,41.98325,-87.56203000000001,6175.0,,,,,,1574873811
2019-11-27 16:57:07,A6C247,UAL2306,,,,,146.0,270.78,-832.0,GS,1574873827
2019-11-27 16:57:20,A6C247,UAL2306,41.98343,-87.58838,5750.0,,,,,,1574873840
2019-11-27 16:57:28,A6C247,UAL2306,,,,,130.0,270.44,-704.0,GS,1574873848
2019-11-27 16:57:31,A6C247,UAL2306,,,,,128.0,270.9,-640.0,GS,1574873851
2019-11-27 16:57:33,A6C247,UAL2306,,,,,127.0,270.9,-576.0,GS,1574873853
2019-11-27 16:57:36,A6C247,UAL2306,,,,,125.0,270.46,-576.0,GS,1574873856
2019-11-27 16:57:37,A6C247,UAL2306,,,,,124.0,270.46,-640.0,GS,1574873857
2019-11-27 16:57:38,A6C247,UAL2306,41.98352,-87.6023,5550.0,,,,,,1574873858
2019-11-27 16:57:39,A6C247,UAL2306,41.983509999999995,-87.60319,5525.0,,,,,,1574873859
2019-11-27 16:57:41,A6C247,UAL2306,41.983509999999995,-87.60441,5525.0,,,,,,1574873861
2019-11-27 16:57:45,A6C247,UAL2306,,,,,123.0,270.47,-768.0,GS,1574873865
2019-11-27 16:57:53,A6C247,UAL2306,,,,,123.0,270.47,-896.0,GS,1574873873
2019-11-27 16:57:54,A6C247,UAL2306,41.98357,-87.61491,5350.0,,,,,,1574873874
2019-11-27 16:57:59,A6C247,UAL2306,,,,,,,,,1574873879
2019-11-27 16:57:59,A6C247,UAL2306,41.9836,-87.61865,5275.0,,,,,,1574873879
2019-11-27 16:58:02,A6C247,UAL2306,,,,,121.0,270.95,-832.0,GS,1574873882
2019-11-27 16:58:04,A6C247,UAL2306,41.98366,-87.62177,5225.0,,,,,,1574873884
2019-11-27 16:58:05,A6C247,UAL2306,,,,,120.0,270.95,-768.0,GS,1574873885
2019-11-27 16:58:11,A6C247,UAL2306,41.98369,-87.62708,5125.0,,,,,,1574873891
2019-11-27 16:58:15,A6C247,UAL2306,,,,,121.0,270.47,-704.0,GS,1574873895
2019-11-27 16:58:21,A6C247,UAL2306,41.98375,-87.63463,5025.0,,,,,,1574873901
2019-11-27 16:58:40,A6C247,UAL2306,,,,,126.0,269.55,-704.0,GS,1574873920
2019-11-27 16:58:49,A6C247,UAL2306,41.98366,-87.65673000000001,4675.0,,,,,,1574873929
2019-11-27 16:58:50,A6C247,UAL2306,41.9837,-87.65785,4650.0,,,,,,1574873930
2019-11-27 16:58:56,A6C247,UAL2306,41.98366,-87.66216,4575.0,,,,,,1574873936
2019-11-27 16:58:57,A6C247,UAL2306,41.98366,-87.66297,4550.0,,,,,,1574873937
2019-11-27 16:59:02,A6C247,UAL2306,41.98365,-87.66707,4500.0,,,,,,1574873942
2019-11-27 16:59:24,A6C247,UAL2306,41.98365,-87.68444000000001,4225.0,,,,,,1574873964
2019-11-27 16:59:26,A6C247,UAL2306,,,,,129.0,268.67,-640.0,GS,1574873966
2019-11-27 16:59:28,A6C247,UAL2306,,,,,129.0,268.67,-832.0,GS,1574873968
2019-11-27 16:59:29,A6C247,UAL2306,41.9836,-87.68795,4175.0,,,,,,1574873969
2019-11-27 16:59:29,A6C247,UAL2306,,,,,129.0,269.11,-768.0,GS,1574873969
2019-11-27 16:59:36,A6C247,UAL2306,41.98361,-87.69337,4100.0,,,,,,1574873976
2019-11-27 16:59:37,A6C247,UAL2306,41.98366,-87.69468,4075.0,,,,,,1574873977
2019-11-27 16:59:38,A6C247,UAL2306,41.98365,-87.69536,4050.0,,,,,,1574873978
2019-11-27 16:59:41,A6C247,UAL2306,,,,,125.0,270.46,-704.0,GS,1574873981
2019-11-27 16:59:44,A6C247,UAL2306,,,,,,,,,1574873984
2019-11-27 16:59:55,A6C247,UAL2306,41.98375,-87.70854,3850.0,,,,,,1574873995
2019-11-27 17:00:39,A6C247,UAL2306,41.9838,-87.74406,3275.0,,,,,,1574874039
2019-11-27 17:00:40,A6C247,UAL2306,41.98375,-87.74486999999999,3250.0,,,,,,1574874040
2019-11-27 17:00:41,A6C247,UAL2306,,,,,130.0,269.12,-576.0,GS,1574874041
2019-11-27 17:00:42,A6C247,UAL2306,,,,,130.0,268.68,-576.0,GS,1574874042
2019-11-27 17:00:42,A6C247,UAL2306,41.98375,-87.7463,3225.0,,,,,,1574874042
2019-11-27 17:00:43,A6C247,UAL2306,,,,,131.0,268.25,-576.0,GS,1574874043
2019-11-27 17:00:44,A6C247,UAL2306,41.98369,-87.74793000000001,3225.0,,,,,,1574874044
2019-11-27 17:00:49,A6C247,UAL2306,,,,,131.0,270.44,-704.0,GS,1574874049
2019-11-27 17:00:49,A6C247,UAL2306,41.9837,-87.75199,3150.0,,,,,,1574874049
2019-11-27 17:00:52,A6C247,UAL2306,41.98375,-87.75417,3125.0,,,,,,1574874052
2019-11-27 17:00:52,A6C247,UAL2306,41.983740000000004,-87.7547,3125.0,,,,,,1574874052
2019-11-27 17:00:53,A6C247,UAL2306,,,,,130.0,271.32,-832.0,GS,1574874053
2019-11-27 17:00:54,A6C247,UAL2306,,,,,130.0,271.32,-896.0,GS,1574874054
2019-11-27 17:00:55,A6C247,UAL2306,41.9838,-87.75673,3075.0,,,,,,1574874055
2019-11-27 17:00:55,A6C247,UAL2306,41.9838,-87.75704,3075.0,,,,,,1574874055
2019-11-27 17:00:57,A6C247,UAL2306,,,,,131.0,271.75,-896.0,GS,1574874057
2019-11-27 17:00:57,A6C247,UAL2306,,,,,131.0,271.75,-832.0,GS,1574874057
2019-11-27 17:00:58,A6C247,UAL2306,,,,,131.0,271.75,-704.0,GS,1574874058
2019-11-27 17:00:59,A6C247,UAL2306,,,,,,,,,1574874059
2019-11-27 17:01:00,A6C247,UAL2306,41.98384,-87.76097,3025.0,,,,,,1574874060
2019-11-27 17:01:04,A6C247,UAL2306,,,,,134.0,270.43,-768.0,GS,1574874064
2019-11-27 17:01:05,A6C247,UAL2306,,,,,134.0,270.43,-768.0,GS,1574874065
2019-11-27 17:01:07,A6C247,UAL2306,,,,,135.0,270.85,-768.0,GS,1574874067
2019-11-27 17:01:10,A6C247,UAL2306,,,,,135.0,270.0,-704.0,GS,1574874070
2019-11-27 17:01:11,A6C247,UAL2306,,,,,135.0,270.0,-704.0,GS,1574874071
2019-11-27 17:01:12,A6C247,UAL2306,,,,,135.0,270.42,-640.0,GS,1574874072
2019-11-27 17:01:13,A6C247,UAL2306,,,,,135.0,270.42,-576.0,GS,1574874073
2019-11-27 17:01:17,A6C247,UAL2306,41.98397,-87.77526999999999,2800.0,,,,,,1574874077
2019-11-27 17:01:17,A6C247,UAL2306,,,,,136.0,270.84,-768.0,GS,1574874077
2019-11-27 17:01:20,A6C247,UAL2306,41.983979999999995,-87.77745,2775.0,,,,,,1574874080
2019-11-27 17:01:20,A6C247,UAL2306,41.983979999999995,-87.77776999999999,2775.0,,,,,,1574874080
2019-11-27 17:01:21,A6C247,UAL2306,41.98397,-87.77814000000001,2750.0,,,,,,1574874081
2019-11-27 17:01:35,A6C247,UAL2306,41.983979999999995,-87.78988000000001,2475.0,,,,,,1574874095
2019-11-27 17:01:36,A6C247,UAL2306,41.983979999999995,-87.79037,2475.0,,,,,,1574874096
2019-11-27 17:02:25,A6C247,UAL2306,,,,,118.0,270.0,-704.0,GS,1574874145
2019-11-27 17:02:37,A6C247,UAL2306,,,,,120.0,269.52,-832.0,GS,1574874157
2019-11-27 17:02:42,A6C247,UAL2306,,,,,121.0,270.47,-704.0,GS,1574874162
2019-11-27 17:02:49,A6C247,UAL2306,,,,,122.0,270.47,-704.0,GS,1574874169
2019-11-27 17:02:57,A6C247,UAL2306,,,,,121.0,269.53,-896.0,GS,1574874177
2019-11-27 17:03:02,A6C247,UAL2306,,,,,121.0,269.05,-832.0,GS,1574874182
2019-11-27 17:03:11,A6C247,UAL2306,,,,,122.0,270.47,-640.0,GS,1574874191
2019-11-27 17:03:21,A6C247,UAL2306,,,,,121.0,269.53,-896.0,GS,1574874201
2019-11-27 17:04:20,A6C247,UAL2306,41.9839,-87.90595,,,,,,,1574874260
2019-11-27 17:04:28,A6C247,UAL2306,41.98383,-87.90746999999999,,,,,,,1574874268
2019-11-27 17:04:29,A6C247,UAL2306,41.9838,-87.90762,,,,,,,1574874269
2019-11-27 17:04:30,A6C247,UAL2306,41.98376,-87.90785,,,,,,,1574874270
2019-11-27 17:04:32,A6C247,UAL2306,41.98369,-87.90804,,,,,,,1574874272
2019-11-27 17:04:33,A6C247,UAL2306,41.98362,-87.90825,,,,,,,1574874273
2019-11-27 17:04:33,A6C247,UAL2306,,,,,,,,,1574874273
2019-11-27 17:04:34,A6C247,UAL2306,41.98359,-87.90831999999999,,,,,,,1574874274
2019-11-27 17:04:35,A6C247,UAL2306,41.98353,-87.90845999999999,,,,,,,1574874275
2019-11-27 17:04:35,A6C247,UAL2306,41.9835,-87.90852,,,,,,,1574874275
2019-11-27 17:04:37,A6C247,UAL2306,41.98342,-87.90871,,,,,,,1574874277
2019-11-27 17:04:38,A6C247,UAL2306,41.98338,-87.90876999999999,,,,,,,1574874278
2019-11-27 17:04:38,A6C247,UAL2306,41.98336,-87.90883000000001,,,,,,,1574874278
2019-11-27 17:04:38,A6C247,UAL2306,,,,,,,,,1574874278
2019-11-27 17:04:39,A6C247,UAL2306,41.983309999999996,-87.90893,,,,,,,1574874279
2019-11-27 17:04:40,A6C247,UAL2306,41.983270000000005,-87.90902,,,,,,,1574874280
2019-11-27 17:04:41,A6C247,UAL2306,41.98322,-87.90913,,,,,,,1574874281
2019-11-27 17:04:42,A6C247,UAL2306,41.98321,-87.90918,,,,,,,1574874282
2019-11-27 17:04:44,A6C247,UAL2306,41.98312,-87.90935999999999,,,,,,,1574874284
2019-11-27 17:04:53,A6C247,UAL2306,,,,,,,,,1574874293
2019-11-27 17:04:54,A6C247,UAL2306,41.98272,-87.91026,,,,,,,1574874294
2019-11-27 17:04:54,A6C247,UAL2306,41.98271,-87.91029,,,,,,,1574874294
2019-11-27 17:05:05,A6C247,UAL2306,41.98226,-87.91119,,,,,,,1574874305
2019-11-27 17:05:10,A6C247,UAL2306,41.982040000000005,-87.91158,,,,,,,1574874310
2019-11-27 17:05:14,A6C247,UAL2306,,,,,,,,,1574874314
2019-11-27 17:05:28,A6C247,UAL2306,41.98129,-87.91229,,,,,,,1574874328
2019-11-27 17:05:39,A6C247,UAL2306,41.980990000000006,-87.91201,,,,,,,1574874339
2019-11-27 17:05:44,A6C247,UAL2306,41.980979999999995,-87.91175,,,,,,,1574874344
2019-11-27 17:05:47,A6C247,UAL2306,41.981,-87.91161,,,,,,,1574874347
2019-11-27 17:06:18,A6C247,UAL2306,,,,,,,,,1574874378
