received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:24:16,A6D27B,,,,,,124.0,264.47,0.0,GS,1574871856
2019-11-27 16:24:33,A6D27B,,42.00005,-87.5807,4450.0,,,,,,1574871873
2019-11-27 16:26:00,A6D27B,,42.003479999999996,-87.6488,4450.0,,,,,,1574871960
2019-11-27 16:26:04,A6D27B,,,,,,126.0,268.64,0.0,GS,1574871964
2019-11-27 16:26:13,A6D27B,,,,,,124.0,268.15,-64.0,GS,1574871973
2019-11-27 16:26:21,A6D27B,,42.00311,-87.66447,4450.0,,,,,,1574871981
2019-11-27 16:26:29,A6D27B,,42.00284,-87.6714,4450.0,,,,,,1574871989
2019-11-27 16:26:33,A6D27B,,,,,,125.0,266.79,128.0,GS,1574871993
2019-11-27 16:26:35,A6D27B,,,,,,125.0,266.79,-64.0,GS,1574871995
2019-11-27 16:26:44,A6D27B,,42.00238,-87.68257,4425.0,,,,,,1574872004
2019-11-27 16:26:48,A6D27B,,,,,,125.0,267.71,-320.0,GS,1574872008
2019-11-27 16:26:49,A6D27B,,,,,,125.0,267.71,-384.0,GS,1574872009
2019-11-27 16:28:07,A6D27B,,42.00284,-87.74811,3425.0,,,,,,1574872087
2019-11-27 16:28:21,A6D27B,,,,,,128.0,270.9,-832.0,GS,1574872101
2019-11-27 16:28:23,A6D27B,,,,,,128.0,270.45,-896.0,GS,1574872103
2019-11-27 16:28:35,A6D27B,,,,,,125.0,270.0,-768.0,GS,1574872115
2019-11-27 16:28:40,A6D27B,,42.00297,-87.77444,3000.0,,,,,,1574872120
2019-11-27 16:28:40,A6D27B,,,,,,124.0,269.54,-576.0,GS,1574872120
2019-11-27 16:28:43,A6D27B,,42.00297,-87.77660999999999,2975.0,,,,,,1574872123
2019-11-27 16:28:44,A6D27B,,,,,,124.0,269.08,-576.0,GS,1574872124
2019-11-27 16:28:45,A6D27B,,,,,,124.0,269.08,-576.0,GS,1574872125
2019-11-27 16:28:48,A6D27B,,,,,,124.0,268.61,-832.0,GS,1574872128
2019-11-27 16:28:50,A6D27B,,42.00288,-87.78157,2900.0,,,,,,1574872130
2019-11-27 16:28:58,A6D27B,,42.002790000000005,-87.78838,2800.0,,,,,,1574872138
2019-11-27 16:28:58,A6D27B,,,,,,125.0,269.54,-704.0,GS,1574872138
2019-11-27 16:29:11,A6D27B,,,,,,123.0,270.93,-576.0,GS,1574872151
2019-11-27 16:29:14,A6D27B,,42.00287,-87.80011999999999,2625.0,,,,,,1574872154
2019-11-27 16:29:15,A6D27B,,,,,,123.0,271.4,-832.0,GS,1574872155
2019-11-27 16:29:17,A6D27B,,,,,,123.0,271.4,-832.0,GS,1574872157
2019-11-27 16:29:18,A6D27B,,42.00293,-87.8033,2575.0,,,,,,1574872158
2019-11-27 16:29:19,A6D27B,,42.00293,-87.80405,2550.0,,,,,,1574872159
2019-11-27 16:29:19,A6D27B,,,,,,122.0,270.94,-768.0,GS,1574872159
2019-11-27 16:29:21,A6D27B,,42.00293,-87.80554000000001,2550.0,,,,,,1574872161
2019-11-27 16:29:25,A6D27B,,,,,,115.0,267.51,-512.0,GS,1574872165
2019-11-27 16:29:27,A6D27B,,42.00284,-87.80985,2525.0,,,,,,1574872167
2019-11-27 16:29:27,A6D27B,,42.002829999999996,-87.81021,2500.0,,,,,,1574872167
2019-11-27 16:29:27,A6D27B,,,,,,111.0,266.91,-640.0,GS,1574872167
2019-11-27 16:29:32,A6D27B,,,,,,104.0,268.9,-896.0,GS,1574872172
