received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:04:44,A79BE3,,,,,,294.0,51.07,-960.0,GS,1574874284
2019-11-27 17:05:43,A79BE3,,41.52008,-88.26001,6400.0,,,,,,1574874343
2019-11-27 17:05:56,A79BE3,,41.52944,-88.24008,6400.0,,,,,,1574874356
2019-11-27 17:05:57,A79BE3,,,,,,285.0,58.04,-64.0,GS,1574874357
2019-11-27 17:06:00,A79BE3,,,,,,286.0,58.14,-64.0,GS,1574874360
2019-11-27 17:06:01,A79BE3,,,,,,286.0,58.14,-128.0,GS,1574874361
2019-11-27 17:06:06,A79BE3,,,,,,286.0,58.25,0.0,GS,1574874366
2019-11-27 17:06:12,A79BE3,,,,,,287.0,58.35,64.0,GS,1574874372
2019-11-27 17:06:33,A79BE3,,,,,,293.0,58.37,-64.0,GS,1574874393
2019-11-27 17:06:41,A79BE3,,41.56119,-88.17173000000001,6400.0,,,,,,1574874401
2019-11-27 17:06:43,A79BE3,,,,,,296.0,58.24,-64.0,GS,1574874403
2019-11-27 17:06:44,A79BE3,,,,,,296.0,58.24,-64.0,GS,1574874404
2019-11-27 17:07:21,A79BE3,,,,,,302.0,58.26,64.0,GS,1574874441
2019-11-27 17:07:21,A79BE3,,41.59012,-88.10929,6400.0,,,,,,1574874441
2019-11-27 17:07:21,A79BE3,,41.59039,-88.10866999999999,6400.0,,,,,,1574874441
2019-11-27 17:07:39,A79BE3,,,,,,303.0,58.62,0.0,GS,1574874459
2019-11-27 17:08:23,A79BE3,,41.63512,-88.01185,6400.0,,,,,,1574874503
2019-11-27 17:08:28,A79BE3,,41.63893,-88.00368,6400.0,,,,,,1574874508
2019-11-27 17:08:30,A79BE3,,,,,,293.0,58.1,0.0,GS,1574874510
2019-11-27 17:08:30,A79BE3,,41.6407,-87.99986,6400.0,,,,,,1574874510
2019-11-27 17:08:33,A79BE3,,,,,,292.0,57.99,-64.0,GS,1574874513
2019-11-27 17:08:36,A79BE3,,41.64451,-87.99174000000001,6400.0,,,,,,1574874516
2019-11-27 17:08:36,A79BE3,,,,,,291.0,58.16,-64.0,GS,1574874516
2019-11-27 17:08:56,A79BE3,,,,,,290.0,58.66,0.0,GS,1574874536
2019-11-27 17:09:05,A79BE3,,41.66532,-87.94651,6400.0,,,,,,1574874545
2019-11-27 17:09:09,A79BE3,,41.667840000000005,-87.94102,6375.0,,,,,,1574874549
2019-11-27 17:09:20,A79BE3,,,,,,294.0,58.74,-704.0,GS,1574874560
2019-11-27 17:09:22,A79BE3,,,,,,295.0,58.84,-768.0,GS,1574874562
2019-11-27 17:09:22,A79BE3,,41.67705,-87.92097,6250.0,,,,,,1574874562
2019-11-27 17:09:38,A79BE3,,41.68813,-87.89631,6075.0,,,,,,1574874578
2019-11-27 17:09:46,A79BE3,,,,,,,,,,1574874586
2019-11-27 17:09:54,A79BE3,N59JN,,,,,307.0,58.43,-1024.0,GS,1574874594
2019-11-27 17:09:56,A79BE3,N59JN,41.70135,-87.86744,5775.0,,,,,,1574874596
2019-11-27 17:09:58,A79BE3,N59JN,41.70303,-87.86386,5750.0,,,,,,1574874598
2019-11-27 17:09:59,A79BE3,N59JN,,,,,308.0,58.37,-960.0,GS,1574874599
2019-11-27 17:10:02,A79BE3,N59JN,,,,,310.0,58.31,-960.0,GS,1574874602
2019-11-27 17:10:03,A79BE3,N59JN,41.70694,-87.85537,5650.0,,,,,,1574874603
2019-11-27 17:10:04,A79BE3,N59JN,41.707409999999996,-87.85441,5650.0,,,,,,1574874604
2019-11-27 17:10:04,A79BE3,N59JN,,,,,309.0,58.21,-960.0,GS,1574874604
2019-11-27 17:10:04,A79BE3,N59JN,41.70786,-87.85342,5625.0,,,,,,1574874604
2019-11-27 17:10:05,A79BE3,N59JN,41.70813,-87.8528,5625.0,,,,,,1574874605
2019-11-27 17:10:11,A79BE3,N59JN,,,,,308.0,58.27,-1152.0,GS,1574874611
2019-11-27 17:10:12,A79BE3,N59JN,,,,,307.0,58.43,-1152.0,GS,1574874612
2019-11-27 17:10:15,A79BE3,N59JN,,,,,306.0,58.33,-1152.0,GS,1574874615
2019-11-27 17:10:18,A79BE3,N59JN,,,,,304.0,58.55,-1088.0,GS,1574874618
2019-11-27 17:10:18,A79BE3,N59JN,41.71848,-87.83033,5375.0,,,,,,1574874618
2019-11-27 17:10:19,A79BE3,N59JN,,,,,303.0,58.45,-1088.0,GS,1574874619
2019-11-27 17:10:19,A79BE3,N59JN,,,,,303.0,58.62,-1152.0,GS,1574874619
2019-11-27 17:10:20,A79BE3,N59JN,41.7196,-87.8279,5350.0,,,,,,1574874620
2019-11-27 17:10:26,A79BE3,N59JN,,,,,299.0,58.81,-1088.0,GS,1574874626
2019-11-27 17:10:26,A79BE3,N59JN,41.72415,-87.8179,5225.0,,,,,,1574874626
2019-11-27 17:10:29,A79BE3,N59JN,,,,,297.0,58.77,-1088.0,GS,1574874629
2019-11-27 17:10:30,A79BE3,N59JN,,,,,296.0,58.67,-1024.0,GS,1574874630
2019-11-27 17:10:30,A79BE3,N59JN,,,,,296.0,58.67,-1024.0,GS,1574874630
2019-11-27 17:10:34,A79BE3,N59JN,,,,,292.0,58.43,-1088.0,GS,1574874634
2019-11-27 17:10:34,A79BE3,N59JN,41.72975,-87.80561,5075.0,,,,,,1574874634
2019-11-27 17:10:36,A79BE3,N59JN,,,,,291.0,58.33,-1088.0,GS,1574874636
2019-11-27 17:10:36,A79BE3,N59JN,,,,,291.0,58.33,-1088.0,GS,1574874636
2019-11-27 17:10:36,A79BE3,N59JN,,,,,,,,,1574874636
2019-11-27 17:10:37,A79BE3,N59JN,41.73152,-87.8018,5050.0,,,,,,1574874637
2019-11-27 17:10:40,A79BE3,N59JN,,,,,287.0,58.35,-1024.0,GS,1574874640
2019-11-27 17:10:43,A79BE3,N59JN,41.7359,-87.79226,4925.0,,,,,,1574874643
2019-11-27 17:10:44,A79BE3,N59JN,41.73687,-87.79015,4900.0,,,,,,1574874644
2019-11-27 17:10:47,A79BE3,N59JN,,,,,284.0,58.38,-1152.0,GS,1574874647
2019-11-27 17:10:49,A79BE3,N59JN,41.74004,-87.78325,4800.0,,,,,,1574874649
2019-11-27 17:10:58,A79BE3,N59JN,,,,,283.0,63.34,-832.0,GS,1574874658
2019-11-27 17:11:00,A79BE3,N59JN,,,,,283.0,65.15,-1152.0,GS,1574874660
2019-11-27 17:11:00,A79BE3,N59JN,,,,,283.0,65.15,-1152.0,GS,1574874660
2019-11-27 17:11:15,A79BE3,N59JN,41.75308,-87.74175,4375.0,,,,,,1574874675
2019-11-27 17:11:16,A79BE3,N59JN,,,,,,,,,1574874676
2019-11-27 17:11:20,A79BE3,N59JN,41.75427,-87.73345,4375.0,,,,,,1574874680
2019-11-27 17:11:24,A79BE3,N59JN,,,,,267.0,83.14,192.0,GS,1574874684
2019-11-27 17:11:25,A79BE3,N59JN,41.75508,-87.72506,4400.0,,,,,,1574874685
2019-11-27 17:11:25,A79BE3,N59JN,41.755140000000004,-87.72421,4400.0,,,,,,1574874685
2019-11-27 17:11:35,A79BE3,N59JN,41.756009999999996,-87.70866,4400.0,,,,,,1574874695
2019-11-27 17:11:36,A79BE3,N59JN,41.75605,-87.70782,4400.0,,,,,,1574874696
2019-11-27 17:11:37,A79BE3,N59JN,41.75615,-87.70558,4400.0,,,,,,1574874697
2019-11-27 17:11:38,A79BE3,N59JN,,,,,260.0,86.04,-64.0,GS,1574874698
2019-11-27 17:11:40,A79BE3,N59JN,41.75638,-87.70092,4400.0,,,,,,1574874700
2019-11-27 17:11:41,A79BE3,N59JN,41.75647,-87.69913000000001,4400.0,,,,,,1574874701
2019-11-27 17:11:41,A79BE3,N59JN,,,,,260.0,86.04,-64.0,GS,1574874701
2019-11-27 17:11:42,A79BE3,N59JN,,,,,260.0,85.82,128.0,GS,1574874702
2019-11-27 17:11:42,A79BE3,N59JN,41.756609999999995,-87.69674,4400.0,,,,,,1574874702
2019-11-27 17:11:43,A79BE3,N59JN,,,,,260.0,85.82,128.0,GS,1574874703
2019-11-27 17:11:44,A79BE3,N59JN,,,,,260.0,85.82,-64.0,GS,1574874704
2019-11-27 17:11:50,A79BE3,N59JN,41.757259999999995,-87.68533000000001,4400.0,,,,,,1574874710
2019-11-27 17:11:56,A79BE3,N59JN,,,,,260.0,86.04,128.0,GS,1574874716
2019-11-27 17:11:58,A79BE3,N59JN,,,,,259.0,86.02,192.0,GS,1574874718
2019-11-27 17:11:58,A79BE3,N59JN,41.757979999999996,-87.67201999999999,4400.0,,,,,,1574874718
2019-11-27 17:12:01,A79BE3,N59JN,41.75821,-87.6679,4400.0,,,,,,1574874721
2019-11-27 17:12:02,A79BE3,N59JN,,,,,256.0,85.53,-64.0,GS,1574874722
2019-11-27 17:12:03,A79BE3,N59JN,,,,,255.0,85.52,-128.0,GS,1574874723
2019-11-27 17:12:04,A79BE3,N59JN,41.758520000000004,-87.66298,4400.0,,,,,,1574874724
2019-11-27 17:12:04,A79BE3,N59JN,,,,,254.0,85.5,-64.0,GS,1574874724
