received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:45:47,A851DB,,41.98242,-87.33663,7425.0,,,,,,1574873147
2019-11-27 16:46:02,A851DB,,41.98253,-87.34942,7450.0,,,,,,1574873162
2019-11-27 16:46:34,A851DB,,,,,,139.0,270.41,-64.0,GS,1574873194
2019-11-27 16:46:36,A851DB,,,,,,139.0,271.24,64.0,GS,1574873196
2019-11-27 16:46:58,A851DB,,,,,,,,,,1574873218
2019-11-27 16:47:08,A851DB,RPA3549,,,,,,,,,1574873228
2019-11-27 16:47:12,A851DB,RPA3549,,,,,140.0,271.23,64.0,GS,1574873232
2019-11-27 16:48:41,A851DB,RPA3549,,,,,139.0,270.82,-768.0,GS,1574873321
2019-11-27 16:48:43,A851DB,RPA3549,41.98314,-87.48784,6850.0,,,,,,1574873323
2019-11-27 16:48:47,A851DB,RPA3549,41.98315,-87.49081,6800.0,,,,,,1574873327
2019-11-27 16:48:47,A851DB,RPA3549,,,,,,,,,1574873327
2019-11-27 16:48:51,A851DB,RPA3549,41.98315,-87.49468,6750.0,,,,,,1574873331
2019-11-27 16:49:07,A851DB,RPA3549,,,,,141.0,270.81,-640.0,GS,1574873347
2019-11-27 16:49:09,A851DB,RPA3549,41.98323,-87.51032,6525.0,,,,,,1574873349
2019-11-27 16:49:10,A851DB,RPA3549,,,,,142.0,270.0,-768.0,GS,1574873350
2019-11-27 16:49:13,A851DB,RPA3549,,,,,142.0,269.6,-832.0,GS,1574873353
2019-11-27 16:49:14,A851DB,RPA3549,41.98323,-87.51498000000001,6450.0,,,,,,1574873354
2019-11-27 16:49:17,A851DB,RPA3549,41.98318,-87.51746999999999,6425.0,,,,,,1574873357
2019-11-27 16:49:20,A851DB,RPA3549,,,,,142.0,269.19,-768.0,GS,1574873360
2019-11-27 16:49:41,A851DB,RPA3549,,,,,140.0,270.0,-832.0,GS,1574873381
2019-11-27 16:49:42,A851DB,RPA3549,,,,,140.0,269.59,-832.0,GS,1574873382
2019-11-27 16:49:48,A851DB,RPA3549,,,,,140.0,269.18,-640.0,GS,1574873388
2019-11-27 16:49:57,A851DB,RPA3549,,,,,138.0,270.83,-768.0,GS,1574873397
2019-11-27 16:49:57,A851DB,RPA3549,41.9832,-87.55255,5925.0,,,,,,1574873397
2019-11-27 16:50:04,A851DB,RPA3549,41.983340000000005,-87.55841,5825.0,,,,,,1574873404
2019-11-27 16:50:05,A851DB,RPA3549,41.98332,-87.55931,5825.0,,,,,,1574873405
2019-11-27 16:50:06,A851DB,RPA3549,41.983340000000005,-87.56016,5800.0,,,,,,1574873406
2019-11-27 16:50:07,A851DB,RPA3549,41.983340000000005,-87.56090999999999,5800.0,,,,,,1574873407
2019-11-27 16:50:08,A851DB,RPA3549,,,,,138.0,270.42,-896.0,GS,1574873408
2019-11-27 16:50:08,A851DB,RPA3549,41.98337,-87.56174,5775.0,,,,,,1574873408
2019-11-27 16:50:08,A851DB,RPA3549,,,,,138.0,270.42,-896.0,GS,1574873408
2019-11-27 16:50:21,A851DB,RPA3549,41.983290000000004,-87.5729,5625.0,,,,,,1574873421
2019-11-27 16:50:25,A851DB,RPA3549,41.98332,-87.57616999999999,5575.0,,,,,,1574873425
2019-11-27 16:50:27,A851DB,RPA3549,,,,,135.0,271.27,-896.0,GS,1574873427
2019-11-27 16:50:34,A851DB,RPA3549,,,,,132.0,270.0,-704.0,GS,1574873434
2019-11-27 16:50:36,A851DB,RPA3549,,,,,,,,,1574873436
2019-11-27 16:50:37,A851DB,RPA3549,41.98338,-87.58569,5425.0,,,,,,1574873437
2019-11-27 16:50:51,A851DB,RPA3549,41.98338,-87.59693,5300.0,,,,,,1574873451
2019-11-27 16:50:52,A851DB,RPA3549,,,,,125.0,269.54,-896.0,GS,1574873452
2019-11-27 16:50:52,A851DB,RPA3549,,,,,125.0,269.54,-832.0,GS,1574873452
2019-11-27 16:50:57,A851DB,RPA3549,41.98341,-87.60204,5225.0,,,,,,1574873457
2019-11-27 16:50:57,A851DB,RPA3549,,,,,124.0,270.46,-576.0,GS,1574873457
2019-11-27 16:50:58,A851DB,RPA3549,41.98341,-87.60268,5225.0,,,,,,1574873458
2019-11-27 16:51:04,A851DB,RPA3549,,,,,122.0,270.94,-704.0,GS,1574873464
2019-11-27 16:51:06,A851DB,RPA3549,,,,,121.0,270.47,-704.0,GS,1574873466
2019-11-27 16:51:13,A851DB,RPA3549,,,,,120.0,269.52,-768.0,GS,1574873473
2019-11-27 16:51:15,A851DB,RPA3549,41.983509999999995,-87.61514,5050.0,,,,,,1574873475
2019-11-27 16:51:15,A851DB,RPA3549,,,,,119.0,269.52,-768.0,GS,1574873475
2019-11-27 16:51:18,A851DB,RPA3549,,,,,118.0,269.51,-704.0,GS,1574873478
2019-11-27 16:51:20,A851DB,RPA3549,,,,,118.0,270.49,-512.0,GS,1574873480
2019-11-27 16:51:21,A851DB,RPA3549,41.983509999999995,-87.61986,4975.0,,,,,,1574873481
2019-11-27 16:51:22,A851DB,RPA3549,41.98352,-87.62059,4950.0,,,,,,1574873482
2019-11-27 16:51:22,A851DB,RPA3549,,,,,119.0,271.44,-448.0,GS,1574873482
2019-11-27 16:51:29,A851DB,RPA3549,,,,,120.0,270.95,-512.0,GS,1574873489
2019-11-27 16:51:32,A851DB,RPA3549,41.98357,-87.6282,4850.0,,,,,,1574873492
2019-11-27 16:51:33,A851DB,RPA3549,,,,,120.0,270.48,-768.0,GS,1574873493
2019-11-27 16:51:35,A851DB,RPA3549,,,,,,,,,1574873495
2019-11-27 16:51:39,A851DB,RPA3549,,,,,120.0,268.57,-448.0,GS,1574873499
2019-11-27 16:51:40,A851DB,RPA3549,41.98357,-87.63394,4775.0,,,,,,1574873500
2019-11-27 16:51:42,A851DB,RPA3549,41.98352,-87.63538,4750.0,,,,,,1574873502
2019-11-27 16:51:45,A851DB,RPA3549,41.983509999999995,-87.63736,4725.0,,,,,,1574873505
2019-11-27 16:51:45,A851DB,RPA3549,41.983509999999995,-87.63762,4725.0,,,,,,1574873505
2019-11-27 16:51:50,A851DB,RPA3549,41.983509999999995,-87.64126,4675.0,,,,,,1574873510
2019-11-27 16:51:52,A851DB,RPA3549,41.98355,-87.64273,4650.0,,,,,,1574873512
2019-11-27 16:51:59,A851DB,RPA3549,41.98361,-87.64774,4575.0,,,,,,1574873519
2019-11-27 16:51:59,A851DB,RPA3549,,,,,120.0,270.48,-448.0,GS,1574873519
2019-11-27 16:52:01,A851DB,RPA3549,41.98366,-87.64949,4550.0,,,,,,1574873521
2019-11-27 16:52:03,A851DB,RPA3549,41.98365,-87.65059000000001,4550.0,,,,,,1574873523
2019-11-27 16:52:05,A851DB,RPA3549,41.98361,-87.65223,4525.0,,,,,,1574873525
2019-11-27 16:52:11,A851DB,RPA3549,,,,,119.0,268.56,-640.0,GS,1574873531
2019-11-27 16:52:11,A851DB,RPA3549,41.9836,-87.65685,4450.0,,,,,,1574873531
2019-11-27 16:52:12,A851DB,RPA3549,41.98357,-87.65765999999999,4425.0,,,,,,1574873532
2019-11-27 16:52:14,A851DB,RPA3549,,,,,120.0,268.57,-576.0,GS,1574873534
2019-11-27 16:52:15,A851DB,RPA3549,41.98352,-87.65941,4400.0,,,,,,1574873535
2019-11-27 16:52:15,A851DB,RPA3549,,,,,120.0,269.05,-640.0,GS,1574873535
2019-11-27 16:52:15,A851DB,RPA3549,41.98352,-87.65972,4400.0,,,,,,1574873535
2019-11-27 16:52:17,A851DB,RPA3549,,,,,121.0,270.0,-704.0,GS,1574873537
2019-11-27 16:52:18,A851DB,RPA3549,41.98355,-87.66196,4375.0,,,,,,1574873538
2019-11-27 16:52:19,A851DB,RPA3549,,,,,121.0,270.0,-448.0,GS,1574873539
2019-11-27 16:52:20,A851DB,RPA3549,41.98357,-87.66366,4350.0,,,,,,1574873540
2019-11-27 16:52:20,A851DB,RPA3549,,,,,121.0,270.47,-320.0,GS,1574873540
2019-11-27 16:52:21,A851DB,RPA3549,,,,,121.0,270.47,-320.0,GS,1574873541
2019-11-27 16:52:22,A851DB,RPA3549,41.98357,-87.66521999999999,4350.0,,,,,,1574873542
2019-11-27 16:52:23,A851DB,RPA3549,41.98355,-87.66598,4350.0,,,,,,1574873543
2019-11-27 16:52:24,A851DB,RPA3549,,,,,121.0,269.53,-384.0,GS,1574873544
2019-11-27 16:52:25,A851DB,RPA3549,41.98352,-87.66703000000001,4325.0,,,,,,1574873545
2019-11-27 16:52:25,A851DB,RPA3549,41.98352,-87.6674,4325.0,,,,,,1574873545
2019-11-27 16:52:26,A851DB,RPA3549,,,,,120.0,269.52,-512.0,GS,1574873546
2019-11-27 16:52:27,A851DB,RPA3549,,,,,120.0,269.52,-512.0,GS,1574873547
2019-11-27 16:52:29,A851DB,RPA3549,,,,,119.0,270.0,-384.0,GS,1574873549
2019-11-27 16:52:30,A851DB,RPA3549,,,,,119.0,270.48,-384.0,GS,1574873550
2019-11-27 16:52:31,A851DB,RPA3549,,,,,118.0,270.97,-256.0,GS,1574873551
2019-11-27 16:52:33,A851DB,RPA3549,,,,,118.0,270.97,-448.0,GS,1574873553
2019-11-27 16:52:33,A851DB,RPA3549,,,,,118.0,270.97,-384.0,GS,1574873553
2019-11-27 16:52:35,A851DB,RPA3549,41.9836,-87.67435,4275.0,,,,,,1574873555
2019-11-27 16:52:37,A851DB,RPA3549,41.98361,-87.6757,4250.0,,,,,,1574873557
2019-11-27 16:52:37,A851DB,RPA3549,41.9836,-87.67614,4250.0,,,,,,1574873557
2019-11-27 16:52:38,A851DB,RPA3549,,,,,118.0,270.49,-384.0,GS,1574873558
2019-11-27 16:52:38,A851DB,RPA3549,41.9836,-87.67671,4250.0,,,,,,1574873558
2019-11-27 16:52:38,A851DB,RPA3549,41.98361,-87.6772,4250.0,,,,,,1574873558
2019-11-27 16:52:40,A851DB,RPA3549,,,,,119.0,270.96,-384.0,GS,1574873560
2019-11-27 16:52:40,A851DB,RPA3549,41.98361,-87.67814,4225.0,,,,,,1574873560
2019-11-27 16:52:48,A851DB,RPA3549,41.98365,-87.68425,4175.0,,,,,,1574873568
2019-11-27 16:52:50,A851DB,RPA3549,41.98366,-87.68538000000001,4175.0,,,,,,1574873570
2019-11-27 16:52:52,A851DB,RPA3549,41.98366,-87.68688,4175.0,,,,,,1574873572
2019-11-27 16:53:22,A851DB,RPA3549,41.9836,-87.70999,3850.0,,,,,,1574873602
2019-11-27 16:53:24,A851DB,RPA3549,41.98366,-87.71166,3825.0,,,,,,1574873604
2019-11-27 16:56:18,A851DB,RPA3549,,,,,,,,,1574873778
2019-11-27 16:57:01,A851DB,RPA3549,41.98397,-87.87134,1350.0,,,,,,1574873821
2019-11-27 16:57:56,A851DB,RPA3549,41.98389,-87.90491999999999,1050.0,,,,,,1574873876
2019-11-27 16:57:56,A851DB,RPA3549,,,,,45.0,270.0,0.0,GS,1574873876
2019-11-27 16:57:59,A851DB,RPA3549,,,,,39.0,268.53,64.0,GS,1574873879
2019-11-27 16:57:59,A851DB,RPA3549,,,,,38.0,268.49,0.0,GS,1574873879
2019-11-27 16:57:59,A851DB,RPA3549,41.98388,-87.90589,1050.0,,,,,,1574873879
2019-11-27 16:58:01,A851DB,RPA3549,,,,,34.0,266.63,0.0,GS,1574873881
2019-11-27 16:58:06,A851DB,RPA3549,41.98379,-87.90723,1050.0,,,,,,1574873886
2019-11-27 16:58:07,A851DB,RPA3549,,,,,29.0,258.31,0.0,GS,1574873887
2019-11-27 16:58:08,A851DB,RPA3549,,,,,29.0,256.43,0.0,GS,1574873888
2019-11-27 16:58:08,A851DB,RPA3549,,,,,30.0,254.58,0.0,GS,1574873888
2019-11-27 16:58:09,A851DB,RPA3549,41.983740000000004,-87.90762,1050.0,,,,,,1574873889
2019-11-27 16:58:09,A851DB,RPA3549,,,,,,,,,1574873889
2019-11-27 16:58:09,A851DB,RPA3549,41.9837,-87.90773,1050.0,,,,,,1574873889
2019-11-27 16:58:10,A851DB,RPA3549,,,,,29.0,250.35,0.0,GS,1574873890
2019-11-27 16:58:10,A851DB,RPA3549,,,,,29.0,250.35,0.0,GS,1574873890
2019-11-27 16:58:11,A851DB,RPA3549,41.98361,-87.9081,1050.0,,,,,,1574873891
2019-11-27 16:58:11,A851DB,RPA3549,,,,,29.0,247.83,0.0,GS,1574873891
2019-11-27 16:58:12,A851DB,RPA3549,,,,,29.0,247.83,0.0,GS,1574873892
2019-11-27 16:58:12,A851DB,RPA3549,,,,,29.0,246.04,0.0,GS,1574873892
2019-11-27 16:58:13,A851DB,RPA3549,,,,,29.0,246.04,0.0,GS,1574873893
2019-11-27 16:58:13,A851DB,RPA3549,,,,,29.0,246.04,0.0,GS,1574873893
2019-11-27 16:58:14,A851DB,RPA3549,,,,,29.0,244.29,64.0,GS,1574873894
2019-11-27 16:58:15,A851DB,RPA3549,41.98337,-87.9087,1050.0,,,,,,1574873895
2019-11-27 16:58:16,A851DB,RPA3549,41.9833,-87.90892,,,,,,,1574873896
2019-11-27 16:58:17,A851DB,RPA3549,41.98328,-87.90897,,,,,,,1574873897
2019-11-27 16:58:17,A851DB,RPA3549,41.98323,-87.90908,1050.0,,,,,,1574873897
2019-11-27 16:58:18,A851DB,RPA3549,,,,,26.0,238.67,64.0,GS,1574873898
2019-11-27 16:58:19,A851DB,RPA3549,,,,,,,,,1574873899
2019-11-27 16:58:19,A851DB,RPA3549,41.983109999999996,-87.90935,,,,,,,1574873899
2019-11-27 16:58:22,A851DB,RPA3549,41.98296,-87.90969,,,,,,,1574873902
2019-11-27 16:58:23,A851DB,RPA3549,41.9829,-87.90982,,,,,,,1574873903
2019-11-27 16:58:25,A851DB,RPA3549,41.98281,-87.91001999999999,,,,,,,1574873905
2019-11-27 16:58:25,A851DB,RPA3549,41.98277,-87.91011,,,,,,,1574873905
2019-11-27 16:58:26,A851DB,RPA3549,41.98273,-87.9102,,,,,,,1574873906
2019-11-27 16:58:33,A851DB,RPA3549,41.98238,-87.91096,,,,,,,1574873913
2019-11-27 16:58:39,A851DB,RPA3549,,,,,,,,,1574873919
2019-11-27 16:58:46,A851DB,RPA3549,41.981629999999996,-87.91204,,,,,,,1574873926
2019-11-27 16:58:52,A851DB,RPA3549,41.981120000000004,-87.91249,,,,,,,1574873932
2019-11-27 16:58:57,A851DB,RPA3549,41.98069,-87.91279,,,,,,,1574873937
2019-11-27 16:58:58,A851DB,RPA3549,41.98067,-87.91282,,,,,,,1574873938
2019-11-27 16:58:59,A851DB,RPA3549,41.98053,-87.91292,,,,,,,1574873939
2019-11-27 16:59:00,A851DB,RPA3549,41.98049,-87.91293,,,,,,,1574873940
2019-11-27 16:59:00,A851DB,RPA3549,41.98046,-87.91296,,,,,,,1574873940
2019-11-27 16:59:00,A851DB,RPA3549,41.98042,-87.91299000000001,,,,,,,1574873940
2019-11-27 16:59:01,A851DB,RPA3549,41.98038,-87.91301999999999,,,,,,,1574873941
2019-11-27 16:59:02,A851DB,RPA3549,41.980340000000005,-87.91306,,,,,,,1574873942
2019-11-27 16:59:03,A851DB,RPA3549,41.980270000000004,-87.91313000000001,,,,,,,1574873943
2019-11-27 16:59:03,A851DB,RPA3549,41.98025,-87.91315999999999,,,,,,,1574873943
2019-11-27 16:59:04,A851DB,RPA3549,41.98021,-87.9132,,,,,,,1574873944
2019-11-27 16:59:04,A851DB,RPA3549,41.98018,-87.91325,,,,,,,1574873944
2019-11-27 16:59:06,A851DB,RPA3549,41.98008,-87.91342,,,,,,,1574873946
2019-11-27 16:59:07,A851DB,RPA3549,41.98005,-87.91348,,,,,,,1574873947
2019-11-27 16:59:07,A851DB,RPA3549,41.98002,-87.91351999999999,,,,,,,1574873947
2019-11-27 16:59:08,A851DB,RPA3549,41.97997,-87.9136,,,,,,,1574873948
2019-11-27 16:59:10,A851DB,RPA3549,41.979890000000005,-87.91375,,,,,,,1574873950
2019-11-27 16:59:12,A851DB,RPA3549,41.97984,-87.91389000000001,,,,,,,1574873952
2019-11-27 16:59:12,A851DB,RPA3549,41.97981,-87.91391999999999,,,,,,,1574873952
2019-11-27 16:59:13,A851DB,RPA3549,41.97978,-87.914,,,,,,,1574873953
2019-11-27 16:59:14,A851DB,RPA3549,41.97974,-87.91411,,,,,,,1574873954
2019-11-27 16:59:14,A851DB,RPA3549,,,,,,,,,1574873954
2019-11-27 16:59:15,A851DB,RPA3549,41.979729999999996,-87.91415,,,,,,,1574873955
2019-11-27 16:59:16,A851DB,RPA3549,41.979690000000005,-87.91422,,,,,,,1574873956
2019-11-27 16:59:17,A851DB,RPA3549,41.97963,-87.91431999999999,,,,,,,1574873957
2019-11-27 16:59:18,A851DB,RPA3549,41.97958,-87.91438000000001,,,,,,,1574873958
2019-11-27 16:59:19,A851DB,RPA3549,41.97955,-87.9144,,,,,,,1574873959
2019-11-27 16:59:19,A851DB,RPA3549,41.97954,-87.91441999999999,,,,,,,1574873959
2019-11-27 16:59:19,A851DB,RPA3549,,,,,,,,,1574873959
2019-11-27 16:59:20,A851DB,RPA3549,41.97952,-87.91445,,,,,,,1574873960
2019-11-27 16:59:21,A851DB,RPA3549,41.97947,-87.91447,,,,,,,1574873961
2019-11-27 16:59:21,A851DB,RPA3549,41.97945,-87.91448000000001,,,,,,,1574873961
