received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:40:31,A897E4,,,,,,138.0,270.83,-576.0,GS,1574872831
2019-11-27 16:41:45,A897E4,,42.00278,-87.74914,3400.0,,,,,,1574872905
2019-11-27 16:41:49,A897E4,,42.00288,-87.75273,3325.0,,,,,,1574872909
2019-11-27 16:41:52,A897E4,,,,,,129.0,271.33,-640.0,GS,1574872912
2019-11-27 16:41:59,A897E4,,42.00302,-87.76054,3200.0,,,,,,1574872919
2019-11-27 16:42:08,A897E4,,,,,,117.0,269.51,-832.0,GS,1574872928
2019-11-27 16:42:19,A897E4,,,,,,107.0,268.93,-448.0,GS,1574872939
2019-11-27 16:42:53,A897E4,,,,,,115.0,271.49,-704.0,GS,1574872973
2019-11-27 16:43:07,A897E4,,,,,,121.0,270.95,-576.0,GS,1574872987
2019-11-27 16:43:24,A897E4,,42.0033,-87.82209,2225.0,,,,,,1574873004
2019-11-27 16:43:27,A897E4,,,,,,,,,,1574873007
2019-11-27 16:43:28,A897E4,ENY4121,42.00334,-87.82451999999999,2200.0,,,,,,1574873008
2019-11-27 16:43:34,A897E4,ENY4121,,,,,115.0,270.0,-896.0,GS,1574873014
2019-11-27 16:43:37,A897E4,ENY4121,,,,,115.0,269.0,-960.0,GS,1574873017
2019-11-27 16:43:38,A897E4,ENY4121,42.00334,-87.83224,2050.0,,,,,,1574873018
2019-11-27 16:43:41,A897E4,ENY4121,,,,,115.0,269.5,-704.0,GS,1574873021
2019-11-27 16:43:51,A897E4,ENY4121,42.00315,-87.84119,1925.0,,,,,,1574873031
2019-11-27 16:43:51,A897E4,ENY4121,42.00316,-87.84169,1925.0,,,,,,1574873031
2019-11-27 16:44:08,A897E4,ENY4121,,,,,120.0,269.05,-576.0,GS,1574873048
2019-11-27 16:44:09,A897E4,ENY4121,42.00292,-87.85486,1775.0,,,,,,1574873049
2019-11-27 16:44:10,A897E4,ENY4121,,,,,120.0,268.57,-704.0,GS,1574873050
2019-11-27 16:44:11,A897E4,ENY4121,,,,,121.0,268.58,-320.0,GS,1574873051
2019-11-27 16:44:14,A897E4,ENY4121,,,,,123.0,268.6,-512.0,GS,1574873054
2019-11-27 16:44:15,A897E4,ENY4121,,,,,123.0,269.07,-512.0,GS,1574873055
2019-11-27 16:44:15,A897E4,ENY4121,42.00284,-87.85929,1725.0,,,,,,1574873055
2019-11-27 16:44:15,A897E4,ENY4121,,,,,123.0,269.07,-576.0,GS,1574873055
2019-11-27 16:44:16,A897E4,ENY4121,42.002790000000005,-87.85985,1700.0,,,,,,1574873056
