received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:22,A8D5A4,,41.77167,-88.28701,10425.0,,,,,,1574871562
2019-11-27 16:19:25,A8D5A4,,41.775240000000004,-88.2827,10425.0,,,,,,1574871565
2019-11-27 16:19:39,A8D5A4,,41.791990000000006,-88.26254,10325.0,,,,,,1574871579
2019-11-27 16:19:48,A8D5A4,,,,,,315.0,42.04,-576.0,GS,1574871588
2019-11-27 16:20:00,A8D5A4,,41.81374,-88.23631999999999,10075.0,,,,,,1574871600
2019-11-27 16:20:01,A8D5A4,,,,,,,,,,1574871601
2019-11-27 16:20:05,A8D5A4,UAL532,,,,,308.0,41.85,-1216.0,GS,1574871605
2019-11-27 16:20:08,A8D5A4,UAL532,,,,,308.0,41.85,-1216.0,GS,1574871608
2019-11-27 16:20:09,A8D5A4,UAL532,41.823879999999996,-88.22418,9875.0,,,,,,1574871609
2019-11-27 16:20:10,A8D5A4,UAL532,41.8244,-88.22352,9850.0,,,,,,1574871610
2019-11-27 16:20:11,A8D5A4,UAL532,41.826,-88.22165,9825.0,,,,,,1574871611
2019-11-27 16:20:12,A8D5A4,UAL532,,,,,307.0,41.83,-1216.0,GS,1574871612
2019-11-27 16:20:20,A8D5A4,UAL532,,,,,305.0,41.82,-1344.0,GS,1574871620
2019-11-27 16:20:22,A8D5A4,UAL532,41.8371,-88.2084,9575.0,,,,,,1574871622
2019-11-27 16:20:22,A8D5A4,UAL532,,,,,305.0,41.82,-1408.0,GS,1574871622
2019-11-27 16:20:23,A8D5A4,UAL532,41.83868,-88.20648,9550.0,,,,,,1574871623
2019-11-27 16:20:25,A8D5A4,UAL532,,,,,305.0,41.82,-1536.0,GS,1574871625
2019-11-27 16:20:31,A8D5A4,UAL532,41.846790000000006,-88.19674,9350.0,,,,,,1574871631
2019-11-27 16:20:36,A8D5A4,UAL532,41.851729999999996,-88.19075,9225.0,,,,,,1574871636
2019-11-27 16:20:40,A8D5A4,UAL532,,,,,,,,,1574871640
2019-11-27 16:20:42,A8D5A4,UAL532,,,,,308.0,43.95,-1728.0,GS,1574871642
2019-11-27 16:20:45,A8D5A4,UAL532,41.86079,-88.17889,8975.0,,,,,,1574871645
2019-11-27 16:20:45,A8D5A4,UAL532,41.86121,-88.17839000000001,8975.0,,,,,,1574871645
2019-11-27 16:20:46,A8D5A4,UAL532,41.86217,-88.17689,8925.0,,,,,,1574871646
2019-11-27 16:20:48,A8D5A4,UAL532,,,,,312.0,49.02,-1856.0,GS,1574871648
2019-11-27 16:20:48,A8D5A4,UAL532,41.86401,-88.17397,8875.0,,,,,,1574871648
2019-11-27 16:20:50,A8D5A4,UAL532,41.86555,-88.17134,8825.0,,,,,,1574871650
2019-11-27 16:20:51,A8D5A4,UAL532,41.86643,-88.16975,8800.0,,,,,,1574871651
2019-11-27 16:20:54,A8D5A4,UAL532,,,,,317.0,54.36,-1856.0,GS,1574871654
2019-11-27 16:20:55,A8D5A4,UAL532,,,,,,,,,1574871655
2019-11-27 16:20:59,A8D5A4,UAL532,41.87274,-88.15673000000001,8550.0,,,,,,1574871659
2019-11-27 16:20:59,A8D5A4,UAL532,,,,,321.0,59.28,-1216.0,GS,1574871659
2019-11-27 16:20:59,A8D5A4,UAL532,41.873129999999996,-88.15583000000001,8525.0,,,,,,1574871659
2019-11-27 16:20:59,A8D5A4,UAL532,,,,,321.0,59.28,-1152.0,GS,1574871659
2019-11-27 16:21:00,A8D5A4,UAL532,,,,,,,,,1574871660
2019-11-27 16:21:02,A8D5A4,UAL532,,,,,323.0,61.93,-896.0,GS,1574871662
2019-11-27 16:21:07,A8D5A4,UAL532,,,,,325.0,66.66,-256.0,GS,1574871667
2019-11-27 16:21:15,A8D5A4,UAL532,,,,,,,,,1574871675
2019-11-27 16:21:18,A8D5A4,UAL532,41.88295,-88.11978,8425.0,,,,,,1574871678
2019-11-27 16:21:26,A8D5A4,UAL532,41.88458,-88.10435,8450.0,,,,,,1574871686
2019-11-27 16:21:29,A8D5A4,UAL532,41.88487,-88.09874,8450.0,,,,,,1574871689
2019-11-27 16:21:29,A8D5A4,UAL532,41.88492,-88.09793,8450.0,,,,,,1574871689
2019-11-27 16:21:30,A8D5A4,UAL532,41.88496,-88.09593000000001,8450.0,,,,,,1574871690
2019-11-27 16:21:35,A8D5A4,UAL532,41.88491,-88.08601999999999,8450.0,,,,,,1574871695
2019-11-27 16:21:37,A8D5A4,UAL532,,,,,326.0,90.7,-128.0,GS,1574871697
2019-11-27 16:21:39,A8D5A4,UAL532,41.88483,-88.07814,8450.0,,,,,,1574871699
2019-11-27 16:21:41,A8D5A4,UAL532,41.88482,-88.07414,8450.0,,,,,,1574871701
2019-11-27 16:21:41,A8D5A4,UAL532,41.88482,-88.0733,8450.0,,,,,,1574871701
2019-11-27 16:21:42,A8D5A4,UAL532,41.88477,-88.07228,8450.0,,,,,,1574871702
2019-11-27 16:21:43,A8D5A4,UAL532,41.88477,-88.06947,8450.0,,,,,,1574871703
2019-11-27 16:21:44,A8D5A4,UAL532,41.88474,-88.06765,8425.0,,,,,,1574871704
2019-11-27 16:21:45,A8D5A4,UAL532,41.88472,-88.06666,8425.0,,,,,,1574871705
2019-11-27 16:21:45,A8D5A4,UAL532,,,,,325.0,90.71,0.0,GS,1574871705
2019-11-27 16:21:50,A8D5A4,UAL532,,,,,325.0,90.53,-128.0,GS,1574871710
2019-11-27 16:21:58,A8D5A4,UAL532,41.88458,-88.03881,8425.0,,,,,,1574871718
2019-11-27 16:21:59,A8D5A4,UAL532,,,,,326.0,90.35,0.0,GS,1574871719
2019-11-27 16:21:59,A8D5A4,UAL532,,,,,326.0,90.35,0.0,GS,1574871719
2019-11-27 16:21:59,A8D5A4,UAL532,41.8846,-88.03638000000001,8425.0,,,,,,1574871719
2019-11-27 16:22:02,A8D5A4,UAL532,41.88455,-88.03157,8425.0,,,,,,1574871722
2019-11-27 16:22:03,A8D5A4,UAL532,41.88455,-88.02852,8425.0,,,,,,1574871723
2019-11-27 16:22:04,A8D5A4,UAL532,,,,,327.0,90.35,64.0,GS,1574871724
2019-11-27 16:22:04,A8D5A4,UAL532,,,,,327.0,90.35,64.0,GS,1574871724
2019-11-27 16:22:05,A8D5A4,UAL532,41.88455,-88.02483000000001,8450.0,,,,,,1574871725
2019-11-27 16:22:05,A8D5A4,UAL532,,,,,327.0,90.35,64.0,GS,1574871725
2019-11-27 16:22:06,A8D5A4,UAL532,41.88454,-88.02387,8450.0,,,,,,1574871726
2019-11-27 16:22:06,A8D5A4,UAL532,,,,,327.0,90.35,64.0,GS,1574871726
2019-11-27 16:22:07,A8D5A4,UAL532,,,,,328.0,90.35,0.0,GS,1574871727
2019-11-27 16:22:10,A8D5A4,UAL532,41.88451,-88.01572,8450.0,,,,,,1574871730
2019-11-27 16:22:10,A8D5A4,UAL532,,,,,328.0,90.52,0.0,GS,1574871730
2019-11-27 16:22:13,A8D5A4,UAL532,41.884440000000005,-88.01001,8450.0,,,,,,1574871733
2019-11-27 16:22:14,A8D5A4,UAL532,,,,,329.0,90.35,0.0,GS,1574871734
2019-11-27 16:22:15,A8D5A4,UAL532,41.884409999999995,-88.00591999999999,8450.0,,,,,,1574871735
2019-11-27 16:22:16,A8D5A4,UAL532,,,,,330.0,90.35,0.0,GS,1574871736
2019-11-27 16:22:17,A8D5A4,UAL532,41.884409999999995,-88.00161,8450.0,,,,,,1574871737
2019-11-27 16:22:17,A8D5A4,UAL532,,,,,330.0,90.35,0.0,GS,1574871737
2019-11-27 16:22:17,A8D5A4,UAL532,,,,,330.0,90.35,0.0,GS,1574871737
2019-11-27 16:22:18,A8D5A4,UAL532,41.8844,-87.99857,8450.0,,,,,,1574871738
2019-11-27 16:22:19,A8D5A4,UAL532,41.884409999999995,-87.99668,8450.0,,,,,,1574871739
2019-11-27 16:22:20,A8D5A4,UAL532,41.8844,-87.99385,8450.0,,,,,,1574871740
2019-11-27 16:22:21,A8D5A4,UAL532,41.884370000000004,-87.99280999999999,8450.0,,,,,,1574871741
2019-11-27 16:22:21,A8D5A4,UAL532,,,,,331.0,90.35,0.0,GS,1574871741
2019-11-27 16:22:24,A8D5A4,UAL532,41.88435,-87.98746,8450.0,,,,,,1574871744
2019-11-27 16:22:24,A8D5A4,UAL532,,,,,331.0,90.35,0.0,GS,1574871744
2019-11-27 16:22:24,A8D5A4,UAL532,41.88435,-87.98663,8450.0,,,,,,1574871744
2019-11-27 16:22:25,A8D5A4,UAL532,41.88435,-87.98458000000001,8450.0,,,,,,1574871745
2019-11-27 16:22:27,A8D5A4,UAL532,41.88435,-87.9803,8450.0,,,,,,1574871747
2019-11-27 16:22:27,A8D5A4,UAL532,41.88432,-87.97926,8450.0,,,,,,1574871747
2019-11-27 16:22:28,A8D5A4,UAL532,,,,,332.0,90.35,0.0,GS,1574871748
2019-11-27 16:22:28,A8D5A4,UAL532,41.88432,-87.97758,8450.0,,,,,,1574871748
2019-11-27 16:22:30,A8D5A4,UAL532,,,,,332.0,90.17,64.0,GS,1574871750
2019-11-27 16:22:30,A8D5A4,UAL532,41.88432,-87.9739,8450.0,,,,,,1574871750
2019-11-27 16:22:31,A8D5A4,UAL532,41.88431,-87.97264,8450.0,,,,,,1574871751
2019-11-27 16:22:31,A8D5A4,UAL532,,,,,332.0,90.17,0.0,GS,1574871751
2019-11-27 16:22:32,A8D5A4,UAL532,41.88431,-87.96976,8450.0,,,,,,1574871752
2019-11-27 16:22:33,A8D5A4,UAL532,,,,,332.0,90.0,0.0,GS,1574871753
2019-11-27 16:22:33,A8D5A4,UAL532,,,,,332.0,90.0,-64.0,GS,1574871753
2019-11-27 16:22:35,A8D5A4,UAL532,,,,,,,,,1574871755
2019-11-27 16:22:36,A8D5A4,UAL532,,,,,332.0,90.0,-64.0,GS,1574871756
2019-11-27 16:22:36,A8D5A4,UAL532,41.88431,-87.96197,8450.0,,,,,,1574871756
2019-11-27 16:22:36,A8D5A4,UAL532,41.88432,-87.96091,8450.0,,,,,,1574871756
2019-11-27 16:22:38,A8D5A4,UAL532,,,,,332.0,89.83,0.0,GS,1574871758
2019-11-27 16:22:39,A8D5A4,UAL532,,,,,332.0,89.83,0.0,GS,1574871759
2019-11-27 16:22:39,A8D5A4,UAL532,41.88432,-87.95579000000001,8450.0,,,,,,1574871759
2019-11-27 16:22:41,A8D5A4,UAL532,,,,,,,,,1574871761
2019-11-27 16:22:41,A8D5A4,UAL532,,,,,332.0,89.83,0.0,GS,1574871761
2019-11-27 16:22:44,A8D5A4,UAL532,41.884370000000004,-87.94612,8425.0,,,,,,1574871764
2019-11-27 16:22:44,A8D5A4,UAL532,,,,,332.0,89.65,0.0,GS,1574871764
2019-11-27 16:22:45,A8D5A4,UAL532,41.884370000000004,-87.94406,8425.0,,,,,,1574871765
2019-11-27 16:22:45,A8D5A4,UAL532,41.884370000000004,-87.94325,8425.0,,,,,,1574871765
2019-11-27 16:22:45,A8D5A4,UAL532,,,,,332.0,89.65,0.0,GS,1574871765
2019-11-27 16:22:47,A8D5A4,UAL532,,,,,332.0,89.65,0.0,GS,1574871767
2019-11-27 16:22:49,A8D5A4,UAL532,,,,,332.0,89.83,-64.0,GS,1574871769
2019-11-27 16:22:50,A8D5A4,UAL532,,,,,332.0,89.83,-64.0,GS,1574871770
2019-11-27 16:22:51,A8D5A4,UAL532,41.8844,-87.93195,8425.0,,,,,,1574871771
2019-11-27 16:22:51,A8D5A4,UAL532,,,,,331.0,89.83,-128.0,GS,1574871771
2019-11-27 16:22:51,A8D5A4,UAL532,41.8844,-87.93111999999999,8425.0,,,,,,1574871771
2019-11-27 16:22:52,A8D5A4,UAL532,41.8844,-87.92806,8425.0,,,,,,1574871772
2019-11-27 16:22:53,A8D5A4,UAL532,,,,,330.0,89.83,-64.0,GS,1574871773
2019-11-27 16:22:54,A8D5A4,UAL532,41.884440000000005,-87.92600999999999,8425.0,,,,,,1574871774
2019-11-27 16:22:54,A8D5A4,UAL532,,,,,330.0,89.83,-64.0,GS,1574871774
2019-11-27 16:22:54,A8D5A4,UAL532,41.884409999999995,-87.92501999999999,8425.0,,,,,,1574871774
2019-11-27 16:22:55,A8D5A4,UAL532,41.884440000000005,-87.92397,8425.0,,,,,,1574871775
2019-11-27 16:22:55,A8D5A4,UAL532,,,,,329.0,89.83,-64.0,GS,1574871775
2019-11-27 16:22:55,A8D5A4,UAL532,41.884409999999995,-87.92296,8425.0,,,,,,1574871775
2019-11-27 16:22:55,A8D5A4,UAL532,,,,,329.0,89.83,-64.0,GS,1574871775
2019-11-27 16:22:56,A8D5A4,UAL532,41.884440000000005,-87.92097,8425.0,,,,,,1574871776
2019-11-27 16:22:56,A8D5A4,UAL532,,,,,328.0,89.83,0.0,GS,1574871776
2019-11-27 16:22:57,A8D5A4,UAL532,41.884440000000005,-87.91975,8425.0,,,,,,1574871777
2019-11-27 16:22:57,A8D5A4,UAL532,,,,,327.0,89.82,64.0,GS,1574871777
2019-11-27 16:22:58,A8D5A4,UAL532,41.884440000000005,-87.91592,8425.0,,,,,,1574871778
2019-11-27 16:23:00,A8D5A4,UAL532,41.88446,-87.91372,8425.0,,,,,,1574871780
2019-11-27 16:23:00,A8D5A4,UAL532,,,,,324.0,89.82,192.0,GS,1574871780
2019-11-27 16:23:02,A8D5A4,UAL532,41.88446,-87.90954,8425.0,,,,,,1574871782
2019-11-27 16:23:02,A8D5A4,UAL532,,,,,321.0,89.82,256.0,GS,1574871782
2019-11-27 16:23:02,A8D5A4,UAL532,41.88446,-87.90798000000001,8425.0,,,,,,1574871782
2019-11-27 16:23:03,A8D5A4,UAL532,41.88449,-87.90602,8450.0,,,,,,1574871783
2019-11-27 16:23:05,A8D5A4,UAL532,,,,,318.0,89.82,256.0,GS,1574871785
2019-11-27 16:23:08,A8D5A4,UAL532,41.88451,-87.89668,8450.0,,,,,,1574871788
2019-11-27 16:23:09,A8D5A4,UAL532,,,,,312.0,89.82,64.0,GS,1574871789
2019-11-27 16:23:09,A8D5A4,UAL532,41.88451,-87.89474,8450.0,,,,,,1574871789
2019-11-27 16:23:09,A8D5A4,UAL532,,,,,311.0,89.82,0.0,GS,1574871789
2019-11-27 16:23:10,A8D5A4,UAL532,,,,,311.0,89.82,0.0,GS,1574871790
2019-11-27 16:23:10,A8D5A4,UAL532,,,,,,,,,1574871790
2019-11-27 16:23:12,A8D5A4,UAL532,41.88451,-87.88963000000001,8450.0,,,,,,1574871792
2019-11-27 16:23:12,A8D5A4,UAL532,,,,,308.0,89.81,-128.0,GS,1574871792
2019-11-27 16:23:13,A8D5A4,UAL532,,,,,307.0,89.81,-128.0,GS,1574871793
2019-11-27 16:23:14,A8D5A4,UAL532,41.88455,-87.88563,8450.0,,,,,,1574871794
2019-11-27 16:23:14,A8D5A4,UAL532,,,,,306.0,89.81,-128.0,GS,1574871794
2019-11-27 16:23:15,A8D5A4,UAL532,41.88454,-87.88475,8450.0,,,,,,1574871795
2019-11-27 16:23:15,A8D5A4,UAL532,,,,,304.0,90.0,-64.0,GS,1574871795
2019-11-27 16:23:15,A8D5A4,UAL532,41.88455,-87.88376,8450.0,,,,,,1574871795
2019-11-27 16:23:15,A8D5A4,UAL532,,,,,,,,,1574871795
2019-11-27 16:23:17,A8D5A4,UAL532,41.88455,-87.87989,8450.0,,,,,,1574871797
2019-11-27 16:23:17,A8D5A4,UAL532,,,,,302.0,90.0,64.0,GS,1574871797
2019-11-27 16:23:19,A8D5A4,UAL532,,,,,299.0,90.0,192.0,GS,1574871799
2019-11-27 16:23:20,A8D5A4,UAL532,41.88455,-87.87451999999999,8450.0,,,,,,1574871800
2019-11-27 16:23:20,A8D5A4,UAL532,,,,,,,,,1574871800
2019-11-27 16:23:20,A8D5A4,UAL532,41.88455,-87.87383,8450.0,,,,,,1574871800
2019-11-27 16:23:21,A8D5A4,UAL532,,,,,296.0,90.0,128.0,GS,1574871801
2019-11-27 16:23:21,A8D5A4,UAL532,41.88454,-87.87286999999999,8450.0,,,,,,1574871801
2019-11-27 16:23:21,A8D5A4,UAL532,,,,,296.0,90.0,64.0,GS,1574871801
2019-11-27 16:23:22,A8D5A4,UAL532,41.88455,-87.87109,8450.0,,,,,,1574871802
2019-11-27 16:23:22,A8D5A4,UAL532,,,,,295.0,90.0,0.0,GS,1574871802
2019-11-27 16:23:22,A8D5A4,UAL532,41.88455,-87.87034,8450.0,,,,,,1574871802
2019-11-27 16:23:23,A8D5A4,UAL532,41.88454,-87.86948000000001,8450.0,,,,,,1574871803
2019-11-27 16:23:23,A8D5A4,UAL532,,,,,293.0,90.0,-128.0,GS,1574871803
2019-11-27 16:23:23,A8D5A4,UAL532,41.88455,-87.86853,8450.0,,,,,,1574871803
2019-11-27 16:23:24,A8D5A4,UAL532,41.88455,-87.86747,8450.0,,,,,,1574871804
2019-11-27 16:23:24,A8D5A4,UAL532,41.88454,-87.86641999999999,8450.0,,,,,,1574871804
2019-11-27 16:23:25,A8D5A4,UAL532,,,,,291.0,90.0,-192.0,GS,1574871805
2019-11-27 16:23:26,A8D5A4,UAL532,41.88454,-87.86393000000001,8450.0,,,,,,1574871806
2019-11-27 16:23:26,A8D5A4,UAL532,,,,,289.0,90.0,-192.0,GS,1574871806
2019-11-27 16:23:28,A8D5A4,UAL532,,,,,287.0,90.2,-192.0,GS,1574871808
2019-11-27 16:23:28,A8D5A4,UAL532,41.88455,-87.85965999999999,8450.0,,,,,,1574871808
2019-11-27 16:23:29,A8D5A4,UAL532,41.88451,-87.85898,8450.0,,,,,,1574871809
2019-11-27 16:23:29,A8D5A4,UAL532,41.88451,-87.85792,8450.0,,,,,,1574871809
2019-11-27 16:23:30,A8D5A4,UAL532,41.88451,-87.85723,8450.0,,,,,,1574871810
2019-11-27 16:23:31,A8D5A4,UAL532,,,,,284.0,90.2,-192.0,GS,1574871811
2019-11-27 16:23:32,A8D5A4,UAL532,,,,,283.0,90.2,-192.0,GS,1574871812
2019-11-27 16:23:32,A8D5A4,UAL532,,,,,283.0,90.2,-192.0,GS,1574871812
2019-11-27 16:23:33,A8D5A4,UAL532,41.88454,-87.85128,8425.0,,,,,,1574871813
2019-11-27 16:23:34,A8D5A4,UAL532,41.88454,-87.85038,8425.0,,,,,,1574871814
2019-11-27 16:23:34,A8D5A4,UAL532,41.88454,-87.84936,8425.0,,,,,,1574871814
2019-11-27 16:23:35,A8D5A4,UAL532,,,,,279.0,90.21,-128.0,GS,1574871815
2019-11-27 16:23:36,A8D5A4,UAL532,41.88454,-87.84700000000001,8425.0,,,,,,1574871816
2019-11-27 16:23:36,A8D5A4,UAL532,,,,,278.0,90.21,-128.0,GS,1574871816
2019-11-27 16:23:36,A8D5A4,UAL532,41.88454,-87.8463,8425.0,,,,,,1574871816
2019-11-27 16:23:37,A8D5A4,UAL532,41.88451,-87.84524,8425.0,,,,,,1574871817
2019-11-27 16:23:37,A8D5A4,UAL532,,,,,277.0,90.21,-128.0,GS,1574871817
2019-11-27 16:23:38,A8D5A4,UAL532,41.88449,-87.84342,8425.0,,,,,,1574871818
2019-11-27 16:23:38,A8D5A4,UAL532,,,,,276.0,90.21,-128.0,GS,1574871818
2019-11-27 16:23:39,A8D5A4,UAL532,,,,,275.0,90.21,-128.0,GS,1574871819
2019-11-27 16:23:39,A8D5A4,UAL532,,,,,274.0,90.21,-128.0,GS,1574871819
2019-11-27 16:23:40,A8D5A4,UAL532,41.88449,-87.83914,8400.0,,,,,,1574871820
2019-11-27 16:23:40,A8D5A4,UAL532,,,,,273.0,90.21,-128.0,GS,1574871820
2019-11-27 16:23:41,A8D5A4,UAL532,,,,,273.0,90.21,-64.0,GS,1574871821
2019-11-27 16:23:41,A8D5A4,UAL532,,,,,273.0,90.21,-64.0,GS,1574871821
2019-11-27 16:23:42,A8D5A4,UAL532,41.88451,-87.83669,8400.0,,,,,,1574871822
2019-11-27 16:23:42,A8D5A4,UAL532,41.88449,-87.83582,8400.0,,,,,,1574871822
2019-11-27 16:23:43,A8D5A4,UAL532,41.88451,-87.83482,8400.0,,,,,,1574871823
2019-11-27 16:23:43,A8D5A4,UAL532,41.88449,-87.83397,8400.0,,,,,,1574871823
2019-11-27 16:23:43,A8D5A4,UAL532,,,,,270.0,90.21,0.0,GS,1574871823
2019-11-27 16:23:44,A8D5A4,UAL532,41.88449,-87.83333,8400.0,,,,,,1574871824
2019-11-27 16:23:44,A8D5A4,UAL532,,,,,270.0,90.21,0.0,GS,1574871824
2019-11-27 16:23:46,A8D5A4,UAL532,41.88451,-87.8297,8400.0,,,,,,1574871826
