received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:12:09,A8EE50,,,,,,184.0,269.07,-192.0,GS,1574874729
2019-11-27 17:12:23,A8EE50,,,,,,180.0,269.36,-64.0,GS,1574874743
2019-11-27 17:12:23,A8EE50,,41.982279999999996,-87.4023,7375.0,,,,,,1574874743
2019-11-27 17:12:38,A8EE50,,41.98239,-87.4186,7425.0,,,,,,1574874758
2019-11-27 17:13:47,A8EE50,,,,,,145.0,269.21,-384.0,GS,1574874827
2019-11-27 17:14:02,A8EE50,,41.98297,-87.49662,7225.0,,,,,,1574874842
2019-11-27 17:14:14,A8EE50,,,,,,148.0,270.39,-704.0,GS,1574874854
2019-11-27 17:14:18,A8EE50,,41.983059999999995,-87.51122,7050.0,,,,,,1574874858
2019-11-27 17:14:20,A8EE50,,41.983059999999995,-87.51309,7050.0,,,,,,1574874860
2019-11-27 17:14:26,A8EE50,,,,,,150.0,270.0,-1280.0,GS,1574874866
2019-11-27 17:14:28,A8EE50,,,,,,151.0,270.0,-1088.0,GS,1574874868
2019-11-27 17:14:33,A8EE50,,41.983090000000004,-87.52533000000001,6775.0,,,,,,1574874873
2019-11-27 17:14:34,A8EE50,,,,,,152.0,270.0,-704.0,GS,1574874874
2019-11-27 17:14:35,A8EE50,,,,,,152.0,270.0,-896.0,GS,1574874875
2019-11-27 17:14:37,A8EE50,,41.983059999999995,-87.52883,6725.0,,,,,,1574874877
2019-11-27 17:14:38,A8EE50,,41.983059999999995,-87.52995,6700.0,,,,,,1574874878
2019-11-27 17:14:39,A8EE50,,,,,,153.0,270.0,-1088.0,GS,1574874879
2019-11-27 17:14:39,A8EE50,,41.983090000000004,-87.53089,6675.0,,,,,,1574874879
2019-11-27 17:14:41,A8EE50,,41.983090000000004,-87.5328,6650.0,,,,,,1574874881
2019-11-27 17:14:41,A8EE50,,,,,,152.0,270.0,-1088.0,GS,1574874881
2019-11-27 17:14:42,A8EE50,,,,,,151.0,270.0,-896.0,GS,1574874882
2019-11-27 17:14:43,A8EE50,,,,,,151.0,270.0,-1024.0,GS,1574874883
2019-11-27 17:14:48,A8EE50,,41.98304,-87.53950999999999,6525.0,,,,,,1574874888
2019-11-27 17:14:52,A8EE50,,,,,,145.0,270.4,-896.0,GS,1574874892
2019-11-27 17:14:52,A8EE50,,41.983090000000004,-87.54315,6475.0,,,,,,1574874892
2019-11-27 17:14:58,A8EE50,,,,,,143.0,270.8,-960.0,GS,1574874898
2019-11-27 17:15:04,A8EE50,,41.98318,-87.55356,6300.0,,,,,,1574874904
2019-11-27 17:15:06,A8EE50,,41.98323,-87.55535,6275.0,,,,,,1574874906
2019-11-27 17:15:06,A8EE50,,,,,,142.0,271.21,-896.0,GS,1574874906
2019-11-27 17:15:09,A8EE50,,41.98325,-87.55798,6225.0,,,,,,1574874909
2019-11-27 17:15:11,A8EE50,,,,,,141.0,271.22,-768.0,GS,1574874911
2019-11-27 17:15:12,A8EE50,,,,,,,,,,1574874912
2019-11-27 17:15:14,A8EE50,ENY4147,41.98332,-87.56238,6150.0,,,,,,1574874914
2019-11-27 17:15:14,A8EE50,ENY4147,,,,,141.0,271.22,-832.0,GS,1574874914
2019-11-27 17:15:16,A8EE50,ENY4147,41.983340000000005,-87.56359,6150.0,,,,,,1574874916
2019-11-27 17:15:16,A8EE50,ENY4147,,,,,140.0,271.23,-832.0,GS,1574874916
2019-11-27 17:15:20,A8EE50,ENY4147,41.98341,-87.56761,6075.0,,,,,,1574874920
2019-11-27 17:15:22,A8EE50,ENY4147,41.98346,-87.56934,6050.0,,,,,,1574874922
2019-11-27 17:15:24,A8EE50,ENY4147,,,,,139.0,271.24,-704.0,GS,1574874924
2019-11-27 17:15:25,A8EE50,ENY4147,41.983470000000004,-87.5719,6025.0,,,,,,1574874925
