received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:27:40,A9AB87,,,,,,424.0,339.73,0.0,GS,1574872060
2019-11-27 16:29:06,A9AB87,,,,,,428.0,339.96,0.0,GS,1574872146
2019-11-27 16:29:12,A9AB87,,41.24296,-87.33725,32025.0,,,,,,1574872152
2019-11-27 16:30:20,A9AB87,,41.37039,-87.40015,32000.0,,,,,,1574872220
2019-11-27 16:30:24,A9AB87,,,,,,427.0,339.62,64.0,GS,1574872224
2019-11-27 16:30:24,A9AB87,,41.37777,-87.40379,32025.0,,,,,,1574872224
2019-11-27 16:30:26,A9AB87,,,,,,427.0,339.74,64.0,GS,1574872226
2019-11-27 16:30:29,A9AB87,,41.38708,-87.40838000000001,32025.0,,,,,,1574872229
2019-11-27 16:30:29,A9AB87,,,,,,427.0,339.87,64.0,GS,1574872229
2019-11-27 16:30:30,A9AB87,,41.388009999999994,-87.40881999999999,32025.0,,,,,,1574872230
2019-11-27 16:30:30,A9AB87,,,,,,427.0,339.87,64.0,GS,1574872230
2019-11-27 16:30:30,A9AB87,,41.38889,-87.40921999999999,32025.0,,,,,,1574872230
2019-11-27 16:30:32,A9AB87,,41.39285,-87.41119,32025.0,,,,,,1574872232
2019-11-27 16:30:33,A9AB87,,41.39365,-87.41153,32025.0,,,,,,1574872233
2019-11-27 16:30:35,A9AB87,,41.39799,-87.41366,32025.0,,,,,,1574872235
2019-11-27 16:30:35,A9AB87,,,,,,426.0,339.82,64.0,GS,1574872235
2019-11-27 16:30:38,A9AB87,,41.4037,-87.41642,32025.0,,,,,,1574872238
2019-11-27 16:30:39,A9AB87,,,,,,426.0,339.82,64.0,GS,1574872239
2019-11-27 16:30:40,A9AB87,,41.40761,-87.41834,32050.0,,,,,,1574872240
2019-11-27 16:30:42,A9AB87,,41.41008,-87.41955,32050.0,,,,,,1574872242
2019-11-27 16:30:46,A9AB87,,41.41891,-87.42389,32050.0,,,,,,1574872246
2019-11-27 16:30:47,A9AB87,,,,,,425.0,339.78,0.0,GS,1574872247
2019-11-27 16:30:50,A9AB87,,41.426320000000004,-87.42754000000001,32050.0,,,,,,1574872250
2019-11-27 16:30:52,A9AB87,,41.42949,-87.42907,32050.0,,,,,,1574872252
2019-11-27 16:30:53,A9AB87,,,,,,425.0,339.78,0.0,GS,1574872253
2019-11-27 16:30:58,A9AB87,,,,,,424.0,339.73,-256.0,GS,1574872258
2019-11-27 16:31:21,A9AB87,,,,,,424.0,339.73,-1408.0,GS,1574872281
