received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:57:33,A9AD36,,41.59131,-88.55057,12375.0,,,,,,1574873853
2019-11-27 16:57:41,A9AD36,,,,,,405.0,55.14,-1024.0,GS,1574873861
2019-11-27 16:57:42,A9AD36,,41.60143,-88.5312,12200.0,,,,,,1574873862
2019-11-27 16:58:15,A9AD36,,,,,,404.0,55.17,-960.0,GS,1574873895
2019-11-27 16:59:08,A9AD36,,,,,,391.0,55.09,-1024.0,GS,1574873948
2019-11-27 16:59:12,A9AD36,,41.69659,-88.34955,10700.0,,,,,,1574873952
2019-11-27 16:59:17,A9AD36,,,,,,390.0,55.21,-832.0,GS,1574873957
2019-11-27 16:59:18,A9AD36,,,,,,390.0,55.21,-832.0,GS,1574873958
2019-11-27 16:59:50,A9AD36,,,,,,395.0,55.1,-128.0,GS,1574873990
2019-11-27 16:59:50,A9AD36,,41.736779999999996,-88.27259000000001,10400.0,,,,,,1574873990
2019-11-27 16:59:50,A9AD36,,,,,,395.0,55.1,-128.0,GS,1574873990
2019-11-27 17:00:03,A9AD36,,,,,,393.0,55.14,64.0,GS,1574874003
2019-11-27 17:00:03,A9AD36,,41.75028,-88.24672,10400.0,,,,,,1574874003
2019-11-27 17:00:09,A9AD36,,,,,,393.0,55.26,0.0,GS,1574874009
2019-11-27 17:00:11,A9AD36,,,,,,393.0,55.26,-64.0,GS,1574874011
2019-11-27 17:00:24,A9AD36,,,,,,395.0,55.19,0.0,GS,1574874024
2019-11-27 17:00:25,A9AD36,,41.77342,-88.20239000000001,10400.0,,,,,,1574874025
2019-11-27 17:00:28,A9AD36,,,,,,395.0,55.19,64.0,GS,1574874028
2019-11-27 17:00:32,A9AD36,,41.7805,-88.18881999999999,10400.0,,,,,,1574874032
2019-11-27 17:00:33,A9AD36,,41.781009999999995,-88.18782,10400.0,,,,,,1574874033
2019-11-27 17:00:33,A9AD36,,,,,,396.0,55.27,0.0,GS,1574874033
2019-11-27 17:00:49,A9AD36,,41.79846,-88.15417,10400.0,,,,,,1574874049
