received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:24:57,A9D5E5,,42.002520000000004,-87.68632,4275.0,,,,,,1574875497
2019-11-27 17:27:03,A9D5E5,,42.00278,-87.80535,2475.0,,,,,,1574875623
2019-11-27 17:27:04,A9D5E5,,42.002790000000005,-87.80573000000001,2475.0,,,,,,1574875624
2019-11-27 17:27:04,A9D5E5,,42.00278,-87.80611999999999,2450.0,,,,,,1574875624
2019-11-27 17:27:05,A9D5E5,,,,,,126.0,269.55,-640.0,GS,1574875625
2019-11-27 17:27:09,A9D5E5,,,,,,122.0,269.06,-768.0,GS,1574875629
2019-11-27 17:27:19,A9D5E5,,,,,,116.0,270.49,-512.0,GS,1574875639
2019-11-27 17:27:19,A9D5E5,,,,,,117.0,270.98,-640.0,GS,1574875639
2019-11-27 17:27:20,A9D5E5,,42.002790000000005,-87.81784,2350.0,,,,,,1574875640
2019-11-27 17:27:21,A9D5E5,,42.002790000000005,-87.81853000000001,2325.0,,,,,,1574875641
2019-11-27 17:27:22,A9D5E5,,,,,,118.0,270.49,-960.0,GS,1574875642
2019-11-27 17:27:28,A9D5E5,,42.00278,-87.82349,2225.0,,,,,,1574875648
2019-11-27 17:27:30,A9D5E5,,,,,,119.0,270.48,-768.0,GS,1574875650
2019-11-27 17:27:31,A9D5E5,,42.002790000000005,-87.82614000000001,2175.0,,,,,,1574875651
2019-11-27 17:27:32,A9D5E5,,,,,,119.0,270.96,-768.0,GS,1574875652
2019-11-27 17:27:32,A9D5E5,,,,,,,,,,1574875652
2019-11-27 17:27:33,A9D5E5,UAL1251,42.00278,-87.82751999999999,2150.0,,,,,,1574875653
2019-11-27 17:27:33,A9D5E5,UAL1251,42.00278,-87.82796,2150.0,,,,,,1574875653
2019-11-27 17:27:34,A9D5E5,UAL1251,42.002829999999996,-87.82822,2150.0,,,,,,1574875654
2019-11-27 17:27:34,A9D5E5,UAL1251,,,,,119.0,270.48,-576.0,GS,1574875654
2019-11-27 17:27:35,A9D5E5,UAL1251,42.002790000000005,-87.82889,2125.0,,,,,,1574875655
2019-11-27 17:27:36,A9D5E5,UAL1251,42.002829999999996,-87.82963000000001,2125.0,,,,,,1574875656
2019-11-27 17:27:36,A9D5E5,UAL1251,,,,,120.0,270.0,-640.0,GS,1574875656
2019-11-27 17:27:36,A9D5E5,UAL1251,42.002829999999996,-87.83006999999999,2125.0,,,,,,1574875656
2019-11-27 17:27:37,A9D5E5,UAL1251,,,,,120.0,270.0,-704.0,GS,1574875657
2019-11-27 17:27:37,A9D5E5,UAL1251,,,,,,,,,1574875657
2019-11-27 17:27:37,A9D5E5,UAL1251,42.002790000000005,-87.83045,2100.0,,,,,,1574875657
2019-11-27 17:27:38,A9D5E5,UAL1251,,,,,119.0,270.0,-640.0,GS,1574875658
2019-11-27 17:27:38,A9D5E5,UAL1251,42.002790000000005,-87.83107,2100.0,,,,,,1574875658
2019-11-27 17:27:38,A9D5E5,UAL1251,,,,,119.0,270.0,-640.0,GS,1574875658
2019-11-27 17:27:38,A9D5E5,UAL1251,42.002829999999996,-87.83140999999999,2100.0,,,,,,1574875658
2019-11-27 17:27:41,A9D5E5,UAL1251,42.002790000000005,-87.83363,2050.0,,,,,,1574875661
2019-11-27 17:27:45,A9D5E5,UAL1251,42.00278,-87.83665,2025.0,,,,,,1574875665
2019-11-27 17:27:47,A9D5E5,UAL1251,,,,,117.0,270.0,-704.0,GS,1574875667
2019-11-27 17:27:50,A9D5E5,UAL1251,,,,,117.0,270.49,-640.0,GS,1574875670
2019-11-27 17:27:50,A9D5E5,UAL1251,42.002790000000005,-87.83994,1975.0,,,,,,1574875670
2019-11-27 17:27:51,A9D5E5,UAL1251,42.00278,-87.84087,1950.0,,,,,,1574875671
2019-11-27 17:27:51,A9D5E5,UAL1251,,,,,118.0,270.97,-640.0,GS,1574875671
2019-11-27 17:27:52,A9D5E5,UAL1251,42.002790000000005,-87.84125,1950.0,,,,,,1574875672
2019-11-27 17:27:52,A9D5E5,UAL1251,,,,,118.0,270.97,-640.0,GS,1574875672
2019-11-27 17:27:52,A9D5E5,UAL1251,,,,,,,,,1574875672
2019-11-27 17:27:53,A9D5E5,UAL1251,42.002790000000005,-87.84200000000001,1925.0,,,,,,1574875673
2019-11-27 17:27:53,A9D5E5,UAL1251,42.00278,-87.8424,1925.0,,,,,,1574875673
2019-11-27 17:27:54,A9D5E5,UAL1251,42.002790000000005,-87.84306,1925.0,,,,,,1574875674
2019-11-27 17:27:55,A9D5E5,UAL1251,42.00278,-87.84342,1900.0,,,,,,1574875675
2019-11-27 17:27:55,A9D5E5,UAL1251,42.002829999999996,-87.84393,1900.0,,,,,,1574875675
2019-11-27 17:27:56,A9D5E5,UAL1251,42.00284,-87.84431,1900.0,,,,,,1574875676
2019-11-27 17:27:58,A9D5E5,UAL1251,,,,,115.0,271.0,-704.0,GS,1574875678
2019-11-27 17:28:00,A9D5E5,UAL1251,42.00284,-87.84705,1850.0,,,,,,1574875680
2019-11-27 17:28:01,A9D5E5,UAL1251,42.00287,-87.84777,1850.0,,,,,,1574875681
2019-11-27 17:28:01,A9D5E5,UAL1251,,,,,114.0,270.0,-640.0,GS,1574875681
2019-11-27 17:28:04,A9D5E5,UAL1251,42.00288,-87.85018000000001,1800.0,,,,,,1574875684
2019-11-27 17:28:04,A9D5E5,UAL1251,42.00288,-87.85049000000001,1800.0,,,,,,1574875684
2019-11-27 17:28:05,A9D5E5,UAL1251,,,,,116.0,270.99,-704.0,GS,1574875685
2019-11-27 17:28:10,A9D5E5,UAL1251,42.00287,-87.85434000000001,1750.0,,,,,,1574875690
2019-11-27 17:28:11,A9D5E5,UAL1251,,,,,117.0,269.02,-576.0,GS,1574875691
2019-11-27 17:28:11,A9D5E5,UAL1251,42.00284,-87.85511,1750.0,,,,,,1574875691
2019-11-27 17:28:11,A9D5E5,UAL1251,,,,,116.0,269.01,-640.0,GS,1574875691
2019-11-27 17:28:12,A9D5E5,UAL1251,,,,,116.0,269.01,-640.0,GS,1574875692
2019-11-27 17:28:12,A9D5E5,UAL1251,,,,,,,,,1574875692
2019-11-27 17:28:12,A9D5E5,UAL1251,42.00284,-87.85579,1725.0,,,,,,1574875692
