received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:05:07,A9D62E,,41.47385,-87.32377,11400.0,,,,,,1574874307
2019-11-27 17:05:19,A9D62E,,41.48561,-87.338,11400.0,,,,,,1574874319
2019-11-27 17:05:23,A9D62E,,,,,,291.0,317.92,0.0,GS,1574874323
2019-11-27 17:05:28,A9D62E,,41.49472,-87.34891999999999,11400.0,,,,,,1574874328
2019-11-27 17:05:32,A9D62E,,41.49866,-87.35354,11400.0,,,,,,1574874332
2019-11-27 17:05:35,A9D62E,,41.50127,-87.35635,11400.0,,,,,,1574874335
2019-11-27 17:05:36,A9D62E,,,,,,293.0,320.67,-64.0,GS,1574874336
2019-11-27 17:05:38,A9D62E,,,,,,294.0,321.77,-64.0,GS,1574874338
2019-11-27 17:05:38,A9D62E,,,,,,294.0,321.77,-64.0,GS,1574874338
2019-11-27 17:05:39,A9D62E,,,,,,293.0,322.19,-64.0,GS,1574874339
2019-11-27 17:05:39,A9D62E,,41.50551,-87.36079000000001,11400.0,,,,,,1574874339
2019-11-27 17:05:39,A9D62E,,,,,,293.0,322.19,0.0,GS,1574874339
2019-11-27 17:05:40,A9D62E,,41.50663,-87.36188,11400.0,,,,,,1574874340
2019-11-27 17:05:41,A9D62E,,,,,,294.0,323.83,0.0,GS,1574874341
2019-11-27 17:05:42,A9D62E,,,,,,,,,,1574874342
2019-11-27 17:05:48,A9D62E,UAL228,41.51628,-87.37071,11400.0,,,,,,1574874348
2019-11-27 17:05:49,A9D62E,UAL228,41.51697,-87.37127,11400.0,,,,,,1574874349
2019-11-27 17:05:50,A9D62E,UAL228,,,,,294.0,326.36,64.0,GS,1574874350
2019-11-27 17:05:52,A9D62E,UAL228,,,,,,,,,1574874352
2019-11-27 17:05:54,A9D62E,UAL228,,,,,293.0,326.09,0.0,GS,1574874354
2019-11-27 17:05:55,A9D62E,UAL228,,,,,293.0,326.09,0.0,GS,1574874355
2019-11-27 17:06:07,A9D62E,UAL228,41.538070000000005,-87.39019,11400.0,,,,,,1574874367
2019-11-27 17:06:09,A9D62E,UAL228,,,,,293.0,325.98,0.0,GS,1574874369
