received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:20:36,A9F302,,41.5226,-88.68133,12425.0,,,,,,1574871636
2019-11-27 16:22:06,A9F302,,41.61465,-88.5013,12450.0,,,,,,1574871726
2019-11-27 16:22:15,A9F302,,41.62592,-88.4847,12425.0,,,,,,1574871735
2019-11-27 16:23:17,A9F302,,41.69838,-88.37856,12450.0,,,,,,1574871797
2019-11-27 16:23:36,A9F302,,,,,,,,,,1574871816
2019-11-27 16:23:36,A9F302,SKW3059,41.7204,-88.34831,12425.0,,,,,,1574871816
2019-11-27 16:23:36,A9F302,SKW3059,,,,,338.0,42.36,-128.0,GS,1574871816
2019-11-27 16:24:59,A9F302,SKW3059,41.80751,-88.24375,11325.0,,,,,,1574871899
2019-11-27 16:24:59,A9F302,SKW3059,,,,,273.0,42.33,-704.0,GS,1574871899
2019-11-27 16:25:08,A9F302,SKW3059,,,,,270.0,42.6,-1216.0,GS,1574871908
2019-11-27 16:25:12,A9F302,SKW3059,,,,,269.0,42.45,-1280.0,GS,1574871912
2019-11-27 16:25:14,A9F302,SKW3059,,,,,,,,,1574871914
2019-11-27 16:25:15,A9F302,SKW3059,41.82202,-88.22603000000001,11025.0,,,,,,1574871915
2019-11-27 16:25:16,A9F302,SKW3059,,,,,269.0,42.45,-1344.0,GS,1574871916
2019-11-27 16:25:20,A9F302,SKW3059,,,,,269.0,42.29,-1408.0,GS,1574871920
2019-11-27 16:25:22,A9F302,SKW3059,,,,,268.0,42.13,-1408.0,GS,1574871922
2019-11-27 16:25:35,A9F302,SKW3059,,,,,265.0,41.33,-1024.0,GS,1574871935
2019-11-27 16:25:48,A9F302,SKW3059,41.85255,-88.18988,10400.0,,,,,,1574871948
2019-11-27 16:25:56,A9F302,SKW3059,41.85968,-88.18163,10250.0,,,,,,1574871956
2019-11-27 16:25:58,A9F302,SKW3059,,,,,248.0,40.6,-1280.0,GS,1574871958
2019-11-27 16:26:06,A9F302,SKW3059,41.86826,-88.17184,10050.0,,,,,,1574871966
2019-11-27 16:26:06,A9F302,SKW3059,,,,,243.0,40.17,-1280.0,GS,1574871966
2019-11-27 16:26:12,A9F302,SKW3059,,,,,241.0,39.96,-1280.0,GS,1574871972
2019-11-27 16:26:14,A9F302,SKW3059,,,,,239.0,39.93,-1280.0,GS,1574871974
2019-11-27 16:26:15,A9F302,SKW3059,41.87588,-88.1633,9850.0,,,,,,1574871975
2019-11-27 16:26:31,A9F302,SKW3059,,,,,232.0,39.24,-1280.0,GS,1574871991
