received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:26:02,AA2A7F,,,,,,126.0,270.0,-896.0,GS,1574871962
2019-11-27 16:26:27,AA2A7F,,,,,,138.0,269.17,-960.0,GS,1574871987
2019-11-27 16:26:32,AA2A7F,,42.00255,-87.76722,3125.0,,,,,,1574871992
2019-11-27 16:26:33,AA2A7F,,,,,,134.0,270.0,-832.0,GS,1574871993
2019-11-27 16:26:34,AA2A7F,,,,,,132.0,270.43,-896.0,GS,1574871994
2019-11-27 16:26:44,AA2A7F,,,,,,131.0,270.44,-704.0,GS,1574872004
2019-11-27 16:26:45,AA2A7F,,,,,,132.0,270.0,-512.0,GS,1574872005
2019-11-27 16:26:51,AA2A7F,,,,,,132.0,269.57,-448.0,GS,1574872011
2019-11-27 16:26:58,AA2A7F,,42.002559999999995,-87.78831,2825.0,,,,,,1574872018
2019-11-27 16:26:59,AA2A7F,,42.002559999999995,-87.78905999999999,2825.0,,,,,,1574872019
2019-11-27 16:27:02,AA2A7F,,,,,,,,,,1574872022
2019-11-27 16:27:16,AA2A7F,SKW3136,,,,,120.0,270.0,-448.0,GS,1574872036
2019-11-27 16:27:16,AA2A7F,SKW3136,42.00247,-87.8018,2625.0,,,,,,1574872036
2019-11-27 16:27:19,AA2A7F,SKW3136,42.00245,-87.80388,2600.0,,,,,,1574872039
2019-11-27 16:27:20,AA2A7F,SKW3136,,,,,112.0,270.0,-768.0,GS,1574872040
2019-11-27 16:27:21,AA2A7F,SKW3136,,,,,110.0,270.0,-832.0,GS,1574872041
2019-11-27 16:27:25,AA2A7F,SKW3136,,,,,105.0,271.09,-704.0,GS,1574872045
2019-11-27 16:27:32,AA2A7F,SKW3136,,,,,99.0,271.74,-512.0,GS,1574872052
2019-11-27 16:27:32,AA2A7F,SKW3136,,,,,,,,,1574872052
2019-11-27 16:27:33,AA2A7F,SKW3136,,,,,99.0,271.74,-512.0,GS,1574872053
2019-11-27 16:27:33,AA2A7F,SKW3136,42.002590000000005,-87.81302,2425.0,,,,,,1574872053
2019-11-27 16:27:34,AA2A7F,SKW3136,42.002590000000005,-87.81359,2425.0,,,,,,1574872054
2019-11-27 16:27:36,AA2A7F,SKW3136,42.00264,-87.81493,2400.0,,,,,,1574872056
2019-11-27 16:27:37,AA2A7F,SKW3136,,,,,95.0,270.6,-576.0,GS,1574872057
2019-11-27 16:27:40,AA2A7F,SKW3136,,,,,94.0,270.61,-640.0,GS,1574872060
2019-11-27 16:27:42,AA2A7F,SKW3136,42.00266,-87.81815,2350.0,,,,,,1574872062
2019-11-27 16:27:42,AA2A7F,SKW3136,,,,,94.0,270.61,-384.0,GS,1574872062
2019-11-27 16:27:42,AA2A7F,SKW3136,42.00264,-87.81838,2325.0,,,,,,1574872062
2019-11-27 16:27:42,AA2A7F,SKW3136,,,,,94.0,270.61,-384.0,GS,1574872062
2019-11-27 16:27:44,AA2A7F,SKW3136,42.00264,-87.8196,2325.0,,,,,,1574872064
