received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:30,AA2BC1,,41.90083,-86.86915,12450.0,,,,,,1574871570
2019-11-27 16:19:31,AA2BC1,,,,,,328.0,320.19,-64.0,GS,1574871571
2019-11-27 16:19:31,AA2BC1,,41.902,-86.87043,12450.0,,,,,,1574871571
2019-11-27 16:19:40,AA2BC1,,41.91248,-86.88213,12450.0,,,,,,1574871580
2019-11-27 16:19:42,AA2BC1,,,,,,,,,,1574871582
2019-11-27 16:26:03,AA2BC1,UAL1741,41.98276,-87.46273000000001,7450.0,,,,,,1574871963
2019-11-27 16:26:34,AA2BC1,UAL1741,,,,,187.0,270.92,-1280.0,GS,1574871994
2019-11-27 16:26:46,AA2BC1,UAL1741,41.983290000000004,-87.51216,6975.0,,,,,,1574872006
2019-11-27 16:26:51,AA2BC1,UAL1741,,,,,,,,,1574872011
2019-11-27 16:26:51,AA2BC1,UAL1741,41.983340000000005,-87.5184,6825.0,,,,,,1574872011
2019-11-27 16:26:56,AA2BC1,UAL1741,41.98341,-87.52329,6725.0,,,,,,1574872016
2019-11-27 16:27:03,AA2BC1,UAL1741,41.98341,-87.53126999999999,6575.0,,,,,,1574872023
2019-11-27 16:27:05,AA2BC1,UAL1741,41.98341,-87.53466,6550.0,,,,,,1574872025
2019-11-27 16:27:07,AA2BC1,UAL1741,41.98343,-87.53588,6525.0,,,,,,1574872027
2019-11-27 16:27:12,AA2BC1,UAL1741,,,,,183.0,270.0,-640.0,GS,1574872032
2019-11-27 16:27:15,AA2BC1,UAL1741,41.98341,-87.54602,6425.0,,,,,,1574872035
2019-11-27 16:27:17,AA2BC1,UAL1741,,,,,184.0,269.69,-640.0,GS,1574872037
2019-11-27 16:27:22,AA2BC1,UAL1741,,,,,184.0,269.38,-832.0,GS,1574872042
2019-11-27 16:27:29,AA2BC1,UAL1741,41.98332,-87.56212,6250.0,,,,,,1574872049
2019-11-27 16:27:30,AA2BC1,UAL1741,,,,,184.0,269.38,-1088.0,GS,1574872050
2019-11-27 16:27:31,AA2BC1,UAL1741,,,,,185.0,269.38,-1152.0,GS,1574872051
2019-11-27 16:27:34,AA2BC1,UAL1741,,,,,185.0,269.38,-1152.0,GS,1574872054
2019-11-27 16:27:36,AA2BC1,UAL1741,41.98328,-87.56889,6125.0,,,,,,1574872056
2019-11-27 16:27:38,AA2BC1,UAL1741,,,,,186.0,269.69,-1280.0,GS,1574872058
2019-11-27 16:27:39,AA2BC1,UAL1741,41.98328,-87.57271999999999,6050.0,,,,,,1574872059
2019-11-27 16:27:40,AA2BC1,UAL1741,,,,,186.0,270.0,-1280.0,GS,1574872060
2019-11-27 16:27:41,AA2BC1,UAL1741,41.98328,-87.5756,6000.0,,,,,,1574872061
2019-11-27 16:27:42,AA2BC1,UAL1741,41.98328,-87.57605,6000.0,,,,,,1574872062
2019-11-27 16:27:44,AA2BC1,UAL1741,41.983290000000004,-87.57876,5950.0,,,,,,1574872064
2019-11-27 16:27:47,AA2BC1,UAL1741,41.98328,-87.58179,5875.0,,,,,,1574872067
2019-11-27 16:27:50,AA2BC1,UAL1741,41.983290000000004,-87.58594000000001,5800.0,,,,,,1574872070
2019-11-27 16:27:50,AA2BC1,UAL1741,,,,,187.0,270.0,-1344.0,GS,1574872070
2019-11-27 16:27:56,AA2BC1,UAL1741,41.98332,-87.59253000000001,5675.0,,,,,,1574872076
2019-11-27 16:27:56,AA2BC1,UAL1741,,,,,186.0,270.31,-1152.0,GS,1574872076
2019-11-27 16:27:57,AA2BC1,UAL1741,,,,,,,,,1574872077
2019-11-27 16:27:57,AA2BC1,UAL1741,41.983340000000005,-87.59356,5675.0,,,,,,1574872077
2019-11-27 16:27:57,AA2BC1,UAL1741,41.98332,-87.59411999999999,5650.0,,,,,,1574872077
2019-11-27 16:27:58,AA2BC1,UAL1741,,,,,185.0,270.62,-1152.0,GS,1574872078
2019-11-27 16:27:59,AA2BC1,UAL1741,41.98332,-87.59585,5625.0,,,,,,1574872079
2019-11-27 16:28:01,AA2BC1,UAL1741,41.98338,-87.59855,5575.0,,,,,,1574872081
2019-11-27 16:28:03,AA2BC1,UAL1741,41.98337,-87.6007,5550.0,,,,,,1574872083
2019-11-27 16:28:04,AA2BC1,UAL1741,41.98338,-87.60173,5525.0,,,,,,1574872084
2019-11-27 16:28:06,AA2BC1,UAL1741,41.98341,-87.60358000000001,5500.0,,,,,,1574872086
2019-11-27 16:28:06,AA2BC1,UAL1741,,,,,182.0,270.94,-1024.0,GS,1574872086
2019-11-27 16:28:07,AA2BC1,UAL1741,41.98343,-87.60523,5475.0,,,,,,1574872087
