received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:35:58,AA3BF0,,42.00266,-87.80273000000001,2500.0,,,,,,1574876158
2019-11-27 17:36:06,AA3BF0,,42.00269,-87.80842,2400.0,,,,,,1574876166
2019-11-27 17:36:11,AA3BF0,,,,,,115.0,269.0,-128.0,GS,1574876171
2019-11-27 17:36:17,AA3BF0,,,,,,104.0,270.0,-320.0,GS,1574876177
2019-11-27 17:36:18,AA3BF0,,,,,,102.0,270.56,-384.0,GS,1574876178
2019-11-27 17:36:24,AA3BF0,,,,,,100.0,271.15,-1024.0,GS,1574876184
2019-11-27 17:36:36,AA3BF0,,,,,,101.0,271.13,-576.0,GS,1574876196
2019-11-27 17:36:37,AA3BF0,,42.00278,-87.82866999999999,2125.0,,,,,,1574876197
2019-11-27 17:36:37,AA3BF0,,42.002790000000005,-87.82895,2125.0,,,,,,1574876197
2019-11-27 17:36:38,AA3BF0,,,,,,102.0,271.12,-640.0,GS,1574876198
2019-11-27 17:36:39,AA3BF0,,42.00278,-87.83014,2100.0,,,,,,1574876199
2019-11-27 17:36:41,AA3BF0,,,,,,102.0,271.12,-576.0,GS,1574876201
2019-11-27 17:36:44,AA3BF0,,,,,,104.0,271.1,-384.0,GS,1574876204
2019-11-27 17:36:45,AA3BF0,,42.00284,-87.83395,2075.0,,,,,,1574876205
2019-11-27 17:36:47,AA3BF0,,,,,,104.0,269.45,-640.0,GS,1574876207
2019-11-27 17:36:50,AA3BF0,,,,,,104.0,270.0,-896.0,GS,1574876210
2019-11-27 17:36:50,AA3BF0,,,,,,104.0,270.0,-832.0,GS,1574876210
2019-11-27 17:36:51,AA3BF0,,,,,,,,,,1574876211
2019-11-27 17:36:56,AA3BF0,SKW3107,,,,,103.0,268.89,-448.0,GS,1574876216
2019-11-27 17:37:10,AA3BF0,SKW3107,42.00275,-87.84974,1825.0,,,,,,1574876230
2019-11-27 17:37:12,AA3BF0,SKW3107,42.00278,-87.8507,1800.0,,,,,,1574876232
2019-11-27 17:37:12,AA3BF0,SKW3107,42.00278,-87.85109,1800.0,,,,,,1574876232
