received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:58,AA5DA8,,,,,,181.0,9.83,1664.0,GS,1574871598
2019-11-27 16:20:03,AA5DA8,,,,,,187.0,8.91,1536.0,GS,1574871603
2019-11-27 16:20:05,AA5DA8,,41.94636,-88.26901,2850.0,,,,,,1574871605
2019-11-27 16:20:46,AA5DA8,,41.98503,-88.26441,3375.0,,,,,,1574871646
2019-11-27 16:20:48,AA5DA8,,,,,,203.0,3.38,128.0,GS,1574871648
2019-11-27 16:21:00,AA5DA8,,,,,,199.0,3.16,-384.0,GS,1574871660
2019-11-27 16:21:06,AA5DA8,,,,,,197.0,3.78,0.0,GS,1574871666
2019-11-27 16:21:23,AA5DA8,,42.01828,-88.26129,3400.0,,,,,,1574871683
2019-11-27 16:22:59,AA5DA8,,42.10045,-88.22411,3375.0,,,,,,1574871779
2019-11-27 16:23:00,AA5DA8,,,,,,215.0,30.01,384.0,GS,1574871780
2019-11-27 16:24:47,AA5DA8,,42.19528,-88.1533,3375.0,,,,,,1574871887
2019-11-27 16:28:30,AA5DA8,,,,,,211.0,153.92,960.0,GS,1574872110
2019-11-27 16:28:48,AA5DA8,,,,,,204.0,166.71,-192.0,GS,1574872128
2019-11-27 16:29:30,AA5DA8,,42.18671,-87.94147,2725.0,,,,,,1574872170
2019-11-27 16:30:41,AA5DA8,,42.13671,-87.92774,2100.0,,,,,,1574872241
2019-11-27 16:30:41,AA5DA8,,,,,,127.0,175.05,-64.0,GS,1574872241
2019-11-27 16:30:44,AA5DA8,,,,,,127.0,175.95,-128.0,GS,1574872244
2019-11-27 16:31:21,AA5DA8,,42.11469,-87.92537,1925.0,,,,,,1574872281
2019-11-27 16:31:22,AA5DA8,,42.113659999999996,-87.92514,1925.0,,,,,,1574872282
2019-11-27 16:31:26,AA5DA8,,,,,,116.0,167.15,-256.0,GS,1574872286
2019-11-27 16:31:27,AA5DA8,,,,,,116.0,167.15,-384.0,GS,1574872287
2019-11-27 16:31:29,AA5DA8,,42.110459999999996,-87.92416,1925.0,,,,,,1574872289
2019-11-27 16:31:29,AA5DA8,,,,,,116.0,167.15,-512.0,GS,1574872289
2019-11-27 16:31:30,AA5DA8,,42.10968,-87.9239,1900.0,,,,,,1574872290
2019-11-27 16:31:32,AA5DA8,,,,,,119.0,164.45,-896.0,GS,1574872292
2019-11-27 16:31:33,AA5DA8,,42.108309999999996,-87.92339,1875.0,,,,,,1574872293
2019-11-27 16:31:33,AA5DA8,,,,,,119.0,164.45,-896.0,GS,1574872293
2019-11-27 16:31:33,AA5DA8,,,,,,119.0,162.93,-768.0,GS,1574872293
2019-11-27 16:31:33,AA5DA8,,,,,,,,,,1574872293
2019-11-27 16:31:40,AA5DA8,N767XT,,,,,125.0,146.69,-1024.0,GS,1574872300
2019-11-27 16:31:42,AA5DA8,N767XT,,,,,128.0,141.97,-1024.0,GS,1574872302
2019-11-27 16:31:45,AA5DA8,N767XT,42.10222,-87.91809,1675.0,,,,,,1574872305
2019-11-27 16:31:46,AA5DA8,N767XT,42.10199,-87.91778000000001,1650.0,,,,,,1574872306
2019-11-27 16:31:46,AA5DA8,N767XT,,,,,135.0,134.1,-768.0,GS,1574872306
2019-11-27 16:31:46,AA5DA8,N767XT,42.10185,-87.91753,1650.0,,,,,,1574872306
2019-11-27 16:31:47,AA5DA8,N767XT,42.10167,-87.91728,1650.0,,,,,,1574872307
2019-11-27 16:31:47,AA5DA8,N767XT,,,,,136.0,132.92,-896.0,GS,1574872307
2019-11-27 16:31:47,AA5DA8,N767XT,42.10147,-87.91694,1650.0,,,,,,1574872307
2019-11-27 16:31:48,AA5DA8,N767XT,42.10105,-87.9163,1625.0,,,,,,1574872308
2019-11-27 16:31:49,AA5DA8,N767XT,42.100590000000004,-87.91541,1600.0,,,,,,1574872309
2019-11-27 16:31:49,AA5DA8,N767XT,,,,,141.0,126.38,-960.0,GS,1574872309
2019-11-27 16:31:51,AA5DA8,N767XT,,,,,145.0,118.86,-896.0,GS,1574872311
2019-11-27 16:31:56,AA5DA8,N767XT,42.09919,-87.90966,1525.0,,,,,,1574872316
2019-11-27 16:31:59,AA5DA8,N767XT,42.09952,-87.90634,1500.0,,,,,,1574872319
2019-11-27 16:32:00,AA5DA8,N767XT,,,,,158.0,71.22,-704.0,GS,1574872320
2019-11-27 16:32:02,AA5DA8,N767XT,,,,,157.0,61.16,-960.0,GS,1574872322
2019-11-27 16:32:03,AA5DA8,N767XT,42.1008,-87.90292,1450.0,,,,,,1574872323
