received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:17:13,AA73C3,,,,,,125.0,262.65,-64.0,GS,1574875033
2019-11-27 17:18:05,AA73C3,,,,,,,,,,1574875085
2019-11-27 17:18:12,AA73C3,SWA823,,,,,124.0,260.31,0.0,GS,1574875092
2019-11-27 17:18:40,AA73C3,SWA823,,,,,,,,,1574875120
2019-11-27 17:18:51,AA73C3,SWA823,41.84967,-87.55454,3375.0,,,,,,1574875131
2019-11-27 17:18:52,AA73C3,SWA823,41.84962,-87.55535,3375.0,,,,,,1574875132
2019-11-27 17:20:29,AA73C3,SWA823,41.8465,-87.63091,2900.0,,,,,,1574875229
2019-11-27 17:20:32,AA73C3,SWA823,41.846470000000004,-87.63363000000001,2875.0,,,,,,1574875232
2019-11-27 17:20:35,AA73C3,SWA823,41.84637,-87.63569,2875.0,,,,,,1574875235
2019-11-27 17:21:17,AA73C3,SWA823,41.84003,-87.66386999999999,2550.0,,,,,,1574875277
2019-11-27 17:21:29,AA73C3,SWA823,,,,,111.0,246.67,-128.0,GS,1574875289
2019-11-27 17:21:33,AA73C3,SWA823,41.83681,-87.67396,2425.0,,,,,,1574875293
2019-11-27 17:21:59,AA73C3,SWA823,41.831590000000006,-87.68930999999999,2200.0,,,,,,1574875319
2019-11-27 17:22:00,AA73C3,SWA823,41.83141,-87.68963000000001,2200.0,,,,,,1574875320
