received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:28,AA931D,,42.48073,-89.46748000000001,20600.0,,,,,,1574871568
2019-11-27 16:19:47,AA931D,,,,,,430.0,99.48,-1728.0,GS,1574871587
2019-11-27 16:19:49,AA931D,,42.47374,-89.41073,20000.0,,,,,,1574871589
2019-11-27 16:20:01,AA931D,,42.4698,-89.37895999999999,19575.0,,,,,,1574871601
2019-11-27 16:20:57,AA931D,,,,,,441.0,99.65,-1088.0,GS,1574871657
2019-11-27 16:21:02,AA931D,,,,,,438.0,99.59,-1152.0,GS,1574871662
2019-11-27 16:21:12,AA931D,,,,,,434.0,99.55,-1216.0,GS,1574871672
2019-11-27 16:24:36,AA931D,,42.37697,-88.64338000000001,11450.0,,,,,,1574871876
2019-11-27 16:24:36,AA931D,,,,,,,,,,1574871876
2019-11-27 16:24:39,AA931D,UAL850,42.37599,-88.63584,11425.0,,,,,,1574871879
2019-11-27 16:24:41,AA931D,UAL850,,,,,407.0,99.9,-192.0,GS,1574871881
2019-11-27 16:26:18,AA931D,UAL850,42.34245,-88.40205,11250.0,,,,,,1574871978
2019-11-27 16:27:15,AA931D,UAL850,42.29535,-88.30467,6200.0,,,,,,1574872035
2019-11-27 16:27:58,AA931D,UAL850,,,,,293.0,130.58,-1088.0,GS,1574872078
2019-11-27 16:28:12,AA931D,UAL850,42.24499,-88.22469,10050.0,,,,,,1574872092
2019-11-27 16:28:15,AA931D,UAL850,,,,,291.0,130.41,-1216.0,GS,1574872095
2019-11-27 16:28:15,AA931D,UAL850,42.24252,-88.22078,10000.0,,,,,,1574872095
2019-11-27 16:28:20,AA931D,UAL850,,,,,291.0,130.41,-1024.0,GS,1574872100
2019-11-27 16:28:21,AA931D,UAL850,,,,,,,,,1574872101
2019-11-27 16:28:22,AA931D,UAL850,,,,,290.0,130.26,-960.0,GS,1574872102
2019-11-27 16:28:22,AA931D,UAL850,42.23633,-88.21095,9875.0,,,,,,1574872102
2019-11-27 16:28:25,AA931D,UAL850,,,,,290.0,130.39,-832.0,GS,1574872105
2019-11-27 16:28:26,AA931D,UAL850,,,,,290.0,130.39,-768.0,GS,1574872106
2019-11-27 16:28:26,AA931D,UAL850,42.232929999999996,-88.20559,9800.0,,,,,,1574872106
2019-11-27 16:28:26,AA931D,UAL850,,,,,289.0,130.24,-768.0,GS,1574872106
2019-11-27 16:28:27,AA931D,UAL850,,,,,289.0,130.24,-832.0,GS,1574872107
2019-11-27 16:28:27,AA931D,UAL850,42.232,-88.20411999999999,9800.0,,,,,,1574872107
2019-11-27 16:28:30,AA931D,UAL850,,,,,288.0,130.21,-768.0,GS,1574872110
2019-11-27 16:28:31,AA931D,UAL850,,,,,288.0,130.21,-768.0,GS,1574872111
2019-11-27 16:28:33,AA931D,UAL850,,,,,286.0,130.19,-704.0,GS,1574872113
2019-11-27 16:28:36,AA931D,UAL850,42.2239,-88.19128,9675.0,,,,,,1574872116
2019-11-27 16:28:37,AA931D,UAL850,,,,,284.0,130.3,-704.0,GS,1574872117
2019-11-27 16:28:38,AA931D,UAL850,42.2222,-88.18857,9650.0,,,,,,1574872118
2019-11-27 16:28:39,AA931D,UAL850,,,,,284.0,130.3,-704.0,GS,1574872119
2019-11-27 16:28:41,AA931D,UAL850,42.219809999999995,-88.18476,9625.0,,,,,,1574872121
2019-11-27 16:28:42,AA931D,UAL850,42.219409999999996,-88.18413000000001,9625.0,,,,,,1574872122
2019-11-27 16:28:45,AA931D,UAL850,,,,,281.0,130.25,-704.0,GS,1574872125
2019-11-27 16:28:45,AA931D,UAL850,42.2165,-88.17953,9575.0,,,,,,1574872125
2019-11-27 16:28:47,AA931D,UAL850,,,,,280.0,130.38,-768.0,GS,1574872127
2019-11-27 16:28:48,AA931D,UAL850,,,,,280.0,130.38,-768.0,GS,1574872128
2019-11-27 16:28:52,AA931D,UAL850,,,,,279.0,130.36,-768.0,GS,1574872132
2019-11-27 16:28:52,AA931D,UAL850,42.21048,-88.17003000000001,9500.0,,,,,,1574872132
2019-11-27 16:28:54,AA931D,UAL850,,,,,277.0,130.62,-768.0,GS,1574872134
2019-11-27 16:28:55,AA931D,UAL850,,,,,277.0,131.05,-704.0,GS,1574872135
2019-11-27 16:28:59,AA931D,UAL850,,,,,273.0,134.26,-320.0,GS,1574872139
2019-11-27 16:28:59,AA931D,UAL850,42.20472,-88.16150999999999,9425.0,,,,,,1574872139
2019-11-27 16:29:06,AA931D,UAL850,,,,,267.0,141.07,-64.0,GS,1574872146
2019-11-27 16:29:06,AA931D,UAL850,42.19797,-88.15359000000001,9425.0,,,,,,1574872146
2019-11-27 16:29:07,AA931D,UAL850,42.196979999999996,-88.15255,9425.0,,,,,,1574872147
2019-11-27 16:29:08,AA931D,UAL850,,,,,265.0,142.96,-64.0,GS,1574872148
2019-11-27 16:29:11,AA931D,UAL850,,,,,,,,,1574872151
2019-11-27 16:29:13,AA931D,UAL850,,,,,259.0,147.41,0.0,GS,1574872153
2019-11-27 16:29:14,AA931D,UAL850,,,,,258.0,148.47,0.0,GS,1574872154
2019-11-27 16:29:15,AA931D,UAL850,42.18933,-88.14575,9400.0,,,,,,1574872155
2019-11-27 16:29:16,AA931D,UAL850,42.18823,-88.14487,9400.0,,,,,,1574872156
2019-11-27 16:29:17,AA931D,UAL850,,,,,252.0,150.9,0.0,GS,1574872157
2019-11-27 16:29:19,AA931D,UAL850,42.18517,-88.14267,9425.0,,,,,,1574872159
2019-11-27 16:29:21,AA931D,UAL850,,,,,247.0,154.16,128.0,GS,1574872161
2019-11-27 16:29:21,AA931D,UAL850,42.18308,-88.14133000000001,9425.0,,,,,,1574872161
2019-11-27 16:29:21,AA931D,UAL850,,,,,,,,,1574872161
2019-11-27 16:29:22,AA931D,UAL850,42.18196,-88.14063,9425.0,,,,,,1574872162
2019-11-27 16:29:23,AA931D,UAL850,42.18112,-88.14012,9425.0,,,,,,1574872163
2019-11-27 16:29:25,AA931D,UAL850,42.17893,-88.1389,9425.0,,,,,,1574872165
2019-11-27 16:29:26,AA931D,UAL850,,,,,242.0,158.2,128.0,GS,1574872166
2019-11-27 16:29:28,AA931D,UAL850,,,,,239.0,159.0,64.0,GS,1574872168
2019-11-27 16:29:31,AA931D,UAL850,,,,,239.0,159.0,0.0,GS,1574872171
2019-11-27 16:29:31,AA931D,UAL850,42.17216,-88.13538,9450.0,,,,,,1574872171
2019-11-27 16:29:32,AA931D,UAL850,,,,,239.0,159.0,0.0,GS,1574872172
2019-11-27 16:29:32,AA931D,UAL850,42.17116,-88.13481999999999,9450.0,,,,,,1574872172
2019-11-27 16:29:33,AA931D,UAL850,,,,,239.0,159.0,0.0,GS,1574872173
2019-11-27 16:29:36,AA931D,UAL850,42.16722,-88.13276,9425.0,,,,,,1574872176
2019-11-27 16:29:49,AA931D,UAL850,,,,,231.0,162.11,-640.0,GS,1574872189
2019-11-27 16:29:50,AA931D,UAL850,,,,,230.0,162.59,-576.0,GS,1574872190
