received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:24:58,AA9E6D,,,,,,123.0,269.53,-192.0,GS,1574875498
2019-11-27 17:25:01,AA9E6D,,,,,,122.0,270.94,128.0,GS,1574875501
2019-11-27 17:25:01,AA9E6D,,41.85032,-87.49429,3350.0,,,,,,1574875501
2019-11-27 17:26:08,AA9E6D,,,,,,120.0,269.52,64.0,GS,1574875568
2019-11-27 17:26:10,AA9E6D,,,,,,120.0,270.0,0.0,GS,1574875570
2019-11-27 17:26:11,AA9E6D,,,,,,121.0,270.0,0.0,GS,1574875571
2019-11-27 17:26:12,AA9E6D,,,,,,121.0,269.53,-64.0,GS,1574875572
2019-11-27 17:26:13,AA9E6D,,,,,,122.0,269.06,-128.0,GS,1574875573
2019-11-27 17:26:35,AA9E6D,,41.84953,-87.56583,3250.0,,,,,,1574875595
2019-11-27 17:28:39,AA9E6D,,,,,,122.0,246.37,-384.0,GS,1574875719
2019-11-27 17:29:08,AA9E6D,,41.83553,-87.67900999999999,2325.0,,,,,,1574875748
