received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:25:15,AAA2B0,,41.328520000000005,-88.53938000000001,8175.0,,,,,,1574871915
2019-11-27 16:25:24,AAA2B0,,,,,,288.0,26.57,-1408.0,GS,1574871924
2019-11-27 16:25:25,AAA2B0,,,,,,288.0,26.57,-1408.0,GS,1574871925
2019-11-27 16:25:56,AAA2B0,,41.37549,-88.5033,7425.0,,,,,,1574871956
2019-11-27 16:26:05,AAA2B0,,,,,,294.0,47.2,-64.0,GS,1574871965
2019-11-27 16:26:07,AAA2B0,,,,,,294.0,48.58,-64.0,GS,1574871967
2019-11-27 16:26:10,AAA2B0,,,,,,296.0,50.62,0.0,GS,1574871970
2019-11-27 16:26:10,AAA2B0,,41.38908,-88.48427,7425.0,,,,,,1574871970
2019-11-27 16:26:17,AAA2B0,,,,,,296.0,51.7,0.0,GS,1574871977
2019-11-27 16:26:54,AAA2B0,,41.426320000000004,-88.42289,7425.0,,,,,,1574872014
2019-11-27 16:26:59,AAA2B0,,41.43033,-88.41637,7425.0,,,,,,1574872019
2019-11-27 16:27:34,AAA2B0,,,,,,292.0,50.82,-320.0,GS,1574872054
2019-11-27 16:28:56,AAA2B0,,,,,,286.0,58.14,64.0,GS,1574872136
2019-11-27 16:29:14,AAA2B0,,,,,,287.0,57.8,64.0,GS,1574872154
2019-11-27 16:29:14,AAA2B0,,41.53812,-88.22227,6425.0,,,,,,1574872154
2019-11-27 16:29:14,AAA2B0,,,,,,287.0,57.8,64.0,GS,1574872154
2019-11-27 16:29:16,AAA2B0,,,,,,287.0,57.64,64.0,GS,1574872156
2019-11-27 16:29:17,AAA2B0,,,,,,287.0,57.64,64.0,GS,1574872157
2019-11-27 16:29:17,AAA2B0,,41.54038,-88.21746999999999,6425.0,,,,,,1574872157
2019-11-27 16:29:25,AAA2B0,,41.54599,-88.20567,6425.0,,,,,,1574872165
2019-11-27 16:29:29,AAA2B0,,41.54842,-88.20043000000001,6425.0,,,,,,1574872169
2019-11-27 16:29:31,AAA2B0,,,,,,289.0,57.85,0.0,GS,1574872171
2019-11-27 16:29:33,AAA2B0,,,,,,290.0,57.95,0.0,GS,1574872173
2019-11-27 16:29:35,AAA2B0,,,,,,289.0,58.12,-64.0,GS,1574872175
2019-11-27 16:29:35,AAA2B0,,41.55304,-88.19063,6425.0,,,,,,1574872175
2019-11-27 16:29:36,AAA2B0,,41.55337,-88.18994,6425.0,,,,,,1574872176
2019-11-27 16:29:46,AAA2B0,,,,,,290.0,58.39,-64.0,GS,1574872186
2019-11-27 16:29:47,AAA2B0,,,,,,290.0,58.5,-64.0,GS,1574872187
2019-11-27 16:29:48,AAA2B0,,,,,,290.0,58.5,-64.0,GS,1574872188
2019-11-27 16:29:49,AAA2B0,,,,,,290.0,58.5,-64.0,GS,1574872189
2019-11-27 16:29:55,AAA2B0,,,,,,290.0,58.39,-832.0,GS,1574872195
2019-11-27 16:30:00,AAA2B0,,41.570640000000004,-88.15264,6300.0,,,,,,1574872200
2019-11-27 16:30:03,AAA2B0,,,,,,291.0,58.33,-960.0,GS,1574872203
2019-11-27 16:30:03,AAA2B0,,41.57287,-88.14785,6250.0,,,,,,1574872203
2019-11-27 16:30:04,AAA2B0,,,,,,291.0,58.33,-960.0,GS,1574872204
2019-11-27 16:30:05,AAA2B0,,,,,,291.0,58.33,-1024.0,GS,1574872205
2019-11-27 16:30:06,AAA2B0,,41.57459,-88.14414000000001,6200.0,,,,,,1574872206
2019-11-27 16:30:10,AAA2B0,,41.57748,-88.13788000000001,6125.0,,,,,,1574872210
