received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:36:17,AAB187,,,,,,322.0,303.25,0.0,GS,1574872577
2019-11-27 16:36:32,AAB187,,41.12993,-86.7149,19000.0,,,,,,1574872592
2019-11-27 16:36:46,AAB187,,41.1416,-86.73846,19000.0,,,,,,1574872606
2019-11-27 16:36:49,AAB187,,41.14385,-86.74311999999999,19000.0,,,,,,1574872609
2019-11-27 16:37:06,AAB187,,,,,,322.0,303.1,-768.0,GS,1574872626
2019-11-27 16:37:11,AAB187,,41.16167,-86.77926,18850.0,,,,,,1574872631
2019-11-27 16:37:11,AAB187,,,,,,322.0,303.1,-1024.0,GS,1574872631
2019-11-27 16:37:22,AAB187,,41.170759999999994,-86.79760999999999,18625.0,,,,,,1574872642
2019-11-27 16:37:25,AAB187,,41.17355,-86.80323,18525.0,,,,,,1574872645
2019-11-27 16:37:30,AAB187,,,,,,313.0,303.28,-2176.0,GS,1574872650
2019-11-27 16:38:09,AAB187,,,,,,299.0,303.0,-1600.0,GS,1574872689
2019-11-27 16:44:25,AAB187,,,,,,236.0,318.08,-1344.0,GS,1574873065
2019-11-27 16:44:47,AAB187,,41.512859999999996,-87.36724,10525.0,,,,,,1574873087
2019-11-27 16:45:36,AAB187,,41.55802,-87.40786999999999,9175.0,,,,,,1574873136
2019-11-27 16:45:49,AAB187,,,,,,242.0,326.24,-1664.0,GS,1574873149
2019-11-27 16:45:50,AAB187,,,,,,242.0,326.24,-1600.0,GS,1574873150
2019-11-27 16:46:02,AAB187,,41.58229,-87.42964,8500.0,,,,,,1574873162
2019-11-27 16:46:12,AAB187,,41.5907,-87.43712,8475.0,,,,,,1574873172
2019-11-27 16:46:14,AAB187,,41.59241,-87.43869000000001,8450.0,,,,,,1574873174
2019-11-27 16:46:21,AAB187,,41.59872,-87.44443000000001,8450.0,,,,,,1574873181
2019-11-27 16:46:35,AAB187,,,,,,237.0,325.98,-64.0,GS,1574873195
2019-11-27 16:46:36,AAB187,,,,,,237.0,325.98,-64.0,GS,1574873196
2019-11-27 16:46:41,AAB187,,41.617129999999996,-87.46103000000001,8450.0,,,,,,1574873201
2019-11-27 16:46:44,AAB187,,41.620290000000004,-87.46384,8450.0,,,,,,1574873204
2019-11-27 16:46:47,AAB187,,,,,,241.0,325.78,0.0,GS,1574873207
2019-11-27 16:46:52,AAB187,,,,,,243.0,325.72,0.0,GS,1574873212
2019-11-27 16:47:08,AAB187,,40.1429,-85.66492,8450.0,,,,,,1574873228
2019-11-27 16:47:53,AAB187,,41.687059999999995,-87.51709,8450.0,,,,,,1574873273
2019-11-27 16:47:58,AAB187,,41.69225,-87.51709,8450.0,,,,,,1574873278
2019-11-27 16:47:58,AAB187,,,,,,276.0,3.52,64.0,GS,1574873278
2019-11-27 16:47:59,AAB187,,41.693490000000004,-87.51703,8450.0,,,,,,1574873279
2019-11-27 16:48:26,AAB187,,41.727940000000004,-87.51045,8450.0,,,,,,1574873306
2019-11-27 16:48:42,AAB187,,41.748090000000005,-87.50629,8450.0,,,,,,1574873322
2019-11-27 16:48:49,AAB187,,,,,,250.0,8.71,0.0,GS,1574873329
2019-11-27 16:48:53,AAB187,,,,,,,,,,1574873333
2019-11-27 16:49:01,AAB187,UAL272,,,,,240.0,8.84,-1024.0,GS,1574873341
2019-11-27 16:49:03,AAB187,UAL272,,,,,241.0,9.07,-1216.0,GS,1574873343
2019-11-27 16:49:04,AAB187,UAL272,41.772490000000005,-87.5013,8325.0,,,,,,1574873344
2019-11-27 16:49:05,AAB187,UAL272,,,,,241.0,9.31,-1344.0,GS,1574873345
2019-11-27 16:49:05,AAB187,UAL272,,,,,241.0,9.31,-1344.0,GS,1574873345
2019-11-27 16:49:08,AAB187,UAL272,41.777570000000004,-87.50017,8225.0,,,,,,1574873348
2019-11-27 16:49:10,AAB187,UAL272,,,,,242.0,9.73,-1216.0,GS,1574873350
2019-11-27 16:49:11,AAB187,UAL272,41.78115,-87.4994,8150.0,,,,,,1574873351
2019-11-27 16:49:16,AAB187,UAL272,41.78613,-87.49818,8075.0,,,,,,1574873356
2019-11-27 16:49:16,AAB187,UAL272,41.78655,-87.49806,8050.0,,,,,,1574873356
2019-11-27 16:49:17,AAB187,UAL272,41.7872,-87.49786,8050.0,,,,,,1574873357
2019-11-27 16:49:18,AAB187,UAL272,,,,,243.0,10.66,-1088.0,GS,1574873358
2019-11-27 16:49:19,AAB187,UAL272,,,,,243.0,10.66,-1088.0,GS,1574873359
2019-11-27 16:49:20,AAB187,UAL272,,,,,243.0,10.66,-1088.0,GS,1574873360
2019-11-27 16:49:20,AAB187,UAL272,41.79099,-87.49693,7975.0,,,,,,1574873360
2019-11-27 16:49:21,AAB187,UAL272,41.79153,-87.49678,7975.0,,,,,,1574873361
2019-11-27 16:49:22,AAB187,UAL272,41.79318,-87.49637,7950.0,,,,,,1574873362
2019-11-27 16:49:23,AAB187,UAL272,,,,,242.0,10.71,-1024.0,GS,1574873363
2019-11-27 16:49:24,AAB187,UAL272,41.79506,-87.49593,7925.0,,,,,,1574873364
2019-11-27 16:49:25,AAB187,UAL272,,,,,242.0,10.94,-1024.0,GS,1574873365
2019-11-27 16:49:27,AAB187,UAL272,,,,,241.0,10.98,-960.0,GS,1574873367
2019-11-27 16:49:28,AAB187,UAL272,41.79909,-87.49486999999999,7850.0,,,,,,1574873368
2019-11-27 16:49:28,AAB187,UAL272,,,,,241.0,10.98,-896.0,GS,1574873368
2019-11-27 16:49:29,AAB187,UAL272,,,,,241.0,10.98,-896.0,GS,1574873369
2019-11-27 16:49:30,AAB187,UAL272,,,,,240.0,11.03,-832.0,GS,1574873370
2019-11-27 16:49:30,AAB187,UAL272,41.80121,-87.49435,7825.0,,,,,,1574873370
2019-11-27 16:49:31,AAB187,UAL272,,,,,240.0,11.03,-832.0,GS,1574873371
2019-11-27 16:49:31,AAB187,UAL272,41.80215,-87.49406,7800.0,,,,,,1574873371
2019-11-27 16:49:31,AAB187,UAL272,41.80284,-87.4939,7800.0,,,,,,1574873371
2019-11-27 16:49:32,AAB187,UAL272,,,,,239.0,11.08,-768.0,GS,1574873372
2019-11-27 16:49:39,AAB187,UAL272,41.81071,-87.49181,7725.0,,,,,,1574873379
2019-11-27 16:49:46,AAB187,UAL272,41.81877,-87.48975,7650.0,,,,,,1574873386
2019-11-27 16:49:46,AAB187,UAL272,,,,,232.0,10.92,-832.0,GS,1574873386
2019-11-27 16:49:50,AAB187,UAL272,,,,,230.0,11.02,-1024.0,GS,1574873390
2019-11-27 16:49:54,AAB187,UAL272,41.82674,-87.48769,7525.0,,,,,,1574873394
2019-11-27 16:50:08,AAB187,UAL272,41.841570000000004,-87.48388,7250.0,,,,,,1574873408
2019-11-27 16:50:09,AAB187,UAL272,,,,,226.0,10.42,-1024.0,GS,1574873409
