received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:49:42,AAF5BA,,,,,,244.0,0.7,-1024.0,GS,1574873382
2019-11-27 16:49:43,AAF5BA,,41.23602,-88.72209000000001,9025.0,,,,,,1574873383
2019-11-27 16:49:44,AAF5BA,,,,,,244.0,0.7,-1024.0,GS,1574873384
2019-11-27 16:50:05,AAF5BA,,,,,,252.0,5.24,-1024.0,GS,1574873405
2019-11-27 16:58:32,AAF5BA,,,,,,254.0,58.5,64.0,GS,1574873912
2019-11-27 16:58:34,AAF5BA,,,,,,254.0,58.5,64.0,GS,1574873914
2019-11-27 16:58:35,AAF5BA,,41.62133,-88.04265,5375.0,,,,,,1574873915
2019-11-27 16:58:49,AAF5BA,,41.63004,-88.02387,5375.0,,,,,,1574873929
2019-11-27 16:59:05,AAF5BA,,,,,,258.0,58.47,-448.0,GS,1574873945
2019-11-27 16:59:16,AAF5BA,,41.647259999999996,-87.98644,5250.0,,,,,,1574873956
2019-11-27 16:59:19,AAF5BA,,41.6488,-87.98307,5225.0,,,,,,1574873959
2019-11-27 17:00:09,AAF5BA,,,,,,261.0,58.44,-384.0,GS,1574874009
2019-11-27 17:00:27,AAF5BA,,41.69177,-87.88991999999999,4675.0,,,,,,1574874027
2019-11-27 17:00:35,AAF5BA,,41.69701,-87.87852,4600.0,,,,,,1574874035
2019-11-27 17:01:01,AAF5BA,,,,,,259.0,58.7,-832.0,GS,1574874061
2019-11-27 17:01:02,AAF5BA,,41.71369,-87.84208000000001,4375.0,,,,,,1574874062
2019-11-27 17:01:03,AAF5BA,,41.71458,-87.84016,4375.0,,,,,,1574874063
2019-11-27 17:01:04,AAF5BA,,41.71481,-87.83959,4375.0,,,,,,1574874064
2019-11-27 17:01:04,AAF5BA,,,,,,258.0,58.28,-64.0,GS,1574874064
2019-11-27 17:01:05,AAF5BA,,41.71573,-87.83757,4375.0,,,,,,1574874065
2019-11-27 17:01:06,AAF5BA,,,,,,258.0,58.28,192.0,GS,1574874066
2019-11-27 17:01:06,AAF5BA,,41.716440000000006,-87.83608000000001,4375.0,,,,,,1574874066
2019-11-27 17:01:08,AAF5BA,,,,,,258.0,58.58,-128.0,GS,1574874068
2019-11-27 17:01:08,AAF5BA,,41.717459999999996,-87.8339,4375.0,,,,,,1574874068
2019-11-27 17:01:10,AAF5BA,,41.71875,-87.83100999999999,4375.0,,,,,,1574874070
2019-11-27 17:01:12,AAF5BA,,,,,,259.0,58.7,256.0,GS,1574874072
2019-11-27 17:01:15,AAF5BA,,,,,,260.0,58.51,-448.0,GS,1574874075
2019-11-27 17:01:16,AAF5BA,,,,,,260.0,58.81,-512.0,GS,1574874076
2019-11-27 17:01:16,AAF5BA,,,,,,260.0,58.81,-576.0,GS,1574874076
2019-11-27 17:01:17,AAF5BA,,,,,,,,,,1574874077
2019-11-27 17:01:18,AAF5BA,N805PE,,,,,260.0,58.81,0.0,GS,1574874078
2019-11-27 17:01:21,AAF5BA,N805PE,41.72552,-87.81616,4350.0,,,,,,1574874081
2019-11-27 17:01:23,AAF5BA,N805PE,41.72704,-87.81291,4375.0,,,,,,1574874083
2019-11-27 17:01:46,AAF5BA,N805PE,41.74132,-87.78151,4375.0,,,,,,1574874106
2019-11-27 17:01:57,AAF5BA,N805PE,41.748329999999996,-87.76588000000001,4350.0,,,,,,1574874117
2019-11-27 17:02:02,AAF5BA,N805PE,,,,,264.0,67.31,128.0,GS,1574874122
2019-11-27 17:02:21,AAF5BA,N805PE,,,,,264.0,85.24,128.0,GS,1574874141
2019-11-27 17:02:28,AAF5BA,N805PE,,,,,264.0,86.96,-192.0,GS,1574874148
2019-11-27 17:02:29,AAF5BA,N805PE,,,,,264.0,87.4,-128.0,GS,1574874149
2019-11-27 17:02:32,AAF5BA,N805PE,41.75657,-87.71076,4375.0,,,,,,1574874152
2019-11-27 17:02:45,AAF5BA,N805PE,41.75743,-87.68987,4375.0,,,,,,1574874165
2019-11-27 17:03:03,AAF5BA,N805PE,41.75889,-87.65972,4375.0,,,,,,1574874183
2019-11-27 17:03:10,AAF5BA,N805PE,,,,,265.0,86.76,192.0,GS,1574874190
2019-11-27 17:03:20,AAF5BA,N805PE,,,,,264.0,86.53,64.0,GS,1574874200
2019-11-27 17:03:29,AAF5BA,N805PE,41.7608,-87.61724,4375.0,,,,,,1574874209
2019-11-27 17:03:31,AAF5BA,N805PE,41.7609,-87.61463,4375.0,,,,,,1574874211
2019-11-27 17:03:32,AAF5BA,N805PE,,,,,,,,,1574874212
2019-11-27 17:16:36,AAF5BA,N805PE,41.84972,-87.56014,3350.0,,,,,,1574874996
2019-11-27 17:21:00,AAF5BA,N805PE,41.80573,-87.72034000000001,1550.0,,,,,,1574875260
2019-11-27 17:21:05,AAF5BA,N805PE,41.80475,-87.72232,1550.0,,,,,,1574875265
