received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:35:44,AB1644,,41.337740000000004,-86.50298000000001,18800.0,,,,,,1574872544
2019-11-27 16:35:49,AB1644,,41.33871,-86.51122,18650.0,,,,,,1574872549
2019-11-27 16:35:49,AB1644,,,,,,287.0,278.81,-2048.0,GS,1574872549
2019-11-27 16:35:49,AB1644,,41.33876,-86.5119,18625.0,,,,,,1574872549
2019-11-27 16:36:04,AB1644,,41.34274,-86.53784,18125.0,,,,,,1574872564
2019-11-27 16:36:44,AB1644,,,,,,282.0,295.84,-1984.0,GS,1574872604
2019-11-27 16:37:58,AB1644,,41.41864,-86.7041,14325.0,,,,,,1574872678
2019-11-27 16:38:13,AB1644,,41.4368,-86.71605,13850.0,,,,,,1574872693
2019-11-27 16:42:22,AB1644,,,,,,282.0,350.84,0.0,GS,1574872942
2019-11-27 16:42:48,AB1644,,41.81261,-86.81761,12450.0,,,,,,1574872968
2019-11-27 16:49:13,AB1644,,,,,,142.0,269.19,-576.0,GS,1574873353
2019-11-27 16:51:53,AB1644,,,,,,142.0,270.0,0.0,GS,1574873513
2019-11-27 16:52:19,AB1644,,41.9827,-87.41284,7450.0,,,,,,1574873539
2019-11-27 16:52:26,AB1644,,,,,,143.0,270.0,0.0,GS,1574873546
2019-11-27 16:53:47,AB1644,,,,,,146.0,271.57,-576.0,GS,1574873627
2019-11-27 16:53:51,AB1644,,,,,,146.0,270.39,-576.0,GS,1574873631
2019-11-27 16:53:52,AB1644,,41.983290000000004,-87.49524,7275.0,,,,,,1574873632
2019-11-27 16:53:57,AB1644,,41.98332,-87.50035,7200.0,,,,,,1574873637
2019-11-27 16:54:03,AB1644,,41.98332,-87.50604,7150.0,,,,,,1574873643
2019-11-27 16:54:04,AB1644,,,,,,148.0,270.0,-704.0,GS,1574873644
2019-11-27 16:54:13,AB1644,,41.98328,-87.51498000000001,7000.0,,,,,,1574873653
2019-11-27 16:54:28,AB1644,,,,,,147.0,270.0,-1024.0,GS,1574873668
2019-11-27 16:54:36,AB1644,,,,,,,,,,1574873676
2019-11-27 16:54:37,AB1644,UAL549,,,,,147.0,270.39,-960.0,GS,1574873677
2019-11-27 16:54:56,AB1644,UAL549,,,,,148.0,270.39,-1152.0,GS,1574873696
2019-11-27 16:55:04,AB1644,UAL549,,,,,149.0,271.54,-1152.0,GS,1574873704
2019-11-27 16:55:06,AB1644,UAL549,41.98328,-87.56321,6100.0,,,,,,1574873706
2019-11-27 16:55:07,AB1644,UAL549,,,,,149.0,271.54,-1152.0,GS,1574873707
2019-11-27 16:55:11,AB1644,UAL549,,,,,,,,,1574873711
2019-11-27 16:55:11,AB1644,UAL549,41.983290000000004,-87.56796,6000.0,,,,,,1574873711
2019-11-27 16:55:12,AB1644,UAL549,,,,,149.0,269.62,-768.0,GS,1574873712
2019-11-27 16:55:21,AB1644,UAL549,,,,,146.0,270.0,-832.0,GS,1574873721
2019-11-27 16:55:22,AB1644,UAL549,41.983290000000004,-87.57795,5850.0,,,,,,1574873722
2019-11-27 16:55:24,AB1644,UAL549,,,,,146.0,270.39,-704.0,GS,1574873724
2019-11-27 16:55:25,AB1644,UAL549,41.98332,-87.58064,5825.0,,,,,,1574873725
2019-11-27 16:55:27,AB1644,UAL549,,,,,145.0,270.4,-448.0,GS,1574873727
2019-11-27 16:55:28,AB1644,UAL549,,,,,145.0,270.79,-256.0,GS,1574873728
2019-11-27 16:55:35,AB1644,UAL549,41.98337,-87.5894,5800.0,,,,,,1574873735
2019-11-27 16:55:37,AB1644,UAL549,,,,,139.0,270.41,-576.0,GS,1574873737
2019-11-27 16:55:39,AB1644,UAL549,41.98338,-87.59331,5750.0,,,,,,1574873739
2019-11-27 16:55:40,AB1644,UAL549,,,,,138.0,270.42,-576.0,GS,1574873740
2019-11-27 16:55:43,AB1644,UAL549,,,,,137.0,270.84,-512.0,GS,1574873743
2019-11-27 16:55:46,AB1644,UAL549,,,,,,,,,1574873746
