received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:29:03,AB436F,,41.31767,-89.19681,18825.0,,,,,,1574875743
2019-11-27 17:29:25,AB436F,,,,,,438.0,61.97,-960.0,GS,1574875765
2019-11-27 17:30:41,AB436F,,,,,,426.0,62.05,-1984.0,GS,1574875841
2019-11-27 17:30:49,AB436F,,41.417759999999994,-88.9478,15800.0,,,,,,1574875849
2019-11-27 17:34:20,AB436F,,,,,,408.0,55.57,-1024.0,GS,1574876060
2019-11-27 17:34:21,AB436F,,,,,,408.0,55.57,-1024.0,GS,1574876061
2019-11-27 17:34:26,AB436F,,41.63319,-88.47952,11950.0,,,,,,1574876066
2019-11-27 17:34:38,AB436F,,41.64574,-88.45505,11725.0,,,,,,1574876078
2019-11-27 17:34:45,AB436F,,,,,,403.0,55.6,-1216.0,GS,1574876085
2019-11-27 17:35:22,AB436F,,41.69177,-88.36636,10875.0,,,,,,1574876122
2019-11-27 17:35:31,AB436F,,,,,,388.0,55.49,-1472.0,GS,1574876131
2019-11-27 17:35:32,AB436F,,,,,,388.0,55.49,-1472.0,GS,1574876132
2019-11-27 17:35:55,AB436F,,41.725429999999996,-88.30068,10500.0,,,,,,1574876155
2019-11-27 17:36:05,AB436F,,41.7345,-88.28295,10500.0,,,,,,1574876165
2019-11-27 17:36:05,AB436F,,41.73486,-88.28226,10500.0,,,,,,1574876165
2019-11-27 17:36:06,AB436F,,41.73534,-88.28134,10500.0,,,,,,1574876166
2019-11-27 17:36:06,AB436F,,41.73578,-88.28039,10500.0,,,,,,1574876166
2019-11-27 17:36:06,AB436F,,,,,,356.0,55.86,-256.0,GS,1574876166
2019-11-27 17:36:07,AB436F,,41.73664,-88.27879,10475.0,,,,,,1574876167
2019-11-27 17:36:07,AB436F,,,,,,355.0,55.77,-320.0,GS,1574876167
2019-11-27 17:36:09,AB436F,,41.7379,-88.27623,10475.0,,,,,,1574876169
2019-11-27 17:36:10,AB436F,,41.73912,-88.2739,10475.0,,,,,,1574876170
2019-11-27 17:36:17,AB436F,,41.74577,-88.26084,10400.0,,,,,,1574876177
2019-11-27 17:36:17,AB436F,,,,,,348.0,55.76,-640.0,GS,1574876177
2019-11-27 17:36:18,AB436F,,41.746320000000004,-88.25975,10400.0,,,,,,1574876178
2019-11-27 17:36:19,AB436F,,41.74713,-88.25816999999999,10400.0,,,,,,1574876179
2019-11-27 17:36:25,AB436F,,41.75253,-88.24756,10325.0,,,,,,1574876185
2019-11-27 17:36:28,AB436F,,,,,,341.0,55.85,-832.0,GS,1574876188
2019-11-27 17:36:29,AB436F,,,,,,,,,,1574876189
2019-11-27 17:36:35,AB436F,AAL2452,,,,,338.0,55.6,-832.0,GS,1574876195
2019-11-27 17:36:50,AB436F,AAL2452,,,,,331.0,55.45,-896.0,GS,1574876210
2019-11-27 17:36:50,AB436F,AAL2452,41.77505,-88.20361,10000.0,,,,,,1574876210
2019-11-27 17:36:51,AB436F,AAL2452,,,,,330.0,55.49,-960.0,GS,1574876211
2019-11-27 17:36:53,AB436F,AAL2452,,,,,330.0,55.49,-960.0,GS,1574876213
2019-11-27 17:36:53,AB436F,AAL2452,41.77756,-88.19875,9950.0,,,,,,1574876213
2019-11-27 17:36:55,AB436F,AAL2452,41.77917,-88.19556,9925.0,,,,,,1574876215
2019-11-27 17:36:55,AB436F,AAL2452,,,,,329.0,55.63,-1152.0,GS,1574876215
2019-11-27 17:36:56,AB436F,AAL2452,41.77968,-88.1945,9925.0,,,,,,1574876216
2019-11-27 17:36:56,AB436F,AAL2452,,,,,329.0,55.63,-1152.0,GS,1574876216
2019-11-27 17:36:56,AB436F,AAL2452,,,,,328.0,55.54,-1152.0,GS,1574876216
2019-11-27 17:36:57,AB436F,AAL2452,,,,,328.0,55.54,-1216.0,GS,1574876217
2019-11-27 17:36:59,AB436F,AAL2452,,,,,,,,,1574876219
2019-11-27 17:37:06,AB436F,AAL2452,41.78828,-88.17777,9700.0,,,,,,1574876226
2019-11-27 17:37:08,AB436F,AAL2452,41.79013,-88.17429,9675.0,,,,,,1574876228
2019-11-27 17:37:08,AB436F,AAL2452,,,,,327.0,55.58,-1216.0,GS,1574876228
2019-11-27 17:37:15,AB436F,AAL2452,,,,,326.0,55.73,-1088.0,GS,1574876235
