received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:00:30,AB540D,,,,,,185.0,267.21,-64.0,GS,1574874030
2019-11-27 17:00:35,AB540D,,41.98239,-87.32885,7400.0,,,,,,1574874035
2019-11-27 17:00:59,AB540D,,,,,,187.0,270.61,-64.0,GS,1574874059
2019-11-27 17:00:59,AB540D,,41.982479999999995,-87.35664,7375.0,,,,,,1574874059
2019-11-27 17:01:00,AB540D,,41.98253,-87.35792,7375.0,,,,,,1574874060
2019-11-27 17:01:16,AB540D,,41.9827,-87.37552,7375.0,,,,,,1574874076
2019-11-27 17:01:18,AB540D,,41.98272,-87.37759,7375.0,,,,,,1574874078
2019-11-27 17:01:19,AB540D,,41.98274,-87.37850999999999,7375.0,,,,,,1574874079
2019-11-27 17:01:22,AB540D,,,,,,165.0,271.39,64.0,GS,1574874082
2019-11-27 17:01:33,AB540D,,,,,,154.0,271.12,0.0,GS,1574874093
2019-11-27 17:01:44,AB540D,,41.983090000000004,-87.40339,7400.0,,,,,,1574874104
2019-11-27 17:02:10,AB540D,,41.982859999999995,-87.4262,7400.0,,,,,,1574874130
2019-11-27 17:02:11,AB540D,,,,,,146.0,269.61,-64.0,GS,1574874131
2019-11-27 17:02:12,AB540D,,,,,,146.0,269.61,-64.0,GS,1574874132
2019-11-27 17:02:16,AB540D,,,,,,146.0,269.61,0.0,GS,1574874136
2019-11-27 17:02:25,AB540D,,41.98281,-87.43993,7400.0,,,,,,1574874145
2019-11-27 17:02:31,AB540D,,41.98283,-87.44505,7400.0,,,,,,1574874151
2019-11-27 17:02:34,AB540D,,41.982859999999995,-87.44798,7375.0,,,,,,1574874154
2019-11-27 17:02:47,AB540D,,41.98288,-87.45997,7400.0,,,,,,1574874167
2019-11-27 17:02:55,AB540D,,,,,,149.0,270.38,0.0,GS,1574874175
2019-11-27 17:03:04,AB540D,,,,,,148.0,270.77,-64.0,GS,1574874184
2019-11-27 17:03:09,AB540D,,,,,,148.0,270.77,-192.0,GS,1574874189
2019-11-27 17:03:14,AB540D,,41.983059999999995,-87.48482,7350.0,,,,,,1574874194
2019-11-27 17:03:21,AB540D,,41.98318,-87.49173,7275.0,,,,,,1574874201
2019-11-27 17:03:22,AB540D,,41.9832,-87.49225,7275.0,,,,,,1574874202
2019-11-27 17:03:22,AB540D,,,,,,,,,,1574874202
2019-11-27 17:03:24,AB540D,UAL305,,,,,149.0,271.15,-512.0,GS,1574874204
2019-11-27 17:03:25,AB540D,UAL305,,,,,149.0,271.15,-512.0,GS,1574874205
2019-11-27 17:03:25,AB540D,UAL305,41.98323,-87.49505,7250.0,,,,,,1574874205
2019-11-27 17:03:30,AB540D,UAL305,41.983340000000005,-87.4998,7200.0,,,,,,1574874210
2019-11-27 17:03:45,AB540D,UAL305,,,,,147.0,270.39,-768.0,GS,1574874225
2019-11-27 17:03:51,AB540D,UAL305,,,,,147.0,269.61,-896.0,GS,1574874231
2019-11-27 17:03:56,AB540D,UAL305,,,,,147.0,269.61,-896.0,GS,1574874236
2019-11-27 17:03:57,AB540D,UAL305,,,,,147.0,269.61,-896.0,GS,1574874237
2019-11-27 17:03:58,AB540D,UAL305,41.98341,-87.52514000000001,6825.0,,,,,,1574874238
2019-11-27 17:03:59,AB540D,UAL305,41.98343,-87.52614,6800.0,,,,,,1574874239
2019-11-27 17:04:01,AB540D,UAL305,41.98341,-87.52846,6775.0,,,,,,1574874241
2019-11-27 17:04:02,AB540D,UAL305,41.98338,-87.52895,6750.0,,,,,,1574874242
2019-11-27 17:04:03,AB540D,UAL305,41.98337,-87.53012,6750.0,,,,,,1574874243
2019-11-27 17:04:04,AB540D,UAL305,,,,,147.0,269.22,-768.0,GS,1574874244
2019-11-27 17:04:07,AB540D,UAL305,,,,,146.0,269.22,-960.0,GS,1574874247
2019-11-27 17:04:09,AB540D,UAL305,41.98332,-87.53504000000001,6675.0,,,,,,1574874249
2019-11-27 17:04:10,AB540D,UAL305,41.983340000000005,-87.536,6650.0,,,,,,1574874250
2019-11-27 17:04:10,AB540D,UAL305,,,,,146.0,269.22,-960.0,GS,1574874250
2019-11-27 17:04:11,AB540D,UAL305,41.983340000000005,-87.537,6625.0,,,,,,1574874251
2019-11-27 17:04:11,AB540D,UAL305,,,,,146.0,269.22,-960.0,GS,1574874251
2019-11-27 17:04:11,AB540D,UAL305,,,,,146.0,269.22,-960.0,GS,1574874251
2019-11-27 17:04:12,AB540D,UAL305,,,,,,,,,1574874252
2019-11-27 17:04:15,AB540D,UAL305,,,,,146.0,269.61,-1024.0,GS,1574874255
2019-11-27 17:04:16,AB540D,UAL305,,,,,146.0,269.61,-960.0,GS,1574874256
2019-11-27 17:04:19,AB540D,UAL305,,,,,146.0,269.61,-960.0,GS,1574874259
2019-11-27 17:04:19,AB540D,UAL305,41.983290000000004,-87.54431,6500.0,,,,,,1574874259
2019-11-27 17:04:21,AB540D,UAL305,41.98325,-87.54618,6475.0,,,,,,1574874261
2019-11-27 17:04:22,AB540D,UAL305,,,,,146.0,269.22,-1024.0,GS,1574874262
2019-11-27 17:04:24,AB540D,UAL305,,,,,146.0,269.22,-960.0,GS,1574874264
2019-11-27 17:04:24,AB540D,UAL305,41.98325,-87.54893,6425.0,,,,,,1574874264
2019-11-27 17:04:25,AB540D,UAL305,,,,,146.0,269.22,-896.0,GS,1574874265
