received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:33:30,AB96DC,,,,,,,,,,1574876010
2019-11-27 17:33:40,AB96DC,LOF4744,,,,,138.0,270.83,-896.0,GS,1574876020
2019-11-27 17:33:42,AB96DC,LOF4744,42.0027,-87.78444,2775.0,,,,,,1574876022
2019-11-27 17:34:00,AB96DC,LOF4744,,,,,144.0,270.4,-128.0,GS,1574876040
2019-11-27 17:34:01,AB96DC,LOF4744,,,,,144.0,270.4,-448.0,GS,1574876041
2019-11-27 17:34:01,AB96DC,LOF4744,,,,,144.0,270.4,-512.0,GS,1574876041
2019-11-27 17:34:06,AB96DC,LOF4744,42.0027,-87.80542,2550.0,,,,,,1574876046
2019-11-27 17:34:08,AB96DC,LOF4744,,,,,145.0,270.0,-1536.0,GS,1574876048
2019-11-27 17:34:08,AB96DC,LOF4744,,,,,145.0,269.6,-1408.0,GS,1574876048
2019-11-27 17:34:10,AB96DC,LOF4744,,,,,147.0,269.22,-256.0,GS,1574876050
2019-11-27 17:34:10,AB96DC,LOF4744,42.00269,-87.80925,2500.0,,,,,,1574876050
2019-11-27 17:34:13,AB96DC,LOF4744,,,,,147.0,270.0,-704.0,GS,1574876053
2019-11-27 17:34:13,AB96DC,LOF4744,,,,,146.0,270.0,-640.0,GS,1574876053
2019-11-27 17:34:14,AB96DC,LOF4744,42.0027,-87.81316,2450.0,,,,,,1574876054
2019-11-27 17:34:16,AB96DC,LOF4744,,,,,143.0,269.6,-640.0,GS,1574876056
2019-11-27 17:34:16,AB96DC,LOF4744,,,,,143.0,269.6,-320.0,GS,1574876056
2019-11-27 17:34:16,AB96DC,LOF4744,42.00266,-87.81491,2450.0,,,,,,1574876056
2019-11-27 17:34:17,AB96DC,LOF4744,42.00269,-87.81576,2425.0,,,,,,1574876057
2019-11-27 17:34:17,AB96DC,LOF4744,,,,,142.0,270.0,-896.0,GS,1574876057
2019-11-27 17:34:18,AB96DC,LOF4744,42.00269,-87.81615,2425.0,,,,,,1574876058
2019-11-27 17:34:19,AB96DC,LOF4744,42.00266,-87.8174,2400.0,,,,,,1574876059
2019-11-27 17:34:20,AB96DC,LOF4744,42.00269,-87.81794000000001,2400.0,,,,,,1574876060
2019-11-27 17:34:25,AB96DC,LOF4744,,,,,136.0,271.26,-448.0,GS,1574876065
2019-11-27 17:34:28,AB96DC,LOF4744,42.00273,-87.82540999999999,2250.0,,,,,,1574876068
2019-11-27 17:34:29,AB96DC,LOF4744,42.00275,-87.82589,2250.0,,,,,,1574876069
2019-11-27 17:34:31,AB96DC,LOF4744,,,,,128.0,270.9,-832.0,GS,1574876071
2019-11-27 17:34:32,AB96DC,LOF4744,42.00278,-87.82835,2200.0,,,,,,1574876072
2019-11-27 17:34:32,AB96DC,LOF4744,,,,,127.0,270.45,-1024.0,GS,1574876072
2019-11-27 17:34:33,AB96DC,LOF4744,42.00275,-87.82876,2175.0,,,,,,1574876073
2019-11-27 17:34:34,AB96DC,LOF4744,42.00278,-87.82988,2150.0,,,,,,1574876074
2019-11-27 17:34:34,AB96DC,LOF4744,,,,,,,,,1574876074
2019-11-27 17:34:37,AB96DC,LOF4744,42.00275,-87.8322,2125.0,,,,,,1574876077
2019-11-27 17:34:38,AB96DC,LOF4744,,,,,120.0,269.05,-896.0,GS,1574876078
2019-11-27 17:34:39,AB96DC,LOF4744,42.00275,-87.83338,2075.0,,,,,,1574876079
2019-11-27 17:34:40,AB96DC,LOF4744,42.00273,-87.83416,2075.0,,,,,,1574876080
2019-11-27 17:34:42,AB96DC,LOF4744,,,,,119.0,269.52,-1344.0,GS,1574876082
2019-11-27 17:34:44,AB96DC,LOF4744,42.00275,-87.83725,2025.0,,,,,,1574876084
2019-11-27 17:34:44,AB96DC,LOF4744,,,,,117.0,269.51,-64.0,GS,1574876084
2019-11-27 17:34:45,AB96DC,LOF4744,,,,,116.0,269.51,-704.0,GS,1574876085
2019-11-27 17:34:45,AB96DC,LOF4744,42.0027,-87.83813,2000.0,,,,,,1574876085
2019-11-27 17:34:46,AB96DC,LOF4744,,,,,115.0,269.5,-896.0,GS,1574876086
2019-11-27 17:34:46,AB96DC,LOF4744,,,,,114.0,269.5,-896.0,GS,1574876086
2019-11-27 17:34:48,AB96DC,LOF4744,,,,,112.0,269.49,-512.0,GS,1574876088
2019-11-27 17:34:48,AB96DC,LOF4744,42.00273,-87.84023,1975.0,,,,,,1574876088
2019-11-27 17:34:49,AB96DC,LOF4744,42.00269,-87.84055,1950.0,,,,,,1574876089
2019-11-27 17:34:49,AB96DC,LOF4744,,,,,111.0,269.48,-704.0,GS,1574876089
2019-11-27 17:34:50,AB96DC,LOF4744,42.00269,-87.84163000000001,1950.0,,,,,,1574876090
2019-11-27 17:35:00,AB96DC,LOF4744,,,,,113.0,270.0,-832.0,GS,1574876100
2019-11-27 17:35:03,AB96DC,LOF4744,,,,,114.0,270.5,-384.0,GS,1574876103
2019-11-27 17:35:03,AB96DC,LOF4744,,,,,114.0,270.5,-128.0,GS,1574876103
2019-11-27 17:35:04,AB96DC,LOF4744,,,,,115.0,270.5,-512.0,GS,1574876104
2019-11-27 17:35:05,AB96DC,LOF4744,42.0027,-87.85155,1750.0,,,,,,1574876105
2019-11-27 17:35:06,AB96DC,LOF4744,,,,,116.0,270.0,-832.0,GS,1574876106
2019-11-27 17:35:08,AB96DC,LOF4744,,,,,118.0,270.0,-896.0,GS,1574876108
2019-11-27 17:35:08,AB96DC,LOF4744,42.0027,-87.85417,1725.0,,,,,,1574876108
2019-11-27 17:35:10,AB96DC,LOF4744,,,,,118.0,270.49,-320.0,GS,1574876110
2019-11-27 17:35:10,AB96DC,LOF4744,,,,,118.0,270.49,-512.0,GS,1574876110
2019-11-27 17:35:13,AB96DC,LOF4744,,,,,119.0,270.0,-768.0,GS,1574876113
2019-11-27 17:35:16,AB96DC,LOF4744,,,,,117.0,270.98,-128.0,GS,1574876116
2019-11-27 17:35:17,AB96DC,LOF4744,42.00273,-87.8608,1650.0,,,,,,1574876117
2019-11-27 17:35:20,AB96DC,LOF4744,,,,,117.0,270.49,-768.0,GS,1574876120
2019-11-27 17:35:20,AB96DC,LOF4744,,,,,117.0,270.0,-512.0,GS,1574876120
2019-11-27 17:35:21,AB96DC,LOF4744,,,,,118.0,269.51,-576.0,GS,1574876121
2019-11-27 17:35:22,AB96DC,LOF4744,42.00273,-87.86405,1600.0,,,,,,1574876122
2019-11-27 17:35:22,AB96DC,LOF4744,,,,,118.0,269.51,-896.0,GS,1574876122
2019-11-27 17:35:23,AB96DC,LOF4744,42.0027,-87.86478000000001,1575.0,,,,,,1574876123
2019-11-27 17:35:25,AB96DC,LOF4744,,,,,117.0,268.53,-512.0,GS,1574876125
2019-11-27 17:35:28,AB96DC,LOF4744,,,,,117.0,269.02,-1536.0,GS,1574876128
2019-11-27 17:35:30,AB96DC,LOF4744,,,,,118.0,269.51,-384.0,GS,1574876130
2019-11-27 17:35:33,AB96DC,LOF4744,,,,,119.0,270.0,-1344.0,GS,1574876133
2019-11-27 17:35:35,AB96DC,LOF4744,,,,,117.0,270.49,-192.0,GS,1574876135
2019-11-27 17:35:37,AB96DC,LOF4744,,,,,116.0,270.99,-1088.0,GS,1574876137
2019-11-27 17:35:37,AB96DC,LOF4744,42.00266,-87.87533,1400.0,,,,,,1574876137
2019-11-27 17:35:45,AB96DC,LOF4744,42.0027,-87.88082,1325.0,,,,,,1574876145
2019-11-27 17:35:51,AB96DC,LOF4744,42.00278,-87.88526,1275.0,,,,,,1574876151
2019-11-27 17:35:54,AB96DC,LOF4744,,,,,114.0,271.01,-960.0,GS,1574876154
2019-11-27 17:35:55,AB96DC,LOF4744,,,,,115.0,271.0,-960.0,GS,1574876155
2019-11-27 17:35:57,AB96DC,LOF4744,,,,,117.0,270.49,-832.0,GS,1574876157
2019-11-27 17:35:58,AB96DC,LOF4744,42.00284,-87.89,1200.0,,,,,,1574876158
2019-11-27 17:36:04,AB96DC,LOF4744,,,,,,,,,1574876164
2019-11-27 17:36:09,AB96DC,LOF4744,42.002829999999996,-87.89829,1050.0,,,,,,1574876169
2019-11-27 17:36:10,AB96DC,LOF4744,,,,,121.0,270.0,-64.0,GS,1574876170
2019-11-27 17:36:48,AB96DC,LOF4744,42.00282,-87.92067,,,,,,,1574876208
2019-11-27 17:36:49,AB96DC,LOF4744,42.0028,-87.92092,,,,,,,1574876209
2019-11-27 17:36:49,AB96DC,LOF4744,,,,,,,,,1574876209
