received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:27:07,ABB1C2,,,,,,,,,,1574872027
2019-11-27 16:27:09,ABB1C2,SWA3003,,,,,301.0,58.42,-960.0,GS,1574872029
2019-11-27 16:27:18,ABB1C2,SWA3003,41.57822,-88.13648,4975.0,,,,,,1574872038
2019-11-27 16:27:18,ABB1C2,SWA3003,41.57855,-88.13584,4975.0,,,,,,1574872038
2019-11-27 16:27:19,ABB1C2,SWA3003,,,,,305.0,58.65,-1024.0,GS,1574872039
2019-11-27 16:27:21,ABB1C2,SWA3003,41.58018,-88.1322,4925.0,,,,,,1574872041
2019-11-27 16:27:26,ABB1C2,SWA3003,41.583999999999996,-88.12377,4850.0,,,,,,1574872046
2019-11-27 16:27:31,ABB1C2,SWA3003,,,,,306.0,58.59,-1024.0,GS,1574872051
2019-11-27 16:27:32,ABB1C2,SWA3003,,,,,306.0,58.59,-1024.0,GS,1574872052
2019-11-27 16:27:33,ABB1C2,SWA3003,,,,,307.0,58.84,-1024.0,GS,1574872053
2019-11-27 16:27:34,ABB1C2,SWA3003,41.58971,-88.11135,4725.0,,,,,,1574872054
2019-11-27 16:27:34,ABB1C2,SWA3003,,,,,307.0,58.84,-960.0,GS,1574872054
2019-11-27 16:27:34,ABB1C2,SWA3003,,,,,307.0,58.84,-960.0,GS,1574872054
2019-11-27 16:27:42,ABB1C2,SWA3003,41.59602,-88.09768000000001,4575.0,,,,,,1574872062
2019-11-27 16:27:43,ABB1C2,SWA3003,41.596709999999995,-88.09617,4550.0,,,,,,1574872063
2019-11-27 16:27:45,ABB1C2,SWA3003,,,,,306.0,58.33,-1088.0,GS,1574872065
2019-11-27 16:27:55,ABB1C2,SWA3003,,,,,304.0,58.13,-320.0,GS,1574872075
2019-11-27 16:27:58,ABB1C2,SWA3003,,,,,304.0,58.13,-128.0,GS,1574872078
2019-11-27 16:27:58,ABB1C2,SWA3003,41.60797,-88.07177,4400.0,,,,,,1574872078
2019-11-27 16:27:59,ABB1C2,SWA3003,,,,,304.0,58.55,64.0,GS,1574872079
2019-11-27 16:28:00,ABB1C2,SWA3003,41.60907,-88.06945999999999,4400.0,,,,,,1574872080
2019-11-27 16:28:18,ABB1C2,SWA3003,41.62287,-88.0392,4400.0,,,,,,1574872098
2019-11-27 16:28:19,ABB1C2,SWA3003,41.62317,-88.03856999999999,4400.0,,,,,,1574872099
2019-11-27 16:28:19,ABB1C2,SWA3003,,,,,303.0,58.36,-128.0,GS,1574872099
2019-11-27 16:28:21,ABB1C2,SWA3003,41.62464,-88.03543,4400.0,,,,,,1574872101
2019-11-27 16:28:22,ABB1C2,SWA3003,41.625370000000004,-88.03381999999999,4400.0,,,,,,1574872102
2019-11-27 16:28:37,ABB1C2,SWA3003,,,,,301.0,58.16,0.0,GS,1574872117
2019-11-27 16:28:41,ABB1C2,SWA3003,,,,,301.0,57.89,0.0,GS,1574872121
2019-11-27 16:28:43,ABB1C2,SWA3003,,,,,301.0,57.89,0.0,GS,1574872123
2019-11-27 16:28:45,ABB1C2,SWA3003,,,,,301.0,58.16,64.0,GS,1574872125
2019-11-27 16:28:48,ABB1C2,SWA3003,41.64465,-87.99206,4400.0,,,,,,1574872128
2019-11-27 16:29:05,ABB1C2,SWA3003,41.657140000000005,-87.96497,4400.0,,,,,,1574872145
2019-11-27 16:29:06,ABB1C2,SWA3003,,,,,299.0,58.64,0.0,GS,1574872146
2019-11-27 16:29:10,ABB1C2,SWA3003,,,,,300.0,58.48,128.0,GS,1574872150
2019-11-27 16:29:13,ABB1C2,SWA3003,,,,,300.0,58.06,64.0,GS,1574872153
2019-11-27 16:29:14,ABB1C2,SWA3003,41.663309999999996,-87.95155,4400.0,,,,,,1574872154
2019-11-27 16:29:14,ABB1C2,SWA3003,,,,,300.0,58.06,64.0,GS,1574872154
2019-11-27 16:29:14,ABB1C2,SWA3003,41.66373,-87.95074,4400.0,,,,,,1574872154
2019-11-27 16:29:15,ABB1C2,SWA3003,41.66444,-87.9492,4400.0,,,,,,1574872155
2019-11-27 16:29:16,ABB1C2,SWA3003,41.66518,-87.9476,4400.0,,,,,,1574872156
2019-11-27 16:29:17,ABB1C2,SWA3003,41.66551,-87.9469,4400.0,,,,,,1574872157
2019-11-27 16:29:18,ABB1C2,SWA3003,,,,,300.0,58.06,64.0,GS,1574872158
2019-11-27 16:29:18,ABB1C2,SWA3003,41.666579999999996,-87.9446,4400.0,,,,,,1574872158
2019-11-27 16:29:19,ABB1C2,SWA3003,,,,,301.0,58.16,64.0,GS,1574872159
2019-11-27 16:29:19,ABB1C2,SWA3003,,,,,300.0,58.32,64.0,GS,1574872159
2019-11-27 16:29:19,ABB1C2,SWA3003,41.6673,-87.943,4400.0,,,,,,1574872159
2019-11-27 16:29:20,ABB1C2,SWA3003,,,,,301.0,58.42,-192.0,GS,1574872160
2019-11-27 16:29:22,ABB1C2,SWA3003,41.66908,-87.93906,4400.0,,,,,,1574872162
2019-11-27 16:29:23,ABB1C2,SWA3003,,,,,301.0,58.84,-64.0,GS,1574872163
2019-11-27 16:29:25,ABB1C2,SWA3003,,,,,302.0,58.94,192.0,GS,1574872165
2019-11-27 16:29:31,ABB1C2,SWA3003,41.67549,-87.92496,4400.0,,,,,,1574872171
2019-11-27 16:29:31,ABB1C2,SWA3003,41.67586,-87.92408,4400.0,,,,,,1574872171
