received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:18:47,ABBDB3,,,,,,150.0,271.91,0.0,GS,1574875127
2019-11-27 17:18:54,ABBDB3,,,,,,151.0,272.28,0.0,GS,1574875134
2019-11-27 17:18:54,ABBDB3,,,,,,,,,,1574875134
2019-11-27 17:18:55,ABBDB3,SKW5153,41.98279,-87.47814,7400.0,,,,,,1574875135
2019-11-27 17:19:27,ABBDB3,SKW5153,,,,,148.0,269.61,-896.0,GS,1574875167
2019-11-27 17:19:53,ABBDB3,SKW5153,,,,,150.0,269.62,-1024.0,GS,1574875193
2019-11-27 17:20:00,ABBDB3,SKW5153,41.9829,-87.53804000000001,6600.0,,,,,,1574875200
2019-11-27 17:20:02,ABBDB3,SKW5153,41.982929999999996,-87.53936999999999,6575.0,,,,,,1574875202
2019-11-27 17:20:14,ABBDB3,SKW5153,,,,,146.0,270.39,-960.0,GS,1574875214
2019-11-27 17:20:21,ABBDB3,SKW5153,,,,,143.0,270.4,-832.0,GS,1574875221
2019-11-27 17:20:26,ABBDB3,SKW5153,,,,,139.0,270.41,-832.0,GS,1574875226
2019-11-27 17:20:29,ABBDB3,SKW5153,,,,,,,,,1574875229
2019-11-27 17:20:37,ABBDB3,SKW5153,,,,,134.0,270.86,-768.0,GS,1574875237
2019-11-27 17:20:38,ABBDB3,SKW5153,41.98304,-87.57106,6025.0,,,,,,1574875238
2019-11-27 17:20:39,ABBDB3,SKW5153,,,,,133.0,270.86,-768.0,GS,1574875239
2019-11-27 17:20:43,ABBDB3,SKW5153,41.983090000000004,-87.57522,5975.0,,,,,,1574875243
2019-11-27 17:20:43,ABBDB3,SKW5153,,,,,132.0,270.87,-832.0,GS,1574875243
2019-11-27 17:20:47,ABBDB3,SKW5153,41.98314,-87.57840999999999,5925.0,,,,,,1574875247
2019-11-27 17:20:57,ABBDB3,SKW5153,41.98328,-87.5862,5800.0,,,,,,1574875257
2019-11-27 17:21:01,ABBDB3,SKW5153,,,,,124.0,270.92,-640.0,GS,1574875261
2019-11-27 17:21:02,ABBDB3,SKW5153,,,,,123.0,271.4,-704.0,GS,1574875262
2019-11-27 17:21:02,ABBDB3,SKW5153,41.98332,-87.59035,5725.0,,,,,,1574875262
2019-11-27 17:21:04,ABBDB3,SKW5153,41.983340000000005,-87.59181,5700.0,,,,,,1574875264
2019-11-27 17:21:06,ABBDB3,SKW5153,,,,,122.0,271.41,-640.0,GS,1574875266
2019-11-27 17:21:11,ABBDB3,SKW5153,,,,,121.0,271.42,-704.0,GS,1574875271
2019-11-27 17:21:12,ABBDB3,SKW5153,41.98346,-87.59751,5625.0,,,,,,1574875272
2019-11-27 17:21:17,ABBDB3,SKW5153,,,,,120.0,271.91,-704.0,GS,1574875277
2019-11-27 17:21:22,ABBDB3,SKW5153,,,,,119.0,271.44,-640.0,GS,1574875282
2019-11-27 17:21:22,ABBDB3,SKW5153,41.98366,-87.60511,5500.0,,,,,,1574875282
2019-11-27 17:21:24,ABBDB3,SKW5153,41.98366,-87.60642,5475.0,,,,,,1574875284
2019-11-27 17:21:26,ABBDB3,SKW5153,,,,,118.0,271.94,-640.0,GS,1574875286
2019-11-27 17:21:27,ABBDB3,SKW5153,41.98369,-87.60856,5450.0,,,,,,1574875287
2019-11-27 17:21:28,ABBDB3,SKW5153,,,,,117.0,271.96,-640.0,GS,1574875288
2019-11-27 17:21:31,ABBDB3,SKW5153,,,,,117.0,271.96,-640.0,GS,1574875291
2019-11-27 17:21:32,ABBDB3,SKW5153,41.9838,-87.6121,5400.0,,,,,,1574875292
2019-11-27 17:21:32,ABBDB3,SKW5153,41.98379,-87.61277,5375.0,,,,,,1574875292
2019-11-27 17:21:36,ABBDB3,SKW5153,,,,,118.0,271.46,-704.0,GS,1574875296
2019-11-27 17:21:53,ABBDB3,SKW5153,,,,,122.0,270.0,-704.0,GS,1574875313
2019-11-27 17:21:54,ABBDB3,SKW5153,41.98397,-87.62919000000001,5150.0,,,,,,1574875314
2019-11-27 17:22:00,ABBDB3,SKW5153,,,,,123.0,269.53,-704.0,GS,1574875320
2019-11-27 17:22:01,ABBDB3,SKW5153,41.98397,-87.63417,5075.0,,,,,,1574875321
2019-11-27 17:22:01,ABBDB3,SKW5153,,,,,123.0,269.53,-768.0,GS,1574875321
2019-11-27 17:22:04,ABBDB3,SKW5153,41.98393,-87.63691999999999,5025.0,,,,,,1574875324
2019-11-27 17:22:05,ABBDB3,SKW5153,,,,,124.0,270.46,-448.0,GS,1574875325
2019-11-27 17:22:06,ABBDB3,SKW5153,41.98393,-87.63806,5000.0,,,,,,1574875326
2019-11-27 17:22:12,ABBDB3,SKW5153,,,,,125.0,270.0,-832.0,GS,1574875332
2019-11-27 17:22:15,ABBDB3,SKW5153,,,,,125.0,269.54,-768.0,GS,1574875335
2019-11-27 17:22:17,ABBDB3,SKW5153,,,,,124.0,269.54,-768.0,GS,1574875337
2019-11-27 17:22:23,ABBDB3,SKW5153,,,,,124.0,270.0,-768.0,GS,1574875343
2019-11-27 17:22:27,ABBDB3,SKW5153,,,,,124.0,270.0,-768.0,GS,1574875347
2019-11-27 17:22:30,ABBDB3,SKW5153,41.98393,-87.65642,4700.0,,,,,,1574875350
2019-11-27 17:22:31,ABBDB3,SKW5153,41.98393,-87.65760999999999,4675.0,,,,,,1574875351
2019-11-27 17:22:36,ABBDB3,SKW5153,41.98393,-87.66104,4600.0,,,,,,1574875356
2019-11-27 17:22:36,ABBDB3,SKW5153,,,,,123.0,270.0,-640.0,GS,1574875356
2019-11-27 17:22:36,ABBDB3,SKW5153,41.98393,-87.66145,4600.0,,,,,,1574875356
2019-11-27 17:22:41,ABBDB3,SKW5153,41.983979999999995,-87.66484,4550.0,,,,,,1574875361
2019-11-27 17:22:49,ABBDB3,SKW5153,41.98402,-87.67126999999999,4450.0,,,,,,1574875369
2019-11-27 17:22:50,ABBDB3,SKW5153,,,,,122.0,270.47,-512.0,GS,1574875370
2019-11-27 17:22:50,ABBDB3,SKW5153,,,,,122.0,270.94,-640.0,GS,1574875370
2019-11-27 17:22:52,ABBDB3,SKW5153,41.98402,-87.67371,4425.0,,,,,,1574875372
2019-11-27 17:22:56,ABBDB3,SKW5153,,,,,122.0,269.53,-640.0,GS,1574875376
2019-11-27 17:23:05,ABBDB3,SKW5153,41.98402,-87.6832,4275.0,,,,,,1574875385
2019-11-27 17:23:07,ABBDB3,SKW5153,,,,,121.0,269.53,-896.0,GS,1574875387
2019-11-27 17:23:09,ABBDB3,SKW5153,41.98397,-87.68623000000001,4225.0,,,,,,1574875389
2019-11-27 17:23:13,ABBDB3,SKW5153,41.98397,-87.6891,4175.0,,,,,,1574875393
2019-11-27 17:23:15,ABBDB3,SKW5153,,,,,121.0,269.53,-704.0,GS,1574875395
2019-11-27 17:23:16,ABBDB3,SKW5153,,,,,121.0,269.53,-640.0,GS,1574875396
2019-11-27 17:23:20,ABBDB3,SKW5153,,,,,122.0,269.53,-576.0,GS,1574875400
2019-11-27 17:23:20,ABBDB3,SKW5153,,,,,,,,,1574875400
2019-11-27 17:23:22,ABBDB3,SKW5153,41.98393,-87.69632,4075.0,,,,,,1574875402
2019-11-27 17:23:23,ABBDB3,SKW5153,41.98393,-87.69683,4050.0,,,,,,1574875403
2019-11-27 17:23:24,ABBDB3,SKW5153,41.98393,-87.69749,4050.0,,,,,,1574875404
2019-11-27 17:23:28,ABBDB3,SKW5153,41.98389,-87.70055,4000.0,,,,,,1574875408
2019-11-27 17:23:30,ABBDB3,SKW5153,41.98389,-87.7018,3975.0,,,,,,1574875410
2019-11-27 17:24:00,ABBDB3,SKW5153,,,,,,,,,1574875440
2019-11-27 17:24:02,ABBDB3,SKW5153,41.98384,-87.72758,3575.0,,,,,,1574875442
2019-11-27 17:24:05,ABBDB3,SKW5153,41.98389,-87.73076,3525.0,,,,,,1574875445
2019-11-27 17:24:14,ABBDB3,SKW5153,41.98389,-87.738,3425.0,,,,,,1574875454
2019-11-27 17:24:28,ABBDB3,SKW5153,41.98388,-87.74991,3200.0,,,,,,1574875468
2019-11-27 17:24:34,ABBDB3,SKW5153,41.98388,-87.75483,3125.0,,,,,,1574875474
2019-11-27 17:24:44,ABBDB3,SKW5153,41.983979999999995,-87.76303,3000.0,,,,,,1574875484
2019-11-27 17:24:45,ABBDB3,SKW5153,,,,,128.0,270.45,-704.0,GS,1574875485
2019-11-27 17:24:46,ABBDB3,SKW5153,,,,,128.0,270.45,-704.0,GS,1574875486
2019-11-27 17:24:49,ABBDB3,SKW5153,41.983979999999995,-87.76715,2925.0,,,,,,1574875489
2019-11-27 17:24:51,ABBDB3,SKW5153,,,,,127.0,270.45,-640.0,GS,1574875491
2019-11-27 17:24:54,ABBDB3,SKW5153,41.98402,-87.77118,2875.0,,,,,,1574875494
2019-11-27 17:24:55,ABBDB3,SKW5153,41.98402,-87.77209,2850.0,,,,,,1574875495
2019-11-27 17:24:56,ABBDB3,SKW5153,41.98402,-87.77284,2825.0,,,,,,1574875496
2019-11-27 17:24:57,ABBDB3,SKW5153,,,,,130.0,270.44,-768.0,GS,1574875497
2019-11-27 17:24:59,ABBDB3,SKW5153,,,,,127.0,270.0,448.0,GS,1574875499
2019-11-27 17:25:00,ABBDB3,SKW5153,41.98402,-87.77616,2825.0,,,,,,1574875500
2019-11-27 17:25:04,ABBDB3,SKW5153,41.98402,-87.77859000000001,2825.0,,,,,,1574875504
2019-11-27 17:25:06,ABBDB3,SKW5153,41.983979999999995,-87.78026,2800.0,,,,,,1574875506
2019-11-27 17:25:07,ABBDB3,SKW5153,41.983979999999995,-87.78107,2775.0,,,,,,1574875507
2019-11-27 17:25:31,ABBDB3,SKW5153,,,,,109.0,268.95,-640.0,GS,1574875531
2019-11-27 17:25:39,ABBDB3,SKW5153,41.98384,-87.80405,2400.0,,,,,,1574875539
