received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:26:53,ABBF2E,,,,,,,,,,1574875613
2019-11-27 17:27:37,ABBF2E,RPA3441,41.61626,-87.46035,8375.0,,,,,,1574875657
2019-11-27 17:27:39,ABBF2E,RPA3441,,,,,240.0,325.85,64.0,GS,1574875659
2019-11-27 17:27:51,ABBF2E,RPA3441,41.62917,-87.47196,8375.0,,,,,,1574875671
2019-11-27 17:28:35,ABBF2E,RPA3441,41.66923,-87.50986999999999,8400.0,,,,,,1574875715
2019-11-27 17:28:36,ABBF2E,RPA3441,,,,,248.0,334.77,64.0,GS,1574875716
2019-11-27 17:28:40,ABBF2E,RPA3441,,,,,254.0,342.85,64.0,GS,1574875720
2019-11-27 17:28:43,ABBF2E,RPA3441,,,,,,,,,1574875723
2019-11-27 17:28:53,ABBF2E,RPA3441,,,,,,,,,1574875733
2019-11-27 17:28:56,ABBF2E,RPA3441,41.69362,-87.51565,8400.0,,,,,,1574875736
2019-11-27 17:28:57,ABBF2E,RPA3441,41.69474,-87.51575,8400.0,,,,,,1574875737
2019-11-27 17:29:00,ABBF2E,RPA3441,41.69852,-87.51603,8375.0,,,,,,1574875740
2019-11-27 17:29:02,ABBF2E,RPA3441,41.70122,-87.5162,8375.0,,,,,,1574875742
2019-11-27 17:29:27,ABBF2E,RPA3441,,,,,,,,,1574875767
2019-11-27 17:29:30,ABBF2E,RPA3441,41.73534,-87.5183,8400.0,,,,,,1574875770
2019-11-27 17:30:31,ABBF2E,RPA3441,41.809870000000004,-87.52354,7600.0,,,,,,1574875831
2019-11-27 17:30:31,ABBF2E,RPA3441,,,,,263.0,355.87,-896.0,GS,1574875831
2019-11-27 17:30:31,ABBF2E,RPA3441,,,,,,,,,1574875831
2019-11-27 17:30:57,ABBF2E,RPA3441,,,,,282.0,27.38,-128.0,GS,1574875857
2019-11-27 17:31:02,ABBF2E,RPA3441,41.847159999999995,-87.5137,7400.0,,,,,,1574875862
2019-11-27 17:31:09,ABBF2E,RPA3441,41.85425,-87.50429,7400.0,,,,,,1574875869
2019-11-27 17:31:11,ABBF2E,RPA3441,41.85577,-87.50163,7400.0,,,,,,1574875871
2019-11-27 17:31:11,ABBF2E,RPA3441,,,,,,,,,1574875871
2019-11-27 17:31:12,ABBF2E,RPA3441,,,,,299.0,55.46,-64.0,GS,1574875872
2019-11-27 17:32:30,ABBF2E,RPA3441,,,,,285.0,83.77,-832.0,GS,1574875950
2019-11-27 17:32:46,ABBF2E,RPA3441,,,,,,,,,1574875966
2019-11-27 17:32:51,ABBF2E,RPA3441,41.87891,-87.32087,5950.0,,,,,,1574875971
2019-11-27 17:33:00,ABBF2E,RPA3441,41.8829,-87.30666,5825.0,,,,,,1574875980
