received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:00:00,ABC16A,,,,,,141.0,270.41,0.0,GS,1574874000
2019-11-27 17:00:10,ABC16A,,,,,,140.0,269.59,64.0,GS,1574874010
2019-11-27 17:00:11,ABC16A,,41.983059999999995,-87.4204,7425.0,,,,,,1574874011
2019-11-27 17:00:33,ABC16A,,,,,,146.0,270.39,-64.0,GS,1574874033
2019-11-27 17:00:48,ABC16A,,41.98276,-87.45340999999999,7450.0,,,,,,1574874048
2019-11-27 17:00:49,ABC16A,,,,,,149.0,268.08,0.0,GS,1574874049
2019-11-27 17:00:51,ABC16A,,,,,,150.0,268.09,0.0,GS,1574874051
2019-11-27 17:00:54,ABC16A,,41.98265,-87.45966,7450.0,,,,,,1574874054
2019-11-27 17:01:06,ABC16A,,,,,,143.0,269.6,64.0,GS,1574874066
2019-11-27 17:01:09,ABC16A,,41.9826,-87.47308000000001,7425.0,,,,,,1574874069
2019-11-27 17:01:18,ABC16A,,41.98265,-87.48088,7425.0,,,,,,1574874078
2019-11-27 17:01:30,ABC16A,,,,,,142.0,270.81,-256.0,GS,1574874090
2019-11-27 17:01:34,ABC16A,,,,,,144.0,271.19,-320.0,GS,1574874094
2019-11-27 17:01:34,ABC16A,,41.98274,-87.49436999999999,7400.0,,,,,,1574874094
2019-11-27 17:01:54,ABC16A,,41.98295,-87.51299999999999,7100.0,,,,,,1574874114
2019-11-27 17:02:03,ABC16A,,,,,,152.0,270.38,-1216.0,GS,1574874123
2019-11-27 17:02:04,ABC16A,,41.983000000000004,-87.52284,6900.0,,,,,,1574874124
2019-11-27 17:02:18,ABC16A,,41.982929999999996,-87.53582,6625.0,,,,,,1574874138
2019-11-27 17:02:18,ABC16A,,,,,,148.0,269.61,-1024.0,GS,1574874138
2019-11-27 17:02:33,ABC16A,,41.982929999999996,-87.5493,6375.0,,,,,,1574874153
2019-11-27 17:03:36,ABC16A,,,,,,128.0,271.79,-704.0,GS,1574874216
2019-11-27 17:03:45,ABC16A,,,,,,126.0,271.36,-768.0,GS,1574874225
2019-11-27 17:04:02,ABC16A,,,,,,120.0,270.95,-704.0,GS,1574874242
2019-11-27 17:04:11,ABC16A,,,,,,118.0,270.49,-640.0,GS,1574874251
2019-11-27 17:04:14,ABC16A,,41.98366,-87.62889,5125.0,,,,,,1574874254
2019-11-27 17:04:18,ABC16A,,41.9837,-87.63176,5075.0,,,,,,1574874258
2019-11-27 17:04:23,ABC16A,,,,,,116.0,271.48,-576.0,GS,1574874263
2019-11-27 17:04:29,ABC16A,,,,,,117.0,270.98,-512.0,GS,1574874269
2019-11-27 17:04:29,ABC16A,,,,,,117.0,270.98,-512.0,GS,1574874269
