received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:48,ABCA53,,42.38158,-88.67902,11450.0,,,,,,1574871588
2019-11-27 16:19:50,ABCA53,,42.38092,-88.67404,11450.0,,,,,,1574871590
2019-11-27 16:19:50,ABCA53,,,,,,402.0,100.02,-192.0,GS,1574871590
2019-11-27 16:19:51,ABCA53,,,,,,401.0,100.05,-128.0,GS,1574871591
2019-11-27 16:19:56,ABCA53,,42.37894,-88.65892,11425.0,,,,,,1574871596
2019-11-27 16:20:00,ABCA53,,,,,,385.0,100.0,-64.0,GS,1574871600
2019-11-27 16:20:29,ABCA53,,,,,,347.0,99.95,0.0,GS,1574871629
2019-11-27 16:23:40,ABCA53,,,,,,314.0,130.23,0.0,GS,1574871820
2019-11-27 16:23:40,ABCA53,,,,,,,,,,1574871820
2019-11-27 16:23:48,ABCA53,RPA3535,42.24625,-88.22705,7425.0,,,,,,1574871828
2019-11-27 16:24:06,ABCA53,RPA3535,,,,,312.0,130.32,-64.0,GS,1574871846
2019-11-27 16:24:08,ABCA53,RPA3535,42.22814,-88.19818000000001,7425.0,,,,,,1574871848
2019-11-27 16:24:13,ABCA53,RPA3535,,,,,312.0,130.32,0.0,GS,1574871853
2019-11-27 16:24:18,ABCA53,RPA3535,,,,,312.0,130.2,0.0,GS,1574871858
2019-11-27 16:24:20,ABCA53,RPA3535,42.21629,-88.17939,7425.0,,,,,,1574871860
2019-11-27 16:24:21,ABCA53,RPA3535,,,,,313.0,130.34,-64.0,GS,1574871861
2019-11-27 16:24:22,ABCA53,RPA3535,,,,,313.0,130.34,-64.0,GS,1574871862
2019-11-27 16:24:23,ABCA53,RPA3535,,,,,313.0,130.34,-64.0,GS,1574871863
2019-11-27 16:24:24,ABCA53,RPA3535,,,,,313.0,130.34,-64.0,GS,1574871864
2019-11-27 16:24:28,ABCA53,RPA3535,,,,,313.0,130.6,128.0,GS,1574871868
2019-11-27 16:24:31,ABCA53,RPA3535,42.20617,-88.16343,7425.0,,,,,,1574871871
2019-11-27 16:24:35,ABCA53,RPA3535,,,,,313.0,132.8,64.0,GS,1574871875
2019-11-27 16:24:43,ABCA53,RPA3535,42.19444,-88.14681999999999,7425.0,,,,,,1574871883
2019-11-27 16:24:43,ABCA53,RPA3535,,,,,311.0,135.39,0.0,GS,1574871883
2019-11-27 16:25:10,ABCA53,RPA3535,,,,,308.0,139.34,64.0,GS,1574871910
2019-11-27 16:25:16,ABCA53,RPA3535,42.15827,-88.10396,7425.0,,,,,,1574871916
2019-11-27 16:25:17,ABCA53,RPA3535,,,,,306.0,138.97,64.0,GS,1574871917
2019-11-27 16:25:34,ABCA53,RPA3535,42.13923,-88.08185999999999,7425.0,,,,,,1574871934
2019-11-27 16:25:35,ABCA53,RPA3535,42.138059999999996,-88.08051,7425.0,,,,,,1574871935
2019-11-27 16:25:37,ABCA53,RPA3535,42.13641,-88.07864000000001,7425.0,,,,,,1574871937
2019-11-27 16:25:37,ABCA53,RPA3535,,,,,303.0,139.28,0.0,GS,1574871937
2019-11-27 16:25:40,ABCA53,RPA3535,,,,,304.0,139.4,-64.0,GS,1574871940
2019-11-27 16:25:41,ABCA53,RPA3535,,,,,304.0,139.4,-64.0,GS,1574871941
2019-11-27 16:25:41,ABCA53,RPA3535,,,,,,,,,1574871941
2019-11-27 16:25:42,ABCA53,RPA3535,,,,,304.0,139.4,0.0,GS,1574871942
2019-11-27 16:25:43,ABCA53,RPA3535,42.12941,-88.07053,7425.0,,,,,,1574871943
2019-11-27 16:25:46,ABCA53,RPA3535,,,,,304.0,139.4,64.0,GS,1574871946
2019-11-27 16:25:49,ABCA53,RPA3535,42.12378,-88.06403,7425.0,,,,,,1574871949
2019-11-27 16:25:59,ABCA53,RPA3535,42.1133,-88.05192,7425.0,,,,,,1574871959
2019-11-27 16:26:00,ABCA53,RPA3535,,,,,304.0,138.99,64.0,GS,1574871960
2019-11-27 16:26:00,ABCA53,RPA3535,42.1112,-88.04954000000001,7425.0,,,,,,1574871960
2019-11-27 16:26:02,ABCA53,RPA3535,42.11018,-88.0483,7425.0,,,,,,1574871962
2019-11-27 16:26:05,ABCA53,RPA3535,42.10675,-88.044,7425.0,,,,,,1574871965
2019-11-27 16:26:05,ABCA53,RPA3535,,,,,306.0,135.0,-64.0,GS,1574871965
2019-11-27 16:26:16,ABCA53,RPA3535,,,,,315.0,115.75,128.0,GS,1574871976
2019-11-27 16:26:20,ABCA53,RPA3535,,,,,317.0,109.52,-64.0,GS,1574871980
2019-11-27 16:26:33,ABCA53,RPA3535,,,,,321.0,91.96,64.0,GS,1574871993
2019-11-27 16:26:33,ABCA53,RPA3535,42.0917,-87.99308,7425.0,,,,,,1574871993
2019-11-27 16:26:35,ABCA53,RPA3535,42.09165,-87.98982,7425.0,,,,,,1574871995
2019-11-27 16:26:46,ABCA53,RPA3535,,,,,321.0,89.29,-64.0,GS,1574872006
2019-11-27 16:26:48,ABCA53,RPA3535,,,,,321.0,89.29,64.0,GS,1574872008
2019-11-27 16:27:05,ABCA53,RPA3535,42.09187,-87.92933000000001,7425.0,,,,,,1574872025
2019-11-27 16:27:17,ABCA53,RPA3535,,,,,318.0,89.82,-64.0,GS,1574872037
2019-11-27 16:27:26,ABCA53,RPA3535,42.091879999999996,-87.88928,7425.0,,,,,,1574872046
2019-11-27 16:27:40,ABCA53,RPA3535,42.09183,-87.86004,7425.0,,,,,,1574872060
2019-11-27 16:27:41,ABCA53,RPA3535,42.09179,-87.85811,7425.0,,,,,,1574872061
2019-11-27 16:27:44,ABCA53,RPA3535,42.09179,-87.85313000000001,7425.0,,,,,,1574872064
2019-11-27 16:27:54,ABCA53,RPA3535,42.09183,-87.8332,7275.0,,,,,,1574872074
2019-11-27 16:28:09,ABCA53,RPA3535,42.09183,-87.80405,6875.0,,,,,,1574872089
2019-11-27 16:28:14,ABCA53,RPA3535,,,,,312.0,90.18,-1472.0,GS,1574872094
2019-11-27 16:28:24,ABCA53,RPA3535,,,,,311.0,90.18,-1344.0,GS,1574872104
2019-11-27 16:28:38,ABCA53,RPA3535,42.09174,-87.74968,6225.0,,,,,,1574872118
2019-11-27 16:28:44,ABCA53,RPA3535,42.0917,-87.73746,6100.0,,,,,,1574872124
2019-11-27 16:28:45,ABCA53,RPA3535,,,,,310.0,90.18,-1472.0,GS,1574872125
2019-11-27 16:28:45,ABCA53,RPA3535,42.09169,-87.73544,6075.0,,,,,,1574872125
2019-11-27 16:28:49,ABCA53,RPA3535,,,,,310.0,90.18,-1408.0,GS,1574872129
2019-11-27 16:28:49,ABCA53,RPA3535,42.0917,-87.7273,5950.0,,,,,,1574872129
2019-11-27 16:28:49,ABCA53,RPA3535,,,,,310.0,90.18,-1408.0,GS,1574872129
2019-11-27 16:28:50,ABCA53,RPA3535,42.09169,-87.72533,5950.0,,,,,,1574872130
2019-11-27 16:28:51,ABCA53,RPA3535,,,,,310.0,90.18,-1344.0,GS,1574872131
2019-11-27 16:28:53,ABCA53,RPA3535,42.091640000000005,-87.71984,5875.0,,,,,,1574872133
2019-11-27 16:28:54,ABCA53,RPA3535,,,,,310.0,90.18,-1408.0,GS,1574872134
2019-11-27 16:29:02,ABCA53,RPA3535,42.0916,-87.70255,5675.0,,,,,,1574872142
2019-11-27 16:29:04,ABCA53,RPA3535,,,,,310.0,90.18,-1408.0,GS,1574872144
2019-11-27 16:29:06,ABCA53,RPA3535,,,,,310.0,90.18,-1600.0,GS,1574872146
2019-11-27 16:29:10,ABCA53,RPA3535,,,,,310.0,90.18,-1600.0,GS,1574872150
2019-11-27 16:29:11,ABCA53,RPA3535,42.09156,-87.68553,5450.0,,,,,,1574872151
2019-11-27 16:29:15,ABCA53,RPA3535,42.09155,-87.6782,5350.0,,,,,,1574872155
2019-11-27 16:29:46,ABCA53,RPA3535,,,,,315.0,90.0,-1344.0,GS,1574872186
2019-11-27 16:39:25,ABCA53,RPA3535,,,,,134.0,270.86,-640.0,GS,1574872765
2019-11-27 16:39:50,ABCA53,RPA3535,42.002520000000004,-87.72095999999999,3800.0,,,,,,1574872790
2019-11-27 16:41:23,ABCA53,RPA3535,42.00261,-87.79131,2700.0,,,,,,1574872883
2019-11-27 16:41:24,ABCA53,RPA3535,,,,,109.0,271.58,-704.0,GS,1574872884
2019-11-27 16:41:45,ABCA53,RPA3535,,,,,115.0,270.5,-704.0,GS,1574872905
2019-11-27 16:41:45,ABCA53,RPA3535,,,,,115.0,270.5,-640.0,GS,1574872905
2019-11-27 16:41:52,ABCA53,RPA3535,42.00275,-87.81147,2400.0,,,,,,1574872912
2019-11-27 16:41:52,ABCA53,RPA3535,42.00275,-87.81179,2400.0,,,,,,1574872912
2019-11-27 16:41:53,ABCA53,RPA3535,,,,,112.0,270.0,-640.0,GS,1574872913
2019-11-27 16:41:54,ABCA53,RPA3535,42.00275,-87.81291,2400.0,,,,,,1574872914
2019-11-27 16:41:55,ABCA53,RPA3535,42.00275,-87.81347,2350.0,,,,,,1574872915
2019-11-27 16:41:56,ABCA53,RPA3535,42.00273,-87.81423000000001,2375.0,,,,,,1574872916
2019-11-27 16:41:56,ABCA53,RPA3535,,,,,114.0,269.5,-320.0,GS,1574872916
2019-11-27 16:41:56,ABCA53,RPA3535,,,,,114.0,268.99,-256.0,GS,1574872916
2019-11-27 16:41:59,ABCA53,RPA3535,,,,,113.0,268.99,-640.0,GS,1574872919
2019-11-27 16:42:01,ABCA53,RPA3535,42.00269,-87.81819,2325.0,,,,,,1574872921
2019-11-27 16:42:09,ABCA53,RPA3535,,,,,121.0,270.47,-704.0,GS,1574872929
2019-11-27 16:42:10,ABCA53,RPA3535,,,,,123.0,270.93,-1024.0,GS,1574872930
2019-11-27 16:42:13,ABCA53,RPA3535,42.00275,-87.82689,2200.0,,,,,,1574872933
