received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:06:04,ABE532,,,,,,148.0,271.93,0.0,GS,1574874364
2019-11-27 17:06:06,ABE532,,41.98183,-87.42695,7400.0,,,,,,1574874366
2019-11-27 17:06:09,ABE532,,41.98192,-87.4297,7400.0,,,,,,1574874369
2019-11-27 17:06:18,ABE532,,,,,,148.0,273.09,0.0,GS,1574874378
2019-11-27 17:06:30,ABE532,,,,,,148.0,273.09,64.0,GS,1574874390
2019-11-27 17:06:38,ABE532,,,,,,149.0,273.07,0.0,GS,1574874398
2019-11-27 17:07:02,ABE532,,41.98366,-87.47789,7400.0,,,,,,1574874422
2019-11-27 17:07:48,ABE532,,,,,,148.0,268.45,-1088.0,GS,1574874468
2019-11-27 17:09:33,ABE532,,41.98315,-87.60991,5425.0,,,,,,1574874573
2019-11-27 17:10:14,ABE532,,,,,,122.0,272.35,-512.0,GS,1574874614
2019-11-27 17:10:22,ABE532,,,,,,127.0,270.9,-640.0,GS,1574874622
2019-11-27 17:10:46,ABE532,,,,,,123.0,268.6,-640.0,GS,1574874646
2019-11-27 17:10:48,ABE532,,41.98435,-87.66656,4550.0,,,,,,1574874648
2019-11-27 17:10:49,ABE532,,41.98435,-87.66731999999999,4525.0,,,,,,1574874649
2019-11-27 17:10:50,ABE532,,,,,,122.0,269.06,-640.0,GS,1574874650
2019-11-27 17:10:51,ABE532,,41.9843,-87.66898,4500.0,,,,,,1574874651
2019-11-27 17:10:54,ABE532,,,,,,,,,,1574874654
2019-11-27 17:10:55,ABE532,SKW3113,41.98425,-87.67227,4450.0,,,,,,1574874655
2019-11-27 17:11:08,ABE532,SKW3113,,,,,121.0,268.58,-640.0,GS,1574874668
2019-11-27 17:11:20,ABE532,SKW3113,41.9838,-87.69125,4150.0,,,,,,1574874680
2019-11-27 17:11:24,ABE532,SKW3113,,,,,128.0,269.55,-768.0,GS,1574874684
2019-11-27 17:11:25,ABE532,SKW3113,,,,,128.0,269.55,-704.0,GS,1574874685
2019-11-27 17:11:35,ABE532,SKW3113,41.9837,-87.70273,3950.0,,,,,,1574874695
2019-11-27 17:11:36,ABE532,SKW3113,41.98369,-87.70392,3950.0,,,,,,1574874696
2019-11-27 17:11:37,ABE532,SKW3113,41.9837,-87.70436,3925.0,,,,,,1574874697
2019-11-27 17:11:41,ABE532,SKW3113,,,,,128.0,269.55,-768.0,GS,1574874701
2019-11-27 17:11:42,ABE532,SKW3113,,,,,127.0,269.55,-768.0,GS,1574874702
2019-11-27 17:11:43,ABE532,SKW3113,,,,,126.0,270.0,-832.0,GS,1574874703
2019-11-27 17:11:48,ABE532,SKW3113,41.9837,-87.71353,3775.0,,,,,,1574874708
