received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:23:04,ABEC03,,,,,,320.0,78.65,-1408.0,GS,1574875384
2019-11-27 17:27:03,ABEC03,,41.53505,-88.23008,6350.0,,,,,,1574875623
2019-11-27 17:27:04,ABEC03,,41.535740000000004,-88.22864,6350.0,,,,,,1574875624
2019-11-27 17:27:09,ABEC03,,,,,,285.0,58.31,64.0,GS,1574875629
2019-11-27 17:27:09,ABEC03,,41.5394,-88.22071,6350.0,,,,,,1574875629
2019-11-27 17:27:11,ABEC03,,41.54019,-88.21907,6350.0,,,,,,1574875631
2019-11-27 17:27:15,ABEC03,,,,,,285.0,58.31,64.0,GS,1574875635
2019-11-27 17:27:20,ABEC03,,41.546479999999995,-88.20546,6350.0,,,,,,1574875640
2019-11-27 17:27:20,ABEC03,,,,,,285.0,58.31,-64.0,GS,1574875640
2019-11-27 17:27:22,ABEC03,,41.54787,-88.20239000000001,6350.0,,,,,,1574875642
2019-11-27 17:27:24,ABEC03,,41.54933,-88.1993,6350.0,,,,,,1574875644
2019-11-27 17:27:28,ABEC03,,41.55194,-88.19355999999999,6350.0,,,,,,1574875648
2019-11-27 17:27:38,ABEC03,,41.559490000000004,-88.17727,6350.0,,,,,,1574875658
2019-11-27 17:27:41,ABEC03,,41.560959999999994,-88.17408,6350.0,,,,,,1574875661
2019-11-27 17:27:55,ABEC03,,,,,,287.0,58.52,0.0,GS,1574875675
2019-11-27 17:28:07,ABEC03,,,,,,287.0,58.52,0.0,GS,1574875687
2019-11-27 17:28:14,ABEC03,,,,,,287.0,58.52,-128.0,GS,1574875694
2019-11-27 17:28:21,ABEC03,,,,,,285.0,58.59,-64.0,GS,1574875701
2019-11-27 17:28:24,ABEC03,,41.59081,-88.1091,6350.0,,,,,,1574875704
2019-11-27 17:28:29,ABEC03,,41.59428,-88.10155,6350.0,,,,,,1574875709
2019-11-27 17:28:31,ABEC03,,41.595729999999996,-88.09841,6350.0,,,,,,1574875711
2019-11-27 17:28:41,ABEC03,,41.6028,-88.08301,6225.0,,,,,,1574875721
2019-11-27 17:28:41,ABEC03,,,,,,286.0,58.25,-896.0,GS,1574875721
2019-11-27 17:28:42,ABEC03,,41.603390000000005,-88.0817,6225.0,,,,,,1574875722
2019-11-27 17:28:45,ABEC03,,41.60546,-88.07733,6175.0,,,,,,1574875725
2019-11-27 17:29:07,ABEC03,,41.62124,-88.04328000000001,5825.0,,,,,,1574875747
2019-11-27 17:29:29,ABEC03,,,,,,300.0,58.48,-832.0,GS,1574875769
2019-11-27 17:29:31,ABEC03,,41.63888,-88.00534,5450.0,,,,,,1574875771
2019-11-27 17:29:32,ABEC03,,,,,,301.0,58.16,-896.0,GS,1574875772
2019-11-27 17:29:57,ABEC03,,41.65755,-87.96497,5050.0,,,,,,1574875797
2019-11-27 17:29:58,ABEC03,,,,,,303.0,58.87,-1088.0,GS,1574875798
2019-11-27 17:29:58,ABEC03,,41.65874,-87.96229,5025.0,,,,,,1574875798
2019-11-27 17:30:01,ABEC03,,,,,,303.0,58.62,-1088.0,GS,1574875801
2019-11-27 17:30:02,ABEC03,,,,,,303.0,58.62,-1152.0,GS,1574875802
2019-11-27 17:30:07,ABEC03,,,,,,304.0,58.97,-960.0,GS,1574875807
2019-11-27 17:30:12,ABEC03,,,,,,,,,,1574875812
2019-11-27 17:30:13,ABEC03,SWA685,,,,,304.0,59.13,-960.0,GS,1574875813
2019-11-27 17:30:13,ABEC03,SWA685,41.66968,-87.93807,4775.0,,,,,,1574875813
2019-11-27 17:30:19,ABEC03,SWA685,41.67333,-87.92997,4700.0,,,,,,1574875819
2019-11-27 17:30:34,ABEC03,SWA685,41.68497,-87.90423,4450.0,,,,,,1574875834
2019-11-27 17:30:39,ABEC03,SWA685,41.68854,-87.89643000000001,4375.0,,,,,,1574875839
2019-11-27 17:30:39,ABEC03,SWA685,,,,,304.0,58.71,-640.0,GS,1574875839
2019-11-27 17:30:53,ABEC03,SWA685,,,,,300.0,59.0,64.0,GS,1574875853
2019-11-27 17:30:55,ABEC03,SWA685,,,,,300.0,59.17,-64.0,GS,1574875855
2019-11-27 17:30:55,ABEC03,SWA685,41.7,-87.87108,4350.0,,,,,,1574875855
2019-11-27 17:30:56,ABEC03,SWA685,41.7007,-87.86948000000001,4350.0,,,,,,1574875856
2019-11-27 17:30:57,ABEC03,SWA685,,,,,300.0,59.17,-64.0,GS,1574875857
2019-11-27 17:30:57,ABEC03,SWA685,41.701029999999996,-87.86878,4350.0,,,,,,1574875857
2019-11-27 17:30:58,ABEC03,SWA685,,,,,,,,,1574875858
2019-11-27 17:30:58,ABEC03,SWA685,41.70177,-87.86718,4350.0,,,,,,1574875858
2019-11-27 17:30:58,ABEC03,SWA685,,,,,300.0,58.91,-64.0,GS,1574875858
2019-11-27 17:31:02,ABEC03,SWA685,41.70499,-87.86016,4350.0,,,,,,1574875862
2019-11-27 17:31:02,ABEC03,SWA685,41.70527,-87.85945,4350.0,,,,,,1574875862
2019-11-27 17:31:09,ABEC03,SWA685,41.70964,-87.84987,4350.0,,,,,,1574875869
2019-11-27 17:31:14,ABEC03,SWA685,,,,,297.0,58.34,0.0,GS,1574875874
2019-11-27 17:31:15,ABEC03,SWA685,,,,,297.0,58.34,0.0,GS,1574875875
2019-11-27 17:31:22,ABEC03,SWA685,41.71904,-87.8295,4350.0,,,,,,1574875882
2019-11-27 17:31:25,ABEC03,SWA685,41.721309999999995,-87.82464,4350.0,,,,,,1574875885
2019-11-27 17:31:26,ABEC03,SWA685,,,,,296.0,58.24,128.0,GS,1574875886
2019-11-27 17:31:26,ABEC03,SWA685,,,,,296.0,58.24,64.0,GS,1574875886
2019-11-27 17:31:27,ABEC03,SWA685,41.723240000000004,-87.82046,4350.0,,,,,,1574875887
2019-11-27 17:31:32,ABEC03,SWA685,,,,,296.0,57.97,0.0,GS,1574875892
2019-11-27 17:31:37,ABEC03,SWA685,,,,,295.0,57.71,64.0,GS,1574875897
2019-11-27 17:31:37,ABEC03,SWA685,41.7305,-87.80503,4350.0,,,,,,1574875897
2019-11-27 17:31:48,ABEC03,SWA685,41.73802,-87.78888,4350.0,,,,,,1574875908
2019-11-27 17:31:48,ABEC03,SWA685,,,,,,,,,1574875908
2019-11-27 17:31:59,ABEC03,SWA685,,,,,301.0,63.18,0.0,GS,1574875919
2019-11-27 17:32:06,ABEC03,SWA685,,,,,304.0,69.25,-64.0,GS,1574875926
2019-11-27 17:32:12,ABEC03,SWA685,41.75224,-87.74876,4350.0,,,,,,1574875932
2019-11-27 17:32:18,ABEC03,SWA685,41.75438,-87.73733,4350.0,,,,,,1574875938
2019-11-27 17:32:28,ABEC03,SWA685,41.75633,-87.71842,4350.0,,,,,,1574875948
2019-11-27 17:32:31,ABEC03,SWA685,,,,,311.0,86.32,0.0,GS,1574875951
