received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:32,ABF375,,,,,,161.0,268.22,-384.0,GS,1574871572
2019-11-27 16:20:10,ABF375,,41.84715,-87.61316,3025.0,,,,,,1574871610
2019-11-27 16:20:13,ABF375,,41.84706,-87.61609,3000.0,,,,,,1574871613
2019-11-27 16:20:14,ABF375,,41.84702,-87.61705,2975.0,,,,,,1574871614
2019-11-27 16:20:15,ABF375,,,,,,160.0,266.78,-320.0,GS,1574871615
2019-11-27 16:20:15,ABF375,,41.84697,-87.61846,2975.0,,,,,,1574871615
2019-11-27 16:20:17,ABF375,,41.84688,-87.62005,2975.0,,,,,,1574871617
2019-11-27 16:20:17,ABF375,,,,,,159.0,266.04,-128.0,GS,1574871617
2019-11-27 16:20:19,ABF375,,41.846779999999995,-87.62241999999999,2975.0,,,,,,1574871619
2019-11-27 16:20:20,ABF375,,,,,,158.0,266.02,-128.0,GS,1574871620
2019-11-27 16:20:20,ABF375,,,,,,158.0,266.02,-64.0,GS,1574871620
2019-11-27 16:20:21,ABF375,,41.84664,-87.62446,2975.0,,,,,,1574871621
2019-11-27 16:20:22,ABF375,,,,,,156.0,266.33,0.0,GS,1574871622
2019-11-27 16:20:23,ABF375,,41.8466,-87.62639,2950.0,,,,,,1574871623
2019-11-27 16:20:32,ABF375,,41.846090000000004,-87.63481,2900.0,,,,,,1574871632
2019-11-27 16:20:36,ABF375,,,,,,145.0,264.09,-704.0,GS,1574871636
2019-11-27 16:20:41,ABF375,,41.84555,-87.64243,2825.0,,,,,,1574871641
2019-11-27 16:20:42,ABF375,,,,,,141.0,263.93,-384.0,GS,1574871642
2019-11-27 16:20:43,ABF375,,,,,,141.0,263.93,-384.0,GS,1574871643
2019-11-27 16:20:43,ABF375,,,,,,141.0,263.08,-384.0,GS,1574871643
2019-11-27 16:20:45,ABF375,,41.84523,-87.64587,2775.0,,,,,,1574871645
2019-11-27 16:20:45,ABF375,,,,,,138.0,259.58,-512.0,GS,1574871645
2019-11-27 16:20:54,ABF375,,41.84343,-87.65321,2650.0,,,,,,1574871654
2019-11-27 16:20:54,ABF375,,41.84329,-87.65359000000001,2650.0,,,,,,1574871654
2019-11-27 16:20:55,ABF375,,,,,,132.0,245.38,-448.0,GS,1574871655
2019-11-27 16:20:56,ABF375,,,,,,,,,,1574871656
2019-11-27 16:20:58,ABF375,SWA679,,,,,131.0,245.77,-512.0,GS,1574871658
2019-11-27 16:21:01,ABF375,SWA679,,,,,130.0,245.99,-640.0,GS,1574871661
2019-11-27 16:21:01,ABF375,SWA679,41.841570000000004,-87.65876,2600.0,,,,,,1574871661
2019-11-27 16:21:03,ABF375,SWA679,41.84111,-87.66022,2600.0,,,,,,1574871663
2019-11-27 16:21:09,ABF375,SWA679,41.83997,-87.66416,2550.0,,,,,,1574871669
2019-11-27 16:21:10,ABF375,SWA679,,,,,120.0,248.11,-512.0,GS,1574871670
2019-11-27 16:21:13,ABF375,SWA679,41.839059999999996,-87.66707,2525.0,,,,,,1574871673
2019-11-27 16:21:17,ABF375,SWA679,,,,,112.0,245.26,-704.0,GS,1574871677
2019-11-27 16:21:20,ABF375,SWA679,,,,,110.0,245.51,-640.0,GS,1574871680
2019-11-27 16:21:33,ABF375,SWA679,41.83501,-87.67978000000001,2400.0,,,,,,1574871693
2019-11-27 16:21:37,ABF375,SWA679,41.83424,-87.68251,2350.0,,,,,,1574871697
2019-11-27 16:21:43,ABF375,SWA679,41.83296,-87.68616,2225.0,,,,,,1574871703
2019-11-27 16:21:47,ABF375,SWA679,41.83209,-87.68819,2175.0,,,,,,1574871707
2019-11-27 16:22:14,ABF375,SWA679,,,,,118.0,221.23,-960.0,GS,1574871734
2019-11-27 16:22:28,ABF375,SWA679,,,,,124.0,221.75,-896.0,GS,1574871748
2019-11-27 16:22:30,ABF375,SWA679,41.816109999999995,-87.71127,1750.0,,,,,,1574871750
2019-11-27 16:22:39,ABF375,SWA679,41.81273,-87.7159,1675.0,,,,,,1574871759
2019-11-27 16:22:39,ABF375,SWA679,,,,,116.0,226.04,-448.0,GS,1574871759
2019-11-27 16:22:56,ABF375,SWA679,41.80641,-87.72439,1450.0,,,,,,1574871776
