received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:35:17,ABF3DA,,41.81575,-87.43319,4225.0,,,,,,1574872517
2019-11-27 16:38:17,ABF3DA,,41.849109999999996,-87.57087,3250.0,,,,,,1574872697
2019-11-27 16:38:31,ABF3DA,,,,,,,,,,1574872711
2019-11-27 16:38:34,ABF3DA,SWA4034,,,,,132.0,265.24,-128.0,GS,1574872714
2019-11-27 16:38:35,ABF3DA,SWA4034,,,,,132.0,265.24,-128.0,GS,1574872715
2019-11-27 16:38:37,ABF3DA,SWA4034,41.84848,-87.58694,3200.0,,,,,,1574872717
2019-11-27 16:38:53,ABF3DA,SWA4034,,,,,129.0,264.25,-384.0,GS,1574872733
2019-11-27 16:38:58,ABF3DA,SWA4034,41.84734,-87.60373,3075.0,,,,,,1574872738
2019-11-27 16:39:00,ABF3DA,SWA4034,,,,,132.0,267.83,-64.0,GS,1574872740
2019-11-27 16:39:10,ABF3DA,SWA4034,,,,,133.0,266.56,-192.0,GS,1574872750
2019-11-27 16:39:11,ABF3DA,SWA4034,,,,,133.0,266.56,-256.0,GS,1574872751
2019-11-27 16:39:16,ABF3DA,SWA4034,,,,,,,,,1574872756
2019-11-27 16:39:16,ABF3DA,SWA4034,41.84688,-87.6189,2975.0,,,,,,1574872756
2019-11-27 16:39:17,ABF3DA,SWA4034,41.84688,-87.61935,2975.0,,,,,,1574872757
2019-11-27 16:39:18,ABF3DA,SWA4034,41.84683,-87.62015,2950.0,,,,,,1574872758
2019-11-27 16:39:20,ABF3DA,SWA4034,,,,,125.0,267.25,-448.0,GS,1574872760
2019-11-27 16:39:21,ABF3DA,SWA4034,41.846779999999995,-87.62216,2950.0,,,,,,1574872761
2019-11-27 16:39:21,ABF3DA,SWA4034,,,,,,,,,1574872761
2019-11-27 16:39:21,ABF3DA,SWA4034,41.846740000000004,-87.62261,2950.0,,,,,,1574872761
2019-11-27 16:39:22,ABF3DA,SWA4034,,,,,125.0,267.25,-320.0,GS,1574872762
2019-11-27 16:39:22,ABF3DA,SWA4034,41.84669,-87.62352,2925.0,,,,,,1574872762
2019-11-27 16:39:24,ABF3DA,SWA4034,,,,,125.0,267.25,-192.0,GS,1574872764
2019-11-27 16:39:24,ABF3DA,SWA4034,41.84664,-87.62516,2925.0,,,,,,1574872764
2019-11-27 16:39:25,ABF3DA,SWA4034,41.84664,-87.62555,2925.0,,,,,,1574872765
2019-11-27 16:39:27,ABF3DA,SWA4034,,,,,125.0,267.25,-256.0,GS,1574872767
2019-11-27 16:39:58,ABF3DA,SWA4034,41.84497,-87.65014000000001,2825.0,,,,,,1574872798
2019-11-27 16:40:05,ABF3DA,SWA4034,41.84329,-87.65499,2725.0,,,,,,1574872805
2019-11-27 16:40:05,ABF3DA,SWA4034,,,,,118.0,242.35,-960.0,GS,1574872805
2019-11-27 16:40:06,ABF3DA,SWA4034,,,,,,,,,1574872806
2019-11-27 16:40:06,ABF3DA,SWA4034,,,,,116.0,240.8,-896.0,GS,1574872806
2019-11-27 16:40:09,ABF3DA,SWA4034,,,,,116.0,241.23,-896.0,GS,1574872809
2019-11-27 16:40:10,ABF3DA,SWA4034,41.84194,-87.65831999999999,2625.0,,,,,,1574872810
2019-11-27 16:40:11,ABF3DA,SWA4034,,,,,114.0,244.11,-896.0,GS,1574872811
2019-11-27 16:40:12,ABF3DA,SWA4034,41.84162,-87.65926999999999,2625.0,,,,,,1574872812
2019-11-27 16:40:12,ABF3DA,SWA4034,,,,,114.0,245.22,-896.0,GS,1574872812
2019-11-27 16:40:15,ABF3DA,SWA4034,41.840920000000004,-87.66138000000001,2575.0,,,,,,1574872815
2019-11-27 16:40:16,ABF3DA,SWA4034,,,,,117.0,247.38,-640.0,GS,1574872816
2019-11-27 16:40:33,ABF3DA,SWA4034,,,,,117.0,248.47,-320.0,GS,1574872833
2019-11-27 16:40:33,ABF3DA,SWA4034,,,,,117.0,248.47,-320.0,GS,1574872833
2019-11-27 16:40:35,ABF3DA,SWA4034,,,,,117.0,247.57,-512.0,GS,1574872835
2019-11-27 16:40:53,ABF3DA,SWA4034,,,,,121.0,242.59,-576.0,GS,1574872853
2019-11-27 16:40:59,ABF3DA,SWA4034,41.83104,-87.69081,2175.0,,,,,,1574872859
2019-11-27 16:41:02,ABF3DA,SWA4034,41.83012,-87.69268000000001,2150.0,,,,,,1574872862
2019-11-27 16:41:02,ABF3DA,SWA4034,,,,,124.0,234.52,-768.0,GS,1574872862
2019-11-27 16:41:45,ABF3DA,SWA4034,41.81308,-87.71644,1650.0,,,,,,1574872905
