received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:21:54,ABFB46,,42.00261,-87.72251999999999,3800.0,,,,,,1574871714
2019-11-27 16:22:00,ABFB46,,,,,,128.0,271.34,-640.0,GS,1574871720
2019-11-27 16:22:32,ABFB46,,42.00266,-87.75361,3325.0,,,,,,1574871752
2019-11-27 16:22:41,ABFB46,,42.00264,-87.75994,3225.0,,,,,,1574871761
2019-11-27 16:22:44,ABFB46,,,,,,126.0,270.0,-832.0,GS,1574871764
2019-11-27 16:22:52,ABFB46,,,,,,129.0,270.89,-768.0,GS,1574871772
2019-11-27 16:23:16,ABFB46,,,,,,121.0,271.89,-896.0,GS,1574871796
2019-11-27 16:23:22,ABFB46,,,,,,112.0,271.02,-704.0,GS,1574871802
2019-11-27 16:23:39,ABFB46,,,,,,115.0,271.0,-704.0,GS,1574871819
2019-11-27 16:23:40,ABFB46,,42.002790000000005,-87.80454,2550.0,,,,,,1574871820
2019-11-27 16:23:40,ABFB46,,,,,,115.0,270.0,-832.0,GS,1574871820
2019-11-27 16:23:41,ABFB46,,,,,,115.0,269.0,-768.0,GS,1574871821
2019-11-27 16:23:43,ABFB46,,,,,,116.0,269.01,-576.0,GS,1574871823
2019-11-27 16:23:44,ABFB46,,,,,,116.0,269.01,-576.0,GS,1574871824
2019-11-27 16:23:44,ABFB46,,42.00278,-87.8074,2500.0,,,,,,1574871824
2019-11-27 16:23:45,ABFB46,,,,,,118.0,269.03,-448.0,GS,1574871825
2019-11-27 16:23:47,ABFB46,,,,,,119.0,268.56,-448.0,GS,1574871827
2019-11-27 16:23:47,ABFB46,,,,,,119.0,268.56,-576.0,GS,1574871827
2019-11-27 16:23:47,ABFB46,,,,,,,,,,1574871827
2019-11-27 16:23:47,ABFB46,AAL2311,42.00275,-87.80979,2475.0,,,,,,1574871827
2019-11-27 16:23:48,ABFB46,AAL2311,42.00273,-87.81053,2450.0,,,,,,1574871828
2019-11-27 16:23:49,ABFB46,AAL2311,,,,,120.0,268.57,-768.0,GS,1574871829
2019-11-27 16:23:49,ABFB46,AAL2311,42.0027,-87.81121999999999,2450.0,,,,,,1574871829
2019-11-27 16:23:49,ABFB46,AAL2311,,,,,121.0,269.05,-768.0,GS,1574871829
2019-11-27 16:23:57,ABFB46,AAL2311,42.00264,-87.81671999999999,2350.0,,,,,,1574871837
2019-11-27 16:23:57,ABFB46,AAL2311,,,,,,,,,1574871837
2019-11-27 16:23:58,ABFB46,AAL2311,,,,,119.0,269.52,-768.0,GS,1574871838
2019-11-27 16:23:59,ABFB46,AAL2311,,,,,118.0,270.0,-768.0,GS,1574871839
2019-11-27 16:23:59,ABFB46,AAL2311,,,,,118.0,270.0,-768.0,GS,1574871839
2019-11-27 16:23:59,ABFB46,AAL2311,42.00264,-87.81883,2325.0,,,,,,1574871839
2019-11-27 16:24:03,ABFB46,AAL2311,42.00264,-87.82106999999999,2275.0,,,,,,1574871843
2019-11-27 16:24:03,ABFB46,AAL2311,,,,,116.0,270.49,-704.0,GS,1574871843
2019-11-27 16:24:04,ABFB46,AAL2311,42.00266,-87.82184000000001,2275.0,,,,,,1574871844
2019-11-27 16:24:05,ABFB46,AAL2311,42.00269,-87.82273,2275.0,,,,,,1574871845
2019-11-27 16:24:05,ABFB46,AAL2311,,,,,114.0,270.5,-832.0,GS,1574871845
2019-11-27 16:24:06,ABFB46,AAL2311,42.0027,-87.82352,2250.0,,,,,,1574871846
2019-11-27 16:24:08,ABFB46,AAL2311,,,,,116.0,271.48,-576.0,GS,1574871848
2019-11-27 16:24:10,ABFB46,AAL2311,42.00275,-87.82639,2200.0,,,,,,1574871850
2019-11-27 16:24:15,ABFB46,AAL2311,,,,,114.0,271.51,-640.0,GS,1574871855
2019-11-27 16:24:17,ABFB46,AAL2311,,,,,112.0,271.02,-832.0,GS,1574871857
2019-11-27 16:24:17,ABFB46,AAL2311,,,,,,,,,1574871857
2019-11-27 16:24:18,ABFB46,AAL2311,42.00284,-87.83182,2125.0,,,,,,1574871858
2019-11-27 16:24:19,ABFB46,AAL2311,,,,,114.0,270.0,-704.0,GS,1574871859
2019-11-27 16:24:22,ABFB46,AAL2311,,,,,114.0,269.5,-576.0,GS,1574871862
2019-11-27 16:24:26,ABFB46,AAL2311,,,,,114.0,272.01,-896.0,GS,1574871866
2019-11-27 16:24:28,ABFB46,AAL2311,42.00287,-87.83901,2000.0,,,,,,1574871868
2019-11-27 16:24:28,ABFB46,AAL2311,,,,,115.0,271.49,-704.0,GS,1574871868
2019-11-27 16:24:31,ABFB46,AAL2311,,,,,116.0,270.0,-640.0,GS,1574871871
2019-11-27 16:24:38,ABFB46,AAL2311,,,,,120.0,269.52,-640.0,GS,1574871878
2019-11-27 16:24:39,ABFB46,AAL2311,,,,,120.0,269.05,-512.0,GS,1574871879
2019-11-27 16:24:39,ABFB46,AAL2311,42.00288,-87.84749000000001,1875.0,,,,,,1574871879
2019-11-27 16:24:40,ABFB46,AAL2311,,,,,121.0,269.05,-512.0,GS,1574871880
2019-11-27 16:24:40,ABFB46,AAL2311,,,,,121.0,269.05,-448.0,GS,1574871880
2019-11-27 16:24:40,ABFB46,AAL2311,42.00288,-87.84824,1875.0,,,,,,1574871880
2019-11-27 16:24:41,ABFB46,AAL2311,42.00287,-87.84898000000001,1875.0,,,,,,1574871881
2019-11-27 16:24:42,ABFB46,AAL2311,,,,,120.0,270.0,-576.0,GS,1574871882
2019-11-27 16:24:43,ABFB46,AAL2311,,,,,119.0,270.48,-576.0,GS,1574871883
2019-11-27 16:24:46,ABFB46,AAL2311,,,,,120.0,270.48,-512.0,GS,1574871886
2019-11-27 16:24:53,ABFB46,AAL2311,42.00287,-87.85722,1750.0,,,,,,1574871893
2019-11-27 16:24:55,ABFB46,AAL2311,,,,,118.0,270.0,-832.0,GS,1574871895
2019-11-27 16:24:56,ABFB46,AAL2311,42.00287,-87.85945,1725.0,,,,,,1574871896
2019-11-27 16:24:57,ABFB46,AAL2311,,,,,117.0,269.51,-704.0,GS,1574871897
2019-11-27 16:24:57,ABFB46,AAL2311,42.00288,-87.86054,1700.0,,,,,,1574871897
2019-11-27 16:24:57,ABFB46,AAL2311,,,,,,,,,1574871897
2019-11-27 16:24:57,ABFB46,AAL2311,,,,,116.0,269.51,-576.0,GS,1574871897
2019-11-27 16:24:58,ABFB46,AAL2311,42.00287,-87.86099,1675.0,,,,,,1574871898
2019-11-27 16:24:58,ABFB46,AAL2311,,,,,116.0,269.51,-512.0,GS,1574871898
2019-11-27 16:24:58,ABFB46,AAL2311,42.00288,-87.86135,1700.0,,,,,,1574871898
2019-11-27 16:24:59,ABFB46,AAL2311,,,,,116.0,269.51,-640.0,GS,1574871899
2019-11-27 16:24:59,ABFB46,AAL2311,42.00288,-87.86204000000001,1675.0,,,,,,1574871899
2019-11-27 16:24:59,ABFB46,AAL2311,,,,,115.0,270.0,-704.0,GS,1574871899
2019-11-27 16:25:00,ABFB46,AAL2311,42.00288,-87.86285,1675.0,,,,,,1574871900
2019-11-27 16:25:01,ABFB46,AAL2311,42.00287,-87.86316,1650.0,,,,,,1574871901
2019-11-27 16:25:01,ABFB46,AAL2311,,,,,115.0,270.0,-640.0,GS,1574871901
2019-11-27 16:25:01,ABFB46,AAL2311,42.00288,-87.86353000000001,1650.0,,,,,,1574871901
2019-11-27 16:25:02,ABFB46,AAL2311,42.00288,-87.86397,1650.0,,,,,,1574871902
2019-11-27 16:25:02,ABFB46,AAL2311,,,,,114.0,270.0,-768.0,GS,1574871902
2019-11-27 16:25:03,ABFB46,AAL2311,42.00287,-87.86437,1650.0,,,,,,1574871903
2019-11-27 16:25:03,ABFB46,AAL2311,,,,,,,,,1574871903
2019-11-27 16:25:04,ABFB46,AAL2311,42.00287,-87.86508,1625.0,,,,,,1574871904
2019-11-27 16:25:05,ABFB46,AAL2311,42.00288,-87.86572,1600.0,,,,,,1574871905
2019-11-27 16:25:06,ABFB46,AAL2311,42.00287,-87.86648000000001,1600.0,,,,,,1574871906
2019-11-27 16:25:06,ABFB46,AAL2311,,,,,114.0,269.5,-704.0,GS,1574871906
2019-11-27 16:25:06,ABFB46,AAL2311,42.00287,-87.8668,1600.0,,,,,,1574871906
2019-11-27 16:25:06,ABFB46,AAL2311,,,,,114.0,269.5,-768.0,GS,1574871906
2019-11-27 16:25:07,ABFB46,AAL2311,42.00287,-87.86731,1600.0,,,,,,1574871907
2019-11-27 16:25:07,ABFB46,AAL2311,,,,,115.0,269.5,-832.0,GS,1574871907
2019-11-27 16:25:07,ABFB46,AAL2311,,,,,115.0,270.0,-768.0,GS,1574871907
2019-11-27 16:25:08,ABFB46,AAL2311,42.00288,-87.8679,1575.0,,,,,,1574871908
2019-11-27 16:25:08,ABFB46,AAL2311,,,,,,,,,1574871908
2019-11-27 16:25:08,ABFB46,AAL2311,,,,,115.0,270.0,-704.0,GS,1574871908
