received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:01:27,AC5249,,41.85004,-87.54356,3400.0,,,,,,1574874087
2019-11-27 17:03:26,AC5249,,,,,,119.0,260.38,-640.0,GS,1574874206
2019-11-27 17:03:43,AC5249,,,,,,109.0,245.77,-512.0,GS,1574874223
2019-11-27 17:03:55,AC5249,,,,,,107.0,236.75,-320.0,GS,1574874235
2019-11-27 17:04:05,AC5249,,41.83713,-87.66166,2550.0,,,,,,1574874245
2019-11-27 17:04:13,AC5249,,,,,,105.0,233.89,-768.0,GS,1574874253
2019-11-27 17:04:18,AC5249,,,,,,104.0,233.57,-1280.0,GS,1574874258
2019-11-27 17:05:39,AC5249,,41.81584,-87.7126,1750.0,,,,,,1574874339
2019-11-27 17:05:46,AC5249,,,,,,95.0,243.97,768.0,GS,1574874346
2019-11-27 17:06:02,AC5249,,41.80975,-87.72377,1700.0,,,,,,1574874362
