received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:19:25,AC7BF6,,42.002829999999996,-87.79973000000001,2675.0,,,,,,1574871565
2019-11-27 16:19:25,AC7BF6,,,,,,110.0,270.0,-512.0,GS,1574871565
2019-11-27 16:19:25,AC7BF6,,42.002829999999996,-87.80005,2675.0,,,,,,1574871565
2019-11-27 16:19:26,AC7BF6,,42.00284,-87.8008,2650.0,,,,,,1574871566
2019-11-27 16:19:27,AC7BF6,,,,,,111.0,270.0,-128.0,GS,1574871567
2019-11-27 16:19:28,AC7BF6,,42.002829999999996,-87.80221999999999,2650.0,,,,,,1574871568
2019-11-27 16:19:30,AC7BF6,,,,,,,,,,1574871570
2019-11-27 16:19:31,AC7BF6,SKW5044,,,,,111.0,267.94,-512.0,GS,1574871571
2019-11-27 16:19:34,AC7BF6,SKW5044,,,,,111.0,267.42,-832.0,GS,1574871574
2019-11-27 16:19:34,AC7BF6,SKW5044,,,,,111.0,267.42,-832.0,GS,1574871574
2019-11-27 16:19:35,AC7BF6,SKW5044,42.00269,-87.80676,2575.0,,,,,,1574871575
2019-11-27 16:19:38,AC7BF6,SKW5044,42.00266,-87.80873000000001,2550.0,,,,,,1574871578
2019-11-27 16:19:39,AC7BF6,SKW5044,,,,,110.0,268.96,-640.0,GS,1574871579
2019-11-27 16:19:39,AC7BF6,SKW5044,,,,,110.0,268.96,-640.0,GS,1574871579
2019-11-27 16:19:40,AC7BF6,SKW5044,,,,,109.0,268.95,-768.0,GS,1574871580
2019-11-27 16:19:40,AC7BF6,SKW5044,,,,,109.0,268.95,-768.0,GS,1574871580
2019-11-27 16:19:43,AC7BF6,SKW5044,42.00261,-87.81222,2475.0,,,,,,1574871583
2019-11-27 16:19:43,AC7BF6,SKW5044,,,,,108.0,269.47,-1088.0,GS,1574871583
2019-11-27 16:19:43,AC7BF6,SKW5044,42.002590000000005,-87.81257,2475.0,,,,,,1574871583
