received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:26:47,ACA309,,,,,,453.0,30.92,-704.0,GS,1574872007
2019-11-27 16:34:11,ACA309,,41.046409999999995,-89.00449,18825.0,,,,,,1574872451
2019-11-27 16:34:14,ACA309,,41.05083,-88.99918000000001,18725.0,,,,,,1574872454
2019-11-27 16:34:29,ACA309,,41.07216,-88.97339000000001,18250.0,,,,,,1574872469
2019-11-27 16:35:49,ACA309,,41.18312,-88.83917,15700.0,,,,,,1574872549
2019-11-27 16:37:25,ACA309,,,,,,376.0,42.42,-1792.0,GS,1574872645
2019-11-27 16:37:38,ACA309,,41.32732,-88.66455,12450.0,,,,,,1574872658
2019-11-27 16:37:41,ACA309,,41.33098,-88.6601,12350.0,,,,,,1574872661
2019-11-27 16:38:07,ACA309,,41.36371,-88.62024,11600.0,,,,,,1574872687
2019-11-27 16:38:13,ACA309,,,,,,,,,,1574872693
2019-11-27 16:38:21,ACA309,AAL1393,,,,,370.0,42.48,-64.0,GS,1574872701
2019-11-27 16:39:11,ACA309,AAL1393,41.44455,-88.52377,11450.0,,,,,,1574872751
2019-11-27 16:41:39,ACA309,AAL1393,,,,,361.0,41.98,0.0,GS,1574872899
2019-11-27 16:41:47,ACA309,AAL1393,41.6441,-88.28543,11425.0,,,,,,1574872907
2019-11-27 16:42:14,ACA309,AAL1393,41.67453,-88.24937,11325.0,,,,,,1574872934
2019-11-27 16:42:20,ACA309,AAL1393,41.68143,-88.24123,11250.0,,,,,,1574872940
2019-11-27 16:43:13,ACA309,AAL1393,41.73836,-88.17448,10000.0,,,,,,1574872993
2019-11-27 16:43:20,ACA309,AAL1393,41.746,-88.16535,9800.0,,,,,,1574873000
2019-11-27 16:43:23,ACA309,AAL1393,,,,,307.0,42.24,-1728.0,GS,1574873003
2019-11-27 16:43:24,ACA309,AAL1393,41.75011,-88.16035,9675.0,,,,,,1574873004
2019-11-27 16:43:25,ACA309,AAL1393,,,,,307.0,42.24,-1728.0,GS,1574873005
2019-11-27 16:43:25,ACA309,AAL1393,41.75065,-88.15973000000001,9650.0,,,,,,1574873005
2019-11-27 16:43:43,ACA309,AAL1393,,,,,305.0,41.82,-1280.0,GS,1574873023
2019-11-27 16:43:45,ACA309,AAL1393,,,,,305.0,41.95,-1408.0,GS,1574873025
2019-11-27 16:43:47,ACA309,AAL1393,41.77412,-88.13156,9175.0,,,,,,1574873027
2019-11-27 16:43:47,ACA309,AAL1393,,,,,305.0,41.95,-1472.0,GS,1574873027
2019-11-27 16:43:50,ACA309,AAL1393,,,,,304.0,42.07,-1536.0,GS,1574873030
2019-11-27 16:43:53,ACA309,AAL1393,,,,,,,,,1574873033
2019-11-27 16:44:02,ACA309,AAL1393,,,,,304.0,42.34,-1536.0,GS,1574873042
2019-11-27 16:44:04,ACA309,AAL1393,41.79167,-88.11023,8750.0,,,,,,1574873044
2019-11-27 16:44:04,ACA309,AAL1393,,,,,304.0,42.34,-1536.0,GS,1574873044
2019-11-27 16:44:09,ACA309,AAL1393,,,,,304.0,42.07,-1600.0,GS,1574873049
2019-11-27 16:44:09,ACA309,AAL1393,,,,,304.0,41.81,-1600.0,GS,1574873049
2019-11-27 16:44:11,ACA309,AAL1393,,,,,304.0,41.81,-1600.0,GS,1574873051
2019-11-27 16:44:12,ACA309,AAL1393,,,,,303.0,41.66,-1600.0,GS,1574873052
2019-11-27 16:44:19,ACA309,AAL1393,,,,,305.0,42.48,-1600.0,GS,1574873059
2019-11-27 16:44:33,ACA309,AAL1393,,,,,,,,,1574873073
2019-11-27 16:44:43,ACA309,AAL1393,41.83141,-88.05935,7825.0,,,,,,1574873083
2019-11-27 16:44:48,ACA309,AAL1393,41.83635,-88.05266999999999,7725.0,,,,,,1574873088
2019-11-27 16:44:48,ACA309,AAL1393,41.83682,-88.05197,7725.0,,,,,,1574873088
2019-11-27 16:44:49,ACA309,AAL1393,41.83724,-88.05145999999999,7700.0,,,,,,1574873089
2019-11-27 16:44:54,ACA309,AAL1393,41.84287,-88.04379,7575.0,,,,,,1574873094
2019-11-27 16:44:58,ACA309,AAL1393,41.846790000000006,-88.0385,7525.0,,,,,,1574873098
2019-11-27 16:44:59,ACA309,AAL1393,41.8473,-88.03785,7500.0,,,,,,1574873099
2019-11-27 16:45:00,ACA309,AAL1393,41.84874,-88.03581,7500.0,,,,,,1574873100
2019-11-27 16:45:01,ACA309,AAL1393,41.84972,-88.03453,7475.0,,,,,,1574873101
2019-11-27 16:45:05,ACA309,AAL1393,41.853629999999995,-88.02923,7425.0,,,,,,1574873105
2019-11-27 16:45:08,ACA309,AAL1393,41.85585,-88.02620999999999,7425.0,,,,,,1574873108
2019-11-27 16:45:10,ACA309,AAL1393,41.85838,-88.02284,7425.0,,,,,,1574873110
2019-11-27 16:45:11,ACA309,AAL1393,41.85935,-88.0215,7425.0,,,,,,1574873111
2019-11-27 16:45:13,ACA309,AAL1393,41.86143,-88.01865,7425.0,,,,,,1574873113
2019-11-27 16:45:22,ACA309,AAL1393,41.86932,-88.00796,7425.0,,,,,,1574873122
2019-11-27 16:45:27,ACA309,AAL1393,41.87425,-87.9998,7425.0,,,,,,1574873127
2019-11-27 16:45:27,ACA309,AAL1393,,,,,298.0,52.9,0.0,GS,1574873127
2019-11-27 16:45:28,ACA309,AAL1393,,,,,299.0,54.51,0.0,GS,1574873128
2019-11-27 16:45:31,ACA309,AAL1393,,,,,301.0,57.47,0.0,GS,1574873131
2019-11-27 16:45:31,ACA309,AAL1393,41.87727,-87.99331,7425.0,,,,,,1574873131
2019-11-27 16:45:33,ACA309,AAL1393,,,,,302.0,60.47,-64.0,GS,1574873133
2019-11-27 16:45:33,ACA309,AAL1393,,,,,,,,,1574873133
2019-11-27 16:45:33,ACA309,AAL1393,41.87856,-87.99,7425.0,,,,,,1574873133
2019-11-27 16:45:35,ACA309,AAL1393,,,,,303.0,63.35,0.0,GS,1574873135
2019-11-27 16:45:35,ACA309,AAL1393,41.8797,-87.98656,7425.0,,,,,,1574873135
2019-11-27 16:45:37,ACA309,AAL1393,,,,,304.0,66.21,64.0,GS,1574873137
2019-11-27 16:45:37,ACA309,AAL1393,41.880720000000004,-87.98324000000001,7425.0,,,,,,1574873137
2019-11-27 16:45:38,ACA309,AAL1393,41.88098,-87.98239000000001,7425.0,,,,,,1574873138
2019-11-27 16:45:38,ACA309,AAL1393,41.881190000000004,-87.98145,7425.0,,,,,,1574873138
2019-11-27 16:45:38,ACA309,AAL1393,,,,,306.0,69.14,64.0,GS,1574873138
2019-11-27 16:45:40,ACA309,AAL1393,41.88194,-87.97839,7425.0,,,,,,1574873140
2019-11-27 16:45:40,ACA309,AAL1393,,,,,307.0,71.98,64.0,GS,1574873140
2019-11-27 16:45:41,ACA309,AAL1393,41.88216,-87.9773,7425.0,,,,,,1574873141
2019-11-27 16:45:43,ACA309,AAL1393,41.88304,-87.97246,7450.0,,,,,,1574873143
2019-11-27 16:45:43,ACA309,AAL1393,,,,,,,,,1574873143
2019-11-27 16:45:44,ACA309,AAL1393,41.88332,-87.97102,7450.0,,,,,,1574873144
2019-11-27 16:45:49,ACA309,AAL1393,,,,,311.0,84.47,-64.0,GS,1574873149
2019-11-27 16:45:50,ACA309,AAL1393,41.88431,-87.95859,7450.0,,,,,,1574873150
2019-11-27 16:45:51,ACA309,AAL1393,41.884370000000004,-87.95767,7450.0,,,,,,1574873151
2019-11-27 16:45:53,ACA309,AAL1393,,,,,312.0,87.98,-64.0,GS,1574873153
2019-11-27 16:45:54,ACA309,AAL1393,41.884370000000004,-87.95186,7425.0,,,,,,1574873154
2019-11-27 16:45:55,ACA309,AAL1393,,,,,312.0,89.63,0.0,GS,1574873155
2019-11-27 16:45:55,ACA309,AAL1393,41.88435,-87.94913000000001,7425.0,,,,,,1574873155
2019-11-27 16:45:56,ACA309,AAL1393,,,,,313.0,90.18,0.0,GS,1574873156
2019-11-27 16:45:56,ACA309,AAL1393,,,,,313.0,90.18,0.0,GS,1574873156
2019-11-27 16:45:58,ACA309,AAL1393,41.88431,-87.94466,7425.0,,,,,,1574873158
2019-11-27 16:46:01,ACA309,AAL1393,,,,,313.0,90.92,64.0,GS,1574873161
2019-11-27 16:46:02,ACA309,AAL1393,,,,,313.0,90.73,64.0,GS,1574873162
