received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:24:12,ACAA77,,42.45387,-89.25206,17850.0,,,,,,1574875452
2019-11-27 17:24:13,ACAA77,,42.453509999999994,-89.24931,17825.0,,,,,,1574875453
2019-11-27 17:27:03,ACAA77,,,,,,417.0,99.51,-1728.0,GS,1574875623
2019-11-27 17:27:16,ACAA77,,,,,,422.0,99.69,-1792.0,GS,1574875636
2019-11-27 17:27:42,ACAA77,,,,,,419.0,100.02,-1792.0,GS,1574875662
2019-11-27 17:27:52,ACAA77,,42.38026,-88.67034,11450.0,,,,,,1574875672
2019-11-27 17:27:55,ACAA77,,,,,,414.0,100.14,-576.0,GS,1574875675
2019-11-27 17:27:58,ACAA77,,42.37825,-88.65511,11400.0,,,,,,1574875678
2019-11-27 17:27:58,ACAA77,,42.37798,-88.65305,11400.0,,,,,,1574875678
2019-11-27 17:27:59,ACAA77,,42.37761,-88.6503,11400.0,,,,,,1574875679
2019-11-27 17:28:00,ACAA77,,,,,,412.0,100.19,-64.0,GS,1574875680
2019-11-27 17:28:02,ACAA77,,,,,,,,,,1574875682
2019-11-27 17:28:05,ACAA77,AAL1540,,,,,412.0,100.06,0.0,GS,1574875685
2019-11-27 17:28:10,ACAA77,AAL1540,42.37408,-88.6232,11400.0,,,,,,1574875690
2019-11-27 17:28:13,ACAA77,AAL1540,42.37308,-88.6156,11400.0,,,,,,1574875693
2019-11-27 17:28:13,ACAA77,AAL1540,,,,,411.0,99.78,0.0,GS,1574875693
2019-11-27 17:29:24,ACAA77,AAL1540,,,,,413.0,100.17,0.0,GS,1574875764
2019-11-27 17:30:34,ACAA77,AAL1540,42.28304,-88.28488,11400.0,,,,,,1574875834
2019-11-27 17:30:39,ACAA77,AAL1540,,,,,406.0,130.11,0.0,GS,1574875839
2019-11-27 17:30:40,ACAA77,AAL1540,42.27539,-88.27265,11400.0,,,,,,1574875840
2019-11-27 17:30:40,ACAA77,AAL1540,,,,,406.0,130.11,0.0,GS,1574875840
2019-11-27 17:30:41,ACAA77,AAL1540,,,,,406.0,130.11,0.0,GS,1574875841
2019-11-27 17:30:42,ACAA77,AAL1540,42.2732,-88.26914000000001,11400.0,,,,,,1574875842
2019-11-27 17:30:51,ACAA77,AAL1540,42.2625,-88.25222,11400.0,,,,,,1574875851
2019-11-27 17:30:54,ACAA77,AAL1540,,,,,405.0,130.4,0.0,GS,1574875854
2019-11-27 17:30:56,ACAA77,AAL1540,,,,,405.0,130.4,0.0,GS,1574875856
2019-11-27 17:30:56,ACAA77,AAL1540,42.25542,-88.24104,11400.0,,,,,,1574875856
2019-11-27 17:30:57,ACAA77,AAL1540,42.25421,-88.23912,11400.0,,,,,,1574875857
