received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:49:09,ACC954,,41.73878,-86.80585,12425.0,,,,,,1574873349
2019-11-27 16:51:03,ACC954,,,,,,,,,,1574873463
2019-11-27 16:51:16,ACC954,ENY3959,,,,,310.0,299.29,-1280.0,GS,1574873476
2019-11-27 16:51:17,ACC954,ENY3959,,,,,311.0,299.04,-1344.0,GS,1574873477
2019-11-27 16:51:21,ACC954,ENY3959,41.91902,-86.89855,12175.0,,,,,,1574873481
2019-11-27 16:51:23,ACC954,ENY3959,41.92024,-86.90154,12125.0,,,,,,1574873483
2019-11-27 16:56:32,ACC954,ENY3959,,,,,181.0,270.32,-64.0,GS,1574873792
2019-11-27 16:56:58,ACC954,ENY3959,,,,,149.0,270.77,-192.0,GS,1574873818
2019-11-27 16:57:24,ACC954,ENY3959,,,,,138.0,270.83,-192.0,GS,1574873844
2019-11-27 16:57:27,ACC954,ENY3959,41.9827,-87.37545,7625.0,,,,,,1574873847
2019-11-27 16:57:28,ACC954,ENY3959,41.98272,-87.37631,7625.0,,,,,,1574873848
2019-11-27 16:57:32,ACC954,ENY3959,,,,,135.0,270.85,-128.0,GS,1574873852
2019-11-27 16:57:45,ACC954,ENY3959,41.98283,-87.39118,7625.0,,,,,,1574873865
2019-11-27 16:57:50,ACC954,ENY3959,41.98283,-87.39543,7625.0,,,,,,1574873870
2019-11-27 16:57:50,ACC954,ENY3959,,,,,142.0,270.0,0.0,GS,1574873870
2019-11-27 16:57:53,ACC954,ENY3959,,,,,143.0,269.6,64.0,GS,1574873873
2019-11-27 16:58:31,ACC954,ENY3959,,,,,153.0,270.75,0.0,GS,1574873911
2019-11-27 16:59:06,ACC954,ENY3959,41.98288,-87.46765,7550.0,,,,,,1574873946
2019-11-27 16:59:14,ACC954,ENY3959,,,,,163.0,270.7,-512.0,GS,1574873954
2019-11-27 16:59:28,ACC954,ENY3959,41.983059999999995,-87.48919000000001,7400.0,,,,,,1574873968
2019-11-27 16:59:37,ACC954,ENY3959,,,,,153.0,270.37,-704.0,GS,1574873977
2019-11-27 17:00:19,ACC954,ENY3959,,,,,157.0,270.36,-1088.0,GS,1574874019
2019-11-27 17:00:46,ACC954,ENY3959,,,,,139.0,270.41,-768.0,GS,1574874046
2019-11-27 17:00:47,ACC954,ENY3959,,,,,138.0,270.42,-704.0,GS,1574874047
2019-11-27 17:00:51,ACC954,ENY3959,,,,,136.0,270.42,-896.0,GS,1574874051
2019-11-27 17:00:52,ACC954,ENY3959,,,,,135.0,270.42,-832.0,GS,1574874052
2019-11-27 17:00:58,ACC954,ENY3959,,,,,132.0,270.87,-704.0,GS,1574874058
2019-11-27 17:00:59,ACC954,ENY3959,41.98332,-87.57375,5975.0,,,,,,1574874059
2019-11-27 17:01:02,ACC954,ENY3959,,,,,132.0,271.3,-768.0,GS,1574874062
2019-11-27 17:01:06,ACC954,ENY3959,,,,,133.0,271.29,-896.0,GS,1574874066
2019-11-27 17:01:13,ACC954,ENY3959,,,,,134.0,270.0,-576.0,GS,1574874073
2019-11-27 17:01:16,ACC954,ENY3959,,,,,134.0,270.0,-576.0,GS,1574874076
2019-11-27 17:01:17,ACC954,ENY3959,,,,,134.0,269.57,-704.0,GS,1574874077
2019-11-27 17:01:19,ACC954,ENY3959,41.98346,-87.59035,5750.0,,,,,,1574874079
2019-11-27 17:01:20,ACC954,ENY3959,,,,,134.0,269.14,-768.0,GS,1574874080
2019-11-27 17:01:21,ACC954,ENY3959,41.98346,-87.59201,5725.0,,,,,,1574874081
2019-11-27 17:01:25,ACC954,ENY3959,41.98346,-87.59534000000001,5650.0,,,,,,1574874085
2019-11-27 17:01:26,ACC954,ENY3959,41.98343,-87.59618,5650.0,,,,,,1574874086
2019-11-27 17:01:27,ACC954,ENY3959,,,,,131.0,269.56,-768.0,GS,1574874087
2019-11-27 17:01:27,ACC954,ENY3959,41.98341,-87.59738,5625.0,,,,,,1574874087
2019-11-27 17:01:32,ACC954,ENY3959,41.98343,-87.60105,5575.0,,,,,,1574874092
2019-11-27 17:01:35,ACC954,ENY3959,,,,,128.0,270.45,-768.0,GS,1574874095
2019-11-27 17:01:36,ACC954,ENY3959,,,,,127.0,270.45,-896.0,GS,1574874096
2019-11-27 17:01:37,ACC954,ENY3959,,,,,127.0,270.45,-896.0,GS,1574874097
2019-11-27 17:01:48,ACC954,ENY3959,41.9836,-87.61328,5375.0,,,,,,1574874108
2019-11-27 17:01:51,ACC954,ENY3959,,,,,121.0,272.37,-640.0,GS,1574874111
2019-11-27 17:01:52,ACC954,ENY3959,41.98366,-87.61646999999999,5325.0,,,,,,1574874112
2019-11-27 17:01:58,ACC954,ENY3959,,,,,122.0,270.94,-896.0,GS,1574874118
2019-11-27 17:02:01,ACC954,ENY3959,,,,,123.0,269.53,-576.0,GS,1574874121
2019-11-27 17:02:03,ACC954,ENY3959,,,,,122.0,269.06,-640.0,GS,1574874123
2019-11-27 17:02:06,ACC954,ENY3959,41.983740000000004,-87.62702,5175.0,,,,,,1574874126
2019-11-27 17:02:07,ACC954,ENY3959,,,,,124.0,270.0,-1216.0,GS,1574874127
2019-11-27 17:02:12,ACC954,ENY3959,,,,,,,,,1574874132
2019-11-27 17:02:13,ACC954,ENY3959,41.983740000000004,-87.63231999999999,5075.0,,,,,,1574874133
2019-11-27 17:02:18,ACC954,ENY3959,41.98369,-87.63646999999999,5000.0,,,,,,1574874138
2019-11-27 17:02:19,ACC954,ENY3959,,,,,129.0,269.11,-640.0,GS,1574874139
2019-11-27 17:02:26,ACC954,ENY3959,41.9836,-87.64299,4900.0,,,,,,1574874146
2019-11-27 17:02:26,ACC954,ENY3959,,,,,132.0,269.13,-896.0,GS,1574874146
2019-11-27 17:02:27,ACC954,ENY3959,41.98361,-87.64381,4875.0,,,,,,1574874147
2019-11-27 17:02:31,ACC954,ENY3959,41.98355,-87.64733000000001,4825.0,,,,,,1574874151
2019-11-27 17:02:32,ACC954,ENY3959,,,,,132.0,269.13,-768.0,GS,1574874152
2019-11-27 17:02:33,ACC954,ENY3959,,,,,132.0,269.13,-768.0,GS,1574874153
2019-11-27 17:02:33,ACC954,ENY3959,,,,,132.0,269.13,-1024.0,GS,1574874153
2019-11-27 17:02:39,ACC954,ENY3959,41.983509999999995,-87.65359000000001,4725.0,,,,,,1574874159
2019-11-27 17:02:49,ACC954,ENY3959,41.98352,-87.66154,4600.0,,,,,,1574874169
2019-11-27 17:02:51,ACC954,ENY3959,41.98352,-87.66315999999999,4575.0,,,,,,1574874171
2019-11-27 17:03:02,ACC954,ENY3959,,,,,132.0,272.17,-1024.0,GS,1574874182
2019-11-27 17:03:14,ACC954,ENY3959,41.98369,-87.6815,4275.0,,,,,,1574874194
2019-11-27 17:04:19,ACC954,ENY3959,41.983509999999995,-87.73286,3450.0,,,,,,1574874259
2019-11-27 17:05:05,ACC954,ENY3959,41.9838,-87.76853,2925.0,,,,,,1574874305
2019-11-27 17:05:21,ACC954,ENY3959,41.98383,-87.78260999999999,2700.0,,,,,,1574874321
2019-11-27 17:05:28,ACC954,ENY3959,41.98379,-87.7883,2625.0,,,,,,1574874328
2019-11-27 17:05:30,ACC954,ENY3959,,,,,131.0,268.69,-1088.0,GS,1574874330
2019-11-27 17:05:31,ACC954,ENY3959,41.983740000000004,-87.79028000000001,2575.0,,,,,,1574874331
2019-11-27 17:05:31,ACC954,ENY3959,41.983740000000004,-87.7906,2575.0,,,,,,1574874331
2019-11-27 17:05:37,ACC954,ENY3959,,,,,125.0,269.54,-512.0,GS,1574874337
2019-11-27 17:05:45,ACC954,ENY3959,41.98366,-87.80149,2400.0,,,,,,1574874345
2019-11-27 17:06:33,ACC954,ENY3959,,,,,132.0,269.57,-1024.0,GS,1574874393
2019-11-27 17:06:53,ACC954,ENY3959,41.98379,-87.85268,1650.0,,,,,,1574874413
2019-11-27 17:07:31,ACC954,ENY3959,,,,,120.0,270.95,-640.0,GS,1574874451
2019-11-27 17:08:19,ACC954,ENY3959,41.983779999999996,-87.90704000000001,,,,,,,1574874499
2019-11-27 17:08:19,ACC954,ENY3959,,,,,,,,,1574874499
2019-11-27 17:08:19,ACC954,ENY3959,41.98376,-87.90717,,,,,,,1574874499
2019-11-27 17:08:22,ACC954,ENY3959,41.98366,-87.90776,,,,,,,1574874502
2019-11-27 17:08:24,ACC954,ENY3959,41.98359,-87.90805,,,,,,,1574874504
2019-11-27 17:08:24,ACC954,ENY3959,41.983579999999996,-87.90811,,,,,,,1574874504
2019-11-27 17:08:27,ACC954,ENY3959,41.98344,-87.90857,,,,,,,1574874507
2019-11-27 17:08:28,ACC954,ENY3959,41.98339,-87.90873,,,,,,,1574874508
2019-11-27 17:08:29,ACC954,ENY3959,,,,,,,,,1574874509
2019-11-27 17:08:29,ACC954,ENY3959,41.98333,-87.90886,,,,,,,1574874509
2019-11-27 17:08:29,ACC954,ENY3959,41.983309999999996,-87.90890999999999,,,,,,,1574874509
2019-11-27 17:08:30,ACC954,ENY3959,41.983290000000004,-87.90897,,,,,,,1574874510
2019-11-27 17:08:30,ACC954,ENY3959,41.983259999999994,-87.90902,,,,,,,1574874510
2019-11-27 17:08:31,ACC954,ENY3959,41.98324,-87.90907,,,,,,,1574874511
2019-11-27 17:08:35,ACC954,ENY3959,41.98304,-87.90953,,,,,,,1574874515
2019-11-27 17:08:36,ACC954,ENY3959,41.98299,-87.90965,,,,,,,1574874516
2019-11-27 17:09:19,ACC954,ENY3959,,,,,,,,,1574874559
2019-11-27 17:09:23,ACC954,ENY3959,41.98061,-87.91286,,,,,,,1574874563
2019-11-27 17:09:23,ACC954,ENY3959,41.98056,-87.9129,,,,,,,1574874563
2019-11-27 17:09:24,ACC954,ENY3959,41.980540000000005,-87.91292,,,,,,,1574874564
2019-11-27 17:09:24,ACC954,ENY3959,41.98052,-87.91293,,,,,,,1574874564
2019-11-27 17:09:25,ACC954,ENY3959,41.98046,-87.91296,,,,,,,1574874565
2019-11-27 17:09:25,ACC954,ENY3959,41.98044,-87.91299000000001,,,,,,,1574874565
2019-11-27 17:09:26,ACC954,ENY3959,41.98035,-87.91305,,,,,,,1574874566
2019-11-27 17:09:27,ACC954,ENY3959,41.98033,-87.91306999999999,,,,,,,1574874567
2019-11-27 17:09:27,ACC954,ENY3959,41.98028,-87.91309,,,,,,,1574874567
2019-11-27 17:09:29,ACC954,ENY3959,41.98017,-87.91319,,,,,,,1574874569
2019-11-27 17:09:29,ACC954,ENY3959,,,,,,,,,1574874569
2019-11-27 17:09:30,ACC954,ENY3959,41.980059999999995,-87.91325,,,,,,,1574874570
2019-11-27 17:09:31,ACC954,ENY3959,41.97997,-87.91332,,,,,,,1574874571
2019-11-27 17:09:32,ACC954,ENY3959,41.97995,-87.91335,,,,,,,1574874572
2019-11-27 17:09:32,ACC954,ENY3959,41.9799,-87.91338,,,,,,,1574874572
2019-11-27 17:09:33,ACC954,ENY3959,41.97988,-87.9134,,,,,,,1574874573
2019-11-27 17:09:34,ACC954,ENY3959,41.97976,-87.91346999999999,,,,,,,1574874574
2019-11-27 17:09:38,ACC954,ENY3959,41.97948,-87.91364,,,,,,,1574874578
2019-11-27 17:09:39,ACC954,ENY3959,41.9794,-87.91368,,,,,,,1574874579
2019-11-27 17:09:39,ACC954,ENY3959,41.97935,-87.91371,,,,,,,1574874579
2019-11-27 17:09:41,ACC954,ENY3959,41.979240000000004,-87.91375,,,,,,,1574874581
2019-11-27 17:09:44,ACC954,ENY3959,41.97898,-87.91383,,,,,,,1574874584
2019-11-27 17:09:44,ACC954,ENY3959,41.97893,-87.91385,,,,,,,1574874584
2019-11-27 17:09:47,ACC954,ENY3959,41.97865,-87.91391,,,,,,,1574874587
2019-11-27 17:09:48,ACC954,ENY3959,41.9786,-87.91391999999999,,,,,,,1574874588
2019-11-27 17:09:49,ACC954,ENY3959,41.978559999999995,-87.91391999999999,,,,,,,1574874589
2019-11-27 17:09:49,ACC954,ENY3959,,,,,,,,,1574874589
2019-11-27 17:09:49,ACC954,ENY3959,41.97851,-87.91391999999999,,,,,,,1574874589
2019-11-27 17:09:49,ACC954,ENY3959,41.97846,-87.91394,,,,,,,1574874589
2019-11-27 17:09:50,ACC954,ENY3959,41.97842,-87.91394,,,,,,,1574874590
2019-11-27 17:09:50,ACC954,ENY3959,41.978390000000005,-87.91394,,,,,,,1574874590
2019-11-27 17:09:52,ACC954,ENY3959,41.97827,-87.91396,,,,,,,1574874592
2019-11-27 17:09:53,ACC954,ENY3959,41.97814,-87.91394,,,,,,,1574874593
2019-11-27 17:09:54,ACC954,ENY3959,41.97807,-87.91394,,,,,,,1574874594
2019-11-27 17:09:55,ACC954,ENY3959,41.978,-87.91394,,,,,,,1574874595
2019-11-27 17:09:56,ACC954,ENY3959,41.977959999999996,-87.91391999999999,,,,,,,1574874596
2019-11-27 17:09:57,ACC954,ENY3959,41.97789,-87.91391999999999,,,,,,,1574874597
2019-11-27 17:09:57,ACC954,ENY3959,41.97785,-87.91391999999999,,,,,,,1574874597
2019-11-27 17:09:58,ACC954,ENY3959,41.977779999999996,-87.91391,,,,,,,1574874598
2019-11-27 17:10:00,ACC954,ENY3959,41.97765,-87.91389000000001,,,,,,,1574874600
2019-11-27 17:10:02,ACC954,ENY3959,41.97746,-87.91386,,,,,,,1574874602
