received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:15:53,ACCD7E,,41.797109999999996,-86.81907,12400.0,,,,,,1574874953
2019-11-27 17:24:48,ACCD7E,,41.982009999999995,-87.39936,7400.0,,,,,,1574875488
2019-11-27 17:24:51,ACCD7E,,41.98192,-87.40186,7400.0,,,,,,1574875491
2019-11-27 17:24:51,ACCD7E,,,,,,147.0,266.88,-128.0,GS,1574875491
2019-11-27 17:24:57,ACCD7E,,41.981790000000004,-87.40755,7375.0,,,,,,1574875497
2019-11-27 17:25:04,ACCD7E,,,,,,144.0,271.99,64.0,GS,1574875504
2019-11-27 17:25:14,ACCD7E,,,,,,146.0,273.14,64.0,GS,1574875514
2019-11-27 17:25:19,ACCD7E,,,,,,148.0,273.48,0.0,GS,1574875519
2019-11-27 17:25:31,ACCD7E,,41.98283,-87.43844,7400.0,,,,,,1574875531
2019-11-27 17:25:34,ACCD7E,,41.982929999999996,-87.44125,7400.0,,,,,,1574875534
2019-11-27 17:25:38,ACCD7E,,,,,,149.0,271.54,0.0,GS,1574875538
2019-11-27 17:25:40,ACCD7E,,41.98304,-87.44683,7400.0,,,,,,1574875540
2019-11-27 17:25:41,ACCD7E,,,,,,148.0,270.77,0.0,GS,1574875541
2019-11-27 17:25:44,ACCD7E,,,,,,147.0,270.78,0.0,GS,1574875544
2019-11-27 17:25:48,ACCD7E,,41.983059999999995,-87.45385999999999,7400.0,,,,,,1574875548
2019-11-27 17:25:49,ACCD7E,,,,,,146.0,270.39,64.0,GS,1574875549
2019-11-27 17:25:53,ACCD7E,,41.983090000000004,-87.45845,7400.0,,,,,,1574875553
2019-11-27 17:25:54,ACCD7E,,,,,,145.0,269.6,-128.0,GS,1574875554
2019-11-27 17:25:56,ACCD7E,,,,,,145.0,269.6,-64.0,GS,1574875556
2019-11-27 17:25:58,ACCD7E,,,,,,145.0,269.21,-128.0,GS,1574875558
2019-11-27 17:26:16,ACCD7E,,,,,,143.0,270.4,64.0,GS,1574875576
2019-11-27 17:26:19,ACCD7E,,,,,,143.0,270.8,64.0,GS,1574875579
2019-11-27 17:26:22,ACCD7E,,41.983090000000004,-87.48413000000001,7400.0,,,,,,1574875582
2019-11-27 17:26:28,ACCD7E,,41.98314,-87.48962,7400.0,,,,,,1574875588
2019-11-27 17:26:28,ACCD7E,,41.98315,-87.49006,7400.0,,,,,,1574875588
2019-11-27 17:26:33,ACCD7E,,,,,,,,,,1574875593
2019-11-27 17:26:33,ACCD7E,EDV5119,41.98318,-87.49422,7375.0,,,,,,1574875593
2019-11-27 17:26:34,ACCD7E,EDV5119,,,,,143.0,270.4,-320.0,GS,1574875594
2019-11-27 17:26:39,ACCD7E,EDV5119,41.98318,-87.49959,7325.0,,,,,,1574875599
2019-11-27 17:26:40,ACCD7E,EDV5119,41.98318,-87.50048000000001,7325.0,,,,,,1574875600
2019-11-27 17:26:46,ACCD7E,EDV5119,41.98314,-87.5063,7225.0,,,,,,1574875606
2019-11-27 17:26:52,ACCD7E,EDV5119,,,,,,,,,1574875612
2019-11-27 17:26:54,ACCD7E,EDV5119,41.983090000000004,-87.51299999999999,7125.0,,,,,,1574875614
2019-11-27 17:26:58,ACCD7E,EDV5119,41.983059999999995,-87.51715,7025.0,,,,,,1574875618
2019-11-27 17:27:00,ACCD7E,EDV5119,,,,,150.0,269.62,-1216.0,GS,1574875620
2019-11-27 17:27:01,ACCD7E,EDV5119,,,,,150.0,269.24,-1216.0,GS,1574875621
2019-11-27 17:27:07,ACCD7E,EDV5119,41.983000000000004,-87.5252,6850.0,,,,,,1574875627
2019-11-27 17:27:10,ACCD7E,EDV5119,41.98295,-87.52763,6800.0,,,,,,1574875630
2019-11-27 17:27:12,ACCD7E,EDV5119,,,,,147.0,269.22,-1216.0,GS,1574875632
2019-11-27 17:27:25,ACCD7E,EDV5119,,,,,140.0,269.59,-960.0,GS,1574875645
2019-11-27 17:27:31,ACCD7E,EDV5119,,,,,135.0,270.0,-896.0,GS,1574875651
2019-11-27 17:27:34,ACCD7E,EDV5119,,,,,132.0,270.0,-832.0,GS,1574875654
2019-11-27 17:27:36,ACCD7E,EDV5119,,,,,131.0,270.0,-768.0,GS,1574875656
2019-11-27 17:27:39,ACCD7E,EDV5119,,,,,128.0,270.0,-704.0,GS,1574875659
2019-11-27 17:27:40,ACCD7E,EDV5119,,,,,127.0,270.0,-704.0,GS,1574875660
2019-11-27 17:27:42,ACCD7E,EDV5119,41.98283,-87.5556,6250.0,,,,,,1574875662
2019-11-27 17:27:45,ACCD7E,EDV5119,41.98281,-87.55752,6225.0,,,,,,1574875665
2019-11-27 17:27:47,ACCD7E,EDV5119,41.98283,-87.55941,6200.0,,,,,,1574875667
2019-11-27 17:27:49,ACCD7E,EDV5119,41.98283,-87.56085,6175.0,,,,,,1574875669
2019-11-27 17:27:53,ACCD7E,EDV5119,,,,,115.0,270.5,-576.0,GS,1574875673
2019-11-27 17:28:02,ACCD7E,EDV5119,,,,,117.0,271.96,-576.0,GS,1574875682
2019-11-27 17:28:02,ACCD7E,EDV5119,41.98297,-87.56959,6050.0,,,,,,1574875682
2019-11-27 17:28:04,ACCD7E,EDV5119,41.983000000000004,-87.57145,6025.0,,,,,,1574875684
