received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:21:56,ACCE3F,,41.48987,-88.46996999999999,11400.0,,,,,,1574875316
2019-11-27 17:22:19,ACCE3F,,41.5205,-88.43355,11375.0,,,,,,1574875339
2019-11-27 17:23:06,ACCE3F,,41.58144,-88.36061,11175.0,,,,,,1574875386
2019-11-27 17:23:06,ACCE3F,,,,,,365.0,41.89,-576.0,GS,1574875386
2019-11-27 17:23:08,ACCE3F,,41.58408,-88.35748000000001,11175.0,,,,,,1574875388
2019-11-27 17:23:16,ACCE3F,,41.5941,-88.3455,11075.0,,,,,,1574875396
2019-11-27 17:23:17,ACCE3F,,,,,,356.0,41.93,-640.0,GS,1574875397
2019-11-27 17:23:31,ACCE3F,,41.61182,-88.32434,10925.0,,,,,,1574875411
2019-11-27 17:23:31,ACCE3F,,,,,,344.0,41.83,-640.0,GS,1574875411
2019-11-27 17:23:34,ACCE3F,,41.61534,-88.32009000000001,10900.0,,,,,,1574875414
2019-11-27 17:23:36,ACCE3F,,41.61845,-88.31641,10875.0,,,,,,1574875416
2019-11-27 17:23:40,ACCE3F,,,,,,339.0,41.77,-640.0,GS,1574875420
2019-11-27 17:23:42,ACCE3F,,,,,,337.0,41.76,-640.0,GS,1574875422
2019-11-27 17:23:50,ACCE3F,,,,,,332.0,41.83,-640.0,GS,1574875430
2019-11-27 17:23:50,ACCE3F,,41.63429,-88.29749,10725.0,,,,,,1574875430
2019-11-27 17:24:40,ACCE3F,,41.69037,-88.23114,10000.0,,,,,,1574875480
2019-11-27 17:24:41,ACCE3F,,41.69093,-88.2305,10000.0,,,,,,1574875481
2019-11-27 17:24:42,ACCE3F,,,,,,317.0,41.81,-896.0,GS,1574875482
2019-11-27 17:25:07,ACCE3F,,,,,,316.0,41.8,-768.0,GS,1574875507
2019-11-27 17:25:08,ACCE3F,,41.720909999999996,-88.19454,9600.0,,,,,,1574875508
2019-11-27 17:25:08,ACCE3F,,,,,,316.0,41.8,-768.0,GS,1574875508
2019-11-27 17:25:09,ACCE3F,,,,,,316.0,41.8,-768.0,GS,1574875509
2019-11-27 17:25:17,ACCE3F,,41.7301,-88.18356999999999,9500.0,,,,,,1574875517
2019-11-27 17:25:25,ACCE3F,,41.73953,-88.17227,9375.0,,,,,,1574875525
2019-11-27 17:25:26,ACCE3F,,,,,,313.0,41.89,-832.0,GS,1574875526
2019-11-27 17:25:30,ACCE3F,,,,,,,,,,1574875530
2019-11-27 17:25:30,ACCE3F,AAL1301,,,,,311.0,41.88,-832.0,GS,1574875530
2019-11-27 17:25:30,ACCE3F,AAL1301,,,,,311.0,41.88,-832.0,GS,1574875530
2019-11-27 17:25:31,ACCE3F,AAL1301,,,,,311.0,41.88,-832.0,GS,1574875531
2019-11-27 17:25:36,ACCE3F,AAL1301,41.7507,-88.1589,9225.0,,,,,,1574875536
2019-11-27 17:25:36,ACCE3F,AAL1301,,,,,309.0,41.99,-768.0,GS,1574875536
2019-11-27 17:25:40,ACCE3F,AAL1301,41.755140000000004,-88.15355,9175.0,,,,,,1574875540
2019-11-27 17:25:45,ACCE3F,AAL1301,,,,,304.0,41.81,-832.0,GS,1574875545
2019-11-27 17:26:04,ACCE3F,AAL1301,41.780120000000004,-88.1237,8875.0,,,,,,1574875564
2019-11-27 17:26:10,ACCE3F,AAL1301,41.787240000000004,-88.11521,8775.0,,,,,,1574875570
2019-11-27 17:26:31,ACCE3F,AAL1301,,,,,306.0,43.68,-768.0,GS,1574875591
2019-11-27 17:26:31,ACCE3F,AAL1301,41.8094,-88.08825,8500.0,,,,,,1574875591
2019-11-27 17:26:32,ACCE3F,AAL1301,,,,,306.0,43.94,-768.0,GS,1574875592
