received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:01:13,ACD619,,,,,,341.0,349.88,-64.0,GS,1574874073
2019-11-27 17:03:00,ACD619,,,,,,309.0,297.97,-1088.0,GS,1574874180
2019-11-27 17:08:47,ACD619,,41.982240000000004,-87.37989,9225.0,,,,,,1574874527
2019-11-27 17:08:49,ACD619,,,,,,186.0,270.92,-1216.0,GS,1574874529
2019-11-27 17:08:54,ACD619,,,,,,185.0,271.24,-1408.0,GS,1574874534
2019-11-27 17:08:54,ACD619,,41.98234,-87.38781,9075.0,,,,,,1574874534
2019-11-27 17:09:02,ACD619,,41.98251,-87.39674000000001,8900.0,,,,,,1574874542
2019-11-27 17:09:04,ACD619,,41.98253,-87.3986,8850.0,,,,,,1574874544
2019-11-27 17:09:07,ACD619,,,,,,176.0,271.63,-1216.0,GS,1574874547
2019-11-27 17:11:27,ACD619,,41.98225,-87.53381999999999,6625.0,,,,,,1574874687
2019-11-27 17:11:30,ACD619,,,,,,143.0,268.8,-960.0,GS,1574874690
2019-11-27 17:11:32,ACD619,,,,,,143.0,268.8,-832.0,GS,1574874692
2019-11-27 17:11:36,ACD619,,,,,,143.0,269.2,-832.0,GS,1574874696
2019-11-27 17:11:37,ACD619,,,,,,,,,,1574874697
2019-11-27 17:11:37,ACD619,SKW5052,,,,,142.0,269.19,-832.0,GS,1574874697
2019-11-27 17:11:37,ACD619,SKW5052,41.98216,-87.54251,6475.0,,,,,,1574874697
2019-11-27 17:11:38,ACD619,SKW5052,41.98215,-87.54299999999999,6475.0,,,,,,1574874698
2019-11-27 17:11:42,ACD619,SKW5052,,,,,142.0,268.79,-768.0,GS,1574874702
2019-11-27 17:11:58,ACD619,SKW5052,,,,,139.0,270.0,-896.0,GS,1574874718
2019-11-27 17:12:00,ACD619,SKW5052,41.982009999999995,-87.5621,6175.0,,,,,,1574874720
2019-11-27 17:12:13,ACD619,SKW5052,,,,,135.0,271.27,-768.0,GS,1574874733
2019-11-27 17:12:16,ACD619,SKW5052,41.98211,-87.57611,5950.0,,,,,,1574874736
2019-11-27 17:12:22,ACD619,SKW5052,,,,,133.0,271.29,-832.0,GS,1574874742
2019-11-27 17:12:39,ACD619,SKW5052,,,,,127.0,272.7,-832.0,GS,1574874759
2019-11-27 17:12:40,ACD619,SKW5052,41.98267,-87.59527,5650.0,,,,,,1574874760
2019-11-27 17:12:41,ACD619,SKW5052,41.9827,-87.59612,5625.0,,,,,,1574874761
2019-11-27 17:12:44,ACD619,SKW5052,,,,,124.0,272.77,-512.0,GS,1574874764
2019-11-27 17:12:50,ACD619,SKW5052,41.983000000000004,-87.60280999999999,5550.0,,,,,,1574874770
2019-11-27 17:12:57,ACD619,SKW5052,,,,,116.0,274.44,-640.0,GS,1574874777
2019-11-27 17:13:04,ACD619,SKW5052,41.983509999999995,-87.61277,5400.0,,,,,,1574874784
2019-11-27 17:13:06,ACD619,SKW5052,41.98361,-87.61428000000001,5375.0,,,,,,1574874786
2019-11-27 17:13:12,ACD619,SKW5052,41.9838,-87.61828,5300.0,,,,,,1574874792
2019-11-27 17:13:33,ACD619,SKW5052,41.984390000000005,-87.6336,5100.0,,,,,,1574874813
2019-11-27 17:13:38,ACD619,SKW5052,41.98444,-87.63725,5050.0,,,,,,1574874818
2019-11-27 17:13:51,ACD619,SKW5052,,,,,128.0,269.55,-832.0,GS,1574874831
2019-11-27 17:13:54,ACD619,SKW5052,41.98449,-87.65014000000001,4825.0,,,,,,1574874834
2019-11-27 17:13:54,ACD619,SKW5052,,,,,131.0,269.13,-768.0,GS,1574874834
2019-11-27 17:13:55,ACD619,SKW5052,,,,,131.0,268.69,-768.0,GS,1574874835
2019-11-27 17:13:57,ACD619,SKW5052,,,,,133.0,268.71,-704.0,GS,1574874837
2019-11-27 17:13:59,ACD619,SKW5052,41.98444,-87.65442,4775.0,,,,,,1574874839
2019-11-27 17:14:11,ACD619,SKW5052,41.98425,-87.66434,4600.0,,,,,,1574874851
2019-11-27 17:14:38,ACD619,SKW5052,41.98384,-87.686,4200.0,,,,,,1574874878
2019-11-27 17:14:58,ACD619,SKW5052,,,,,131.0,269.13,-832.0,GS,1574874898
2019-11-27 17:14:58,ACD619,SKW5052,,,,,131.0,269.13,-832.0,GS,1574874898
2019-11-27 17:15:00,ACD619,SKW5052,41.9836,-87.70354,3950.0,,,,,,1574874900
2019-11-27 17:15:02,ACD619,SKW5052,41.98361,-87.70510999999999,3925.0,,,,,,1574874902
2019-11-27 17:15:03,ACD619,SKW5052,,,,,132.0,269.13,-768.0,GS,1574874903
2019-11-27 17:15:07,ACD619,SKW5052,,,,,132.0,270.0,-640.0,GS,1574874907
2019-11-27 17:15:27,ACD619,SKW5052,41.98375,-87.72595,3600.0,,,,,,1574874927
2019-11-27 17:15:46,ACD619,SKW5052,,,,,142.0,270.0,-896.0,GS,1574874946
2019-11-27 17:16:21,ACD619,SKW5052,,,,,142.0,271.61,-832.0,GS,1574874981
2019-11-27 17:16:21,ACD619,SKW5052,41.98425,-87.77418,2825.0,,,,,,1574874981
2019-11-27 17:16:24,ACD619,SKW5052,41.9843,-87.77629,2800.0,,,,,,1574874984
2019-11-27 17:16:25,ACD619,SKW5052,41.9843,-87.77727,2775.0,,,,,,1574874985
2019-11-27 17:16:26,ACD619,SKW5052,,,,,141.0,270.81,-512.0,GS,1574874986
2019-11-27 17:16:34,ACD619,SKW5052,,,,,137.0,268.33,-512.0,GS,1574874994
2019-11-27 17:16:35,ACD619,SKW5052,,,,,137.0,268.75,-640.0,GS,1574874995
2019-11-27 17:16:43,ACD619,SKW5052,,,,,143.0,268.8,-832.0,GS,1574875003
2019-11-27 17:16:51,ACD619,SKW5052,,,,,141.0,268.78,-704.0,GS,1574875011
2019-11-27 17:16:53,ACD619,SKW5052,,,,,139.0,268.76,-640.0,GS,1574875013
2019-11-27 17:16:57,ACD619,SKW5052,,,,,133.0,269.14,0.0,GS,1574875017
2019-11-27 17:16:58,ACD619,SKW5052,,,,,130.0,269.12,0.0,GS,1574875018
2019-11-27 17:17:00,ACD619,SKW5052,,,,,125.0,268.63,-128.0,GS,1574875020
2019-11-27 17:17:07,ACD619,SKW5052,41.98393,-87.81238,2450.0,,,,,,1574875027
2019-11-27 17:17:11,ACD619,SKW5052,39.66493,-86.49084,11550.0,,,,,,1574875031
2019-11-27 17:19:28,ACD619,SKW5052,41.983909999999995,-87.90505999999999,,,,,,,1574875168
2019-11-27 17:19:30,ACD619,SKW5052,,,,,,,,,1574875170
2019-11-27 17:19:32,ACD619,SKW5052,41.983909999999995,-87.90601,,,,,,,1574875172
2019-11-27 17:19:33,ACD619,SKW5052,41.9839,-87.90623000000001,,,,,,,1574875173
2019-11-27 17:19:37,ACD619,SKW5052,41.98386,-87.90698,,,,,,,1574875177
2019-11-27 17:19:39,ACD619,SKW5052,41.98379,-87.90749,,,,,,,1574875179
2019-11-27 17:19:42,ACD619,SKW5052,41.98369,-87.90786,,,,,,,1574875182
2019-11-27 17:19:42,ACD619,SKW5052,41.98368,-87.90791999999999,,,,,,,1574875182
2019-11-27 17:19:45,ACD619,SKW5052,41.98353,-87.90838000000001,,,,,,,1574875185
2019-11-27 17:19:45,ACD619,SKW5052,,,,,,,,,1574875185
2019-11-27 17:19:47,ACD619,SKW5052,41.98342,-87.90868,,,,,,,1574875187
2019-11-27 17:19:49,ACD619,SKW5052,41.983270000000005,-87.90899,,,,,,,1574875189
2019-11-27 17:19:50,ACD619,SKW5052,41.98325,-87.90907,,,,,,,1574875190
2019-11-27 17:19:51,ACD619,SKW5052,41.98321,-87.90913,,,,,,,1574875191
2019-11-27 17:19:51,ACD619,SKW5052,41.98319,-87.90918,,,,,,,1574875191
2019-11-27 17:20:02,ACD619,SKW5052,41.98264,-87.91044000000001,,,,,,,1574875202
2019-11-27 17:20:12,ACD619,SKW5052,41.982040000000005,-87.91156,,,,,,,1574875212
2019-11-27 17:20:24,ACD619,SKW5052,41.98105,-87.91255,,,,,,,1574875224
2019-11-27 17:20:25,ACD619,SKW5052,41.980959999999996,-87.91261,,,,,,,1574875225
2019-11-27 17:20:26,ACD619,SKW5052,41.98088,-87.91266,,,,,,,1574875226
2019-11-27 17:20:27,ACD619,SKW5052,41.98084,-87.91269,,,,,,,1574875227
2019-11-27 17:20:29,ACD619,SKW5052,41.98065,-87.91284,,,,,,,1574875229
2019-11-27 17:20:30,ACD619,SKW5052,41.9806,-87.91287,,,,,,,1574875230
2019-11-27 17:20:31,ACD619,SKW5052,41.98053,-87.91293,,,,,,,1574875231
2019-11-27 17:20:32,ACD619,SKW5052,41.98046,-87.91297,,,,,,,1574875232
2019-11-27 17:20:32,ACD619,SKW5052,41.98043,-87.91299000000001,,,,,,,1574875232
2019-11-27 17:20:33,ACD619,SKW5052,41.98039,-87.91301,,,,,,,1574875233
2019-11-27 17:20:34,ACD619,SKW5052,41.98033,-87.91306999999999,,,,,,,1574875234
2019-11-27 17:20:34,ACD619,SKW5052,41.9803,-87.91308000000001,,,,,,,1574875234
2019-11-27 17:20:35,ACD619,SKW5052,41.980259999999994,-87.91311,,,,,,,1574875235
2019-11-27 17:20:36,ACD619,SKW5052,41.98018,-87.91318000000001,,,,,,,1574875236
2019-11-27 17:20:41,ACD619,SKW5052,41.97977,-87.91346,,,,,,,1574875241
2019-11-27 17:20:42,ACD619,SKW5052,41.979729999999996,-87.91349,,,,,,,1574875242
2019-11-27 17:20:42,ACD619,SKW5052,41.979690000000005,-87.91351,,,,,,,1574875242
2019-11-27 17:20:43,ACD619,SKW5052,41.97964,-87.91354,,,,,,,1574875243
2019-11-27 17:20:43,ACD619,SKW5052,41.97961,-87.91356999999999,,,,,,,1574875243
2019-11-27 17:20:43,ACD619,SKW5052,41.97957,-87.91359,,,,,,,1574875243
2019-11-27 17:20:44,ACD619,SKW5052,41.97955,-87.9136,,,,,,,1574875244
2019-11-27 17:20:45,ACD619,SKW5052,41.979459999999996,-87.91365,,,,,,,1574875245
2019-11-27 17:20:45,ACD619,SKW5052,41.979420000000005,-87.91367,,,,,,,1574875245
2019-11-27 17:20:46,ACD619,SKW5052,41.97934,-87.9137,,,,,,,1574875246
2019-11-27 17:20:47,ACD619,SKW5052,41.97926,-87.91375,,,,,,,1574875247
2019-11-27 17:20:48,ACD619,SKW5052,41.97917,-87.91378,,,,,,,1574875248
2019-11-27 17:20:49,ACD619,SKW5052,41.97913,-87.9138,,,,,,,1574875249
2019-11-27 17:20:50,ACD619,SKW5052,41.97907,-87.91381,,,,,,,1574875250
2019-11-27 17:20:50,ACD619,SKW5052,,,,,,,,,1574875250
2019-11-27 17:20:50,ACD619,SKW5052,41.97903,-87.91383,,,,,,,1574875250
2019-11-27 17:20:50,ACD619,SKW5052,41.97899,-87.91383,,,,,,,1574875250
2019-11-27 17:20:51,ACD619,SKW5052,41.97895,-87.91385,,,,,,,1574875251
2019-11-27 17:20:52,ACD619,SKW5052,41.9789,-87.91386,,,,,,,1574875252
2019-11-27 17:20:53,ACD619,SKW5052,41.97878,-87.91389000000001,,,,,,,1574875253
2019-11-27 17:20:53,ACD619,SKW5052,41.97874,-87.91389000000001,,,,,,,1574875253
2019-11-27 17:20:55,ACD619,SKW5052,41.97857,-87.91391999999999,,,,,,,1574875255
2019-11-27 17:20:56,ACD619,SKW5052,41.97846,-87.91394,,,,,,,1574875256
2019-11-27 17:20:57,ACD619,SKW5052,41.97842,-87.91394,,,,,,,1574875257
2019-11-27 17:20:59,ACD619,SKW5052,41.97825,-87.91395,,,,,,,1574875259
2019-11-27 17:20:59,ACD619,SKW5052,41.978190000000005,-87.91395,,,,,,,1574875259
