received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 16:50:40,ACF497,,42.46294,-89.3254,18150.0,,,,,,1574873440
2019-11-27 16:51:22,ACF497,,,,,,446.0,99.27,-1088.0,GS,1574873482
2019-11-27 16:52:11,ACF497,,,,,,,,,,1574873531
2019-11-27 16:52:21,ACF497,DAL2859,,,,,445.0,99.82,-1728.0,GS,1574873541
2019-11-27 16:52:21,ACF497,DAL2859,42.42845,-89.04643,15550.0,,,,,,1574873541
2019-11-27 16:54:09,ACF497,DAL2859,,,,,418.0,99.62,-1728.0,GS,1574873649
2019-11-27 16:54:09,ACF497,DAL2859,,,,,418.0,99.62,-1728.0,GS,1574873649
2019-11-27 16:54:23,ACF497,DAL2859,42.38712,-88.72163,11975.0,,,,,,1574873663
2019-11-27 16:56:32,ACF497,DAL2859,42.340709999999994,-88.39893000000001,11375.0,,,,,,1574873792
2019-11-27 16:56:43,ACF497,DAL2859,42.33174,-88.37415,11375.0,,,,,,1574873803
2019-11-27 16:56:44,ACF497,DAL2859,42.32991,-88.3699,11375.0,,,,,,1574873804
2019-11-27 16:57:19,ACF497,DAL2859,42.29132,-88.29924,11400.0,,,,,,1574873839
2019-11-27 16:57:21,ACF497,DAL2859,,,,,411.0,130.47,64.0,GS,1574873841
2019-11-27 16:57:26,ACF497,DAL2859,,,,,410.0,130.56,0.0,GS,1574873846
2019-11-27 16:57:27,ACF497,DAL2859,,,,,,,,,1574873847
2019-11-27 16:57:28,ACF497,DAL2859,42.27963,-88.2809,11400.0,,,,,,1574873848
2019-11-27 16:57:29,ACF497,DAL2859,42.27902,-88.27986999999999,11400.0,,,,,,1574873849
2019-11-27 16:57:34,ACF497,DAL2859,,,,,411.0,130.47,0.0,GS,1574873854
2019-11-27 16:57:35,ACF497,DAL2859,42.271409999999996,-88.26791,11400.0,,,,,,1574873855
2019-11-27 16:57:37,ACF497,DAL2859,42.26797,-88.26247,11400.0,,,,,,1574873857
2019-11-27 16:57:38,ACF497,DAL2859,,,,,410.0,130.36,-64.0,GS,1574873858
2019-11-27 16:57:39,ACF497,DAL2859,,,,,410.0,130.36,-64.0,GS,1574873859
2019-11-27 16:57:39,ACF497,DAL2859,42.2658,-88.25905,11400.0,,,,,,1574873859
2019-11-27 16:57:40,ACF497,DAL2859,,,,,410.0,130.25,-64.0,GS,1574873860
2019-11-27 16:57:40,ACF497,DAL2859,42.26477,-88.25735999999999,11400.0,,,,,,1574873860
2019-11-27 16:57:41,ACF497,DAL2859,,,,,410.0,130.25,-64.0,GS,1574873861
2019-11-27 16:57:41,ACF497,DAL2859,42.263529999999996,-88.25542,11400.0,,,,,,1574873861
2019-11-27 16:57:42,ACF497,DAL2859,,,,,409.0,130.15,-128.0,GS,1574873862
2019-11-27 16:57:42,ACF497,DAL2859,42.26287,-88.25439,11400.0,,,,,,1574873862
2019-11-27 16:57:42,ACF497,DAL2859,,,,,409.0,130.15,-128.0,GS,1574873862
2019-11-27 16:57:42,ACF497,DAL2859,,,,,408.0,130.13,-128.0,GS,1574873862
2019-11-27 16:57:44,ACF497,DAL2859,,,,,406.0,130.11,-128.0,GS,1574873864
2019-11-27 16:57:46,ACF497,DAL2859,42.25786,-88.24637,11375.0,,,,,,1574873866
2019-11-27 16:57:46,ACF497,DAL2859,42.25724,-88.24525,11375.0,,,,,,1574873866
2019-11-27 16:57:47,ACF497,DAL2859,,,,,403.0,129.97,-64.0,GS,1574873867
2019-11-27 16:57:48,ACF497,DAL2859,,,,,401.0,129.95,-64.0,GS,1574873868
2019-11-27 16:57:48,ACF497,DAL2859,,,,,401.0,129.95,-64.0,GS,1574873868
2019-11-27 16:57:48,ACF497,DAL2859,42.25479,-88.24138,11375.0,,,,,,1574873868
2019-11-27 16:57:51,ACF497,DAL2859,,,,,397.0,129.9,-128.0,GS,1574873871
2019-11-27 16:57:51,ACF497,DAL2859,42.25136,-88.23588000000001,11375.0,,,,,,1574873871
2019-11-27 16:57:52,ACF497,DAL2859,42.25072,-88.23484,11375.0,,,,,,1574873872
2019-11-27 16:57:52,ACF497,DAL2859,,,,,395.0,129.97,-128.0,GS,1574873872
2019-11-27 16:57:52,ACF497,DAL2859,42.250209999999996,-88.23401,11375.0,,,,,,1574873872
2019-11-27 16:57:53,ACF497,DAL2859,,,,,393.0,129.95,-128.0,GS,1574873873
2019-11-27 16:57:56,ACF497,DAL2859,,,,,389.0,129.9,-64.0,GS,1574873876
2019-11-27 16:57:56,ACF497,DAL2859,42.24564,-88.22667,11375.0,,,,,,1574873876
2019-11-27 16:57:58,ACF497,DAL2859,42.24346,-88.22315,11375.0,,,,,,1574873878
2019-11-27 16:57:58,ACF497,DAL2859,,,,,385.0,129.84,-64.0,GS,1574873878
2019-11-27 16:58:01,ACF497,DAL2859,,,,,381.0,130.0,0.0,GS,1574873881
2019-11-27 16:58:04,ACF497,DAL2859,42.23657,-88.21204,11375.0,,,,,,1574873884
2019-11-27 16:58:05,ACF497,DAL2859,42.23547,-88.21029,11375.0,,,,,,1574873885
2019-11-27 16:58:05,ACF497,DAL2859,,,,,373.0,130.0,0.0,GS,1574873885
2019-11-27 16:58:07,ACF497,DAL2859,42.233309999999996,-88.2068,11375.0,,,,,,1574873887
2019-11-27 16:58:08,ACF497,DAL2859,42.23219,-88.20508000000001,11375.0,,,,,,1574873888
2019-11-27 16:58:09,ACF497,DAL2859,42.23117,-88.20342,11375.0,,,,,,1574873889
2019-11-27 16:58:11,ACF497,DAL2859,42.22893,-88.19984000000001,11375.0,,,,,,1574873891
2019-11-27 16:58:12,ACF497,DAL2859,,,,,364.0,130.11,-128.0,GS,1574873892
2019-11-27 16:58:13,ACF497,DAL2859,42.2267,-88.1962,11375.0,,,,,,1574873893
2019-11-27 16:58:14,ACF497,DAL2859,,,,,362.0,129.97,-320.0,GS,1574873894
2019-11-27 16:58:15,ACF497,DAL2859,,,,,361.0,129.95,-384.0,GS,1574873895
2019-11-27 16:58:17,ACF497,DAL2859,42.22311,-88.19044,11350.0,,,,,,1574873897
2019-11-27 16:58:17,ACF497,DAL2859,,,,,359.0,129.93,-576.0,GS,1574873897
2019-11-27 16:58:17,ACF497,DAL2859,42.222559999999994,-88.18963000000001,11350.0,,,,,,1574873897
2019-11-27 16:58:18,ACF497,DAL2859,42.221509999999995,-88.18788,11325.0,,,,,,1574873898
2019-11-27 16:58:19,ACF497,DAL2859,42.22102,-88.18713000000001,11325.0,,,,,,1574873899
2019-11-27 16:58:21,ACF497,DAL2859,42.218309999999995,-88.18276,11300.0,,,,,,1574873901
2019-11-27 16:58:22,ACF497,DAL2859,42.21716,-88.18089,11275.0,,,,,,1574873902
2019-11-27 16:58:23,ACF497,DAL2859,,,,,355.0,129.64,-1024.0,GS,1574873903
2019-11-27 16:58:24,ACF497,DAL2859,42.21492,-88.17723000000001,11250.0,,,,,,1574873904
2019-11-27 16:58:25,ACF497,DAL2859,,,,,354.0,129.62,-1152.0,GS,1574873905
2019-11-27 16:58:26,ACF497,DAL2859,42.21277,-88.17376999999999,11200.0,,,,,,1574873906
2019-11-27 16:58:27,ACF497,DAL2859,,,,,354.0,129.62,-1344.0,GS,1574873907
2019-11-27 16:58:28,ACF497,DAL2859,,,,,353.0,129.49,-1408.0,GS,1574873908
2019-11-27 16:58:29,ACF497,DAL2859,42.210640000000005,-88.17027,11150.0,,,,,,1574873909
2019-11-27 16:58:30,ACF497,DAL2859,42.20896,-88.16758,11125.0,,,,,,1574873910
2019-11-27 16:58:31,ACF497,DAL2859,42.20845,-88.16669,11100.0,,,,,,1574873911
2019-11-27 16:58:31,ACF497,DAL2859,42.207840000000004,-88.16566999999999,11100.0,,,,,,1574873911
2019-11-27 16:58:32,ACF497,DAL2859,,,,,353.0,129.6,-1600.0,GS,1574873912
