received_time,icao,call_sign,lat,lon,bara_alt,gnss_alt,speed,heading,vertical_rate,speed_type,unix_time
2019-11-27 17:17:03,AD159B,,,,,,338.0,354.41,-128.0,GS,1574875023
2019-11-27 17:25:10,AD159B,,,,,,150.0,270.0,64.0,GS,1574875510
2019-11-27 17:25:16,AD159B,,,,,,151.0,269.62,-192.0,GS,1574875516
2019-11-27 17:25:49,AD159B,,41.982479999999995,-87.3629,7400.0,,,,,,1574875549
2019-11-27 17:26:19,AD159B,,,,,,154.0,270.74,-64.0,GS,1574875579
2019-11-27 17:26:25,AD159B,,41.982929999999996,-87.39693,7375.0,,,,,,1574875585
2019-11-27 17:27:14,AD159B,,,,,,154.0,269.63,256.0,GS,1574875634
2019-11-27 17:27:27,AD159B,,41.98272,-87.45635,7375.0,,,,,,1574875647
2019-11-27 17:27:33,AD159B,,41.98272,-87.46197,7375.0,,,,,,1574875653
2019-11-27 17:27:46,AD159B,,,,,,149.0,271.15,-192.0,GS,1574875666
2019-11-27 17:27:53,AD159B,,41.982929999999996,-87.48039,7300.0,,,,,,1574875673
2019-11-27 17:27:55,AD159B,,41.98297,-87.48226,7300.0,,,,,,1574875675
2019-11-27 17:28:09,AD159B,,41.98323,-87.49582,7200.0,,,,,,1574875689
2019-11-27 17:28:11,AD159B,,41.98328,-87.49774000000001,7175.0,,,,,,1574875691
2019-11-27 17:28:14,AD159B,,,,,,157.0,271.09,-512.0,GS,1574875694
2019-11-27 17:28:14,AD159B,,41.98328,-87.50048000000001,7150.0,,,,,,1574875694
2019-11-27 17:28:15,AD159B,,,,,,158.0,271.09,-576.0,GS,1574875695
2019-11-27 17:28:19,AD159B,,,,,,159.0,270.72,-704.0,GS,1574875699
2019-11-27 17:28:25,AD159B,,41.98341,-87.5116,7025.0,,,,,,1574875705
2019-11-27 17:28:32,AD159B,,41.98338,-87.51902,6900.0,,,,,,1574875712
2019-11-27 17:28:33,AD159B,,,,,,160.0,268.93,-1024.0,GS,1574875713
2019-11-27 17:28:35,AD159B,,41.98332,-87.52201,6850.0,,,,,,1574875715
2019-11-27 17:28:38,AD159B,,41.98328,-87.52431,6825.0,,,,,,1574875718
2019-11-27 17:28:41,AD159B,,,,,,157.0,268.54,-1088.0,GS,1574875721
2019-11-27 17:28:42,AD159B,,41.98323,-87.5282,6750.0,,,,,,1574875722
2019-11-27 17:28:45,AD159B,,41.98318,-87.53095,6700.0,,,,,,1574875725
2019-11-27 17:28:46,AD159B,,,,,,154.0,268.88,-1024.0,GS,1574875726
2019-11-27 17:28:48,AD159B,,41.98314,-87.5344,6625.0,,,,,,1574875728
2019-11-27 17:28:55,AD159B,,41.983059999999995,-87.5405,6525.0,,,,,,1574875735
2019-11-27 17:29:13,AD159B,,,,,,,,,,1574875753
2019-11-27 17:29:17,AD159B,ENY4005,41.98323,-87.55918,6175.0,,,,,,1574875757
2019-11-27 17:29:34,AD159B,ENY4005,41.983509999999995,-87.57292,5975.0,,,,,,1574875774
2019-11-27 17:29:38,AD159B,ENY4005,,,,,122.0,271.41,-576.0,GS,1574875778
2019-11-27 17:29:40,AD159B,ENY4005,,,,,122.0,271.41,-640.0,GS,1574875780
2019-11-27 17:29:43,AD159B,ENY4005,41.98366,-87.57976,5875.0,,,,,,1574875783
2019-11-27 17:29:45,AD159B,ENY4005,41.98366,-87.58126,5850.0,,,,,,1574875785
2019-11-27 17:29:48,AD159B,ENY4005,41.98366,-87.58363,5825.0,,,,,,1574875788
2019-11-27 17:29:58,AD159B,ENY4005,41.98366,-87.59075,5725.0,,,,,,1574875798
2019-11-27 17:29:59,AD159B,ENY4005,,,,,119.0,269.52,-832.0,GS,1574875799
2019-11-27 17:30:01,AD159B,ENY4005,41.98361,-87.59312,5675.0,,,,,,1574875801
2019-11-27 17:30:02,AD159B,ENY4005,41.98361,-87.59368,5675.0,,,,,,1574875802
2019-11-27 17:30:06,AD159B,ENY4005,41.98357,-87.59699,5600.0,,,,,,1574875806
2019-11-27 17:30:06,AD159B,ENY4005,,,,,119.0,268.56,-896.0,GS,1574875806
2019-11-27 17:30:07,AD159B,ENY4005,41.98355,-87.59744,5600.0,,,,,,1574875807
2019-11-27 17:30:07,AD159B,ENY4005,,,,,120.0,268.57,-832.0,GS,1574875807
2019-11-27 17:30:13,AD159B,ENY4005,41.983470000000004,-87.60173,5525.0,,,,,,1574875813
2019-11-27 17:30:16,AD159B,ENY4005,,,,,119.0,270.0,-704.0,GS,1574875816
2019-11-27 17:30:33,AD159B,ENY4005,,,,,121.0,270.47,-704.0,GS,1574875833
2019-11-27 17:30:35,AD159B,ENY4005,41.98357,-87.61815,5275.0,,,,,,1574875835
2019-11-27 17:30:35,AD159B,ENY4005,,,,,123.0,270.0,-640.0,GS,1574875835
2019-11-27 17:30:40,AD159B,ENY4005,41.9836,-87.62196999999999,5200.0,,,,,,1574875840
2019-11-27 17:31:28,AD159B,ENY4005,41.9836,-87.65934,4600.0,,,,,,1574875888
2019-11-27 17:34:10,AD159B,ENY4005,,,,,125.0,269.54,-1280.0,GS,1574876050
2019-11-27 17:34:14,AD159B,ENY4005,,,,,125.0,270.0,-640.0,GS,1574876054
2019-11-27 17:34:29,AD159B,ENY4005,41.98379,-87.79935,2425.0,,,,,,1574876069
2019-11-27 17:36:54,AD159B,ENY4005,,,,,,,,,1574876214
2019-11-27 17:36:56,AD159B,ENY4005,41.9839,-87.90536,,,,,,,1574876216
2019-11-27 17:36:57,AD159B,ENY4005,41.9839,-87.90553,,,,,,,1574876217
2019-11-27 17:36:57,AD159B,ENY4005,41.9839,-87.90568,,,,,,,1574876217
2019-11-27 17:36:58,AD159B,ENY4005,41.9839,-87.90595,,,,,,,1574876218
2019-11-27 17:37:03,AD159B,ENY4005,41.98388,-87.90684,,,,,,,1574876223
2019-11-27 17:37:04,AD159B,ENY4005,41.98386,-87.90699000000001,,,,,,,1574876224
2019-11-27 17:37:04,AD159B,ENY4005,,,,,,,,,1574876224
2019-11-27 17:37:07,AD159B,ENY4005,41.9838,-87.90741,,,,,,,1574876227
2019-11-27 17:37:09,AD159B,ENY4005,41.98373,-87.9077,,,,,,,1574876229
2019-11-27 17:37:10,AD159B,ENY4005,41.983670000000004,-87.90791999999999,,,,,,,1574876230
2019-11-27 17:37:11,AD159B,ENY4005,41.98366,-87.90796999999999,,,,,,,1574876231
2019-11-27 17:37:11,AD159B,ENY4005,41.98365,-87.90803000000001,,,,,,,1574876231
2019-11-27 17:37:14,AD159B,ENY4005,,,,,,,,,1574876234
